"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Immune system","hsa04611","Platelet activation","26/675","126/9397",0.206349206349206,2.87268665490888,5.88711401690583,7.44474853560365e-07,0.000251632500503403,0.000202967354812773,"112/23365/2149/9002/10672/2776/2811/2814/51206/2982/2983/3673/3674/3690/10627/4638/5290/23236/5500/5566/5592/5742/10235/8773/6915/7450",26
"Human Diseases","Infectious disease: viral","hsa05163","Human cytomegalovirus infection","36/675","226/9397",0.15929203539823,2.21758112094395,5.15417461593141,4.48023419372631e-06,0.000757159578739746,0.000610726661144797,"112/23365/801/6347/6348/414062/6351/9560/6352/90993/2002/8772/356/2768/10672/2775/2776/10681/3135/3553/3690/3716/3845/5290/23236/5530/5566/5579/5732/5733/5747/5880/6009/340061/7124/7186",36
"Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","23/675","119/9397",0.19327731092437,2.69070650482415,5.16332984308494,1.02471028179705e-05,0.00115450691749135,0.000931227940299777,"329/6347/6364/6352/90993/1435/2919/6374/1906/8772/3553/3976/9020/4217/5599/5290/11035/9252/7124/7185/7186/7187/7424",23
"Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","19/675","95/9397",0.2,2.7842962962963,4.86245906678684,3.63573389121215e-05,0.00307219513807427,0.00247803967848407,"284/523/245973/51606/6347/6364/6348/414062/6352/1435/1513/2919/6374/3108/3109/3606/3553/51561/7124",19
"Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","19/675","100/9397",0.19,2.64508148148148,4.60077873643579,7.60348988398898e-05,0.00513995916157655,0.00414590290516452,"6347/6364/6348/414062/6351/9560/6352/1435/2919/6374/4283/3606/3561/5196/5197/5473/7124/8797/8740",19
"Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","39/675","300/9397",0.13,1.80979259259259,3.96552488108533,0.000203316587360772,0.0114535010879902,0.00923842037305964,"284/781/785/1435/1616/80824/1846/1944/1950/2002/356/2247/1647/2768/3315/3553/3845/9175/9020/10746/84451/4217/9448/5599/4149/5062/5530/5566/5579/5778/5880/9693/10235/9252/9344/51347/7124/7186/7424",39
"Environmental Information Processing","Signal transduction","hsa04015","Rap1 signaling pathway","30/675","212/9397",0.141509433962264,1.97002096436059,3.97397215638851,0.000254223239049425,0.0122753506855294,0.00990132615245128,"112/284/801/1435/1944/1950/51466/2149/9002/2247/2775/2776/2902/3674/3690/3845/57121/56288/84552/5290/23236/5579/5880/5900/9693/9771/51735/10235/10636/7424",30
"Environmental Information Processing","Signal transduction","hsa04071","Sphingolipid signaling pathway","20/675","122/9397",0.163934426229508,2.28221007893139,3.96549577835735,0.000401871767852605,0.0169790821917726,0.0136953668255033,"340485/29956/2768/10672/2776/3845/4217/5599/5290/23236/28227/5529/5579/5880/166929/8879/6609/6610/7124/7186",20
"Organismal Systems","Circulatory system","hsa04270","Vascular smooth muscle contraction","21/675","134/9397",0.156716417910448,2.18172470978441,3.83273006238797,0.000542558052018909,0.0175101193277071,0.0141237026031646,"112/23365/552/800/801/1906/2768/10672/2776/2982/2983/10398/4638/81579/8398/23236/5500/5566/5579/5592/10268",21
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","28/675","203/9397",0.137931034482759,1.92020434227331,3.68718897751005,0.000614357898712675,0.0175101193277071,0.0141237026031646,"329/857/858/1293/1729/1793/1950/2002/3673/3674/3655/3690/3693/3918/5599/10627/10398/4638/5062/29780/5290/5500/5579/5747/5880/7414/7424/7450",28
