"ENSEMBL","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","external_gene_name","gene_biotype"
"ENSG00000001460",90.6430831723995,-0.783527839912144,0.179110622567217,-4.37454701838301,1.21684894370494e-05,0.000855453316857743,"STPG1","protein_coding"
"ENSG00000001561",1147.72929245365,-0.814074212837321,0.243154323768581,-3.34797341959711,0.000814048185692144,0.0173888240826903,"ENPP4","protein_coding"
"ENSG00000003436",34.5006295597081,1.06588946904029,0.335375966959923,3.17819275692962,0.00148196191338992,0.0262445621526287,"TFPI","protein_coding"
"ENSG00000004478",777.603302960186,-0.971292364127609,0.215096828773407,-4.51560522610407,6.31361860572433e-06,0.000522449608003396,"FKBP4","protein_coding"
"ENSG00000004777",331.622965135112,-1.05073301201151,0.228403418050321,-4.60033838801843,4.21805165818251e-06,0.000385491575633716,"ARHGAP33","protein_coding"
"ENSG00000004975",666.363271918763,-0.390131915600188,0.110074924348181,-3.54423968865199,0.0003937471097449,0.0106789739953205,"DVL2","protein_coding"
"ENSG00000005249",2978.71229372061,1.83851481447462,0.277102664787172,6.63477854277109,3.24990094176126e-11,4.38556877143899e-08,"PRKAR2B","protein_coding"
"ENSG00000005381",3303.08197555484,3.5805383340734,0.593334453627727,6.03460377563025,1.59353197477106e-09,8.89987607909639e-07,"MPO","protein_coding"
"ENSG00000005961",2834.38431691889,1.73333432535716,0.368659378879702,4.70172312074221,2.57975161416667e-06,0.000264764274665957,"ITGA2B","protein_coding"
"ENSG00000006062",1197.13829163064,0.491354869763287,0.143205584510316,3.43111528397058,0.000601105085011532,0.0142633581895065,"MAP3K14","protein_coding"
"ENSG00000006638",54.191722173811,1.47528966465597,0.332441712626967,4.43773933480903,9.09086150725057e-06,0.000690607788909748,"TBXA2R","protein_coding"
"ENSG00000006715",2685.23378528117,0.388199429233273,0.127163812118167,3.05275080045996,0.00226754157797428,0.0349727913226828,"VPS41","protein_coding"
"ENSG00000007129",843.275475392615,-0.812586575900678,0.194750897609933,-4.17244072234372,3.0135401544781e-05,0.00170197298724541,"CEACAM21","protein_coding"
"ENSG00000007341",512.706191789429,-0.478735373758538,0.128426269570119,-3.7277059853954,0.000193230614298032,0.00651861532059771,"ST7L","protein_coding"
"ENSG00000008083",6453.46092956185,0.404926725830452,0.136611197598944,2.9640815170892,0.00303587854003324,0.0422320391553794,"JARID2","protein_coding"
"ENSG00000009307",26343.5927610883,0.373387721865909,0.095967289818196,3.89078114608914,9.99220269555541e-05,0.00408339893083002,"CSDE1","protein_coding"
"ENSG00000009413",1821.55422714241,0.542672466195174,0.124968304722651,4.34248081863283,1.4088278895564e-05,0.000954496729156237,"REV3L","protein_coding"
"ENSG00000009790",13050.896006872,-0.627867225751362,0.154184290657368,-4.07218675180486,4.6573812973873e-05,0.00236070525290594,"TRAF3IP3","protein_coding"
"ENSG00000010319",46.1543679631851,0.969999874023566,0.332523728922366,2.9170846759331,0.00353319840546411,0.0466539976840595,"SEMA3G","protein_coding"
"ENSG00000010438",7.15052704051226,1.49475057057031,0.482738002155798,3.09640128578048,0.00195885071470722,0.0317314736058349,"PRSS3","protein_coding"
"ENSG00000011105",322.580199676654,1.63873351362264,0.317653262825374,5.15887511762634,2.48437943856111e-07,4.99013404927581e-05,"TSPAN9","protein_coding"
"ENSG00000011132",598.179031319803,-0.446628993600575,0.108288382485366,-4.12444052953634,3.71636997621097e-05,0.0019763349021784,"APBA3","protein_coding"
"ENSG00000011258",2509.93345555729,0.304633566251671,0.10388131864846,2.9325153955984,0.00336228251714304,0.0451704740540289,"MBTD1","protein_coding"
"ENSG00000012211",209.135708380514,-0.581614790960993,0.191100872457478,-3.04349626185202,0.00233846346399137,0.0356911536490465,"PRICKLE3","protein_coding"
"ENSG00000012223",36594.5908418833,2.60934569918198,0.60622517569535,4.30425162760523,1.67551144066008e-05,0.00109469528599424,"LTF","protein_coding"
"ENSG00000012817",1861.81281734318,-14.1981001669797,1.76035633936737,-8.06546938790939,7.29550157573914e-16,3.66708386704528e-12,"KDM5D","protein_coding"
"ENSG00000013016",722.806998746533,1.1614780785453,0.216001821860682,5.3771679726592,7.56665753634895e-08,2.00177916349779e-05,"EHD3","protein_coding"
"ENSG00000013563",473.316345227261,-0.52358918120171,0.122274087328936,-4.28209437207391,1.85142424745188e-05,0.00117995762970323,"DNASE1L1","protein_coding"
"ENSG00000013588",23.8515220715036,-2.13101266413889,0.620515357973396,-3.4342625637805,0.000594168356410944,0.0141319427461563,"GPRC5A","protein_coding"
"ENSG00000014138",243.77210558154,-0.519822303459914,0.156117980274408,-3.32967607284071,0.000869470716165779,0.018197340269843,"POLA2","protein_coding"
"ENSG00000019102",475.113512919767,1.89149168111572,0.335406504389063,5.63940071633686,1.70643007388386e-08,5.78249714587229e-06,"VSIG2","protein_coding"
"ENSG00000021300",374.196449349195,-0.802149135941346,0.272387142799972,-2.94488619284943,0.00323073474497592,0.0439890425163561,"PLEKHB1","protein_coding"
"ENSG00000022267",589.027721798364,1.6150429782932,0.284744387890668,5.67190451147126,1.41218688435183e-08,5.13134268014058e-06,"FHL1","protein_coding"
"ENSG00000023041",2920.33858153921,-0.241674940519149,0.0594586716514132,-4.06458694428981,4.8117599990211e-05,0.0024105146769579,"ZDHHC6","protein_coding"
"ENSG00000023330",2179.59018122551,-0.667034426614939,0.16642445289255,-4.00803136210761,6.12269910933703e-05,0.00288005324941028,"ALAS1","protein_coding"
"ENSG00000023734",2942.81561885525,0.395654081908591,0.130301386779439,3.03645334625881,0.00239379150142194,0.0361333122579501,"STRAP","protein_coding"
"ENSG00000024048",16801.0462965958,0.397638594993642,0.126022722238121,3.15529285458777,0.00160337076997921,0.0277346294400571,"UBR2","protein_coding"
"ENSG00000024422",16.0974893613752,1.71263785497986,0.380693628285162,4.49873002260231,6.83606044634055e-06,0.000554217061831142,"EHD2","protein_coding"
"ENSG00000024862",1497.08060829688,-0.414537942088766,0.13524331186694,-3.06512711324765,0.00217577502560283,0.0339976200263656,"CCDC28A","protein_coding"
"ENSG00000026508",24066.7011051679,0.496824000607486,0.139278638314198,3.56712275924686,0.000360922425175381,0.0100601288547729,"CD44","protein_coding"
"ENSG00000029364",1999.64225698821,0.334380702379689,0.0733406067110002,4.55928464973464,5.13281605688596e-06,0.000440676443754883,"SLC39A9","protein_coding"
"ENSG00000029534",324.71818821146,1.53038216590854,0.322320843545444,4.74800868933806,2.05429212625421e-06,0.000228617698286719,"ANK1","protein_coding"
"ENSG00000033030",2059.72340155862,-0.423316547371333,0.111888533262696,-3.78337739379831,0.000154714553231319,0.00558138302739636,"ZCCHC8","protein_coding"
"ENSG00000034533",437.583041077222,-0.556699723549843,0.13222729535652,-4.2101725067342,2.55175771594888e-05,0.00149798719071794,"ASTE1","protein_coding"
"ENSG00000035403",8754.2305190573,0.674575540593471,0.12325369271259,5.47306555890769,4.42316384185821e-08,1.22383668171194e-05,"VCL","protein_coding"
"ENSG00000035720",741.050734697912,-1.41379176447332,0.365339490392629,-3.86980274963958,0.000108923444182782,0.00431105269436813,"STAP1","protein_coding"
"ENSG00000041353",715.92853164028,1.4238091672665,0.276134587353384,5.15621451449822,2.5199219832637e-07,4.99013404927581e-05,"RAB27B","protein_coding"
"ENSG00000042062",272.741218956679,0.791506677878372,0.249491633197024,3.17247784118403,0.0015114409300396,0.0266173382688399,"RIPOR3","protein_coding"
"ENSG00000043143",3534.20778949922,-0.639982180266645,0.169671265031323,-3.77189490600248,0.000162012495754285,0.00577557311992136,"JADE2","protein_coding"
"ENSG00000044090",635.405267314979,-0.32476729997814,0.112281246998244,-2.89244471949283,0.00382256444506661,0.0490991146076507,"CUL7","protein_coding"
"ENSG00000046651",3843.66625831666,-0.597920232162197,0.140895865238392,-4.24370318568634,2.19861116592889e-05,0.00134772183238312,"OFD1","protein_coding"
"ENSG00000047056",2664.66574963947,-0.207996111448372,0.0655642414626675,-3.17240170568901,0.00151183727757959,0.0266173382688399,"WDR37","protein_coding"
"ENSG00000047249",891.430959106808,-0.338650262860518,0.115253256608844,-2.93831404703693,0.00330002556661353,0.0445304121089475,"ATP6V1H","protein_coding"
"ENSG00000047346",3133.46819452507,0.373179425763977,0.116779698432562,3.19558477006585,0.00139547782807026,0.0253531420582958,"ATOSA","protein_coding"
"ENSG00000047597",362.60210358908,1.89319227666031,0.384708869381727,4.92110379389717,8.60574732349221e-07,0.000117745480239456,"XK","protein_coding"
"ENSG00000047648",194.041897370568,1.85111963100048,0.283421705924757,6.53132626155287,6.51898140913531e-11,7.23563653511719e-08,"ARHGAP6","protein_coding"
"ENSG00000048052",1108.99830177568,0.71397283942323,0.22630438389488,3.15492270690997,0.00160540630399401,0.0277463889525245,"HDAC9","protein_coding"
"ENSG00000048471",2110.7363363784,0.442442671174066,0.121299912574854,3.64751022306824,0.000264793779038034,0.0081862394049242,"SNX29","protein_coding"
"ENSG00000048828",10598.7844973047,0.357255447369483,0.0984566236444363,3.62855676078906,0.00028501009160928,0.00862148380425705,"FAM120A","protein_coding"
"ENSG00000049323",449.940541841326,1.25160178027512,0.311459803277985,4.01850180056154,5.85693617419533e-05,0.00277734808298045,"LTBP1","protein_coding"
"ENSG00000049618",3792.73067301451,0.288016216532441,0.0922104359436747,3.12346659664825,0.00178734151851699,0.0298963545871074,"ARID1B","protein_coding"
"ENSG00000050327",134.729057619675,-1.06626542482317,0.32282542143351,-3.3029165425957,0.000956848606205958,0.019615503308281,"ARHGEF5","protein_coding"
"ENSG00000050628",57.0521509593835,1.86207209961494,0.437085533326243,4.26020071047531,2.0424340912761e-05,0.00126744382219744,"PTGER3","protein_coding"
"ENSG00000053254",7842.23022871263,0.635739928041482,0.135588501315587,4.68874515075415,2.74885468239854e-06,0.00027726658316541,"FOXN3","protein_coding"
"ENSG00000053900",2963.61880284457,-0.371247228178542,0.102634027353292,-3.6171943920764,0.000297813639791343,0.00885775302018453,"ANAPC4","protein_coding"
"ENSG00000053918",748.705399883637,0.500482473661411,0.155597843726248,3.21651291352044,0.00129758693809104,0.0241096704414666,"KCNQ1","protein_coding"
"ENSG00000055211",986.429060099455,0.37463048582514,0.117447953353931,3.18975746385453,0.00142392239975132,0.0256418451597972,"GINM1","protein_coding"
"ENSG00000056050",317.870907281441,-0.657430499571985,0.153710451517426,-4.27707090234818,1.89368502534135e-05,0.0011948043238341,"HPF1","protein_coding"
