"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","29/694","119/9397",0.243697478991597,3.29974814133146,7.12924140402294,6.19567630365481e-09,2.08174723802802e-06,1.68913701331221e-06,"468/9530/602/843/6347/64764/3627/6374/1906/83786/3383/3551/8809/3553/182/3976/4049/6416/5608/9020/6885/1326/5602/4318/9252/7124/7128/7185/7187",29
"Human Diseases","Infectious disease: viral","hsa05161","Hepatitis B","32/694","163/9397",0.196319018404908,2.65822740050565,6.03058859102843,2.53617618732981e-07,4.26077599471409e-05,3.45720859220222e-05,"468/537/843/8900/898/9134/1017/64764/1642/1870/2002/3551/9641/3665/3716/3718/6416/5608/6885/5602/4318/4773/4893/4088/6778/29110/7048/148022/7124/7187/7189/7419",32
"Organismal Systems","Immune system","hsa04657","IL-17 signaling pathway","22/694","95/9397",0.231578947368421,3.13565903230699,5.907752591571,1.08410209379372e-06,0.000121419434504896,9.85201551903766e-05,"6347/3627/6374/1994/8061/3326/3551/9641/3553/6885/5602/5597/4318/6279/6280/6426/29110/7124/7128/7187/10758/7189",22
"Environmental Information Processing","Signal transduction","hsa04064","NF-kappa B signaling pathway","22/694","105/9397",0.20952380952381,2.83702483875395,5.34529680494465,6.34797747941828e-06,0.000510417586169978,0.000414154620357219,"472/6351/9560/1457/1647/4616/10912/3383/3551/3553/4049/4050/9020/6885/4791/5328/148022/7124/7128/7185/7187/7189",22
"Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","35/694","216/9397",0.162037037037037,2.19403751734443,5.01321813679436,7.5954997941961e-06,0.000510417586169978,0.000414154620357219,"468/6347/6348/414062/1649/1965/3326/3383/3551/9641/3606/3553/3665/3949/6416/5608/6885/5602/57534/4318/4773/114548/4846/4893/5170/5468/5530/6403/10010/29110/148022/7124/7187/7189/7494",35
"Organismal Systems","Immune system","hsa04620","Toll-like receptor signaling pathway","22/694","109/9397",0.201834862385321,2.73291383549692,5.1386124199783,1.19664499975295e-05,0.000670121199861654,0.000543738692870202,"6348/414062/6351/9560/3627/6373/3551/9641/3553/3665/10379/3716/6416/5608/6885/1326/5602/29110/148022/7124/7187/7189",22
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","33/694","204/9397",0.161764705882353,2.19035005933209,4.85375553835109,1.43006240434641e-05,0.000686429954086278,0.000556971673271761,"8900/898/9134/1017/3627/1870/5610/1647/4616/10912/3383/3551/9641/3665/10379/9636/3716/3718/6416/5608/9020/6885/5602/4791/4794/4939/4940/5701/29110/7124/7128/7187/7189",33
"Genetic Information Processing","Replication and repair","hsa03440","Homologous recombination","12/694","41/9397",0.292682926829268,3.96302804526604,5.36907327936821,2.56849804983725e-05,0.000949770994232531,0.00077064751725008,"472/580/675/79184/146956/4361/4683/5890/5893/5932/6117/6118",12
"Human Diseases","Cancer: overview","hsa05202","Transcriptional misregulation in cancer","32/694","201/9397",0.159203980099502,2.15567694667871,4.67683173577515,2.67511629559062e-05,0.000949770994232531,0.00077064751725008,"472/55589/8900/1031/1436/1649/84444/2322/2308/1647/4616/10912/3486/7850/3684/3728/7403/4094/4318/64332/5087/5328/5371/5468/171558/5966/861/85414/6692/8148/7048/7185",32
"Cellular Processes","Cell growth and death","hsa04218","Cellular senescence","27/694","157/9397",0.171974522292994,2.32859450430441,4.74048787150693,2.82669938759682e-05,0.000949770994232531,0.00077064751725008,"472/824/8900/898/9134/1017/1870/2308/1647/4616/10912/10114/3486/3710/5608/4361/4683/4773/4893/5501/5530/6009/4088/8878/7048/10758/7419",27
