"ENSEMBL","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","external_gene_name","gene_biotype"
"ENSG00000000938",45267.2070397673,0.37135394707252,0.126106505044799,2.94476440323675,0.00323200663716464,0.0416615700158097,"FGR","protein_coding"
"ENSG00000001036",706.993062395312,0.462455744519738,0.130262409214709,3.55018571595343,0.000384959477312248,0.0106167507478305,"FUCA2","protein_coding"
"ENSG00000001561",1147.72929245365,1.08363490917571,0.22398536323562,4.83797197067643,1.31170633484572e-06,0.000223961196454372,"ENPP4","protein_coding"
"ENSG00000002016",556.499642785015,-0.348811268054722,0.117094784307477,-2.97887963257856,0.00289304401353581,0.0385368765858457,"RAD52","protein_coding"
"ENSG00000003096",17.7928018072353,-1.26121046716742,0.39937174706953,-3.15798620313481,0.00158863076372916,0.0267842554456088,"KLHL13","protein_coding"
"ENSG00000003400",4032.23040899272,0.5384404049297,0.13492293419145,3.99072558091328,6.58714625363496e-05,0.00334255222687202,"CASP10","protein_coding"
"ENSG00000004478",777.603302960186,0.776345420825295,0.19452015365766,3.9910796193982,6.57731926295429e-05,0.00334255222687202,"FKBP4","protein_coding"
"ENSG00000004777",331.622965135112,0.658879032724631,0.211202065356726,3.11966188214953,0.00181058741231101,0.0289022123374311,"ARHGAP33","protein_coding"
"ENSG00000005102",49.0353124521094,-1.27783036718183,0.413079866086072,-3.09342205246957,0.00197862522932756,0.030639721431893,"MEOX1","protein_coding"
"ENSG00000005175",2136.8154192987,-0.404669070102531,0.108668401573065,-3.72388904451166,0.000196177171594743,0.00698670272694034,"RPAP3","protein_coding"
"ENSG00000005249",2978.71229372061,-1.29348472167051,0.258070587673227,-5.01213537479264,5.38293109332369e-07,0.000121627236185386,"PRKAR2B","protein_coding"
"ENSG00000005812",3455.26875388006,0.334556400899387,0.110323796438891,3.03249536091426,0.00242540825406821,0.0345718738533052,"FBXL3","protein_coding"
"ENSG00000006015",461.909012782841,-0.517867212805595,0.14997581165361,-3.45300490189499,0.000554378928677909,0.013479054572786,"REX1BD","protein_coding"
