"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009615","response to virus","80/1381","425/18986",0.188235294117647,2.58786045917281,9.27235902319281,2.22170505669918e-15,1.27125963344327e-11,1.05004796890309e-11,"APOBEC3A/APOBEC3C/APOBEC3H/ATG12/ATG7/AZI2/BCL3/CCDC92/CCL4/CD2AP/CGAS/CRCP/CXCL10/DDIT4/DDX60/DHX58/EIF2AK2/ENO1/EXOSC4/FGR/FOSL1/HERC5/HIF1A/IFI27/IFI44/IFI44L/IFI6/IFIT1/IFIT3/IFIT5/IFITM1/IFITM3/IFNLR1/IKBKB/IKBKE/IL1B/IRF7/IRF9/ISG15/IVNS1ABP/JAK1/LGALS8/MAP3K14/MARCHF2/MICB/MX1/NLRP1/NLRP3/OAS2/OAS3/OASL/ODC1/PHB2/PIM2/PLSCR1/PML/RIOK3/RSAD2/SHFL/SLFN13/SMAD3/TANK/TBK1/TICAM1/TNF/TNFAIP3/TNFSF4/TRAF3/TRAF3IP2/TRAF6/TRIM13/TRIM22/TRIM27/TRIM38/TRIM41/TRIM6/UAP1/USP18/ZBP1/ZC3H12A",80
"GO:0051607","defense response to virus","63/1381","320/18986",0.196875,2.70663921071687,8.62333391394715,2.74378397957727e-13,7.84996596557058e-10,6.48399477279051e-10,"APOBEC3A/APOBEC3C/APOBEC3H/ATG12/ATG7/AZI2/CCDC92/CGAS/CRCP/CXCL10/DDIT4/DDX60/DHX58/EIF2AK2/EXOSC4/HERC5/IFI27/IFI44L/IFI6/IFIT1/IFIT3/IFIT5/IFITM1/IFITM3/IFNLR1/IKBKE/IL1B/IRF7/IRF9/ISG15/MAP3K14/MARCHF2/MICB/MX1/NLRP1/OAS2/OAS3/OASL/PHB2/PLSCR1/PML/RIOK3/RSAD2/SHFL/SLFN13/TANK/TBK1/TICAM1/TNF/TNFAIP3/TRAF3/TRAF3IP2/TRAF6/TRIM13/TRIM22/TRIM27/TRIM38/TRIM41/TRIM6/UAP1/USP18/ZBP1/ZC3H12A",63
"GO:0045071","negative regulation of viral genome replication","20/1381","55/18986",0.363636363636364,4.99927588703838,8.31878800583443,6.44539509780372e-10,1.22935169165443e-06,1.01543242067153e-06,"APOBEC3A/APOBEC3C/APOBEC3H/EIF2AK2/IFIT1/IFIT5/IFITM1/IFITM3/ISG15/MX1/OAS2/OAS3/OASL/PLSCR1/RSAD2/SHFL/SRPK2/TNF/TNIP1/TRIM6",20
"GO:0048525","negative regulation of viral process","27/1381","99/18986",0.272727272727273,3.74945691527878,7.68187349664027,1.21325076247564e-09,1.7355552157214e-06,1.4335515588199e-06,"APOBEC3A/APOBEC3C/APOBEC3H/ARK2N/EIF2AK2/IFIT1/IFIT5/IFITM1/IFITM3/ISG15/LY6E/MX1/OAS2/OAS3/OASL/PLSCR1/PTX3/RSAD2/SHFL/SNX3/SRPK2/TNF/TNIP1/TRIM13/TRIM14/TRIM27/TRIM6",27
"GO:0051091","positive regulation of DNA-binding transcription factor activity","41/1381","208/18986",0.197115384615385,2.70994402049797,6.94501228506266,3.82307316195061e-09,4.37512492653628e-06,3.61381020992805e-06,"AR/ARHGEF5/BMP2/BUD31/CAMK1D/CD200/CRTC1/DDIT3/EDN1/EIF2AK2/IKBKB/IKBKE/IL10/IL18/IL18R1/IL18RAP/IL1B/IRAK2/JUP/KIT/MAP3K13/MTDH/NLRP3/PHB2/PSMA6/RIPK2/RPS6KA5/S100A12/S100A8/S100A9/SMAD3/TFDP1/TFRC/TNF/TRAF1/TRAF6/TRIM13/TRIM14/TRIM22/TRIM27/TRIM38",41
"GO:0140374","antiviral innate immune response","19/1381","59/18986",0.322033898305085,4.42732483216534,7.3845580302231,1.75754468309278e-08,1.67611177944281e-05,1.38445186440115e-05,"CXCL10/DHX58/EIF2AK2/IFIT1/IFIT3/MARCHF2/MX1/NLRP1/OAS2/OAS3/OASL/PHB2/TBK1/TNF/TRAF6/TRIM6/UAP1/USP18/ZBP1",19
"GO:0002819","regulation of adaptive immune response","40/1381","221/18986",0.180995475113122,2.48832736458924,6.2331050249936,7.06715657094626e-08,5.39436869935171e-05,4.45569555365058e-05,"AKIRIN2/ALOX15/ANXA1/ARG1/ARID5A/BATF/CD226/DUSP22/EPHB2/FZD5/HLX/IL10/IL18/IL18R1/IL1B/IL6ST/IRF7/JAK3/KMT5B/LTA/MAP3K7/MICB/NECTIN2/NFKBID/NFKBIZ/NLRP3/RIPK2/RSAD2/SAMSN1/SASH3/SLC15A4/SMAD7/STAT6/TFRC/TNF/TNFAIP3/TNFSF4/TRAF6/TRIM27/ZC3H12A",40
"GO:0002440","production of molecular mediator of immune response","41/1381","230/18986",0.178260869565217,2.45073198375468,6.19962066452393,7.54193456742636e-08,5.39436869935171e-05,4.45569555365058e-05,"ACP5/ANGPT1/APOA2/ARG1/ARID5A/BATF/CD226/CGAS/EPHB2/ERCC1/FFAR3/FZD5/IL10/IL18/IL18R1/IL1B/JAK3/KIT/KMT5B/MAP3K7/NBN/NFKBIZ/NLRP3/PHB2/PRKDC/RIPK2/RSAD2/SASH3/SLC15A4/SLC7A5/SMAD7/STAT6/TFRC/TICAM1/TNF/TNFSF4/TRAF3IP2/TRAF6/TRIM6/XBP1/YY1",41
"GO:0050792","regulation of viral process","34/1381","173/18986",0.196531791907514,2.70192078287912,6.29821512903393,8.65906389417814e-08,5.50524040027637e-05,4.54727448945729e-05,"APOBEC3A/APOBEC3C/APOBEC3H/ARK2N/ATG12/DDB1/EIF2AK2/IFIT1/IFIT5/IFITM1/IFITM3/ISG15/LY6E/MX1/NECTIN2/OAS2/OAS3/OASL/PLSCR1/PTX3/RSAD2/SHFL/SNX3/SRPK2/STOM/TMEM250/TNF/TNIP1/TRIM13/TRIM14/TRIM22/TRIM27/TRIM38/TRIM6",34
"GO:0045069","regulation of viral genome replication","22/1381","85/18986",0.258823529411765,3.55830813136261,6.62070211810172,1.13939283741086e-07,6.41834716874868e-05,5.30149171023778e-05,"APOBEC3A/APOBEC3C/APOBEC3H/DDB1/EIF2AK2/IFIT1/IFIT5/IFITM1/IFITM3/ISG15/MX1/OAS2/OAS3/OASL/PLSCR1/RSAD2/SHFL/SRPK2/TNF/TNIP1/TRIM38/TRIM6",22
