"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Transport and catabolism","hsa04137","Mitophagy - animal","66/3415","105/9397",0.628571428571429,1.7296297845639,5.68049598098372,2.62415203503935e-08,9.10580756158654e-06,6.32558753709485e-06,"25820/468/79065/285973/598/664/665/10241/221960/10370/283106/1460/1869/9451/1965/51024/2309/139341/11337/23710/11345/3091/3265/3845/643246/5602/5599/54708/9927/4286/84315/22808/4580/10651/79594/4077/79671/4893/4976/192111/11331/5071/5868/27342/5970/89941/25813/6477/57154/6667/6714/8887/64786/79735/29110/7942/9804/10452/84134/54543/7157/7186/9958/84749/9101/7415",66
"Cellular Processes","Transport and catabolism","hsa04144","Endocytosis","123/3415","252/9397",0.488095238095238,1.34308373422575,4.17111532525248,2.70050564538768e-05,0.00297935151338695,0.00206968450346007,"9744/23527/116983/10097/57180/116986/729092/273/160/116984/64411/375/377/378/10095/10109/81873/50807/8853/274/829/830/857/858/998/5119/57132/25978/128866/79643/91782/1212/1213/3577/3579/7852/9266/1601/9829/1759/26052/30846/30845/30844/22905/2261/2348/2350/8729/9815/156/157/131890/3134/3265/3305/3310/3312/3559/3561/9922/23096/440073/9798/3798/3799/3800/3949/26119/4193/93343/89853/23327/56288/50855/138429/5371/5584/5590/23362/23550/8766/9230/22841/9727/57403/11031/5868/64145/387/100526767/6457/51100/56904/60682/57154/11267/6642/29934/8724/23111/51324/6714/8027/7037/7048/7189/9101/9559/51160/51699/51028/137492/79720/55048/27183/51534/253725/51019/23325/8976/147179/9372",123
"Genetic Information Processing","Folding, sorting and degradation","hsa03018","RNA degradation","46/3415","78/9397",0.58974358974359,1.62278785148478,4.17298123256069,3.71227201959682e-05,0.00297935151338695,0.00206968450346007,"7832/10950/10438/23019/25904/4848/4849/246175/55802/196513/167227/1656/170506/115752/80153/2023/2026/2027/51013/51010/56915/11340/3313/3329/57819/25804/23658/11157/51691/131870/80336/9924/255967/219988/5211/5213/5214/154197/6499/9652/80349/11044/64282/10140/10766/54464",46
"Cellular Processes","Transport and catabolism","hsa04142","Lysosome","71/3415","133/9397",0.533834586466165,1.46894395578991,4.1152018639984,4.009751824549e-05,0.00297935151338695,0.00206968450346007,"23457/164/8906/8907/8905/8546/8120/8943/1176/10717/9179/410/411/427/537/535/533/527/51606/967/1201/1203/1212/1213/1497/5476/1508/1510/8722/1511/1512/1513/1520/23312/9583/2517/2519/2581/2588/23163/2717/2760/2799/3073/138050/3373/8692/8372/3423/3425/27074/9741/55353/5641/3988/4125/57192/57707/256471/4669/9476/135112/4864/10577/23659/9374/950/4891/26503/6609/6272",71
"Organismal Systems","Endocrine system","hsa04919","Thyroid hormone signaling pathway","66/3415","122/9397",0.540983606557377,1.48861579819024,4.10425290842958,4.29301370805037e-05,0.00297935151338695,0.00206968450346007,"476/478/481/482/483/487/488/489/652/842/1387/1499/2033/486/2932/3065/3091/3265/3690/2648/3845/5605/4193/116931/9969/23389/9282/10025/9440/2475/4609/4624/4625/8648/10499/8202/9611/4851/4853/4893/5208/5211/5213/5214/5290/5295/8503/23236/5332/5333/51196/5335/5336/5350/5566/5579/5582/5894/6257/117247/6714/6772/9882/7068/7157/7249",66
"Environmental Information Processing","Signal transduction","hsa04064","NF-kappa B signaling pathway","58/3415","105/9397",0.552380952380952,1.51997768946524,4.04826014192111,5.60008243747372e-05,0.00323871434300564,0.00224985768102014,"8915/597/598/79092/6363/9560/959/1147/283106/1460/2919/6387/2920/2921/1540/1896/10913/23085/4616/3383/3551/27040/3932/4049/4050/4067/6885/4791/4792/142/51588/55367/5328/5335/5336/10848/5579/5743/5970/5971/23586/8737/10454/257397/353376/7128/8792/7132/10673/8740/8717/7185/7186/7188/7189/7706/7329/7535",58
"Metabolism","Global and overview maps","hsa01250","Biosynthesis of nucleotide sugars","25/3415","37/9397",0.675675675675676,1.85924577579043,3.9566168585076,0.000109176184709128,0.00494796339853146,0.00343723227138997,"55907/197258/8790/2582/2584/2592/2645/2673/7264/29926/10020/64841/3098/80201/55586/4351/140838/55276/5372/5373/23483/91373/7358/7360/80146",25
"Human Diseases","Cancer: specific types","hsa05219","Bladder cancer","27/3415","41/9397",0.658536585365854,1.81208441952648,3.93723787106065,0.000114074084115999,0.00494796339853146,0.00343723227138997,"369/673/1019/1026/1613/1869/1870/1950/2064/2261/1839/3265/3845/5605/4193/4312/4313/4318/4609/4893/5894/11186/5925/6714/7057/7157/7422",27
"Genetic Information Processing","Replication and repair","hsa03430","Mismatch repair","17/3415","23/9397",0.739130434782609,2.03385320516901,3.75062786302079,0.000271760544422023,0.00965981617469816,0.00671044411953853,"9156/3978/4292/4436/4437/2956/5111/5424/57804/5982/5984/5985/6117/6118/6119/29935/6742",17
"Metabolism","Global and overview maps","hsa01212","Fatty acid metabolism","34/3415","57/9397",0.596491228070175,1.64135521820657,3.66949479524237,0.000278380869587843,0.00965981617469816,0.00671044411953853,"10449/33/34/35/36/38/39/23205/81616/2180/2181/2182/23305/84869/1375/126129/1376/1962/64834/6785/79993/3992/9415/9200/401494/3033/3295/7923/109703458/51102/54995/9374/79966/9524",34
