"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016197","endosomal transport","174/7822","294/18986",0.591836734693878,1.43653953527205,6.31427734123493,2.96817222293522e-10,1.89933340545625e-06,1.76278186124216e-06,"ABCA1/ACAP2/AGAP2/AKTIP/ALS2CL/ANKFY1/ANKRD27/ANKRD50/ANXA8/ANXA8L1/AP1G1/AP3D1/AP5B1/AP5M1/AP5S1/ARFRP1/ARHGAP44/ARHGAP8/ARL8B/ASB15/ATG14/ATP6AP1/ATP9A/BAIAP3/BLTP1/BLTP3B/BTBD8/CALY/CCDC22/CHMP1A/CHMP1B/CHMP2B/CHMP4B/CHMP4BP1/CHMP6/CHMP7/CLEC16A/CLN5/CLTC/CORO1A/CORO1C/DAB2/DENND10/DENND1A/DENND1B/DENND1C/DENND5A/DIAPH3/DPY30/DYNC1LI1/EHD2/EHD3/EHD4/EIPR1/EMP2/ENTR1/EPG5/ERC1/EVI5/GBF1/GOLT1A/GOLT1B/GRIP2/HEATR5B/HOOK1/HOOK2/HOOK3/ITSN1/ITSN2/LAPTM4B/LEPROT/LEPROTL1/LMTK2/LRRC7/LRRK2/LYST/MAP2K2/MSN/MVB12A/MVB12B/MYO5B/NDRG4/NF2/NSG1/NSG2/PICALM/PIK3R4/PLEKHA3/PLEKHJ1/PREPL/PRKN/PTPN23/RAB11A/RAB11B/RAB11FIP3/RAB12/RAB13/RAB14/RAB21/RAB29/RAB4B/RAB5A/RAB6C/RAB6D/RAB8B/RAB9A/RAB9B/RBSN/RCSD1/RDX/REPS2/RIC1/RNF126/SCARB2/SCRIB/SGSM2/SNF8/SNX1/SNX12/SNX16/SNX18/SNX3/SNX30/SNX7/SNX9/SORT1/SPAG9/SRC/STAM/STX10/STX12/STX16/STX5/TBC1D10B/TBC1D10C/TBC1D14/TBC1D17/TBC1D5/TMEM87A/TMEM87B/TOM1/TRAPPC10/TRARG1/TRIM27/UBAP1/UBE2O/USP7/VAMP3/VAMP4/VCP/VPS11/VPS13B/VPS16/VPS26A/VPS26C/VPS28/VPS29/VPS36/VPS37A/VPS37B/VPS37C/VPS4A/VPS50/VPS51/VPS53/VTA1/VTI1A/WASH6P/WASHC2C/WASHC3/WASHC4/WDR91/YKT6/ZFYVE9",174
"GO:0006282","regulation of DNA repair","136/7822","227/18986",0.599118942731278,1.45421532174585,5.76267542793074,8.59126064302642e-09,2.7487738427363e-05,2.55115223936606e-05,"ABL1/ABRAXAS1/ACTL6A/ACTR2/ACTR8/ARID1B/ARID2/ATRIP/ATXN7/ATXN7L3/BABAM1/BARD1/BCL7C/BRCC3/BRD8/C1QBP/CBX8/CCDC117/CDK9/CEBPG/CHEK1/CREBBP/DDX11/DEK/DHX9/DMAP1/DPF1/DPF2/ENY2/EP400/FBH1/FH/FIGNL1/H2AX/HDAC10/HDGFL2/HELB/HELQ/HMGA2/HMGB1/ING3/INO80/INO80D/INO80E/KAT2A/KAT5/KAT7/KDM4D/KLHL15/KMT5A/KMT5B/KMT5C/MAGEF1/MARCHF6-DT/MEAF6/MGMT/MIR221/MORF4L1/MORF4L2/MRE11/NBN/NPAS2/NUDT16L1/OGG1/PARG/PARP1/PCNA/PELI1/PHF13/PIAS4/PML/PNKP/POLH/POLQ/POT1/PPP4R3B/PRKCG/PRMT1/RAD51AP1/RAD52/RADX/RECQL5/RMI2/RNF126/RNF168/RNF169/RNF8/RPA2/RPS3/RTEL1/RUVBL1/RUVBL2/SENP3/SETD2/SF3B3/SGF29/SHLD1/SHLD3/SIRT1/SIRT7/SKP2/SMARCA2/SMARCA4/SMARCD1/SMARCD3/SMARCE1/SMCHD1/SPIRE1/SUPT3H/SUPT7L/TADA1/TADA3/TAF12/TAF2/TAF4/TAF5L/TAF6L/TAF7/TERF2/TEX15/TFPT/TMEM161A/TOP2B/TRIM28/UBE2V1/UBE2V2/UBQLN4/USP1/USP51/VPS72/WDR48/WRAP53/XRCC1/YEATS4/YY1/ZCWPW1",136
"GO:0016050","vesicle organization","211/7822","386/18986",0.546632124352332,1.32681635297282,5.42994276835555,4.96822969250731e-08,0.000105972339341181,9.83535155267588e-05,"ABCA1/ABCB6/ACRBP/AGFG1/AKTIP/ANKFY1/ANKRD27/ANXA1/ANXA2/ANXA8/ANXA8L1/AP1G1/AP1M1/AP1S2/AP3B1/AP3B2/AP3D1/AP3S1/AQP1/ARL8B/ASIP/ATP6AP1/ATP6V0A1/ATP6V0B/ATP6V0C/ATP6V1D/ATP6V1G2/ATP6V1H/BACE2/BAIAP3/BET1/BLOC1S4/BLOC1S5/BLOC1S6/BTBD8/C2CD5/CAV1/CAV2/CC2D1A/CCDC38/CD34/CHMP1A/CHMP1B/CHMP2B/CHMP4B/CHMP4BP1/CHMP6/CHMP7/CHN2/CLN3/CORO1A/CORO1C/CPLANE2/CPLX4/CSNK1D/DIAPH3/DLG4/DNM1/DNM3/ERC2/EXOC8/F2R/F2RL3/FASLG/GARIN1A/GARIN1B/GBF1/GOLPH3/GPR143/GRIK5/HOOK1/HOOK2/HOOK3/HPS1/HPS3/HPS6/INSIG1/IST1/KIF13A/KLHL12/KNL1/LAPTM4B/LYST/MVB12A/MVB12B/P2RX7/PFN4/PI4K2A/PICALM/PIP4K2B/PLEKHA3/PLEKHF1/PLEKHF2/PLEKHJ1/PLEKHM1/PLN/PMEL/POC1B/PPP6C/PREB/PRKCI/PRKN/RAB11A/RAB14/RAB1A/RAB20/RAB22A/RAB29/RAB32/RAB34/RAB39A/RAB3A/RAB4B/RFX2/RNASEK/RPH3A/SAR1A/SCAP/SCARB2/SDC4/SEC13/SEC23B/SEC24B/SEC24C/SEC31B/SLAMF1/SLC2A4/SLC35D3/SNAP47/SNAPIN/SNCA/SNF8/SNX10/SNX3/SORT1/SOX30/SPINK2/SRGN/SRPX/STAM/STX10/STX11/STX12/STX16/STX4/STX5/STXBP1/STXBP6/SYNJ1/SYP/SYT1/SYT2/SYT3/SYT5/TBC1D4/TFG/TMED2/TMEM127/TMF1/TOM1/TRAPPC10/TRAPPC11/TRAPPC12/TRAPPC13/TRAPPC3/TRAPPC5/TRAPPC6A/TRAPPC6B/TRAPPC9/TRARG1/TSNARE1/UBAP1/UBR4/USO1/USP50/USP8/UVRAG/VAMP1/VAMP3/VAMP4/VAMP7/VAPA/VAPB/VAV3/VIPAS39/VPS11/VPS13B/VPS16/VPS18/VPS28/VPS33A/VPS36/VPS37A/VPS37B/VPS37C/VPS41/VPS4A/VPS8/VTA1/VTI1A/WASHC4/WASL/YIPF4/YIPF5/ZDHHC15/ZDHHC20/ZEB2/ZNF385A/ZNRF1/ZNRF2/ZPBP2",211
"GO:0140053","mitochondrial gene expression","103/7822","169/18986",0.609467455621302,1.47933381646971,5.23914624605409,1.6110783096036e-07,0.000235043064606048,0.000218144771059182,"AARS2/ALKBH1/AURKAIP1/C1QBP/CHCHD1/CHCHD10/COA3/DAP3/DARS2/EARS2/FASTK/FASTKD1/FASTKD5/FOXO3/GADD45GIP1/GARS1/GATB/HARS1/IARS2/KANSL1/METTL4/MPV17L2/MRPL1/MRPL12/MRPL13/MRPL15/MRPL16/MRPL17/MRPL18/MRPL20/MRPL21/MRPL24/MRPL27/MRPL30/MRPL33/MRPL34/MRPL35/MRPL36/MRPL39/MRPL41/MRPL43/MRPL45/MRPL48/MRPL49/MRPL50/MRPL51/MRPL52/MRPL57/MRPL58/MRPS11/MRPS12/MRPS14/MRPS15/MRPS16/MRPS18A/MRPS18B/MRPS18C/MRPS21/MRPS23/MRPS26/MRPS30/MRPS31/MRPS33/MRPS34/MRPS9/MTERF1/MTERF2/MTERF3/MTG1/MTG2/MTIF2/MTIF3/MTO1/MTRES1/MTRF1/MTRF1L/NSUN3/POLRMT/PPARGC1B/PTCD3/PUS1/QRSL1/RCC1L/RMND1/RPUSD3/RPUSD4/SHMT2/SLC25A33/SUPV3L1/TACO1/TARS2/TBRG4/TEFM/TFB1M/THAP11/TRMT5/TRMT61B/TRNT1/TRUB2/TSFM/TWNK/UQCC2/YARS2",103
"GO:0016236","macroautophagy","202/7822","372/18986",0.543010752688172,1.31802635522087,5.18524187636002,1.83656090487614e-07,0.000235043064606048,0.000218144771059182,"ACBD5/ADRB2/AP4M1/ARHGAP26/ARL8B/ARMC3/ATG14/ATG16L2/ATG2A/ATG4A/ATG4B/ATG4C/ATG4D/ATG7/ATG9A/ATG9B/ATP2A2/ATP5IF1/ATP6V0A1/ATP6V0B/ATP6V0C/ATP6V0E2/ATP6V1D/ATP6V1E2/ATP6V1G2/ATP6V1H/AUP1/BNIP3/BNIP3L/C9orf72/CALCOCO2/CDC37/CDK5RAP3/CHMP1A/CHMP1B/CHMP2B/CHMP4B/CHMP4BP1/CHMP6/CHMP7/CLEC16A/CLN3/CTSK/CTTN/DCN/DDRGK1/DELE1/DIAPH3/DNAJC16/DNM1L/EHMT2/EI24/EIF2AK1/EIF2S1/EPG5/EPHB2/ERN1/EXOC1/EXOC4/EXOC8/FBXO7/FBXW7/FEZ2/FUNDC1/FZD5/GABARAP/GABARAPL1/GABARAPL2/GABARAPL3/GAPDH/GNAI3/GSK3A/HDAC10/HDAC6/HIF1A/HTRA2/IFT20/IFT88/ILRUN/IRGM/KAT5/LGALS8/LIX1L/LRRK2/LYPLA1/MAP1LC3B2/MAP3K7/MAPK8/MCOLN1/MFN2/MFSD8/MTMR3/MTOR/MUL1/MVB12A/NBR1/NIPSNAP1/NIPSNAP2/NOD2/NPC1/NRBP2/NUPR1/PAFAH1B2/PEX2/PEX5/PGAM5/PHB2/PHF23/PIK3CA/PIK3R4/PIP4K2B/PJVK/PLAA/PLEKHM1/PRKACA/PRKN/PSEN1/QSOX1/RAB19/RAB1A/RAB1C/RAB23/RAB2B/RAB33A/RAB33B/RAB3GAP1/RAB43/RAB5A/RB1CC1/RETREG3/RIMOC1/RIPK2/RNF213/RNF31/RNF5/SCFD1/SCOC/SESN2/SH3GLB1/SIRT1/SMCR8/SMURF1/SNAPIN/SNF8/SNX14/SNX18/SNX30/SNX7/SPART/SPATA33/SRC/STAM/STING1/STUB1/STX12/SUPT5H/TAFAZZIN/TBC1D12/TBC1D14/TBC1D5/TBK1/TECPR1/TEX264/TMEM39A/TOM1/TOMM7/TP53/TP53INP1/TP53INP2/TRAF6/TRIM32/TSC2/UBA5/UBE2A/UBQLN1/UBQLN4/UCHL1/ULK3/USP30/USP36/UVRAG/VCP/VPS16/VPS26A/VPS28/VPS33A/VPS36/VPS37A/VPS37B/VPS37C/VPS41/VPS4A/VTA1/VTI1A/WAC/WDFY3/WDR24/WDR45B/YOD1/ZDHHC19/ZNRF1/ZNRF2",202
"GO:0008033","tRNA processing","85/7822","135/18986",0.62962962962963,1.52827258350143,5.15598983244194,2.58006354635752e-07,0.00027516377721903,0.000255381026816652,"AARS1/ADAT3/ALKBH1/ALKBH8/ANKRD16/BCDIN3D/C2orf49/CLP1/CTU1/DALRD3/DDX1/DTWD1/DUS1L/ELAC1/ELP1/ELP3/ELP5/ELP6/FAM98A/FAM98B/FTSJ1/GON7/GRSF1/GTDC1/GTPBP3/LAGE3/LCMT2/LSM6/METTL1/METTL2A/METTL2B/METTL6/MOCS3/MTFMT/MTO1/NAT10/NSUN3/NSUN6/OSGEP/OSGEPL1/POP1/POP4/POP5/POP7/PUS1/PUS10/PUS3/PUS7/PUSL1/QNG1/QTRT1/QTRT2/RPP21/RPP25/RPP25L/RPP38/RPP40/RPUSD4/SARS1/SEPSECS/THADA/THUMPD2/TP53RK/TPRKB/TRMT1/TRMT10A/TRMT10B/TRMT112/TRMT13/TRMT1L/TRMT2A/TRMT2B/TRMT44/TRMT5/TRMT61A/TRMT61B/TRMU/TRNT1/TRPT1/TRUB1/TRUB2/TSEN2/TYW5/WDR6/ZBTB8OS",85
"GO:0007005","mitochondrion organization","235/7822","452/18986",0.519911504424779,1.26195855574135,4.71814754640128,1.81512716945534e-06,0.00165928553676353,0.00153999210376948,"ACAA2/ACAD9/AFG3L2/AGTPBP1/AIFM1/AIFM2/ALKBH7/AP3B1/ARMC1/ATAD3A/ATAD3B/ATP23/ATP2A1/ATP5F1D/ATP5IF1/ATPAF1/ATPAF2/AURKA/BAK1/BCL2A1/BCL2L1/BCL2L2/BCS1L/BHLHA15/BNIP3/BNIP3L/BOK/CAV2/CEP89/CERT1/CHCHD10/CHCHD4/CHCHD6/CHCHD7/CLN8/CLPP/CLU/CLUH/COA3/COA4/COA5/COA8/COL6A1/COX20/COX7A1/CTCF/CXADR/CYRIB/DCN/DDHD1/DMAC1/DMAC2/DNAJA3/DNAJC11/DNM1L/ENDOG/EP300/EPCIP/FANCG/FIS1/FMC1/FUNDC1/FZD9/GGCT/GOLPH3/GPER1/GSK3A/GSK3B/HAP1/HIGD1B/HMGCL/HSPA4/HSPA9/HSPD1/HTRA2/IFI27/IGF1/IMMT/IRGM/JTB/KAT2A/KIF5B/LETM2/LETMD1/LIPA/LMNA/LONP1/LRRK2/LYRM7/MAIP1/MAN2A1/MAPT/MARCHF5/MARCKS/MCL1/MEF2A/METTL4/MFN2/MFSD8/MGME1/MICOS13/MIEF1/MIEF2/MIGA2/MLLT11/MMP9/MSTO1/MTCH1/MTFP1/MTFR1/MTFR1L/MTX1/MTX2/MUL1/MYO19/NDUFA11/NDUFA12/NDUFA13/NDUFA2/NDUFA3/NDUFA8/NDUFA9/NDUFAF1/NDUFAF4/NDUFAF5/NDUFAF7/NDUFAF8/NDUFB1/NDUFB10/NDUFB11/NDUFB2/NDUFB3/NDUFB5/NDUFB7/NDUFB9/NDUFC1/NDUFC2/NDUFS1/NEURL4/NIPSNAP2/NME3/NOA1/NOS3/NPTX1/OMA1/OPA1/P2RX7/PARP1/PDE2A/PET100/PEX5/PGAM5/PHB1/PHB2/PISD/PLAUR/PLD6/PLSCR3/POLG/POLG2/PPARG/PPIF/PPP2CB/PRIMPOL/PRKACA/PRKN/PRMT6/PTCD2/PYCARD/PYROXD2/RAB29/RAB32/RAB3A/RAB5IF/RALA/RALBP1/RCC1L/RHOT2/RTL10/SAMM50/SCO1/SDHAF1/SDHAF2/SDHAF4/SESN2/SHARPIN/SIRT4/SIRT5/SIRT7/SLC25A33/SLC25A36/SLC25A46/SLC35F6/SMIM20/SNCA/SPIRE1/SSBP1/STOML2/STOX1/STPG1/SUPV3L1/SURF1/TACO1/TAFAZZIN/TFRC/THEM4/TIMM10B/TIMM13/TIMM21/TIMM22/TIMM8A/TIMM9/TMEM102/TMEM126B/TMEM135/TMEM14A/TMEM186/TMEM223/TMEM70/TOMM20/TOMM40/TOMM7/TP53/TRAK1/TRMT10B/TWNK/UQCC1/UQCC2/UQCC3/UQCC4/UQCC5/UQCC6/USP30/WASF1/ZDHHC6",235
"GO:0006399","tRNA metabolic process","116/7822","203/18986",0.571428571428571,1.38700368922818,4.64018117062082,3.0307814744674e-06,0.00231989307466661,0.00215310562131731,"AARS1/AARS2/ADAT3/ALKBH1/ALKBH8/ANKRD16/BCDIN3D/C2orf49/CLP1/CTU1/DALRD3/DARS1/DARS2/DDX1/DTD2/DTWD1/DUS1L/EARS2/ELAC1/ELP1/ELP3/ELP5/ELP6/EPRS1/EXOSC3/EXOSC8/FAM98A/FAM98B/FARSA/FTSJ1/GARS1/GATB/GON7/GRSF1/GTDC1/GTF3C2/GTF3C5/GTPBP3/HARS1/IARS1/IARS2/LAGE3/LARS1/LCMT2/LRRC47/LSM6/MARS2/METTL1/METTL2A/METTL2B/METTL6/MOCS3/MTFMT/MTO1/NARS2/NAT10/NSUN3/NSUN6/OSGEP/OSGEPL1/PARS2/POLR2F/POLR2L/POP1/POP4/POP5/POP7/PUS1/PUS10/PUS3/PUS7/PUSL1/QNG1/QRSL1/QTRT1/QTRT2/RPP21/RPP25/RPP25L/RPP38/RPP40/RPUSD4/SARS1/SEPSECS/TARS1/TARS2/TARS3/THADA/THUMPD2/TP53RK/TPRKB/TRMT1/TRMT10A/TRMT10B/TRMT112/TRMT13/TRMT1L/TRMT2A/TRMT2B/TRMT44/TRMT5/TRMT61A/TRMT61B/TRMU/TRNT1/TRPT1/TRUB1/TRUB2/TSEN2/TYW5/VARS1/WARS1/WDR6/YARS1/YARS2/ZBTB8OS",116
"GO:0009132","nucleoside diphosphate metabolic process","81/7822","133/18986",0.609022556390977,1.47825393194056,4.63285202182848,3.39484466208528e-06,0.00231989307466661,0.00215310562131731,"ADPGK/AK1/AK3/AK4/AK5/ALDOB/ALDOC/APP/ARL2/ARNT/BPGM/CAD/CBFA2T3/CMPK2/COL6A1/DDIT4/DHODH/DLG2/DTYMK/ENO1/ENO2/ENO3/ENO4/ENTPD1/ENTPD4/ENTPD7/ENTPD8/EP300/FKRP/FLCN/FOXK1/FOXK2/GALK1/GAPDH/GCK/GPD1/HDAC4/HIF1A/HK1/HKDC1/HTR2A/IGF1/INSR/JMJD8/LDHA/LIPA/LRGUK/MFSD8/MLXIPL/MPP1/MTOR/NCOR1/NT5E/NUDT18/NUDT5/NUDT7/NUDT9/NUPR1/OGDHL/P2RX7/PFKFB2/PFKFB3/PFKL/PFKM/PFKP/PGAM4/PGK1/PKLR/PKM/PPP2CA/PRKACA/PRKAG1/PSEN1/RRM2/SLC4A1/SRC/TJP2/TRIM63/UCHL1/UMPS/ZBTB20",81
"GO:0050852","T cell receptor signaling pathway","89/7822","149/18986",0.597315436241611,1.4498377489751,4.61421105345546,3.62539939782249e-06,0.00231989307466661,0.00215310562131731,"ABL1/BCL10/BRAF/BTN2A1/BTN3A2/BTN3A3/BTNL10P/BTNL8/BTNL9/CCR7/CD226/CD276/CD300A/CD3D/CD3E/CD3G/CD81/CD8B/CSK/CYLD/DENND1B/DGKZ/DUSP3/EIF2B1/EIF2B2/EIF2B3/EIF2B4/EIF2B5/ELF1/FCHO1/FOSL2/FOXP3/GATA3/GBP1/HLA-DQB1/HLA-DRB1/HRAS/ICOSLG/IKBKB/ITK/KCNN4/LAT/LCK/LGALS3/LIME1/LIPA/MAP3K7/NFKBID/NFKBIZ/PDE4B/PDE4D/PHPT1/PIK3CA/PLCG1/PLCG2/PRNP/PSEN1/PTPN2/PVRIG/RAB29/RC3H1/RELA/RIPK2/RNF31/RPS3/SH2D1A/SHB/SKAP1/SLA2/SPPL3/STK11/STOML2/TEC/TESPA1/THEMIS/THEMIS2/TNFRSF21/TRAC/TRAF6/TRAT1/TRBC1/TRBC2/TRDC/TRGC2/UBASH3A/UBR2/ZAP70/ZC3H12A/ZNF683",89
