"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0140098","catalytic activity, acting on RNA","215/7898","397/18737",0.541561712846348,1.28478625140567,4.89572485739912,7.57934676955898e-07,0.000643963519946721,0.000607257360441041,"AARS1/AARS2/ALKBH1/ALKBH3/ALKBH8/ANKZF1/APEX1/BCDIN3D/CMTR2/CNOT1/CNOT2/CNOT6L/CPSF3/CRCP/DALRD3/DARS1/DARS2/DBR1/DCP2/DDX1/DDX11L8/DDX17/DDX21/DDX23/DDX24/DDX31/DDX39B/DDX3X/DDX3Y/DDX46/DDX47/DDX50/DDX52/DDX55/DDX56/DDX6/DDX60L/DHX15/DHX16/DHX30/DHX32/DHX33/DHX36/DHX40/DHX8/DHX9/DIMT1/DIS3L/DTD2/DTWD1/DUS1L/DXO/EARS2/EIF4A1/EIF4A2/ELAC1/ENDOG/EPRS1/ERI2/ERN1/ETF1/EXD2/EXO1/EXOSC3/EXOSC5/FARSA/FDXACB1/FTSJ1/FTSJ3/GARS1/GATB/GTDC1/HARS1/HENMT1/IARS1/IARS2/IGHMBP2/INTS11/JMJD6/KHNYN/LACTB2/LARS1/LCMT2/LRRC47/MARS2/MBLAC1/MED20/MED21/METTL1/METTL14/METTL15P1/METTL25B/METTL2A/METTL2B/METTL3/METTL4/METTL5/METTL6/MRM1/MRPL58/MTFMT/NARS2/NOB1/NOCT/NOP2/NSUN3/NSUN5/NSUN5P1/NSUN5P2/NSUN6/NUDT16/NYNRIN/PAN2/PAN3/PARS2/PDE12/PIWIL2/PIWIL4/PLD6/PNLDC1/POLR1B/POLR1D/POLR1H/POLR2A/POLR2F/POLR2H/POLR2I/POLR2J3/POLR2L/POLR3B/POLR3F/POLR3K/POLRMT/POP1/POP4/POP5/POP7/PPP1R8/PRIM1/PRIMPOL/PSTK/PTRH2/PTRHD1/PUS1/PUS10/PUS3/PUS7/PUSL1/QRSL1/QTRT1/QTRT2/RAD54B/REXO2/RIDA/RIGI/RLIG1/RNASE3/RNASE4/RNASE7/RNASEH1/RNASEH2A/RNASEK/RNASEL/RNMT/RPP21/RPP25/RPP38/RPP40/RPUSD4/SARS1/SEPSECS/SKIC2/SLFN14/SLU7/SUPV3L1/TARS1/TARS2/TARS3/TDP2/TDRD12/TDRD9/TFB1M/TGS1/THUMPD2/TOE1/TRMT1/TRMT10A/TRMT10B/TRMT13/TRMT1L/TRMT2A/TRMT2B/TRMT44/TRMT5/TRMT61A/TRMT61B/TRMU/TRNT1/TRPT1/TRUB1/TRUB2/TSEN2/TSR3/TUT1/TUT7/TYW5/USB1/VARS1/WARS1/XRN1/YARS1/YARS2/YBEY/ZC3H12A/ZC3H12B",215
"GO:0016741","transferase activity, transferring one-carbon groups","126/7898","216/18737",0.583333333333333,1.38388410568076,4.84392250051138,1.08241344037423e-06,0.000643963519946721,0.000607257360441041,"ALKBH8/AMT/ANTKMT/ARMT1/ASH1L/ATIC/ATPSCKMT/BCDIN3D/CAD/CARM1/CARNMT1/CMTR2/COMTD1/COQ3/COQ5/CSKMT/DIMT1/DNMT1/DNMT3B/DPH5/EEF1AKMT1/EEF1AKMT3/EEF1AKMT4/EEF2KMT/EHMT2/EZH1/EZH2/FAM86B1/FAM86B2/FAM86C2P/FAM98A/FAM98B/FBXO11/FDXACB1/FTSJ1/FTSJ3/GAMT/GART/GATM/GCSH/HEMK1/HENMT1/ICMT/INMT/JARID2/KMT2C/KMT2D/KMT5A/KMT5B/KMT5C/LCMT1/LCMT2/METTL1/METTL13/METTL14/METTL15P1/METTL18/METTL21A/METTL23/METTL25/METTL25B/METTL2A/METTL2B/METTL3/METTL4/METTL5/METTL6/MGMT/MRM1/MTFMT/N6AMT1/NDUFAF5/NDUFAF7/NNMT/NOP2/NSD1/NSUN3/NSUN5/NSUN5P1/NSUN5P2/NSUN6/PCMTD2/PEMT/PRDM1/PRDM10/PRDM2/PRDM5/PRDM6/PRDM7/PRDM8/PRMT1/PRMT2/PRMT6/PRMT9/RNMT/SETBP1/SETD2/SETD4/SETD6/SETD7/SETD9/SETDB2/SHMT1/SHMT2/SIRT7/SMYD2/SMYD3/SMYD4/SUV39H2/TFB1M/TGS1/THUMPD2/TMT1B/TRMT1/TRMT10A/TRMT10B/TRMT112/TRMT13/TRMT1L/TRMT2A/TRMT2B/TRMT44/TRMT5/TRMT61A/TRMT61B/WDR5",126
"GO:0003714","transcription corepressor activity","120/7898","205/18737",0.585365853658537,1.38870600151937,4.77682604661965,1.51283520739245e-06,0.000643963519946721,0.000607257360441041,"AASS/AJUBA/APEX1/ARID5A/ARK2N/ASAH1/BCL3/BCOR/BEND6/BTG2/C1D/C1QBP/CASP8AP2/CBFA2T2/CBFA2T3/CBX4/CCAR1/CDYL2/CHD4/CITED2/COPS2/CREBBP/CRYM/CTBP1/DAXX/DHRS7B/DMAP1/DNMT3B/DPF2/EID2B/ELANE/ENO1/EZH1/EZH2/FHL2/FOXP3/GMNN/HDAC1/HDAC7/HIPK2/HMGA2/HMGB1/HSBP1/ID1/ID2/ID3/IRF2BP1/JAZF1/KCTD1/KDM5B/KMT5A/LCOR/MECP2/MIDEAS/MIER1/MIER2/MIER3/MTA1/MYBBP1A/N4BP2L2/NAB2/NCOA5/NCOR1/NCOR2/NOC2L/NPAT/NRIP1/NSD1/PA2G4/PARP10/PARP14/PARP9/PBXIP1/PEX14/PFDN5/PHB1/PHF12/PIAS1/PIAS4/PPP1R13L/PRDM8/PRKN/RB1/RBBP8/RCOR1/RCOR3/RERE/RIOX2/RLIM/RUVBL2/SF1/SFMBT2/SIRT1/SMARCA4/SPEN/SRSF2/TAF9B/TBL1X/TBL1XR1/TCP10L/TDP2/TLE2/TLE3/TLE5/TLE6/TOB1/TOB2/TRIM22/TRIM28/URI1/UXT/YAF2/YAP1/YEATS2/ZFPM1/ZFPM2/ZNF354B/ZNF451/ZNF541/ZNF653",120
"GO:0140101","catalytic activity, acting on a tRNA","86/7898","139/18737",0.618705035971223,1.46779896923181,4.72537124726153,2.06304792897889e-06,0.000658628051326511,0.000621086008092593,"AARS1/AARS2/ALKBH1/ALKBH8/ANKZF1/BCDIN3D/DALRD3/DARS1/DARS2/DTD2/DTWD1/DUS1L/EARS2/ELAC1/EPRS1/ETF1/FARSA/FTSJ1/GARS1/GATB/GTDC1/HARS1/IARS1/IARS2/LARS1/LCMT2/LRRC47/MARS2/METTL1/METTL2A/METTL2B/METTL6/MRPL58/MTFMT/NARS2/NSUN3/NSUN6/PARS2/POP1/POP4/POP5/POP7/PSTK/PTRH2/PTRHD1/PUS1/PUS10/PUS3/PUS7/PUSL1/QRSL1/QTRT1/QTRT2/RPP21/RPP25/RPP38/RPP40/RPUSD4/SARS1/SEPSECS/TARS1/TARS2/TARS3/THUMPD2/TRMT1/TRMT10A/TRMT10B/TRMT13/TRMT1L/TRMT2A/TRMT2B/TRMT44/TRMT5/TRMT61A/TRMT61B/TRMU/TRNT1/TRPT1/TRUB1/TRUB2/TSEN2/TYW5/VARS1/WARS1/YARS1/YARS2",86
"GO:0008757","S-adenosylmethionine-dependent methyltransferase activity","100/7898","169/18737",0.591715976331361,1.40377085952402,4.50088748443488,5.70753356377126e-06,0.00145770407218718,0.00137461439935881,"ALKBH8/ANTKMT/ARMT1/ASH1L/ATPSCKMT/CARM1/CARNMT1/CMTR2/COMTD1/COQ3/CSKMT/DIMT1/DNMT1/DNMT3B/DPH5/EEF1AKMT1/EEF1AKMT3/EEF1AKMT4/EEF2KMT/EHMT2/EZH1/EZH2/FAM86B1/FAM86B2/FBXO11/FDXACB1/FTSJ1/FTSJ3/GAMT/HEMK1/ICMT/INMT/JARID2/KMT2C/KMT2D/KMT5A/KMT5B/KMT5C/LCMT1/METTL1/METTL13/METTL14/METTL15P1/METTL18/METTL21A/METTL23/METTL25B/METTL2A/METTL2B/METTL3/METTL4/METTL5/METTL6/MRM1/N6AMT1/NDUFAF5/NDUFAF7/NNMT/NOP2/NSD1/NSUN3/NSUN5/NSUN5P1/NSUN5P2/NSUN6/PCMTD2/PEMT/PRDM2/PRDM6/PRDM7/PRDM8/PRMT1/PRMT2/PRMT6/PRMT9/RNMT/SETBP1/SETD2/SETD4/SETD6/SETD7/SETD9/SETDB2/SMYD2/SMYD3/SUV39H2/TFB1M/TGS1/THUMPD2/TMT1B/TRMT1/TRMT10A/TRMT10B/TRMT1L/TRMT2A/TRMT2B/TRMT5/TRMT61A/TRMT61B/WDR5",100
"GO:0008168","methyltransferase activity","117/7898","205/18737",0.570731707317073,1.35398835148139,4.3501792381561,1.08716280085582e-05,0.00231384482782147,0.00218195481434922,"ALKBH8/ANTKMT/ARMT1/ASH1L/ATPSCKMT/BCDIN3D/CARM1/CARNMT1/CMTR2/COMTD1/COQ3/COQ5/CSKMT/DIMT1/DNMT1/DNMT3B/DPH5/EEF1AKMT1/EEF1AKMT3/EEF1AKMT4/EEF2KMT/EHMT2/EZH1/EZH2/FAM86B1/FAM86B2/FAM86C2P/FAM98A/FAM98B/FBXO11/FDXACB1/FTSJ1/FTSJ3/GAMT/HEMK1/HENMT1/ICMT/INMT/JARID2/KMT2C/KMT2D/KMT5A/KMT5B/KMT5C/LCMT1/LCMT2/METTL1/METTL13/METTL14/METTL15P1/METTL18/METTL21A/METTL23/METTL25/METTL25B/METTL2A/METTL2B/METTL3/METTL4/METTL5/METTL6/MGMT/MRM1/N6AMT1/NDUFAF5/NDUFAF7/NNMT/NOP2/NSD1/NSUN3/NSUN5/NSUN5P1/NSUN5P2/NSUN6/PCMTD2/PEMT/PRDM1/PRDM10/PRDM2/PRDM5/PRDM6/PRDM7/PRDM8/PRMT1/PRMT2/PRMT6/PRMT9/RNMT/SETBP1/SETD2/SETD4/SETD6/SETD7/SETD9/SETDB2/SIRT7/SMYD2/SMYD3/SMYD4/SUV39H2/TFB1M/TGS1/THUMPD2/TMT1B/TRMT1/TRMT10A/TRMT10B/TRMT112/TRMT13/TRMT1L/TRMT2A/TRMT2B/TRMT44/TRMT5/TRMT61A/TRMT61B/WDR5",117
"GO:0030695","GTPase regulator activity","249/7898","491/18737",0.507128309572301,1.20309738369919,3.89281383510289,6.57000517809016e-05,0.0104873707655264,0.00988958674175677,"ABR/ACAP1/ACAP2/ACAP3/ADAP2/AGAP2/AGAP5/AGAP7P/AGFG1/AGFG2/AKAP13/ALS2CL/ANKRD27/ARAP2/ARF4/ARFGEF3/ARHGAP11A/ARHGAP18/ARHGAP21/ARHGAP22/ARHGAP23/ARHGAP24/ARHGAP25/ARHGAP26/ARHGAP27/ARHGAP29/ARHGAP31/ARHGAP32/ARHGAP33/ARHGAP35/ARHGAP4/ARHGAP42/ARHGAP44/ARHGAP45/ARHGAP6/ARHGAP8/ARHGAP9/ARHGDIA/ARHGEF1/ARHGEF12/ARHGEF17/ARHGEF18/ARHGEF19/ARHGEF2/ARHGEF33/ARHGEF38/ARHGEF39/ARHGEF4/ASAP1/ASAP2/BNIP2/C9orf72/CCDC88A/CHML/CHN1/CHN2/CPEB2/CYTH2/DENND10/DENND1A/DENND1B/DENND1C/DENND2B/DENND2D/DENND4A/DENND4B/DENND5A/DENND6A/DEPDC1/DEPDC1B/DLC1/DNAJA3/DNM1L/DNMBP/DOCK1/DOCK11/DOCK2/DOCK4/DOCK5/DOCK9/EEF1B2/EEF1D/EGF/EIF2B1/EIF2B2/EIF2B3/EIF2B4/EIF2B5/EIF5/ELMOD2/EPS8L1/EPS8L2/ERRFI1/EVI5/EVI5L/FAM13A/FAM13B/FARP2/FBXO8/FGD1/FGD3/FGD4/FGD6/FLCN/GAPVD1/GBF1/GDPGP1/GIT2/GMIP/GNA13/GNAQ/GPS1/GRB2/HMGCR/HPS1/HTR2B/IQGAP1/IQGAP2/IQGAP3/IQSEC1/IQSEC2/IQSEC3/ITGB1BP1/ITSN1/ITSN2/LAMTOR4/LARS1/LRRK2/MCF2L/MON1A/MTSS2/NCKAP1L/NET1/NF1/NPRL2/NRP1/NUCB2/OBSCN/OPHN1/PCP2/PDE6D/PGAM5/PLCB1/PLCE1/PLCG1/PLEKHG3/PLEKHG4/PLEKHG4B/PLEKHG5/PREB/PSD3/PSD4/RAB3GAP1/RAB3IL1/RAB3IP/RABGEF1/RABIF/RACGAP1/RALBP1/RALGAPA2/RANBP3/RANGAP1/RANGRF/RAP1GAP/RAP1GAP2/RAPGEF1/RAPGEF2/RAPGEF5/RAPGEF6/RASA2/RASAL1/RASAL2/RASAL3/RASGEF1B/RASGRF1/RASGRF2/RASGRP2/RCC1/RCC1L/RCC2/RGL2/RGPD2/RGPD3/RGPD5/RGPD6/RGPD8/RGS1/RGS14/RGS2/RGS20/RGS3/RGS6/RGS7/RHOH/RHOU/RIC1/RIC8B/RIN2/RINL/RP2/RUNDC3A/SBF1/SBF2/SEC23B/SERGEF/SESN2/SGSM2/SGSM3/SH2D3A/SH3BP4/SH3BP5/SH3BP5L/SIPA1/SIPA1L1/SIPA1L2/SLIT2/SMAP1/SMCR8/SOS1/SRGAP1/SRGAP2/STARD8/SYDE1/SYNGAP1/TAGAP/TBC1D10B/TBC1D10C/TBC1D12/TBC1D13/TBC1D14/TBC1D15/TBC1D17/TBC1D2/TBC1D24/TBC1D2B/TBC1D30/TBC1D3E/TBC1D3I/TBC1D4/TBC1D5/TBC1D8/TBCD/TBCK/TRIO/TSC2/USP6NL/VAV3/WASL/WDR41",249
"GO:0060589","nucleoside-triphosphatase regulator activity","249/7898","491/18737",0.507128309572301,1.20309738369919,3.89281383510289,6.57000517809016e-05,0.0104873707655264,0.00988958674175677,"ABR/ACAP1/ACAP2/ACAP3/ADAP2/AGAP2/AGAP5/AGAP7P/AGFG1/AGFG2/AKAP13/ALS2CL/ANKRD27/ARAP2/ARF4/ARFGEF3/ARHGAP11A/ARHGAP18/ARHGAP21/ARHGAP22/ARHGAP23/ARHGAP24/ARHGAP25/ARHGAP26/ARHGAP27/ARHGAP29/ARHGAP31/ARHGAP32/ARHGAP33/ARHGAP35/ARHGAP4/ARHGAP42/ARHGAP44/ARHGAP45/ARHGAP6/ARHGAP8/ARHGAP9/ARHGDIA/ARHGEF1/ARHGEF12/ARHGEF17/ARHGEF18/ARHGEF19/ARHGEF2/ARHGEF33/ARHGEF38/ARHGEF39/ARHGEF4/ASAP1/ASAP2/BNIP2/C9orf72/CCDC88A/CHML/CHN1/CHN2/CPEB2/CYTH2/DENND10/DENND1A/DENND1B/DENND1C/DENND2B/DENND2D/DENND4A/DENND4B/DENND5A/DENND6A/DEPDC1/DEPDC1B/DLC1/DNAJA3/DNM1L/DNMBP/DOCK1/DOCK11/DOCK2/DOCK4/DOCK5/DOCK9/EEF1B2/EEF1D/EGF/EIF2B1/EIF2B2/EIF2B3/EIF2B4/EIF2B5/EIF5/ELMOD2/EPS8L1/EPS8L2/ERRFI1/EVI5/EVI5L/FAM13A/FAM13B/FARP2/FBXO8/FGD1/FGD3/FGD4/FGD6/FLCN/GAPVD1/GBF1/GDPGP1/GIT2/GMIP/GNA13/GNAQ/GPS1/GRB2/HMGCR/HPS1/HTR2B/IQGAP1/IQGAP2/IQGAP3/IQSEC1/IQSEC2/IQSEC3/ITGB1BP1/ITSN1/ITSN2/LAMTOR4/LARS1/LRRK2/MCF2L/MON1A/MTSS2/NCKAP1L/NET1/NF1/NPRL2/NRP1/NUCB2/OBSCN/OPHN1/PCP2/PDE6D/PGAM5/PLCB1/PLCE1/PLCG1/PLEKHG3/PLEKHG4/PLEKHG4B/PLEKHG5/PREB/PSD3/PSD4/RAB3GAP1/RAB3IL1/RAB3IP/RABGEF1/RABIF/RACGAP1/RALBP1/RALGAPA2/RANBP3/RANGAP1/RANGRF/RAP1GAP/RAP1GAP2/RAPGEF1/RAPGEF2/RAPGEF5/RAPGEF6/RASA2/RASAL1/RASAL2/RASAL3/RASGEF1B/RASGRF1/RASGRF2/RASGRP2/RCC1/RCC1L/RCC2/RGL2/RGPD2/RGPD3/RGPD5/RGPD6/RGPD8/RGS1/RGS14/RGS2/RGS20/RGS3/RGS6/RGS7/RHOH/RHOU/RIC1/RIC8B/RIN2/RINL/RP2/RUNDC3A/SBF1/SBF2/SEC23B/SERGEF/SESN2/SGSM2/SGSM3/SH2D3A/SH3BP4/SH3BP5/SH3BP5L/SIPA1/SIPA1L1/SIPA1L2/SLIT2/SMAP1/SMCR8/SOS1/SRGAP1/SRGAP2/STARD8/SYDE1/SYNGAP1/TAGAP/TBC1D10B/TBC1D10C/TBC1D12/TBC1D13/TBC1D14/TBC1D15/TBC1D17/TBC1D2/TBC1D24/TBC1D2B/TBC1D30/TBC1D3E/TBC1D3I/TBC1D4/TBC1D5/TBC1D8/TBCD/TBCK/TRIO/TSC2/USP6NL/VAV3/WASL/WDR41",249
"GO:0140993","histone modifying activity","223/7898","438/18737",0.509132420091324,1.20785188088771,3.75733338165689,0.000113788278594743,0.0159391954181118,0.0150306553668713,"AATK/ANKK1/ANTKMT/ARAF/ASH1L/ATPSCKMT/AURKA/BAP1/BAZ1B/BMP2K/BRAF/BRCA2/BRPF1/BRSK2/BUB1/BUB1B/C8orf44-SGK3/CARM1/CDC42BPA/CDC42BPB/CDC42BPG/CDC7/CDK1/CHEK1/CILK1/CIT/CREBBP/CSNK1A1/CSNK1D/CSNK1G1/CSNK1G2/CSNK1G3/CSNK2A3/DAPK3/DCLK3/DYRK1A/EEF1AKMT1/EEF1AKMT3/EEF2KMT/EHMT2/EIF2AK1/EIF2AK2/EIF2AK3/EIF2AK4/EP300/ERN1/EZH1/EZH2/GSK3A/GSK3B/GTF2B/HASPIN/HDAC1/HDAC10/HDAC11/HDAC4/HDAC5/HDAC6/HDAC7/HIPK1/HIPK2/HUNK/IKBKB/ING3/ING4/JADE2/JAK2/JARID2/JMJD1C/JMJD6/KAT14/KAT2A/KAT5/KAT6A/KAT6B/KAT7/KDM1B/KDM2A/KDM3A/KDM4D/KDM5B/KDM5C/KDM5D/KDM6A/KDM7A/KMT2C/KMT2D/KMT5A/KMT5B/KMT5C/LATS2/LIMK1/LIMK2/LMTK2/LMTK3/LRRK1/LRRK2/MAP3K7/MAP4K2/MAP4K3/MAP4K4/MAPKAPK2/MAST2/MEAF6/METTL21A/METTL23/MIER1/MIER2/MKNK1/MKNK2/MTOR/MYSM1/N6AMT1/NAA40/NAA50/NCOA1/NCOA3/NEK11/NEK2/NEK4/NEK8/NEK9/NIM1K/NSD1/NUAK1/NUAK2/OBSCN/PAK4/PASK/PCGF3/PCGF5/PDIK1L/PIK3CA/PIK3CG/PIK3R4/PIM3/PKM/PKMYT1/PKN1/PRDM2/PRDM6/PRDM7/PRDM8/PRKCB/PRKX/PRKY/PRMT1/PRMT2/PRMT6/PRMT9/PSKH1/RAF1/RIOK2/RIOK3/RIOX1/RIOX2/RIPK1/RIPK2/RIPK4/RNF168/RNF20/ROCK1/ROCK2/RPS6KA2/RPS6KL1/RSBN1/RSKR/SBK1/SETBP1/SETD2/SETD4/SETD7/SETDB2/SIK1/SIRT1/SIRT3/SIRT4/SIRT7/SMYD2/SMYD3/SNRK/SPEG/SRCAP/SRPK1/SRPK3/STK11/STK17A/STK17B/STK25/STK32B/STK36/STK38/STK4/STK40/SUDS3/SUV39H2/TADA2A/TAF1L/TAOK1/TAOK2/TAOK3/TBK1/TGM2/TLK2/TNNI3K/TP53RK/TRIO/TSSK4/TSSK6/TTBK2/UBR2/UHMK1/ULK3/USP16/USP3/USP36/USP49/USP51/UTY/VRK2/WDR5/WNK2/WNK3",223
"GO:0000049","tRNA binding","51/7898","81/18737",0.62962962962963,1.49371617756019,3.80113239277437,0.000124817505231886,0.0159391954181118,0.0150306553668713,"AARS1/AARS2/ALKBH1/ALKBH8/C6orf52/CTU1/DALRD3/DARS2/DTD2/EARS2/EEFSEC/EIF1AX/EIF1AY/EIF2AK4/EIF2S3/EIF2S3B/EIF5B/ELP1/ELP3/ELP5/FARSA/GTPBP1/IARS1/IARS2/IFIT5/IGHMBP2/METTL1/MTRES1/MTRFR/NAT10/NEMF/NSUN3/NSUN6/PSTK/PUS1/QTRT2/RPUSD4/SARS1/SEPSECS/TARS1/TRMT1/TRMT10A/TRMT10B/TRMT1L/TRMU/TRNAU1AP/TRNT1/TYW5/WDR6/YARS1/YARS2",51
