"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Energy metabolism","hsa00190","Oxidative phosphorylation","77/2428","138/9397",0.557971014492754,2.15949490246639,8.09910366568369,5.32153073994492e-14,1.84657116676089e-11,1.54604472023663e-11,"498/506/509/513/516/518/521/9551/10632/267020/515/10476/522/539/50617/245972/8992/155066/51382/529/9296/9550/51606/1352/1353/10063/9377/1329/1337/1345/1347/1351/1537/54205/64077/126328/55967/51079/4695/4696/4697/4698/4700/4702/4704/4706/4707/4716/54539/4708/4709/4710/4711/4712/4713/4714/4715/4717/4718/4720/4722/4724/4725/4726/374291/4728/4723/27068/6389/6390/6392/10312/29796/10975/7384/7386/27089",77
"Human Diseases","Neurodegenerative disease","hsa05012","Parkinson disease","122/2428","271/9397",0.450184501845018,1.7423326869183,7.31903139971595,3.40461173990248e-12,5.9070013687308e-10,4.94564652743728e-10,"11047/498/506/509/513/516/518/515/10476/522/539/801/805/815/836/9377/1329/1337/1345/1347/1351/1537/54205/1616/1813/1965/2770/2774/27429/9817/64837/4128/4129/5601/90550/126328/55967/51079/4695/4696/4697/4698/4700/4702/4704/4706/4707/4716/54539/4708/4709/4710/4711/4712/4713/4714/4715/4717/4718/4720/4722/4724/4725/4726/374291/4728/4723/11315/65018/5567/5071/5682/5686/5688/143471/5689/5691/5693/5694/5701/5702/5704/5705/5707/5719/10213/5708/5710/5714/6389/6390/6392/291/293/57181/91252/23516/29985/55630/25800/64116/6531/6647/10376/7277/7280/347733/10382/10383/84617/25828/118424/7332/9246/29796/10975/7384/7386/27089/7416/7419/7494",122
"Human Diseases","Neurodegenerative disease","hsa05014","Amyotrophic lateral sclerosis","153/2428","371/9397",0.412398921832884,1.59609253231615,6.91454463354462,2.97153203202566e-11,3.43707205037635e-09,2.87769417838275e-09,"60/71/55860/10121/11047/310/60673/9776/498/506/509/513/516/518/515/10476/522/539/6311/572/836/9973/400916/9377/1329/1337/1345/1347/1351/1537/54205/1616/1639/10540/11258/79139/1767/1769/10126/1965/2066/2733/2882/2902/9001/64837/81631/5606/90550/55706/126328/55967/51079/4695/4696/4697/4698/4700/4702/4704/4706/4707/4716/54539/4708/4709/4710/4711/4712/4713/4714/4715/4717/4718/4720/4722/4724/4725/4726/374291/4728/4723/4842/9542/57122/55746/23279/23511/23165/129401/79023/23636/79902/4927/9688/29107/55916/10133/5216/5217/375189/30849/65018/5533/5071/5682/5686/5688/143471/5689/5691/5693/5694/5701/5702/5704/5705/5707/5719/10213/5708/5710/5714/116442/8480/6389/6390/6392/6396/10280/6647/8878/6432/10452/7186/10376/7277/7280/347733/10382/10383/84617/29978/29796/10975/7384/7386/27089/9217/7415/7416/26100/7494",153
"Human Diseases","Neurodegenerative disease","hsa05016","Huntington disease","129/2428","311/9397",0.414790996784566,1.60535049290962,6.40783531555883,7.14343102262704e-10,6.19692641212896e-08,5.18838674275017e-08,"55860/10121/11047/1173/60673/9776/498/506/509/513/516/518/515/10476/522/539/836/1211/1212/1213/9377/1329/1337/1345/1347/1351/10488/84699/148327/1537/54205/1639/10540/11258/1767/1769/10126/2882/2902/9001/3065/3066/55081/64837/5601/126328/55967/51079/4695/4696/4697/4698/4700/4702/4704/4706/4707/4716/54539/4708/4709/4710/4711/4712/4713/4714/4715/4717/4718/4720/4722/4724/4725/4726/374291/4728/4723/4899/30849/5434/5435/5436/5437/5438/5440/5441/5682/5686/5688/143471/5689/5691/5693/5694/5701/5702/5704/5705/5707/5719/10213/5708/5710/5714/6389/6390/6392/291/293/6647/6875/6908/9519/7186/10376/7277/7280/347733/10382/10383/84617/29796/10975/7384/7386/27089/7416/7419/26100",129
"Organismal Systems","Environmental adaptation","hsa04714","Thermogenesis","103/2428","235/9397",0.438297872340426,1.69632829752182,6.38062828697842,1.08674304108568e-09,7.54199670513464e-08,6.31454903872945e-08,"2181/51703/60/71/86/1386/498/506/509/513/516/518/521/9551/10632/267020/515/10476/522/539/28958/51287/493753/388753/1352/1353/84987/51241/10063/90639/9377/1329/1337/1345/1347/1351/126129/1376/10488/84699/148327/1537/8193/2260/3265/3991/5606/64223/126328/55967/51079/4695/4696/4697/4698/4700/4702/4704/4706/51103/25915/29078/55471/284184/4707/4716/54539/4708/4709/4710/4711/4712/4713/4714/4715/4717/4718/4720/4722/4724/4725/4726/374291/4728/4723/5564/5567/6009/6196/6199/6389/6390/6392/788/6597/6601/6603/7249/29796/10975/7384/7386/27089",103
"Metabolism","Global and overview maps","hsa01240","Biosynthesis of cofactors","72/2428","154/9397",0.467532467532468,1.80947388690387,5.97815732679959,1.40553998262687e-08,7.61976202630401e-07,6.3796581806762e-07,"159/203/50808/102157402/122481/221264/211/219/587/790/51727/129607/80347/51805/84274/10229/1352/1371/56474/200895/1738/124454/2058/2235/80308/2730/8836/29925/10243/2937/2990/3145/8630/51601/387787/27430/326625/4337/4338/4351/25902/133686/93100/9054/4830/4832/4833/10201/29922/349565/1728/54995/53354/80025/57026/493911/5372/55163/79717/5498/29968/51109/55312/6470/7358/7360/79799/7364/7372/7389/7390/79001",72
"Human Diseases","Neurodegenerative disease","hsa05020","Prion disease","114/2428","278/9397",0.410071942446043,1.58708650871724,5.86491204516459,1.53712778628611e-08,7.61976202630401e-07,6.3796581806762e-07,"11047/1386/498/506/509/513/516/518/515/10476/522/539/572/730/731/733/776/836/6352/9377/1329/1337/1345/1347/1351/10488/84699/148327/1535/1537/54205/1965/2534/2902/3304/3312/64837/5601/90550/126328/55967/51079/4695/4696/4697/4698/4700/4702/4704/4706/4707/4716/54539/4708/4709/4710/4711/4712/4713/4714/4715/4717/4718/4720/4722/4724/4725/4726/374291/4728/4723/8503/5533/5567/5621/5682/5686/5688/143471/5689/5691/5693/5694/5701/5702/5704/5705/5707/5719/10213/5708/5710/5714/6389/6390/6392/291/293/6647/10963/10376/7277/7280/347733/10382/10383/84617/29796/10975/7384/7386/27089/7416/7419",114
"Metabolism","Amino acid metabolism","hsa00280","Valine, leucine and isoleucine degradation","31/2428","48/9397",0.645833333333333,2.49954523613399,6.14763710608801,1.76685773950095e-08,7.66374544508539e-07,6.41648336976662e-07,"65985/10449/27034/34/35/36/38/39/219/4329/223/549/587/593/594/1738/1892/1962/3033/11112/26275/3155/3028/259307/3712/56922/84693/4594/5019/5095/5096",31
"Cellular Processes","Transport and catabolism","hsa04146","Peroxisome","45/2428","83/9397",0.542168674698795,2.09833568210238,5.93221162123128,3.1336187902322e-08,1.20818413356731e-06,1.01155413579426e-06,"225/5825/10005/8310/2181/51703/1384/54677/8528/26063/1891/10455/1962/8443/26061/3155/3417/3418/4358/84769/283927/196743/55825/5189/5192/8800/8799/92960/5193/5194/9409/5824/5828/8504/5191/5264/51268/10654/25824/5827/11264/6342/10478/11001/6647",45
"Metabolism","Glycan biosynthesis and metabolism","hsa00510","N-Glycan biosynthesis","32/2428","55/9397",0.581818181818182,2.25178972592482,5.49545187530157,3.61286526332425e-07,1.25366424637352e-05,1.04963243439736e-05,"56052/79087/199857/85365/10195/29880/29929/79053/8704/8703/1603/1650/207063/22845/57171/1798/8818/54344/2530/11253/57134/4245/4247/25834/146664/7841/58505/6184/6185/6480/3703/746",32
