"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Energy metabolism","hsa00190","Oxidative phosphorylation","27/526","138/9397",0.195652173913043,3.4953298065796,7.19057369927546,8.50081578004308e-09,2.72026104961379e-06,2.4249695540965e-06,"506/513/518/521/522/50617/9296/9377/1329/1337/1345/1537/4702/4706/4716/54539/4711/4713/4717/4718/4728/27068/6392/29796/10975/7386/27089",27
"Organismal Systems","Environmental adaptation","hsa04714","Thermogenesis","36/526","235/9397",0.153191489361702,2.73676886983254,6.56536536980737,2.76553727069669e-08,4.4248596331147e-06,3.94452947557264e-06,"86/506/513/518/521/522/28958/388753/84987/51241/9377/1329/1337/1345/1376/1537/3265/64223/4702/4706/25915/29078/284184/4716/54539/4711/4713/4717/4718/4728/5567/6392/29796/10975/7386/27089",36
"Metabolism","Global and overview maps","hsa01232","Nucleotide metabolism","18/526","85/9397",0.211764705882353,3.78318049653321,6.27635410597934,7.86294747664265e-07,8.28726353825646e-05,7.38765927259047e-05,"132/102157402/122481/353/1633/79077/1716/1841/2987/51020/3251/4832/4833/29922/30833/115024/4907/6240",18
"Human Diseases","Neurodegenerative disease","hsa05012","Parkinson disease","36/526","271/9397",0.132841328413284,2.37321285760386,5.58547819684725,1.03590794228206e-06,8.28726353825646e-05,7.38765927259047e-05,"506/513/518/522/9377/1329/1337/1345/1537/1616/1965/9817/4128/4702/4706/4716/54539/4711/4713/4717/4718/4728/5567/5686/5688/143471/10213/6392/91252/55630/6647/10382/29796/10975/7386/27089",36
"Metabolism","Amino acid metabolism","hsa00280","Valine, leucine and isoleucine degradation","12/526","48/9397",0.25,4.46625475285171,5.86241560089463,9.11243277208922e-06,0.000530393647069378,0.000472818020907242,"10449/34/35/39/219/4329/1892/1962/11112/26275/3155/4594",12
"Metabolism","Global and overview maps","hsa01212","Fatty acid metabolism","13/526","57/9397",0.228070175438596,4.07447802014542,5.66909152824513,1.14936652798681e-05,0.000530393647069378,0.000472818020907242,"10449/34/35/39/1376/1892/1962/51495/7923/27349/54995/79966/9524",13
"Cellular Processes","Transport and catabolism","hsa04146","Peroxisome","16/526","83/9397",0.192771084337349,3.44385908653626,5.44534219354026,1.16023610296426e-05,0.000530393647069378,0.000472818020907242,"1891/10455/1962/26061/3155/3418/84769/5192/8800/8799/5193/8504/5191/5264/11001/6647",16
"Metabolism","Nucleotide metabolism","hsa00240","Pyrimidine metabolism","13/526","58/9397",0.224137931034483,4.00422839910843,5.58823733854157,1.4069313065056e-05,0.00056277252260224,0.000501682084293445,"1633/79077/1807/1841/51020/4832/4833/29922/30833/115024/4907/6240/7372",13
"Metabolism","Lipid metabolism","hsa00071","Fatty acid degradation","11/526","43/9397",0.255813953488372,4.57012114245291,5.71342570654681,1.70162312626354e-05,0.000605021556004813,0.000539344873938501,"10449/34/35/39/219/1376/1892/1632/10455/1962/2639",11
"Human Diseases","Endocrine and metabolic disease","hsa04932","Non-alcoholic fatty liver disease","23/526","157/9397",0.146496815286624,2.6171683902061,4.97561961182561,1.9577680408525e-05,0.000626485773072801,0.000558479093758977,"840/9377/1329/1337/1345/1537/1965/356/4702/4706/4716/54539/4711/4713/4717/4718/4728/6392/7186/29796/10975/7386/27089",23
