"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0140053","mitochondrial gene expression","54/1250","169/18986",0.319526627218935,4.85322603550296,13.3574978548284,2.10724553827057e-23,1.02665002624542e-19,1.00083072301861e-19,"ALKBH1/AURKAIP1/C1QBP/COA3/DARS2/FASTK/FASTKD3/GADD45GIP1/MPV17L2/MRPL10/MRPL11/MRPL12/MRPL13/MRPL14/MRPL15/MRPL17/MRPL18/MRPL21/MRPL34/MRPL35/MRPL36/MRPL37/MRPL39/MRPL40/MRPL41/MRPL43/MRPL50/MRPL55/MRPL57/MRPL58/MRPS12/MRPS14/MRPS17/MRPS18A/MRPS18B/MRPS2/MRPS23/MRPS26/MRPS30/MRPS34/MRPS6/MRPS7/MTERF3/MTO1/PNPT1/POLRMT/RCC1L/RPUSD3/TBRG4/TFB1M/THAP11/TRMT10C/TRMT5/YARS2",54
"GO:0032543","mitochondrial translation","45/1250","131/18986",0.343511450381679,5.21752671755725,12.8591626370909,3.71588878816081e-21,9.05190508795973e-18,8.82425800641135e-18,"ALKBH1/AURKAIP1/C1QBP/COA3/DARS2/FASTKD3/GADD45GIP1/MPV17L2/MRPL10/MRPL11/MRPL12/MRPL13/MRPL14/MRPL15/MRPL17/MRPL18/MRPL21/MRPL34/MRPL35/MRPL36/MRPL37/MRPL39/MRPL40/MRPL41/MRPL43/MRPL50/MRPL55/MRPL57/MRPL58/MRPS12/MRPS14/MRPS17/MRPS18A/MRPS18B/MRPS2/MRPS23/MRPS26/MRPS30/MRPS34/MRPS6/MRPS7/RCC1L/RPUSD3/TRMT10C/YARS2",45
"GO:0007005","mitochondrion organization","76/1250","452/18986",0.168141592920354,2.55386902654867,8.87629066268295,2.92614012525964e-14,4.75205156342166e-11,4.63254184041105e-11,"ACAA2/ALKBH7/APOO/ARMC1/ATP13A2/ATP23/ATP5F1D/ATP5IF1/ATPAF1/AURKA/CAMKMT/CHCHD4/CLPP/COA3/COA8/COL6A1/COX14/COX16/DMAC1/DMAC2/DNAJA3/ENDOG/FASTKD3/FMC1/HIGD1A/HMGCL/IFI27L2/JTB/LMNA/MICOS13/MIEF2/MTCH2/MTX2/NDUFA8/NDUFAB1/NDUFAF3/NDUFAF4/NDUFAF8/NDUFB10/NDUFB11/NDUFB5/NDUFB7/NDUFC1/NDUFC2/NDUFS8/NME3/NOA1/PARL/PNPT1/PRMT6/PSMD10/RALA/RCC1L/RHOT2/ROMO1/RRM1/SAMM50/SDHAF1/SDHAF2/SDHAF3/SHARPIN/SIRT4/STOML2/STPG1/TIMM13/TIMM21/TIMM22/TIMM8B/TMEM102/TMEM14A/TMEM223/UQCC3/UQCC4/UQCC6/UQCRFS1/VAT1",76
"GO:0045333","cellular respiration","52/1250","249/18986",0.208835341365462,3.17195823293173,9.15869468944357,6.79726799467045e-14,8.2790724175086e-11,8.07086136630344e-11,"ANTKMT/ARL2/ATP5F1B/ATP5F1D/ATP5IF1/ATP5ME/ATP5PF/CHCHD4/CHCHD5/CISD1/COA6/COL6A1/COQ9/COX5A/COX5B/COX6A1/COX6C/CYC1/DGUOK/DLAT/DNAJC30/HCCS/IDH2/MDH1/MDH2/MSH2/MTCO2P12/MTLN/NDUFA8/NDUFAB1/NDUFB10/NDUFB11/NDUFB5/NDUFB7/NDUFC1/NDUFC2/NDUFS8/PDHB/PNPT1/SDHAF2/SDHD/SLC25A22/SLC25A23/SLC35A4/STOML2/SUCLA2/UCN/UQCC3/UQCR10/UQCR11/UQCRFS1/UQCRQ",52
"GO:0097250","mitochondrial respirasome assembly","33/1250","114/18986",0.289473684210526,4.39675789473684,9.65696199808445,1.89588799823757e-13,1.84735326548269e-10,1.80089403116798e-10,"ATP23/ATP5F1D/ATPAF1/COA3/COA8/COX14/COX16/DMAC1/DMAC2/FASTKD3/FMC1/HIGD1A/NDUFA8/NDUFAB1/NDUFAF3/NDUFAF4/NDUFAF8/NDUFB10/NDUFB11/NDUFB5/NDUFB7/NDUFC1/NDUFC2/NDUFS8/SDHAF1/SDHAF2/SDHAF3/TIMM21/TMEM223/UQCC3/UQCC4/UQCC6/UQCRFS1",33
"GO:0009060","aerobic respiration","44/1250","200/18986",0.22,3.341536,8.8375349690862,8.74644474159973e-13,7.10211313017898e-10,6.92350152177158e-10,"ANTKMT/ARL2/ATP5F1B/ATP5F1D/ATP5IF1/ATP5ME/ATP5PF/COA6/COL6A1/COQ9/COX5A/COX5B/COX6A1/COX6C/CYC1/DGUOK/DLAT/DNAJC30/IDH2/MDH1/MDH2/MSH2/MTCO2P12/NDUFA8/NDUFAB1/NDUFB10/NDUFB11/NDUFB5/NDUFB7/NDUFC1/NDUFC2/NDUFS8/PDHB/SDHAF2/SDHD/SLC25A23/STOML2/SUCLA2/UCN/UQCC3/UQCR10/UQCR11/UQCRFS1/UQCRQ",44
"GO:0033108","mitochondrial respiratory chain complex assembly","30/1250","103/18986",0.29126213592233,4.42392233009709,9.24995217566249,1.98093153701572e-12,1.37872834976294e-09,1.34405460075412e-09,"CHCHD4/COA3/COA8/COX14/COX16/DMAC1/DMAC2/FASTKD3/NDUFA8/NDUFAB1/NDUFAF3/NDUFAF4/NDUFAF8/NDUFB10/NDUFB11/NDUFB5/NDUFB7/NDUFC1/NDUFC2/NDUFS8/SAMM50/SDHAF1/SDHAF2/SDHAF3/TIMM21/TMEM223/UQCC3/UQCC4/UQCC6/UQCRFS1",30
"GO:0042254","ribosome biogenesis","56/1250","317/18986",0.176656151419558,2.68319495268139,8.02298519191165,1.02898967402027e-11,6.26654711478343e-09,6.10894922260454e-09,"ABT1/AK6/BOP1/C1QBP/DDX28/DHX30/DIMT1/EBNA1BP2/EFL1/EIF4A3/EXOSC1/EXOSC5/FDXACB1/GEMIN4/GRWD1/GTF3A/IMP3/IMP4/LYAR/MCAT/METTL18/METTL5/MPV17L2/MRM1/MRM3/MRPS2/MRPS7/MTERF3/NHP2/NOA1/NOC4L/NSUN5/PAK1IP1/POP4/POP5/POP7/RAN/RCC1L/RIOK2/RPF2/RPP25/RPP38/RPP40/RPUSD1/RPUSD2/RRP1/RRP7A/SUV39H1/TBL3/TFB1M/TRMT112/TSR3/UTP11/UTP18/WDR18/ZNF622",56
"GO:0006119","oxidative phosphorylation","35/1250","149/18986",0.23489932885906,3.5678389261745,8.35386611358589,2.67848896802224e-11,1.44995536135604e-08,1.41349031856332e-08,"ANTKMT/ATP5F1B/ATP5F1D/ATP5IF1/ATP5ME/ATP5PF/COA6/COQ9/COX5A/COX5B/COX6A1/COX6C/CYC1/DGUOK/DNAJC30/MSH2/MTCO2P12/NDUFA8/NDUFAB1/NDUFB10/NDUFB11/NDUFB5/NDUFB7/NDUFC1/NDUFC2/NDUFS8/SDHAF2/SDHD/SLC25A23/STOML2/UQCC3/UQCR10/UQCR11/UQCRFS1/UQCRQ",35
"GO:0006399","tRNA metabolic process","41/1250","203/18986",0.201970443349754,3.06768866995074,7.86290728795526,9.10464091118856e-11,4.43578105193107e-08,4.32422524118766e-08,"ALKBH1/ANKRD16/BCDIN3D/CTU1/DARS1/DARS2/DTD1/DUS1L/ELAC1/ELP3/ELP5/FARS2/FARSA/GON7/GTF3C6/LAGE3/LRRC47/MOCS3/MTO1/OSGEPL1/PARS2/POLR2L/POP4/POP5/POP7/PUS3/PUSL1/QNG1/RPP25/RPP25L/RPP38/RPP40/RTCB/TP53RK/TRMT10C/TRMT112/TRMT2A/TRMT5/TRPT1/TYW1B/YARS2",41
"GO:0008033","tRNA processing","32/1250","135/18986",0.237037037037037,3.60030814814815,8.04927882645853,1.47080829079509e-10,6.51434362977607e-08,6.35051388331813e-08,"ALKBH1/ANKRD16/BCDIN3D/CTU1/DUS1L/ELAC1/ELP3/ELP5/FARS2/GON7/LAGE3/MOCS3/MTO1/OSGEPL1/POP4/POP5/POP7/PUS3/PUSL1/QNG1/RPP25/RPP25L/RPP38/RPP40/RTCB/TP53RK/TRMT10C/TRMT112/TRMT2A/TRMT5/TRPT1/TYW1B",32
"GO:0015980","energy derivation by oxidation of organic compounds","57/1250","356/18986",0.160112359550562,2.43191460674157,7.2404933334677,3.59726153488653e-10,1.46048818316393e-07,1.4237582495972e-07,"ACADM/ANTKMT/ARL2/ATP5F1B/ATP5F1D/ATP5IF1/ATP5ME/ATP5PF/CHCHD4/CHCHD5/CISD1/COA6/COL6A1/COMT/COQ9/COX5A/COX5B/COX6A1/COX6C/CYC1/DGUOK/DLAT/DNAJC30/GYS1/HCCS/IDH2/MDH1/MDH2/MSH2/MTCO2P12/MTLN/NDUFA8/NDUFAB1/NDUFB10/NDUFB11/NDUFB5/NDUFB7/NDUFC1/NDUFC2/NDUFS8/PDHB/PNPT1/POMC/PPP1R2P1/SDHAF2/SDHD/SLC25A22/SLC25A23/SLC35A4/STOML2/SUCLA2/UCN/UQCC3/UQCR10/UQCR11/UQCRFS1/UQCRQ",57
"GO:0022613","ribonucleoprotein complex biogenesis","70/1250","492/18986",0.142276422764228,2.1610081300813,6.9268351623256,7.80681844088451e-10,2.92575534184533e-07,2.85217528787619e-07,"ABT1/AK6/BOP1/C1QBP/DDX28/DHX30/DIMT1/EBNA1BP2/EFL1/EIF4A3/EXOSC1/EXOSC5/FDXACB1/GEMIN2/GEMIN4/GEMIN5/GEMIN6/GRWD1/GTF3A/IMP3/IMP4/LSM2/LSM4/LYAR/MCAT/METTL18/METTL5/MPV17L2/MRM1/MRM3/MRPS2/MRPS7/MTERF3/NHP2/NOA1/NOC4L/NSUN5/PAK1IP1/POP4/POP5/POP7/PRPF31/PUF60/RAN/RCC1L/RIOK2/RPF2/RPP25/RPP38/RPP40/RPUSD1/RPUSD2/RRP1/RRP7A/RUVBL1/RUVBL2/SHQ1/SNRPB/SNRPG/SUV39H1/TARBP2/TBL3/TFB1M/TRMT112/TSR3/TSSC4/UTP11/UTP18/WDR18/ZNF622",70
"GO:0009451","RNA modification","35/1250","173/18986",0.202312138728324,3.07287861271676,7.27110408665315,2.04347447068133e-09,7.11129115797104e-07,6.93244873061217e-07,"ALKBH1/ANKRD16/APOBEC3C/APOBEC3G/BCDIN3D/CTU1/DIMT1/DUS1L/ELP3/ELP5/FDXACB1/GON7/HENMT1/METTL5/MOCS3/MRM1/MRM3/MTO1/NHP2/NSUN5/OSGEPL1/PUS3/PUSL1/QNG1/RPUSD1/RPUSD2/RPUSD3/SNRPB/SNRPG/TFB1M/TRMT10C/TRMT112/TRMT5/TSR3/TYW1B",35
"GO:0006364","rRNA processing","41/1250","225/18986",0.182222222222222,2.76773688888889,7.08130596162902,2.36424862391781e-09,7.67907953048504e-07,7.48595774815238e-07,"ABT1/AK6/BOP1/DIMT1/EBNA1BP2/EIF4A3/EXOSC1/EXOSC5/FDXACB1/GEMIN4/IMP3/IMP4/LYAR/METTL18/METTL5/MRM1/MRM3/NHP2/NOC4L/NSUN5/PAK1IP1/POP4/POP5/POP7/RIOK2/RPF2/RPP25/RPP38/RPP40/RPUSD1/RPUSD2/RRP1/RRP7A/SUV39H1/TBL3/TFB1M/TRMT112/TSR3/UTP11/UTP18/WDR18",41
