"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0098798","mitochondrial protein-containing complex","53/1320","178/19960",0.297752808988764,4.50238338440586,12.4902746137762,2.71963613918307e-21,1.72968858452043e-18,1.56307508630943e-18,"APOO/AURKAIP1/DNAJC19/GADD45GIP1/ISCA2/MCUB/MICOS13/MPV17L2/MRPL10/MRPL11/MRPL12/MRPL13/MRPL14/MRPL15/MRPL17/MRPL18/MRPL21/MRPL34/MRPL35/MRPL36/MRPL37/MRPL39/MRPL40/MRPL41/MRPL43/MRPL50/MRPL55/MRPL57/MRPL58/MRPS12/MRPS14/MRPS17/MRPS18A/MRPS18B/MRPS2/MRPS23/MRPS26/MRPS30/MRPS34/MRPS6/MRPS7/MTX2/NDUFAB1/PNPT1/POLRMT/ROMO1/SAMM50/TIMM13/TIMM21/TIMM22/TIMM23/TIMM8B/TRMT10C",53
"GO:0000313","organellar ribosome","36/1320","88/19960",0.409090909090909,6.18595041322314,12.9742513524885,4.65899766050938e-20,9.87707504027989e-18,8.92565867592324e-18,"AURKAIP1/GADD45GIP1/MPV17L2/MRPL10/MRPL11/MRPL12/MRPL13/MRPL14/MRPL15/MRPL17/MRPL18/MRPL21/MRPL34/MRPL35/MRPL36/MRPL37/MRPL39/MRPL40/MRPL41/MRPL43/MRPL50/MRPL55/MRPL57/MRPL58/MRPS12/MRPS14/MRPS17/MRPS18A/MRPS18B/MRPS2/MRPS23/MRPS26/MRPS30/MRPS34/MRPS6/MRPS7",36
"GO:0005761","mitochondrial ribosome","36/1320","88/19960",0.409090909090909,6.18595041322314,12.9742513524885,4.65899766050938e-20,9.87707504027989e-18,8.92565867592324e-18,"AURKAIP1/GADD45GIP1/MPV17L2/MRPL10/MRPL11/MRPL12/MRPL13/MRPL14/MRPL15/MRPL17/MRPL18/MRPL21/MRPL34/MRPL35/MRPL36/MRPL37/MRPL39/MRPL40/MRPL41/MRPL43/MRPL50/MRPL55/MRPL57/MRPL58/MRPS12/MRPS14/MRPS17/MRPS18A/MRPS18B/MRPS2/MRPS23/MRPS26/MRPS30/MRPS34/MRPS6/MRPS7",36
"GO:0000315","organellar large ribosomal subunit","25/1320","56/19960",0.446428571428571,6.75054112554113,11.4674260022434,1.97759463600738e-15,2.51550037700139e-13,2.27319299212638e-13,"GADD45GIP1/MPV17L2/MRPL10/MRPL11/MRPL12/MRPL13/MRPL14/MRPL15/MRPL17/MRPL18/MRPL21/MRPL34/MRPL35/MRPL36/MRPL37/MRPL39/MRPL40/MRPL41/MRPL43/MRPL50/MRPL55/MRPL57/MRPL58/MRPS18A/MRPS30",25
"GO:0005762","mitochondrial large ribosomal subunit","25/1320","56/19960",0.446428571428571,6.75054112554113,11.4674260022434,1.97759463600738e-15,2.51550037700139e-13,2.27319299212638e-13,"GADD45GIP1/MPV17L2/MRPL10/MRPL11/MRPL12/MRPL13/MRPL14/MRPL15/MRPL17/MRPL18/MRPL21/MRPL34/MRPL35/MRPL36/MRPL37/MRPL39/MRPL40/MRPL41/MRPL43/MRPL50/MRPL55/MRPL57/MRPL58/MRPS18A/MRPS30",25
"GO:0044391","ribosomal subunit","37/1320","186/19960",0.198924731182796,3.00798305637015,7.3215435793195,1.335713668435e-09,1.4158564885411e-07,1.27947309292195e-07,"AURKAIP1/GADD45GIP1/MPV17L2/MRPL10/MRPL11/MRPL12/MRPL13/MRPL14/MRPL15/MRPL17/MRPL18/MRPL21/MRPL34/MRPL35/MRPL36/MRPL37/MRPL39/MRPL40/MRPL41/MRPL43/MRPL50/MRPL55/MRPL57/MRPL58/MRPS12/MRPS14/MRPS17/MRPS18A/MRPS18B/MRPS2/MRPS23/MRPS26/MRPS30/MRPS34/MRPS6/MRPS7/ZCCHC17",37
"GO:0042101","T cell receptor complex","32/1320","150/19960",0.213333333333333,3.22585858585859,7.28172647715249,2.84089678941265e-09,2.58115765438064e-07,2.33252578499144e-07,"CD3D/CD3G/CD8A/CD8B/TRAC/TRAV14DV4/TRAV19/TRAV22/TRAV29DV5/TRAV34/TRAV38-1/TRAV8-2/TRAV8-4/TRAV8-6/TRBC1/TRBC2/TRBJ2-5/TRBJ2-6/TRBJ2-7/TRBV11-2/TRBV11-3/TRBV13/TRBV30/TRBV4-1/TRBV4-2/TRBV5-3/TRBV5-6/TRBV7-9/TRBV9/TRGC2/TRGV11/TRGV2",32
"GO:0015934","large ribosomal subunit","26/1320","114/19960",0.228070175438596,3.44869750132908,6.97725299729139,2.00054990585172e-08,1.59043717515212e-06,1.437237169204e-06,"GADD45GIP1/MPV17L2/MRPL10/MRPL11/MRPL12/MRPL13/MRPL14/MRPL15/MRPL17/MRPL18/MRPL21/MRPL34/MRPL35/MRPL36/MRPL37/MRPL39/MRPL40/MRPL41/MRPL43/MRPL50/MRPL55/MRPL57/MRPL58/MRPS18A/MRPS30/ZCCHC17",26
"GO:0005840","ribosome","41/1320","245/19960",0.16734693877551,2.53048855905999,6.41428333060126,3.44503927430452e-08,2.43449442050853e-06,2.19998999271376e-06,"AURKAIP1/GADD45GIP1/MPV17L2/MRPL10/MRPL11/MRPL12/MRPL13/MRPL14/MRPL15/MRPL17/MRPL18/MRPL21/MRPL34/MRPL35/MRPL36/MRPL37/MRPL39/MRPL40/MRPL41/MRPL43/MRPL50/MRPL55/MRPL57/MRPL58/MRPS12/MRPS14/MRPS17/MRPS18A/MRPS18B/MRPS2/MRPS23/MRPS26/MRPS30/MRPS34/MRPS6/MRPS7/PELO/PNPT1/RNF14/RNF25/ZCCHC17",41
"GO:0000314","organellar small ribosomal subunit","12/1320","32/19960",0.375,5.67045454545455,7.03615960606124,4.34424569743292e-07,2.51176387597031e-05,2.26981641224725e-05,"AURKAIP1/MRPS12/MRPS14/MRPS17/MRPS18A/MRPS18B/MRPS2/MRPS23/MRPS26/MRPS34/MRPS6/MRPS7",12
