"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0140098","catalytic activity, acting on RNA","58/1309","397/18737",0.146095717884131,2.09121120396865,6.02266754712085,6.8180793390513e-08,6.40899457870823e-05,6.0070867439852e-05,"ALKBH1/ALKBH3/BCDIN3D/CMTR2/CPSF3/DARS1/DARS2/DDX28/DHX30/DHX32/DIMT1/DTD1/DUS1L/EIF4A3/ELAC1/ENDOG/EXD2/EXOSC5/FARS2/FARSA/FDXACB1/HENMT1/LACTB2/LRRC47/MBLAC1/MED20/METTL5/MRM1/MRM3/MRPL58/NSUN5/PARS2/PNPT1/POLR1B/POLR1H/POLR2I/POLR2L/POLR3K/POLRMT/POP4/POP5/POP7/PTRHD1/PUS3/PUSL1/RPP25/RPP38/RPP40/RTCB/TFB1M/TRMT10C/TRMT2A/TRMT5/TRPT1/TSR3/TUT1/TYW1B/YARS2",58
"GO:0008168","methyltransferase activity","36/1309","205/18737",0.175609756097561,2.51367456073338,5.97217855058719,2.54787124056819e-07,0.000104203603788093,9.76689992952226e-05,"ANTKMT/BCDIN3D/CAMKMT/CMTR2/COMT/COMTD1/COQ5/DIMT1/EEF1AKMT1/EEF1AKMT3/EEF1AKMT4/EEF2KMT/FDXACB1/GAMT/HENMT1/METTL13/METTL18/METTL23/METTL5/MGMT/MRM1/MRM3/N6AMT1/NNMT/NSUN5/PCMT1/PEMT/PRMT1/PRMT6/SMYD3/SUV39H1/TFB1M/TRMT10C/TRMT112/TRMT2A/TRMT5",36
"GO:0016741","transferase activity, transferring one-carbon groups","37/1309","216/18737",0.171296296296296,2.45193178281414,5.88200457925574,3.32564692940722e-07,0.000104203603788093,9.76689992952226e-05,"ANTKMT/BCDIN3D/CAMKMT/CMTR2/COMT/COMTD1/COQ5/DIMT1/EEF1AKMT1/EEF1AKMT3/EEF1AKMT4/EEF2KMT/FDXACB1/GAMT/GART/HENMT1/METTL13/METTL18/METTL23/METTL5/MGMT/MRM1/MRM3/N6AMT1/NNMT/NSUN5/PCMT1/PEMT/PRMT1/PRMT6/SMYD3/SUV39H1/TFB1M/TRMT10C/TRMT112/TRMT2A/TRMT5",37
"GO:0008757","S-adenosylmethionine-dependent methyltransferase activity","31/1309","169/18737",0.183431952662722,2.62564132699879,5.81795029330171,6.42704634460064e-07,0.000151035589098115,0.000141564152379756,"ANTKMT/CAMKMT/CMTR2/COMT/COMTD1/DIMT1/EEF1AKMT1/EEF1AKMT3/EEF1AKMT4/EEF2KMT/FDXACB1/GAMT/METTL13/METTL18/METTL23/METTL5/MRM1/MRM3/N6AMT1/NNMT/NSUN5/PCMT1/PEMT/PRMT1/PRMT6/SMYD3/SUV39H1/TFB1M/TRMT10C/TRMT2A/TRMT5",31
"GO:0140101","catalytic activity, acting on a tRNA","27/1309","139/18737",0.194244604316547,2.78041340800545,5.77403777990659,1.05215886209925e-06,0.00019780586607466,0.000185401466858332,"ALKBH1/BCDIN3D/DARS1/DARS2/DTD1/DUS1L/ELAC1/FARS2/FARSA/LRRC47/MRPL58/PARS2/POP4/POP5/POP7/PTRHD1/PUS3/PUSL1/RPP25/RPP38/RPP40/TRMT10C/TRMT2A/TRMT5/TRPT1/TYW1B/YARS2",27
"GO:0051540","metal cluster binding","18/1309","77/18737",0.233766233766234,3.34612522695028,5.65360182789437,4.36450682244553e-06,0.000683772735516466,0.000640893370243317,"CIAO3/CISD1/CISD2/CISD3/DPH2/ELP3/FDX1/GLRX5/GSTP1/ISCA2/MOCS1/NDUFS8/NFU1/NTHL1/NUBP2/POLD1/TYW1B/UQCRFS1",18
"GO:0051536","iron-sulfur cluster binding","17/1309","76/18737",0.223684210526316,3.20181134654819,5.2711324814231,1.49740987347171e-05,0.00169924008655922,0.00159268079781642,"CIAO3/CISD1/CISD2/CISD3/DPH2/ELP3/FDX1/GLRX5/ISCA2/MOCS1/NDUFS8/NFU1/NTHL1/NUBP2/POLD1/TYW1B/UQCRFS1",17
"GO:0009055","electron transfer activity","22/1309","116/18737",0.189655172413793,2.71472037090698,5.07697808056798,1.52057061512671e-05,0.00169924008655922,0.00159268079781642,"AKR1B1/AKR7A2/COX5A/COX5B/CYB5A/CYC1/FDX1/GFUS/MTCO2P12/NDUFA8/NDUFB10/NDUFB5/NDUFB7/NDUFC1/NDUFC2/NDUFS8/PHGDH/QDPR/SDHD/UQCR10/UQCR11/UQCRFS1",22
"GO:0008170","N-methyltransferase activity","20/1309","100/18737",0.2,2.86279602750191,5.11872487043863,1.62693199776947e-05,0.00169924008655922,0.00159268079781642,"ANTKMT/CAMKMT/DIMT1/EEF1AKMT1/EEF1AKMT3/EEF1AKMT4/EEF2KMT/FDXACB1/METTL13/METTL18/METTL23/METTL5/N6AMT1/NNMT/PEMT/PRMT1/PRMT6/SMYD3/SUV39H1/TFB1M",20
"GO:0033204","ribonuclease P RNA binding","6/1309","10/18737",0.6,8.58838808250573,6.57809156713104,1.88988531023173e-05,0.00177649219161783,0.00166508842596206,"POP4/POP5/POP7/RPP25/RPP38/RPP40",6
