"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","160/3426","333/9397",0.48048048048048,1.31788531088006,4.4737764208452,6.87281382735714e-06,0.00238486639809293,0.00158436445072759,"10000/324/472/535/155066/523/526/528/245973/9296/545/572/581/841/8900/890/894/9134/998/1019/1021/1147/1282/1284/1285/1286/1287/1288/1293/131873/1297/1299/92359/1385/10488/64764/84699/9586/1387/1452/122011/1499/1739/1740/1855/5610/1978/2033/355/2335/2308/8321/7976/7855/8323/8324/8325/8326/2932/3066/390992/57801/388585/55502/84667/3105/3107/3265/3381/3454/3455/3456/9641/3661/10379/9636/3672/22801/3673/3676/3680/3685/3688/3696/182/3716/3845/3908/3910/3912/22798/3915/3918/9223/84441/55534/5605/5594/4193/4242/2475/4790/9368/4853/4893/64398/50855/10207/5290/5291/5295/5515/5516/5518/5519/5520/5523/55012/5527/5529/5567/5663/5728/5734/5743/5747/5894/5925/5933/5934/3516/11317/5649/5986/6198/6654/6655/6696/6772/29110/6934/10312/7057/7058/7060/3371/7143/8717/7248/7337/23352/7422/7448/7481/51384/7482/54361/7474/7475/7479",160
"Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","144/3426","300/9397",0.48,1.31656742556918,4.22103936337954,2.09684924433302e-05,0.0035755079133551,0.00237535638715234,"10000/284/285/1386/627/673/774/775/776/777/8912/779/55799/783/785/10369/59283/998/1147/1398/1399/1436/1616/1843/11221/80824/1844/1845/1848/1852/51295/1942/1945/2005/355/2255/8822/8817/2247/8074/2252/2261/2321/2322/2353/10912/55970/3082/3265/3304/3315/3480/3553/3554/3556/3643/51135/4254/3845/8649/5605/6416/5608/4214/9175/10746/51776/84451/4216/4217/9064/6885/8491/9448/5594/5602/5600/1432/5599/23542/5601/8550/2122/4208/4233/8569/22808/4615/4763/4775/4790/4804/51701/4893/4902/4915/5058/5062/56034/5156/5321/8605/283748/255189/5494/5495/5530/5532/5534/5535/5567/5578/5579/5881/5894/5906/5908/9693/5921/5922/5923/5924/10125/25780/115727/6197/9252/6237/6654/6655/6788/6789/23118/57551/51347/7010/7042/7046/7048/8717/7186/7189/7422/7423",144
"Human Diseases","Cancer: overview","hsa05203","Viral carcinogenesis","103/3426","205/9397",0.502439024390244,1.37811427676448,4.14607015207497,3.1396916001985e-05,0.0035755079133551,0.00237535638715234,"1386/572/581/718/841/8900/890/894/9134/1232/998/983/1019/1021/1029/1030/1111/1385/10488/64764/84699/9586/1387/1654/1739/1959/1960/5610/2033/2957/2960/2966/8346/8970/85236/8340/8342/8341/8348/440689/8349/128312/3018/8347/3017/8344/8343/8339/8345/8362/8368/121504/8366/8360/8367/8361/8365/8294/79885/3066/9759/55869/9734/3105/3107/3190/3265/3572/3661/3665/10379/3716/8850/3845/4055/5594/4193/28973/4790/4893/5290/5291/5295/5567/5902/5922/5925/5933/5934/3516/11317/5966/6502/6672/6777/6850/8717/7186/7337/23352/7874/7532/7534",103
"Environmental Information Processing","Signal transduction","hsa04071","Sphingolipid signaling pathway","66/3426","122/9397",0.540983606557377,1.48383623783411,4.07439374578761,4.81596042424159e-05,0.0035755079133551,0.00237535638715234,"340485/140/10000/427/56624/581/596/624/204219/253782/1509/2207/9846/10672/2773/2776/3265/3827/3845/5605/4217/5594/5602/5600/1432/5599/5601/2206/4790/4893/8439/5170/5290/5291/5295/23236/5332/5337/5515/5516/5518/5519/5520/5523/55012/5527/5529/5578/5579/5581/5728/5881/5894/6093/9475/1903/8698/259230/166929/8879/130367/10558/9517/55304/8717/7186",66
"Human Diseases","Infectious disease: bacterial","hsa05135","Yersinia infection","73/3426","138/9397",0.528985507246377,1.45092726549743,4.04208688818621,5.2957494041385e-05,0.0035755079133551,0.00237535638715234,"10097/10096/653857/10000/23365/64283/8874/10458/9564/6347/998/1147/1398/1399/1793/9844/63916/2212/2335/2353/2533/9815/2776/2932/3456/3586/3606/3553/51135/3661/3676/3688/3932/3937/5605/6416/5608/6885/5594/5602/5600/1432/5599/5601/4210/4615/4775/4790/58484/114548/5290/5291/5295/8395/5585/5586/5747/29108/5881/6093/9475/6197/8935/23118/29110/7099/7186/7189/10451/10163/8976/7456/7535",73
"Organismal Systems","Immune system","hsa04613","Neutrophil extracellular trap formation","98/3426","196/9397",0.5,1.37142440163456,3.98036226624064,6.1824344323143e-05,0.0035755079133551,0.00237535638715234,"10000/366/10533/718/727/728/1182/1184/64581/1378/1379/1535/1536/2209/2212/2215/2266/2357/2358/2359/2811/79792/8969/8329/8330/8336/8338/317772/92815/8334/3012/55766/3014/3015/8346/8970/85236/8340/8342/8341/8348/440689/8349/128312/3018/8347/3017/8344/8343/8339/8345/440686/8357/8354/8356/653604/8353/340096/8362/8368/121504/8366/8360/8367/8361/8365/8294/8520/79885/3066/9759/55869/9734/9555/5605/6885/5594/5600/1432/4353/2475/4688/4790/5290/5291/5295/23236/5332/5336/5578/5579/5894/293/6850/7097/7099/51284/51311",98
"Organismal Systems","Endocrine system","hsa04935","Growth hormone synthesis, secretion and action","65/3426","122/9397",0.532786885245902,1.4613538705942,3.88506932295635,0.000100937450360648,0.005003613610735,0.00332410550811759,"107/55811/112/10000/1386/9564/775/776/779/1385/10488/64764/84699/9586/1387/1398/1399/2033/2353/51738/2767/2773/2776/2932/3265/3486/8660/3708/3709/3717/3726/3845/5605/6416/5608/4214/5594/5602/5600/1432/5599/5601/112609/2475/4893/5290/5291/5295/23236/5332/5336/5449/5567/5578/5579/5747/5894/25759/8651/8835/6654/6655/6755/6772/6777",65
"Organismal Systems","Development and regeneration","hsa04380","Osteoclast differentiation","73/3426","143/9397",0.51048951048951,1.40019554292759,3.65272659280509,0.00023074017475039,0.00976716399900986,0.00648872718271852,"10000/488/29760/695/1147/1385/1436/1513/1535/1540/2209/2212/9103/2215/2353/9846/3454/3455/3456/3459/3460/3553/3554/10379/3708/3709/3716/3726/3932/3937/11024/11027/353514/79168/10288/11025/5608/6885/5594/5602/5600/1432/5599/5601/4286/4688/4790/27035/5290/5291/5295/5336/5468/5530/5532/5534/5535/140885/10326/55423/8651/6772/6850/23118/7006/7042/7046/7048/169200/8792/7186/7189/54209",73
"Organismal Systems","Nervous system","hsa04728","Dopaminergic synapse","68/3426","132/9397",0.515151515151515,1.41298271683561,3.61940997144266,0.00026526179751932,0.00976716399900986,0.00648872718271852,"10000/1386/406/774/775/776/91860/817/9575/1312/1385/10488/64764/84699/9586/1813/1814/1815/2353/2773/2776/59345/55970/54331/2786/2787/94235/2792/2890/2891/2892/2893/2904/2932/3708/3709/3762/3763/3765/3798/3799/3800/220074/4128/5602/5600/1432/5599/5601/23236/5332/5499/5500/5515/5516/5518/5519/5520/5523/55012/5527/5529/5530/5532/5567/5578/5579/6571",68
"Organismal Systems","Immune system","hsa04625","C-type lectin receptor signaling pathway","56/3426","105/9397",0.533333333333333,1.46285269507686,3.61263839772076,0.000287475967520469,0.00976716399900986,0.00648872718271852,"10000/23365/8915/91860/841/868/30835/1147/51266/338339/26253/93978/64581/1540/1959/1960/2207/3265/9641/3586/3553/51561/10379/3708/3709/3845/8844/10892/5594/5602/5600/1432/5599/5601/4193/22808/4775/4790/114548/4893/5058/5290/5291/5295/5336/5530/5532/5534/5535/5743/5781/29108/5894/6237/6772/6850",56
