"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0031252","cell leading edge","229/7913","433/19960",0.528868360277136,1.33403418060554,5.69531318383015,1.21314179040032e-08,9.36545462189044e-06,7.93011633514312e-06,"AAK1/ABI1/ABI3/ACAP2/ACTA1/ACTA2/ACTC1/ACTG2/ACTR3/ADAM17/ADGRE2/ADORA2A/AIF1/AKAP5/ALS2/AMOT/AMPH/ANGPTL3/ANTXR1/APBB2/APC/APPL1/APPL2/ARHGAP18/ARHGAP31/ARHGAP44/ARHGAP45/ARHGEF2/ARHGEF26/ARHGEF6/ARHGEF7/ARPIN/ATP6V1B2/ATP7A/AVIL/BAIAP2/BCAR1/BCAS3/BLOC1S6/BMX/BSPRY/C2CD5/CAPRIN1/CARMIL1/CASP8/CCDC88A/CD2AP/CD44/CDC42/CDC42BPA/CDC42BPB/CDH1/CDH2/CDK5/CDK6/CDKL5/CFL1/CLASP2/CLCN3/CLIP1/CLRN1/CNTNAP2/COBL/CORO1A/CORO1C/CTNNA1/CTNNA3/CTNNB1/CTNND1/CTTNBP2NL/CYFIP1/DAGLA/DDX3X/DLC1/DOCK8/DPP4/DST/DUOX1/EPB41L3/EPB41L5/EPS8L1/EPS8L2/EXOC8/FAP/FAT1/FER/FERMT1/FERMT2/FGD1/FGD4/FGD5/FGD6/FRMD4B/GABRA1/GABRA3/GABRA6/GABRE/GABRG2/GABRG3/GBF1/GIT1/GPER1/GRIA1/INPP5E/INSR/IQGAP1/IQGAP2/ITGAV/ITGB1/ITSN1/JCAD/KCNA2/KCNB1/KCNC1/KCNC3/KCNC4/KCNJ11/KCNN4/KDF1/KIF18A/KITLG/KLHL2/KLHL41/KNSTRN/KSR1/LCP1/LDB2/MACF1/MCC/MEFV/MKLN1/MTM1/MTMR6/MTMR9/MYADM/MYH10/MYLK/MYO10/MYO1D/MYO5A/NCKAP1/NDEL1/NEDD9/NHERF1/NHS/NME1/PAFAH1B1/PAK1/PARD6A/PDE9A/PDLIM4/PDXP/PHLDB2/PHPT1/PIK3CA/PKD2/PKHD1L1/PKN2/PLA2G4F/PLCE1/PLCG2/PLEKHH2/PLXND1/PODXL/PSD3/PTPN13/PTPRJ/PTPRK/PTPRO/RAB3IP/RAB5A/RAC3/RAPGEF3/RAPH1/RASA1/RDX/RIGI/RIPOR2/RNH1/ROCK1/RUFY3/SAMSN1/SCIMP/SCYL3/SGCE/SH3BGRL3/SH3RF1/SHISA8/SHISA9/SHTN1/SLC1A2/SLC39A6/SLK/SNAP25/SNX1/SNX9/SPATA13/SPEF1/SPRY4/SPTBN1/SSH1/SSX2IP/STON1/STX2/SWAP70/SYNE2/TIAM1/TIAM2/TIRAP/TLN1/TLN2/TLR4/TMEM87A/TPM1/TRPM7/TSC1/TWF1/TWF2/UNC5A/UNC5C/USH2A/VAMP7/VEZT/VIM/WASF1/WASF2/WASF3/WASL/WIPF1",229
"GO:0098858","actin-based cell projection","130/7913","234/19960",0.555555555555556,1.40135080107278,5.00510352984586,5.46661977088812e-07,0.000211011523156282,0.000178672151459028,"ABI1/ABI3/ACP3/ACTA1/ACTA2/ACTC1/ACTG2/ADCY6/AMN/AMN1/ANGPT1/ANTXR1/AQP5/ATP6V1A/ATP6V1B2/ATP7A/ATP8B1/B4GALT1/BAIAP2/BBS2/CALB1/CALML4/CBLIF/CD302/CD44/CDC14A/CDC42/CDHR2/CDK5/CIB2/CLIC4/CLRN1/CRB1/CTNNB1/CUBN/CXADR/CYFIP1/DCXR/DMD/DOCK4/DYNC1H1/DYNC2I2/EPS8L2/ERMN/ESPNL/FABP2/FARP1/FAT1/FCHSD2/FGD4/FGF13/FMN2/FMR1/FZD3/FZD9/GPM6A/HOMER2/IQGAP2/ITGAV/ITGB1/KITLG/LCP1/LHFPL5/LOXHD1/LRRK2/MAP2/MTM1/MYO10/MYO1A/MYO1B/MYO1D/MYO1E/MYO1H/MYO3A/MYO5A/MYO7A/NHERF1/NLGN1/NOS1AP/OSBPL3/PAFAH1B1/PALM/PCDH15/PDGFRA/PDZD7/PDZK1/PIEZO2/PKHD1L1/PLEKHG6/PODXL/PPP1R9A/PROM1/PTPRH/PTPRQ/RAPGEF3/RAPH1/RDX/RHOC/RIPOR2/RUFY3/S100P/SCIMP/SHTN1/SLC10A2/SLC26A2/SLC27A4/SLC38A4/SLC4A7/SLC6A6/SLC7A11/SLC7A8/SNAP25/SPATA13/SPEF1/SYNE2/SYTL1/TBC1D10C/TEK/TIAM2/TMC1/TMC2/TPRN/TTYH1/TWF1/TWF2/UBE2K/UNC5C/USH2A/UTRN/VEZT",130
"GO:0000775","chromosome, centromeric region","141/7913","262/19960",0.538167938931298,1.35749173019951,4.72069667087429,2.10954478524426e-06,0.000542856191402856,0.000459658705837434,"AHCTF1/APC/ARID2/ATRX/BAZ1A/BAZ1B/BRD7/BUB1/BUB1B/CBX5/CENPC/CENPE/CENPF/CENPI/CENPM/CENPP/CENPT/CENPX/CHAMP1/CHMP2B/CHMP3/CHMP4BP1/CHMP6/CKAP5/CLASP1/CLASP2/CLIP1/CSNK1A1/DAXX/DCTN3/DCTN4/DCTN6/DYNC1I1/DYNC1LI2/DYNLL1/ERCC6L/ESCO2/EZH2/FBXO28/FBXW11/FIRRM/FMR1/GPATCH11/H2AC8/H2BC11/H4C12/H4C13/H4C16/H4C2/H4C4/H4C5/H4C6/H4C8/H4C9/HELLS/HJURP/HNRNPU/HSF1/IKZF1/INCENP/ITGB3BP/KANSL1/KAT2B/KAT7/KDM4A/KDM4C/KIF18A/KMT5B/KMT5C/KNL1/KNSTRN/KNTC1/MACROH2A1/MIS18BP1/MTBP/MTCL1/NCAPD3/NCAPG/NDEL1/NEK2/NSMCE1/NUP133/NUP43/NUP98/ORC2/PAFAH1B1/PBRM1/PDS5A/PDS5B/PHF10/PHF6/PKHD1/PPP1R12A/PPP2CA/PPP2CB/PPP2R1A/PPP2R5C/PRP4K/PSEN1/PSEN2/RAD21/RANGAP1/RASSF2/SEH1L/SEPTIN2/SGO1/SGO2/SIN3A/SIRT6/SKA1/SKA3/SMARCA5/SMARCC1/SMARCE1/SMC1A/SMC1B/SMC3/SMC4/SMC5/SMC6/SPAG5/SPDL1/SPOUT1/SS18L1/STAG1/STAG2/STAG3/SUV39H2/SYCP1/SYCP2/SYCP3/TOP2A/TP53BP1/TPR/TTK/UHRF2/WAPL/XPO1/ZNF207/ZNF330/ZWILCH",141
"GO:0098687","chromosomal region","204/7913","404/19960",0.504950495049505,1.2737030053315,4.50433570941163,5.24605270703737e-06,0.00101248817245821,0.000857315455544791,"ACD/AHCTF1/APC/ARID2/ATF7/ATM/ATR/ATRX/BAZ1A/BAZ1B/BLM/BRCA2/BRD7/BUB1/BUB1B/CBX5/CDC73/CDK1/CENPC/CENPE/CENPF/CENPI/CENPM/CENPP/CENPT/CENPX/CHAMP1/CHEK1/CHMP2B/CHMP3/CHMP4BP1/CHMP6/CKAP5/CLASP1/CLASP2/CLIP1/CSNK1A1/DAXX/DCTN3/DCTN4/DCTN6/DHX36/DMC1/DNA2/DYNC1I1/DYNC1LI2/DYNLL1/ERCC4/ERCC6L/ESCO2/EZH1/EZH2/FBXO28/FBXW11/FIRRM/FMR1/GATAD2B/GPATCH11/H2AC8/H2AX/H2BC11/H2BC3/H4C12/H4C13/H4C16/H4C2/H4C4/H4C5/H4C6/H4C8/H4C9/HAT1/HDAC2/HELLS/HJURP/HMBOX1/HNRNPU/HSF1/IKZF1/INCENP/ITGB3BP/KANSL1/KASH5/KAT2B/KAT7/KDM4A/KDM4C/KIF18A/KMT5B/KMT5C/KNL1/KNSTRN/KNTC1/LIG4/LRIF1/MACROH2A1/MIS18BP1/MRE11/MTBP/MTCL1/NABP1/NABP2/NBN/NCAPD3/NCAPG/NDEL1/NEK2/NHP2/NSMCE1/NUP133/NUP43/NUP98/ORC2/ORC3/ORC4/PAFAH1B1/PBRM1/PDS5A/PDS5B/PHF10/PHF6/PKHD1/POLD1/POLR2B/POT1/PPP1CA/PPP1CB/PPP1R12A/PPP2CA/PPP2CB/PPP2R1A/PPP2R5C/PRKDC/PRP4K/PSEN1/PSEN2/PURA/RAD21/RAD51AP1/RANGAP1/RASSF2/RECQL4/RIF1/RPA4/RTEL1/SEH1L/SEPTIN2/SETX/SGO1/SGO2/SIN3A/SIRT6/SKA1/SKA3/SLF1/SLF2/SMARCA5/SMARCC1/SMARCE1/SMC1A/SMC1B/SMC3/SMC4/SMC5/SMC6/SMCHD1/SMG6/SP100/SPAG5/SPDL1/SPDYA/SPOUT1/SS18L1/STAG1/STAG2/STAG3/STN1/SUV39H2/SYCP1/SYCP2/SYCP3/TELO2/TEN1/TEP1/TERB2/TERF1/THOC1/THOC2/THOC6/TNKS/TNKS2/TOP2A/TP53BP1/TPR/TTK/UHRF2/WAPL/WRN/XPO1/XRCC5/ZBTB10/ZNF207/ZNF330/ZWILCH",204
"GO:0016607","nuclear speck","207/7913","416/19960",0.497596153846154,1.25515218384547,4.26225810139915,1.52164747081901e-05,0.00211866589495364,0.00179396171361632,"ADAMTS4/ADGRD1/AFDN/AFF2/AP5Z1/ARHGAP18/ARL6IP4/ASCC3/ATP6V0A1/BARD1/BASP1/BAZ2A/BCLAF1/BMP2K/BNIP3L/C12orf57/CACNB4/CARMIL1/CBLL1/CCNB3/CCNL1/CDC40/CDC5L/CDK12/CDK13/CDYL/CMYA5/CNOT7/COP1/CPSF6/CRNKL1/CSNK1A1/CWC22/CXXC1/DACH1/DDX17/DDX5/DENND1B/DGKQ/DHX15/DHX36/DOCK1/DUSP11/DYRK1A/DZIP1/E2F7/EAF1/EIF4A3/EIF4E/EIF4ENIF1/EP400/EPAS1/ERBIN/FAM76B/FBXL4/FIBP/FTO/GATAD2B/GCAT/GPATCH2/GTF2H2/H2AX/HBP1/HDAC4/HEATR5B/HECTD1/HIF1A/HIF3A/HIPK1/HNRNPU/HSF4/HSPA1B/HSPB6/IFI16/IL15/JADE1/KAT6A/KAZN/KLF15/KMT2E/LHPP/LMNA/LUC7L3/MAML2/MAML3/MAPK14/MAPK9/MBD4/MECOM/MEF2C/MORF4L1/MTREX/NAMPT/NCAPG2/NCBP3/NEK6/NFKBIZ/NME8/NOC3L/NR3C1/NRDE2/NRIP1/NSRP1/NUP43/NXT1/PALB2/PATL1/PCBP1/PIAS1/PIAS2/PIN1/PLAG1/PLCB1/PNISR/PNN/POLDIP3/POLI/PPP4R3A/PPP4R3B/PQBP1/PRKAA1/PRP4K/PRPF18/PRPF31/PRPF40A/PRPF8/PSME4/PSPC1/PTPRH/RBBP6/RBM14/RBM15/RBM25/RBM27/RBM39/RBM4/RBM8A/RCHY1/REXO4/RNF113A/RREB1/RSRC1/RTEL1/S100PBP/SAP130/SARNP/SCAPER/SDE2/SERPINB13/SF3A2/SF3B1/SFMBT2/SFPQ/SGK1/SLC28A1/SLC2A4RG/SLC34A1/SMC4/SMC5/SMC6/SMNDC1/SMU1/SMURF2/SNURF/SON/SPRTN/SREK1/SRPK1/SRPK2/SRRM1/SRRM2/SRSF1/SRSF10/SRSF11/SRSF12/SRSF6/SURF2/TAP2/TARDBP/TCERG1/TCF12/TENM1/THAP7/THOC1/THOC2/THOC6/TMEM179B/TOPORS/TRIM22/TRIP12/U2AF1/UHMK1/UNC45A/USH1G/VIRMA/WAC/WRN/WTAP/YLPM1/YTHDC1/ZBTB16/ZBTB18/ZC3H13/ZC3H14/ZNF106/ZNF217/ZNF638",207
"GO:0030027","lamellipodium","110/7913","203/19960",0.541871921182266,1.3668347714897,4.25753797773721,1.78059085949941e-05,0.00211866589495364,0.00179396171361632,"ABI1/ABI3/ACTA1/ACTA2/ACTC1/ACTG2/ACTR3/AIF1/ALS2/AMOT/ANGPTL3/ANTXR1/APBB2/APC/ARHGAP31/ARHGEF6/ARHGEF7/ARPIN/AVIL/BAIAP2/BCAR1/CAPRIN1/CARMIL1/CASP8/CCDC88A/CD44/CDC42BPA/CDC42BPB/CDH1/CDH2/CDK5/CFL1/CLRN1/CORO1A/CORO1C/CTNNA1/CTNNA3/CTNNB1/CTNND1/CTTNBP2NL/CYFIP1/DDX3X/DOCK8/DPP4/FAP/FAT1/FER/FERMT2/FGD1/FGD4/FGD5/FGD6/GIT1/IQGAP2/ITGAV/ITGB1/ITSN1/KCNA2/KITLG/KLHL2/MCC/MEFV/MYH10/MYLK/MYO10/NCKAP1/NEDD9/NHS/PAK1/PDLIM4/PDXP/PHPT1/PIK3CA/PKD2/PKN2/PLCE1/PLEKHH2/PLXND1/PODXL/PTPN13/PTPRO/RAB3IP/RAC3/RAPGEF3/RAPH1/RDX/RNH1/ROCK1/RUFY3/SCYL3/SH3RF1/SHTN1/SLC39A6/SNAP25/SNX1/SPATA13/SPEF1/SSH1/STX2/SWAP70/SYNE2/TIAM2/TSC1/TWF2/UNC5C/VAMP7/WASF1/WASF2/WASF3/WASL",110
"GO:0120111","neuron projection cytoplasm","55/7913","89/19960",0.617977528089888,1.55880594726073,4.28200014828809,1.92107011200459e-05,0.00211866589495364,0.00179396171361632,"ABHD13/AGBL4/AGTPBP1/AP3B1/AP3B2/AP3M1/AP3S2/ARC/ARL8B/ARMCX3/BAIAP2/BLOC1S4/BLOC1S5/BLOC1S6/CDKL5/CHRNA2/DLG2/DST/DYNC1H1/DYNLL1/EIF4EBP2/FBXW11/FMR1/GRIK2/GRIK3/HIF1A/HSBP1/HSPB1/KIF17/KIF1B/KIF4A/KIF5A/KIF5B/KIF5C/KLHL17/LRRK2/MAP1A/MAP2/MAP2K4/NDEL1/OPA1/PAFAH1B1/PQBP1/RAB21/RAB27B/RANGAP1/SNAPIN/SOD1/SPAST/STAU2/TMEM108/TRAK1/TRAK2/UHMK1/ZC3H14",55
"GO:0030175","filopodium","63/7913","106/19960",0.594339622641509,1.49918095133635,4.17625919666748,2.8881946254865e-05,0.00278710781359447,0.00235995902950937,"ABI1/ACP3/ACTA1/ACTA2/ACTC1/ACTG2/ANTXR1/B4GALT1/BAIAP2/CD302/CDC42/CDK5/CXADR/CYFIP1/DMD/DYNC1H1/DYNC2I2/ERMN/FARP1/FAT1/FGD4/FGF13/FMR1/FZD3/FZD9/GPM6A/IQGAP2/ITGAV/ITGB1/KITLG/LCP1/MAP2/MTM1/MYO10/MYO1B/MYO3A/MYO5A/NHERF1/NLGN1/NOS1AP/OSBPL3/PALM/PODXL/PPP1R9A/RAPGEF3/RAPH1/RDX/RIPOR2/RUFY3/SCIMP/SHTN1/SNAP25/SPATA13/SPEF1/SYNE2/TBC1D10C/TIAM2/TTYH1/TWF1/TWF2/UBE2K/UNC5C/UTRN",63
"GO:0005819","spindle","213/7913","434/19960",0.490783410138249,1.23796750491084,4.06215411420837,3.51583895992386e-05,0.00301580853006802,0.00255360934983943,"AFG2A/ALMS1/ALPK1/ANKFN1/APP/ARHGEF2/ARHGEF7/ARL2BP/ARL8B/ASPM/ATM/AUNIP/BBLN/BCL2L10/BIRC6/BORA/BUB1B/CCDC117/CCSAP/CD180/CDC14A/CDC27/CDC42/CDK1/CDK5RAP2/CENPE/CENPF/CEP128/CEP162/CEP170/CEP295/CEP350/CEP44/CEP63/CEP95/CHAMP1/CHMP2B/CHMP3/CHMP4BP1/CHMP6/CIAO2B/CKAP2/CKAP2L/CKAP5/CLASP1/CLASP2/CLTA/CLTC/CLTCL1/CNTRL/CSNK1A1/CSPP1/CTNNB1/CUL3/CYLD/DCDC1/DCDC2/DCTN3/DCTN4/DIAPH3/DIDO1/DLGAP5/DR1/DYNC1I1/DYNLL1/E4F1/ECT2/EFHC1/EML4/ENKD1/EPB41/ESPL1/EVI5/FAM110A/FIRRM/FMN2/FRY/GIT1/GPSM2/GPX2/HAUS3/HAUS6/HECW2/HMMR/HNRNPU/HSF1/HSPB1/INCENP/INO80/INVS/IRAG2/KASH5/KAT2B/KATNAL1/KATNAL2/KATNB1/KATNBL1/KBTBD8/KIF11/KIF14/KIF15/KIF16B/KIF18A/KIF18B/KIF20A/KIF20B/KIF23/KIF2A/KIF4A/KIFC2/KLHL42/KNSTRN/KNTC1/LATS1/LATS2/MAD2L2/MAK/MAP10/MAPK1/MAPK14/MBIP/MID1/MISP/MTCL1/MYF6/MZT2A/MZT2B/NCOR1/NDEL1/NEDD1/NEDD9/NEK2/NEK6/NEK7/NIN/NR3C1/NSMCE1/NUBP2/NUDC/PAFAH1B1/PARP4/PHLPP2/PKD2/PKHD1/PKP4/PLEKHG6/POC1B/PPP2CA/PPP2CB/PYCR3/RAB11A/RAD21/RANGAP1/RASSF1/RB1/RIF1/RMDN1/RMDN2/SAC3D1/SBDS/SEPTIN2/SGF29/SGO1/SHCBP1/SKA1/SKA3/SLC34A1/SMC1A/SMC3/SMC6/SNCG/SPAG5/SPAST/SPDL1/SPICE1/SPIN1/SPOUT1/STAG1/STAG2/STX1B/TBCK/TBL1X/TBL1XR1/TERF1/TMEM9/TNKS/TOPBP1/TOPORS/TPR/TTC23L/TTC28/TTK/TTL/TUBB1/TUBB2B/TUBB4B/TUBB6/TUBB8B/TUBGCP3/TUBGCP5/UBXN2B/UHRF1/USP44/UXT/VPS4B/WAPL/WDR73/WNK1/YEATS2/YPEL5/ZNF207/ZWILCH/ZZZ3",213
"GO:0098857","membrane microdomain","150/7913","295/19960",0.508474576271186,1.28259225860898,3.96300673052977,5.61679404063537e-05,0.00401959626799005,0.00340355778895804,"ABCA1/ABCB4/ACE2/ADAM17/ADCY1/ADTRP/AHNAK/AKAP5/AKAP6/ANGPT1/APP/ARC/ARID3A/ASAH2/ATP1A4/ATP2B4/BACE1/BCL10/BEST1/BMPR2/BST2/BTK/CAV1/CAVIN2/CAVIN3/CAVIN4/CBL/CBLB/CBLC/CD226/CD320/CD36/CD55/CDH1/CDH13/CDH15/CDH2/CHP1/CHRNB2/CNR1/CORO1C/CR1/CTNNA1/CTNNB1/CTSD/CXADR/DLC1/DLG1/DMD/DPP4/EFNB1/ENTPD1/ERLIN1/ERLIN2/FAS/FYB2/GAB2/GASK1A/GJA1/GLIPR1L1/GPM6B/HCK/HPSE/HTR2A/IGF1R/IL6ST/INSR/ITGB1/JAK2/KCNA3/KCNE1/KCNE3/KCNMA1/KIF18A/LAMP2/LCK/LCP2/LIPE/LRP6/LRP8/LRRK2/LYPD4/MAL/MAPK1/MFAP3/MME/MS4A4A/MYADM/MYO1A/MYOF/NEU3/NFAM1/NOS1AP/NPC1/OLR1/ORAI1/P2RX1/PAG1/PARK7/PECAM1/PGK1/PIKFYVE/PLCG2/PLPP3/PLSCR1/PLVAP/PODXL/PPP2CA/PPP2R1B/PRKAR1A/PRKAR2A/PSEN1/PTGS2/PTPRC/RAB5A/RAP2B/RHOQ/RIT2/RTN4R/RTN4RL1/S100A10/SCN5A/SDCBP/SELE/SLC1A1/SLC1A2/SLC39A6/SLC6A4/SMURF2/SORBS1/SPRED1/STOML2/STX12/TEK/TEX101/TFPI/TGFBR1/TGFBR2/TLR1/TLR2/TLR6/TNFRSF11A/TNR/TPP1/TRAF2/TREM2/TRPM8/UNC5A/VCL/ZAP70",150
