"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0140053","mitochondrial gene expression","43/1138","169/18986",0.254437869822485,4.24495377543911,10.6993729880879,2.52217501973995e-16,1.16827146914354e-12,1.14373999842523e-12,"ALKBH1/COA3/DARS2/FASTKD3/GADD45GIP1/GFM1/MRPL12/MRPL13/MRPL15/MRPL17/MRPL18/MRPL19/MRPL3/MRPL34/MRPL35/MRPL36/MRPL39/MRPL41/MRPL43/MRPL50/MRPL57/MRPL58/MRPS12/MRPS14/MRPS18A/MRPS18B/MRPS26/MRPS30/MRPS6/MRPS7/MTERF3/MTO1/PNPT1/POLRMT/RCC1L/RPUSD3/TEFM/TFB1M/THAP11/TRMT10C/TRMT5/WARS2/YARS2",43
"GO:0032543","mitochondrial translation","35/1138","131/18986",0.267175572519084,4.4574652195495,10.0267884617797,3.11066588347896e-14,7.20430218613726e-11,7.05302559264597e-11,"ALKBH1/COA3/DARS2/FASTKD3/GADD45GIP1/GFM1/MRPL12/MRPL13/MRPL15/MRPL17/MRPL18/MRPL19/MRPL3/MRPL34/MRPL35/MRPL36/MRPL39/MRPL41/MRPL43/MRPL50/MRPL57/MRPL58/MRPS12/MRPS14/MRPS18A/MRPS18B/MRPS26/MRPS30/MRPS6/MRPS7/RCC1L/RPUSD3/TRMT10C/WARS2/YARS2",35
"GO:0006399","tRNA metabolic process","40/1138","203/18986",0.197044334975369,3.2874198100548,8.27357238370913,2.00016934773735e-11,3.08826147290647e-08,3.0234138772114e-08,"ALKBH1/BCDIN3D/CDKAL1/CTU1/DARS1/DARS2/DDX1/DTD1/ELAC1/ELP3/ELP4/EXOSC3/FARSA/FARSB/GON7/LAGE3/LCMT2/METTL2A/MOCS3/MTO1/OSGEPL1/PARS2/POP4/POP7/PUS3/QNG1/RPP25L/RPP38/RPP40/RTCB/TP53RK/TRMT10C/TRMT112/TRMT1L/TRMT5/TRPT1/TRUB1/TYW1B/WARS2/YARS2",40
"GO:0008033","tRNA processing","31/1138","135/18986",0.22962962962963,3.83106164160646,8.33548100495832,6.52033949970419e-11,7.55055314065746e-08,7.3920059380857e-08,"ALKBH1/BCDIN3D/CDKAL1/CTU1/DDX1/ELAC1/ELP3/ELP4/GON7/LAGE3/LCMT2/METTL2A/MOCS3/MTO1/OSGEPL1/POP4/POP7/PUS3/QNG1/RPP25L/RPP38/RPP40/RTCB/TP53RK/TRMT10C/TRMT112/TRMT1L/TRMT5/TRPT1/TRUB1/TYW1B",31
"GO:0009451","RNA modification","34/1138","173/18986",0.196531791907514,3.27886871806333,7.60317495129353,6.88786591166972e-10,6.38091898057083e-07,6.24693186262593e-07,"ALKBH1/APOBEC3C/APOBEC3F/APOBEC3G/BCDIN3D/CDKAL1/CTU1/DIMT1/ELP3/ELP4/FDXACB1/GON7/HENMT1/LCMT2/METTL2A/METTL5/MOCS3/MRM1/MTO1/OSGEPL1/PUS3/QNG1/RPUSD1/RPUSD3/SNRPG/TFB1M/TRMT10C/TRMT112/TRMT1L/TRMT5/TRUB1/TSR3/TYW1B/ZCCHC4",34
"GO:0007005","mitochondrion organization","61/1138","452/18986",0.134955752212389,2.25155528251707,6.80011611915676,2.1911299281111e-09,1.69155230450177e-06,1.65603293514081e-06,"ACAA2/ALKBH7/APOO/ARMC1/ATF2/ATP13A2/ATP23/ATPAF1/AURKA/CAMKMT/CHCHD4/COA3/COX14/COX16/CXADR/DMAC2/DNAJA3/ENDOG/FASTKD3/FMC1/GABPB1/HIGD1A/HMGCL/IMMT/JTB/LMNA/MICOS13/MIEF2/MTCH2/MTX2/NDUFA8/NDUFA9/NDUFAB1/NDUFAF3/NDUFAF4/NDUFB5/NDUFB7/NDUFC1/NDUFC2/NME3/OMA1/PARL/PNPT1/PRMT6/PSMD10/RALA/RCC1L/ROMO1/RRM1/SDHAF1/SDHAF3/SIRT4/STPG1/TIMM21/TIMM22/TIMM8B/TMEM126B/TMEM14A/UQCC3/UQCC4/UQCC6",61
"GO:0097250","mitochondrial respirasome assembly","25/1138","114/18986",0.219298245614035,3.65869638947985,7.18942008563167,1.2329386207326e-08,8.15853098747626e-06,7.98721741070079e-06,"ATP23/ATPAF1/COA3/COX14/COX16/DMAC2/FASTKD3/FMC1/HIGD1A/NDUFA8/NDUFA9/NDUFAB1/NDUFAF3/NDUFAF4/NDUFB5/NDUFB7/NDUFC1/NDUFC2/SDHAF1/SDHAF3/TIMM21/TMEM126B/UQCC3/UQCC4/UQCC6",25
"GO:0033108","mitochondrial respiratory chain complex assembly","23/1138","103/18986",0.223300970873786,3.7254764789189,7.00337219027489,3.27260628320618e-08,1.89483903797638e-05,1.85505103527003e-05,"CHCHD4/COA3/COX14/COX16/DMAC2/FASTKD3/NDUFA8/NDUFA9/NDUFAB1/NDUFAF3/NDUFAF4/NDUFB5/NDUFB7/NDUFC1/NDUFC2/OMA1/SDHAF1/SDHAF3/TIMM21/TMEM126B/UQCC3/UQCC4/UQCC6",23
"GO:0043414","macromolecule methylation","26/1138","130/18986",0.2,3.33673110720562,6.75052087459939,4.7391676657103e-08,2.43909162528557e-05,2.38787535717894e-05,"ANTKMT/BCDIN3D/DIMT1/EEF1AKMT1/EEF1AKMT3/EEF2KMT/FDXACB1/HENMT1/LCMT2/METTL18/METTL2A/METTL5/MRM1/MTO1/N6AMT1/PCMT1/PRMT6/PRMT9/RAB6A/SNRPG/TFB1M/TRMT10C/TRMT112/TRMT1L/TRMT5/ZCCHC4",26
"GO:0032259","methylation","35/1138","225/18986",0.155555555555556,2.59523530560437,6.0781256431993,1.99905950898988e-07,9.25964364564113e-05,9.06520880497727e-05,"ANTKMT/ARMT1/BCDIN3D/CAMKMT/CMTR2/COQ5/DIMT1/EEF1AKMT1/EEF1AKMT3/EEF2KMT/FDXACB1/HENMT1/LCMT2/METTL18/METTL23/METTL25/METTL2A/METTL5/MRM1/MTO1/N6AMT1/NNMT/PCMT1/PRMT6/PRMT9/RAB6A/SETMAR/SMYD3/SNRPG/TFB1M/TRMT10C/TRMT112/TRMT1L/TRMT5/ZCCHC4",35
