"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Neurodegenerative disease","hsa05014","Amyotrophic lateral sclerosis","188/2920","371/9397",0.506738544474393,1.63076099398146,8.3230039424124,8.47760787620934e-16,2.93325232516843e-13,1.90969272158821e-13,"71/10121/10120/11047/57679/10189/310/317/468/22926/60673/22863/23130/498/506/509/513/514/516/517/518/10476/522/539/6311/11273/581/834/9973/400916/1327/9377/1329/1337/1340/1345/1346/1347/9167/1349/1350/1351/1537/1616/10540/11258/10671/1649/196385/8701/127602/55567/56171/1770/10126/1965/2081/9896/2521/2876/2877/2902/10013/3178/642659/3309/3799/89953/84557/5606/5608/4217/5600/1432/9782/90550/2475/4686/55706/4694/4695/4696/4697/4700/4701/4706/4707/4716/54539/4708/4710/4712/4713/4717/4719/4720/4722/4725/4726/4728/4723/145957/23279/91181/129401/348995/9818/79902/9688/10482/56000/29107/10133/5216/375189/5289/30849/9883/100101267/5530/5532/5533/5071/5688/143471/5689/5690/5691/5692/5693/5694/5695/5700/5701/5702/5704/5705/5707/5719/5708/5709/5710/5713/5714/5715/8480/5903/9821/6389/6390/6396/81929/7979/23064/10280/6506/6647/80208/8878/6428/6432/10010/23435/29110/7124/7133/10452/7175/84790/113457/112714/7277/203068/7280/347733/10383/56893/9706/7381/7384/7386/7388/440567/27089/9217/7416/55255/7494",188
"Human Diseases","Neurodegenerative disease","hsa05016","Huntington disease","161/2920","311/9397",0.517684887459807,1.66598797515747,8.01929513759155,9.82425577632692e-15,1.69959624930456e-12,1.10652144007051e-12,"10121/10120/11047/160/163/1173/1175/317/60673/22863/23130/498/506/509/513/514/516/517/518/10476/522/539/581/27113/841/1211/1212/1213/8218/1327/9377/1329/1337/1340/1345/1346/1347/9167/1349/1350/1351/1385/10488/9586/1537/10540/11258/10671/196385/8701/127602/55567/56171/1770/10126/2081/2776/2876/2877/2892/2902/3065/3064/3708/3799/89953/5609/4294/4217/5602/2475/4694/4695/4696/4697/4700/4701/4706/4707/4716/54539/4708/4710/4712/4713/4717/4719/4720/4722/4725/4726/4728/4723/5289/30849/23236/5330/5432/5434/5435/5436/5437/5438/5439/246721/548644/5440/5441/10105/5688/143471/5689/5690/5691/5692/5693/5694/5695/5700/5701/5702/5704/5705/5707/5719/5708/5709/5710/5713/5714/5715/9821/5978/6389/6390/7979/6506/6507/292/293/6647/6667/6875/6908/84790/113457/112714/7277/203068/7280/347733/10383/9706/7381/7384/7386/7388/440567/27089/7416/7417",161
"Human Diseases","Neurodegenerative disease","hsa05012","Parkinson disease","143/2920","271/9397",0.527675276752767,1.69813855330334,7.83000458163806,4.41198496997764e-14,5.08848933204088e-12,3.3128588897376e-12,"11047/317/468/22926/498/506/509/513/514/516/517/518/10476/522/539/581/808/91860/817/1327/9377/1329/1337/1340/1345/1346/1347/9167/1349/1350/1351/1537/1616/1649/1843/1965/2081/2771/2773/2778/3309/27429/3708/3709/3799/89953/120892/4217/5602/90550/55669/9927/4694/4695/4696/4697/4700/4701/4706/4707/4716/54539/4708/4710/4712/4713/4717/4719/4720/4722/4725/4726/4728/4723/4780/11315/10105/5566/5567/5071/5688/143471/5689/5690/5691/5692/5693/5694/5695/5700/5701/5702/5704/5705/5707/5719/5708/5709/5710/5713/5714/5715/6233/6389/6390/7979/292/293/57181/201266/91252/29985/55630/283375/7922/64116/55334/6647/10131/84790/113457/112714/7277/203068/7280/347733/10383/25828/7317/7311/7318/7314/7316/7327/7381/7384/7386/7388/440567/27089/7416/7417/7494",143
"Human Diseases","Neurodegenerative disease","hsa05022","Pathways of neurodegeneration - multiple diseases","219/2920","483/9397",0.453416149068323,1.45916149068323,6.95630617691584,1.00667397982864e-11,8.70772992551778e-10,5.66916399166658e-10,"10121/10120/11047/57679/317/324/369/468/22926/60673/22863/23130/489/498/506/509/513/514/516/517/518/10476/522/539/6310/342371/6311/11273/8312/578/581/673/776/808/91860/817/841/9973/1020/1133/1327/9377/1329/1337/1340/1345/1346/1347/9167/1349/1350/1351/122011/1454/1457/1537/1616/10540/11258/10671/1649/196385/8701/127602/55567/56171/1770/10126/1855/1856/1857/1965/2081/355/356/9896/2521/2776/2876/2877/2892/2902/2932/3265/3028/3309/27429/3064/3552/3708/3709/3799/89953/120892/84557/5605/5606/5608/5609/4294/4217/5602/5600/1432/5595/90550/55669/9927/2475/4694/4695/4696/4697/4700/4701/4706/4707/4716/54539/4708/4710/4712/4713/4717/4719/4720/4722/4725/4726/4728/4723/4790/10133/11315/5289/30849/23236/5330/10105/5530/5532/5533/5071/5621/5663/5664/5688/143471/5689/5690/5691/5692/5693/5694/5695/5700/5701/5702/5704/5705/5707/5719/5708/5709/5710/5713/5714/5715/5743/9821/5970/6233/6389/6390/7979/10280/292/293/6647/80208/6712/8878/10010/23435/29110/7124/7133/10452/10131/84790/113457/112714/7277/203068/7280/347733/10383/7317/7311/7318/7314/7316/7327/9706/7381/7384/7386/7388/440567/27089/9217/7416/7417/55255/7471/7480/54361/7479/7494",219
"Genetic Information Processing","Chromosome","hsa03082","ATP-dependent chromatin remodeling","70/2920","117/9397",0.598290598290598,1.92538929867697,6.76268870811214,1.01821030033991e-10,7.04601527835218e-09,4.58730535311033e-09,"71/79913/57492/196528/11177/9031/29994/9275/9274/29998/23506/2186/10902/8099/10263/27443/1107/54108/55929/8193/57634/26122/57459/8969/85235/8329/8331/8330/8332/8338/317772/92815/8335/3013/3012/55766/3014/3015/3065/54617/54891/283899/10524/8932/53615/10445/55257/9112/9219/4798/55193/55274/84295/54107/5928/5931/51773/10856/8467/6599/6602/6603/6604/26039/29844/8295/51377/8089/7528/10467",70
"Human Diseases","Neurodegenerative disease","hsa05010","Alzheimer disease","180/2920","391/9397",0.460358056265985,1.48150159408612,6.52974344212475,1.71866170868266e-10,9.91094918673665e-09,6.45251939751032e-09,"102/6868/11047/207/208/10000/317/324/51107/348/369/468/22926/60673/22863/23130/489/498/506/509/513/514/516/517/518/10476/522/539/8312/673/776/808/91860/841/1020/1133/1147/1327/9377/1329/1337/1340/1345/1346/1347/9167/1349/1350/1351/122011/1454/1457/1537/1649/1855/1856/1857/1965/2081/355/2597/2776/2902/2932/3265/3028/3416/8517/3552/3643/3708/3709/3799/89953/5605/5609/4217/5602/5595/90550/4311/2475/4694/4695/4696/4697/4700/4701/4706/4707/4716/54539/4708/4710/4712/4713/4717/4719/4720/4722/4725/4726/4728/4723/4790/5289/5290/5291/30849/23236/5330/10105/5530/5532/5533/5663/5664/55851/5688/143471/5689/5690/5691/5692/5693/5694/5695/5700/5701/5702/5704/5705/5707/5719/5708/5709/5710/5713/5714/5715/5743/9821/5970/6389/6390/7979/292/293/57181/201266/91252/29985/55630/283375/7922/64116/55334/7124/84790/113457/112714/7277/203068/7280/347733/10383/9706/7381/7384/7386/7388/440567/27089/7416/7417/7471/7480/54361/7479/7494",180
"Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","114/2920","224/9397",0.508928571428571,1.63780883072407,6.48686442940556,3.30521096323139e-10,1.6337185618258e-08,1.06363179869401e-08,"107/207/208/10000/64682/10393/51529/25847/25906/29882/51433/51434/1386/468/472/545/567/581/9184/811/821/890/9133/894/896/898/916/917/996/1017/1026/1030/1031/1147/1385/10488/9586/200186/1739/2002/9700/2224/8061/2874/3105/3106/3107/3108/3109/3113/3115/3122/3123/3133/3134/3135/3265/3383/8517/3560/3561/3689/3716/3725/2648/10524/3932/4049/5605/6416/4215/5602/5595/4775/4790/4791/4792/5290/5291/5530/5532/5533/5566/5567/5728/9232/10744/5901/5902/5925/5970/5971/292/293/6513/4087/6688/6722/6776/6908/6929/7040/7042/7046/7048/7124/8295/706/55697/7416/7417/331/7514/7538",114
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease - COVID-19","119/2920","238/9397",0.5,1.60907534246575,6.39015582077239,5.60169229252456e-10,2.42273191651687e-08,1.57731861921086e-08,"59272/6868/834/1675/1147/2147/2197/1839/64135/3454/3455/8517/3592/3593/3654/3661/3716/3725/6885/5602/5600/1432/5595/57506/4790/4792/4793/5290/5291/5970/6134/4736/6135/6136/6137/23521/9045/6138/6139/6141/6142/6143/6144/6146/200916/9349/6147/6152/6154/51121/6155/6157/6158/6159/6122/6156/6160/6161/6164/11224/6165/25873/6166/6167/6168/6169/6170/6124/6171/6125/6128/6129/6130/6132/6133/6175/6176/6181/6205/6206/6207/6208/6209/6210/6217/6218/6222/6223/6187/6224/6227/6228/6229/6230/6231/6232/6233/6234/6235/6188/6189/6191/6193/6194/6201/6202/6203/3921/388524/340061/23118/29110/7099/51284/51311/7124/7187/7297/7311",119
"Cellular Processes","Transport and catabolism","hsa04144","Endocytosis","124/2920","252/9397",0.492063492063492,1.58353446401392,6.3045037539062,8.87654820621418e-10,3.41253964372234e-08,2.22173253348519e-08,"9744/23527/116983/10097/10096/653857/273/160/163/1173/1175/375/381/382/55738/84364/10565/10109/10094/81873/409/50807/274/829/830/867/1234/998/5119/27243/128866/1211/1212/1213/8218/7852/9267/9266/9265/27128/9829/1785/26052/8411/10938/29924/22905/2060/2350/28964/9815/156/2869/9146/3105/3106/3107/3133/3134/3135/3265/3304/3560/3561/9922/9798/83737/3799/4193/93343/4734/50855/10015/8395/138429/5337/5371/5584/10890/8766/9230/80223/9727/11021/5867/5878/9135/55680/6455/51100/56904/30011/4087/64750/29934/8724/254122/27131/58533/23111/10254/10617/7046/7048/9101/84313/112936/51160/55737/51028/137492/79720/11311/27183/9525/51534/100287171/51019/23325/9897/8976/644150/9765/118813",124
"Genetic Information Processing","Folding, sorting and degradation","hsa04141","Protein processing in endoplasmic reticulum","91/2920","171/9397",0.532163742690059,1.71258311303373,6.31397470121178,1.09982159795068e-09,3.80538272890936e-08,2.47749286275207e-08,"468/22926/573/578/581/10134/811/821/10970/1603/1649/1650/51009/3337/3300/5611/55741/80267/1965/27248/2081/30001/56605/10961/26232/26270/23193/3326/3304/22824/3309/23640/200185/79748/84061/10905/11253/5609/4217/5602/51360/7841/4780/55768/10956/5034/2923/10130/23645/5589/5071/5886/9978/6048/6185/6238/51128/6396/10484/10483/10802/9871/22872/25956/29927/10952/23480/7095/6400/55829/64374/6500/6745/6746/6748/3703/10273/258010/84447/746/7321/7322/51619/7327/56893/51035/80700/7353/56886/55757/7494",91
