"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002181","cytoplasmic translation","118/6237","165/18986",0.715151515151515,2.17698679920902,10.6205578504151,2.26322409991705e-24,1.44008949477722e-20,1.22523805746036e-20,"AKT2/CNBP/CPEB3/CPEB4/DENR/DRG1/EEF1D/EIF2B4/EIF2B5/EIF3B/EIF3C/EIF3CL/EIF3D/EIF3F/EIF3G/EIF3H/EIF3I/EIF3K/EIF3L/EIF3M/EIF4A2/EIF5/FAU/FTSJ1/HNRNPD/LIN28A/MIF4GD/MTOR/NCBP1/NCK1/NEMF/PARP16/RACK1/RBM4/RPL10/RPL10A/RPL11/RPL12/RPL13/RPL13A/RPL14/RPL15/RPL17/RPL18/RPL18A/RPL19/RPL21/RPL22/RPL22L1/RPL23/RPL23A/RPL24/RPL26/RPL26L1/RPL27/RPL27A/RPL28/RPL29/RPL3/RPL30/RPL31/RPL32/RPL34/RPL35/RPL35A/RPL36/RPL37/RPL37A/RPL38/RPL39/RPL4/RPL41/RPL5/RPL6/RPL7/RPL7A/RPL8/RPL9/RPLP0/RPLP0P6/RPLP1/RPLP2/RPS11/RPS12/RPS13/RPS14/RPS15/RPS15A/RPS16/RPS17/RPS18/RPS19/RPS2/RPS20/RPS21/RPS23/RPS24/RPS25/RPS26/RPS27/RPS27A/RPS28/RPS29/RPS3/RPS3A/RPS4X/RPS5/RPS6/RPS7/RPS8/RPS9/RPSA/RWDD1/SARS1/SLBP/UBA52/YBX1/ZNF385A",118
"GO:0022613","ribonucleoprotein complex biogenesis","262/6237","492/18986",0.532520325203252,1.62104070776157,9.76207871125763,2.934755762974e-21,9.33692545990178e-18,7.94392046788173e-18,"AAR2/ABT1/AFG2A/AGO1/AGO3/AGO4/AIRIM/AK6/ATM/ATR/BOP1/BUD23/BYSL/C1D/C1QBP/CD2BP2/CELF3/CELF6/CLNS1A/CLP1/COIL/CUL4B/DDX1/DDX10/DDX20/DDX23/DDX27/DDX28/DDX39B/DDX42/DDX46/DDX49/DDX51/DDX54/DDX56/DENR/DHX30/DICER1/DIMT1/DKC1/EBNA1BP2/EFL1/EIF3B/EIF3C/EIF3CL/EIF3D/EIF3F/EIF3G/EIF3H/EIF3I/EIF3K/EIF3L/EIF3M/EIF4A3/EIF5/EIF6/ERAL1/ERCC2/ERI1/ERI2/ERI3/EXOSC3/EXOSC6/EXOSC9/FAU/FBL/GAR1/GEMIN2/GEMIN5/GEMIN6/GEMIN8/GNL3L/GTF3A/GTPBP10/HEATR3/HSP90AB1/HTATSF1/IMP3/IMP4/ISY1/KRI1/LSM2/LSM4/LTV1/LUC7L3/LYAR/MALSU1/MDN1/METTL15/METTL15P1/METTL17/MPV17L2/MRM3/MRPS2/MRPS7/MTREX/NCBP1/NGDN/NGRN/NHP2/NIP7/NOA1/NOB1/NOC2L/NOL10/NOL3/NOL7/NOLC1/NOP10/NOP16/NOP53/NOP56/NOP9/NOPCHAP1/NPM1/NPM3/NSA2/NSUN3/NSUN5/PA2G4/PELP1/PES1/PHF5A/PIH1D1/POP4/POP7/PRKDC/PRKRA/PRPF18/PRPF19/PRPF31/PUF60/RAN/RBIS/RBM10/RBMX2/REXO1/REXO4/RNASEL/RNU5D-1/RNU5F-1/RNVU1-3/RNVU1-4/RNVU1-8/RPF1/RPL11/RPL13A/RPL14/RPL24/RPL26/RPL26L1/RPL27/RPL35/RPL35A/RPL38/RPL5/RPL7/RPL7A/RPS11/RPS12/RPS13/RPS14/RPS15/RPS15A/RPS16/RPS17/RPS19/RPS19BP1/RPS21/RPS23/RPS24/RPS25/RPS27/RPS27A/RPS28/RPS3A/RPS4X/RPS5/RPS6/RPS7/RPS8/RPS9/RPSA/RPSA2/RPUSD1/RPUSD2/RPUSD4/RRP1/RRP36/RRP7BP/RRP8/RRP9/RRS1/RUVBL2/SART1/SBDS/SCAF11/SDAD1/SDE2/SETX/SF1/SF3A1/SF3A2/SF3A3/SF3B2/SF3B3/SF3B4/SF3B5/SF3B6/SHQ1/SIRT7/SLX9/SNRPA1/SNRPB/SNRPB2/SNRPC/SNRPD1/SNRPD2/SNRPE/SNRPF/SNRPGP15/SNU13/SRFBP1/SRPK1/SRPK2/SRSF1/SRSF10/SRSF12/SRSF5/SRSF9/STRAP/SURF6/TAF12-DT/TARBP2/TBL3/TGS1/TMA16/TRMT112/TRMT61B/TSR2/TSR3/TSSC4/TXNL4A/U2AF2/USP39/UTP14A/UTP6/WBP11/WDR12/WDR18/WDR3/WDR55/XAB2/XPO1/XRCC5/XRN2/YBEY/YJU2/ZNF622/ZNF658/ZNHIT3/ZRSR2",262
"GO:0008380","RNA splicing","246/6237","484/18986",0.508264462809917,1.54720363811273,8.52937935946123,1.0099583124261e-16,2.14212158065576e-13,1.822531789757e-13,"AAR2/ACIN1/AFF2/AHNAK/AKAP17A/ALYREF/AQR/ARB2A/ARGLU1/ARVCF/ATXN7L3/BCAS2/BUD31/C1QBP/C9orf78/CACTIN/CASC3/CCAR2/CCNL2/CD2BP2/CDC5L/CDK11B/CDK12/CDK13/CELF3/CELF6/CIRBP/CLASRP/CLK2/CLK3/CLNS1A/CLP1/COIL/CRIPT/CWC15/CWC22/CWC27/CWF19L2/DDX1/DDX20/DDX23/DDX39A/DDX39B/DDX41/DDX42/DDX46/DDX5/DHX16/DHX38/DHX8/DYRK1A/EIF1/EIF4A3/ENY2/ERN1/ESRP2/ESS2/FAM50A/FAM98B/FASTK/FUS/GEMIN2/GEMIN5/GEMIN6/GEMIN8/HABP4/HNRNPA1/HNRNPA1L3/HNRNPH1/HNRNPH3/HNRNPL/HNRNPM/HNRNPUL1/HTATSF1/IK/ILF3/ISY1/JMJD6/KAT2A/KHDRBS1/KHSRP/LGALS3/LSM1/LSM10/LSM2/LSM3/LSM4/LSM5/LSM7/LUC7L3/MAGOH/MBNL1/MBNL3/METTL4/MFAP1/MTREX/NCBP1/NCL/NOL3/NONO/NRDE2/NSRP1/PCBP4/PHF5A/PLRG1/PNN/PPIH/PPIL1/PPP1R9B/PPP4R2/PQBP1/PRDX6/PRKRIP1/PRMT1/PRPF18/PRPF19/PRPF31/PRPF40B/PRX/PTBP1/PTBP3/PUF60/PUS1/QKI/RALY/RBM10/RBM12B/RBM14/RBM15B/RBM17/RBM22/RBM28/RBM3/RBM38/RBM4/RBM41/RBM42/RBM4B/RBM8A/RBMX/RBMX2/RBPMS/REST/RNF113A/RNPS1/RNU5D-1/RNU5F-1/RNVU1-3/RNVU1-4/RNVU1-8/RP9/RPS13/RPS26/RPUSD4/RSRC1/RTCB/RTRAF/SAP18/SART1/SCAF1/SCAF11/SCNM1/SDE2/SETX/SF1/SF3A1/SF3A2/SF3A3/SF3B2/SF3B3/SF3B4/SF3B5/SF3B6/SFPQ/SGF29/SLC39A5/SMU1/SNRNP25/SNRNP27/SNRNP70/SNRPA/SNRPA1/SNRPB/SNRPB2/SNRPC/SNRPD1/SNRPD2/SNRPE/SNRPF/SNRPGP15/SNU13/SREK1IP1/SRPK1/SRPK2/SRRM2/SRSF1/SRSF10/SRSF11/SRSF12/SRSF2/SRSF3/SRSF5/SRSF7/SRSF8/SRSF9/STRAP/SUGP2/SUPT20H/SUPT7L/SYF2/TADA2B/TADA3/TAF10/TAF12-DT/TAF15/TAF6L/TARDBP/TFIP11/TGS1/THOC2/THOC6/TIA1/TRPT1/TRRAP/TSEN2/TSEN34/TSEN54/TSSC4/TTF2/TXNL4A/U2AF1L4/U2AF2/UBL5/UPF3A/USB1/USP39/WBP11/XAB2/YBX1/YJU2/YJU2B/ZC3H10/ZC3H13/ZNF638/ZPR1/ZRSR2",246
"GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process","235/6237","467/18986",0.50321199143469,1.53182345188055,8.1390229145792,2.14481785773894e-15,3.41186900719821e-12,2.90284164272404e-12,"ADRM1/AKT1/AMN1/ANAPC1/ANAPC10/ANAPC11/ANAPC13/ANAPC15/ANAPC2/ANAPC5/ANAPC7/ANKRD9/APC/APPBP2/ARAF/ARIH2/ARMC8/ARRB2/ASB1/ASCC2/ASCC3/AURKA/AXIN1/BAG6/BBS7/BFAR/BIRC2/BTRC/CAMLG/CCAR2/CDC27/CDC34/CDK2/CEBPA/CLOCK/CLU/COP1/CSNK1E/CSNK2A1/CUL2/CUL3/DCAF12/DDA1/DDIT3/DDRGK1/DMAC2/DNAJB2/DTL/DTX4/DVL1/EIF3H/ELOB/EPM2A/ERCC8/FAF1/FBXL12/FBXL13/FBXL15/FBXL2/FBXL20/FBXL22/FBXL4/FBXL5/FBXL6/FBXO11/FBXO2/FBXO22/FBXO38/FBXO39/FBXO44/FBXO48/FBXO6/FBXO7/FBXW11/FBXW5/FZR1/GAN/GCLC/GID4/GID8/GIPC1/GSK3A/GSK3B/HECTD1/HECTD3/HSP90AB1/HSPA1B/HSPBP1/IPP/ITCH/KAT5/KBTBD6/KBTBD7/KCMF1/KCTD10/KCTD17/KCTD2/KCTD5/KIF14/KLHDC10/KLHDC2/KLHDC3/KLHL10/KLHL12/KLHL17/KLHL2/KLHL21/KLHL22/KLHL23/KLHL29/KLHL5/KLHL8/LRRC75A/LRRK2/LTN1/MDM2/MTA1/MTM1/NAGLU/NEMF/NFE2L2/NOP53/PARK7/PCNP/PHF20L1/PIAS1/PJA2/PLK3/PML/PRKN/PSEN1/PSMA7/PSMA8/PSMB1/PSMB10/PSMB2/PSMB3/PSMB4/PSMB5/PSMB6/PSMB7/PSMB8/PSMB9/PSMC1/PSMC2/PSMC3/PSMC4/PSMC5/PSMD1/PSMD13/PSMD2/PSMD3/PSMD4/PSMD7/PSMD8/PSMF1/RACK1/RAD23A/RBCK1/RBX1/RFFL/RMND5A/RMND5B/RNF126/RNF170/RNF180/RNF187/RNF34/RNF7/RPL11/SEM1/SHARPIN/SHH/SIAH2/SIRT2/SIRT6/SKP1/SKP2/SMAD7/SMARCC1/SMURF2/SOCS2/SPOPL/STUB1/STYX/SUMO2/SYVN1/TAF1/TBL1X/TBL1XR1/TOPORS/TRAF4/TRIB3/TRIM26/TRIM28/TRIM3/TRIM38/TRIM39/TRIM45/TRIP12/TRIP4/TRPC4AP/TTC36/UBE2A/UBE2D1/UBE2K/UBE2S/UBE2W/UBE3A/UBE3D/UBQLN4/UBR1/UBR2/UBR3/UBR4/UBR5/UBXN1/UBXN11/UBXN2B/UCHL5/UFD1/USP25/USP44/USP5/USP9X/VHL/WAC/WNT10B/XPO1/ZFAND2A/ZFAND2B/ZNF598/ZNRF1/ZSWIM8/ZYG11B",235
"GO:0022618","protein-RNA complex assembly","129/6237","225/18986",0.573333333333333,1.74527924750147,7.86570053626797,2.95317786593443e-14,3.75821415218815e-11,3.197514476737e-11,"AAR2/ABT1/AGO1/AGO3/AGO4/ATM/ATR/BOP1/CD2BP2/CELF3/CELF6/CLNS1A/CLP1/COIL/DDX1/DDX20/DDX23/DDX28/DDX39B/DDX42/DDX46/DENR/DHX30/DICER1/EIF3B/EIF3C/EIF3CL/EIF3D/EIF3F/EIF3G/EIF3H/EIF3I/EIF3K/EIF3L/EIF3M/EIF5/EIF6/ERAL1/FAU/GEMIN2/GEMIN5/GEMIN6/GEMIN8/HSP90AB1/HTATSF1/ISY1/LSM2/LSM4/LUC7L3/MDN1/METTL17/MRPS7/NCBP1/NOL3/NOP53/NOPCHAP1/PHF5A/PIH1D1/PRKDC/PRKRA/PRPF18/PRPF19/PRPF31/PUF60/RBMX2/RNU5D-1/RNU5F-1/RNVU1-3/RNVU1-4/RNVU1-8/RPL11/RPL13A/RPL24/RPL38/RPL5/RPS14/RPS15/RPS19/RPS27/RPS28/RPS5/RPSA/RPSA2/RRP7BP/RRS1/RUVBL2/SART1/SCAF11/SETX/SF1/SF3A1/SF3A2/SF3A3/SF3B2/SF3B3/SF3B4/SF3B5/SF3B6/SHQ1/SNRPA1/SNRPB/SNRPB2/SNRPC/SNRPD1/SNRPD2/SNRPE/SNRPF/SNRPGP15/SNU13/SRPK1/SRPK2/SRSF1/SRSF10/SRSF12/SRSF5/SRSF9/STRAP/TAF12-DT/TARBP2/TGS1/TSSC4/TXNL4A/U2AF2/USP39/XAB2/XRCC5/YJU2/ZNHIT3/ZRSR2",129
"GO:0071826","protein-RNA complex organization","131/6237","234/18986",0.55982905982906,1.7041710004673,7.58084085385256,2.17006349170976e-13,2.29631444144616e-10,1.95372013736612e-10,"AAR2/ABT1/AGO1/AGO3/AGO4/ATM/ATR/BOP1/CD2BP2/CELF3/CELF6/CLNS1A/CLP1/COIL/DDX1/DDX20/DDX23/DDX28/DDX39B/DDX42/DDX46/DENR/DHX30/DICER1/EIF3B/EIF3C/EIF3CL/EIF3D/EIF3F/EIF3G/EIF3H/EIF3I/EIF3K/EIF3L/EIF3M/EIF5/EIF6/ERAL1/FAU/GEMIN2/GEMIN5/GEMIN6/GEMIN8/HSP90AB1/HTATSF1/ISY1/KIF5B/LSM2/LSM4/LUC7L3/MDN1/METTL17/MRPS7/NCBP1/NOL3/NOP53/NOPCHAP1/PHF5A/PIH1D1/PRKDC/PRKRA/PRPF18/PRPF19/PRPF31/PUF60/RBMX2/RNU5D-1/RNU5F-1/RNVU1-3/RNVU1-4/RNVU1-8/RPL11/RPL13A/RPL24/RPL38/RPL5/RPS14/RPS15/RPS19/RPS27/RPS28/RPS5/RPSA/RPSA2/RRP7BP/RRS1/RUVBL2/SART1/SCAF11/SETX/SF1/SF3A1/SF3A2/SF3A3/SF3B2/SF3B3/SF3B4/SF3B5/SF3B6/SHQ1/SNRPA1/SNRPB/SNRPB2/SNRPC/SNRPD1/SNRPD2/SNRPE/SNRPF/SNRPGP15/SNU13/SRPK1/SRPK2/SRSF1/SRSF10/SRSF12/SRSF5/SRSF9/STRAP/TAF12-DT/TARBP2/TFIP11/TGS1/TSSC4/TXNL4A/U2AF2/USP39/XAB2/XRCC5/YJU2/ZNHIT3/ZRSR2",131
"GO:0007059","chromosome segregation","213/6237","429/18986",0.496503496503497,1.51140217806884,7.49363348375505,2.52619850544132e-13,2.29631444144616e-10,1.95372013736612e-10,"AAAS/ABRAXAS1/ACTR2/ACTR3/AGO4/AKAP8/ANAPC1/ANAPC11/ANAPC15/ANAPC2/ANAPC5/ANAPC7/APC/ARHGEF10/ARID1B/ARID2/ARL8A/ATM/AURKA/BAG6/BAZ1B/BCL7B/BCL7C/BEX4/BOD1/BRCA1/BRIP1/BUB1/BUB3/C9orf78/CCDC69/CCNB1/CCNB1IP1/CCNB2/CCNE1/CDC27/CDC42/CDT1/CENPC/CENPE/CENPF/CENPH/CENPI/CENPM/CENPP/CENPT/CENPX/CEP192/CEP63/CEP97/CHMP1A/CHMP2A/CHMP4B/CIAO1/CIAO2B/CLASP1/CLASP2/CSNK2A1/CUL3/DCTN2/DIAPH3/DLGAP5/DMC1/DPF1/DRG1/DUSP1/DYNC1H1/DYNC1LI1/ECT2/EHMT2/EML3/ERCC2/ESCO2/ESPL1/GOLGA2/GPSM2/HAUS3/HAUS5/HDAC3/HECW2/HORMAD1/HSPA1B/IHO1/IK/INO80/KAT5/KATNB1/KIF11/KIF14/KIF15/KIF18A/KIF22/KIF23/KIF2A/KIF2C/KIF4A/KIFC2/KLHL22/KMT5A/KNL1/KNTC1/LATS1/LZTS2/MAD2L1BP/MAD2L2/MAJIN/MAP10/MAP1S/MAP3K20/MKI67/MLH1/MLH3/MSH4/MZT1/NAA60/NCAPG/NCAPG2/NCAPH2/NCOR1/NDC1/NDEL1/NEK7/NIPBL/NR3C1/NSL1/NUDC/NUP43/NUSAP1/PBRM1/PHF10/PHF13/PIBF1/PINX1/POLDIP2/PTEN/PTTG1/PTTG2/PUM1/PUM2/RAB11A/RACGAP1/RAD18/RAN/RANGRF/RB1/RCC1/RIPOR2/RNF212B/RPS3/RRS1/SASS6/SEH1L/SENP6/SEPTIN1/SETDB2/SGO1/SGO2/SHOC1/SIRT2/SIRT7/SKA1/SKA2/SKA3/SLC25A5/SMARCA5/SMARCAD1/SMARCC1/SMARCD1/SMARCD2/SMARCD3/SMC2/SMC4/SPC24/SPC25/SPDYA/SPICE1/SRPK1/STAG1/STAG2/STIL/SUN1/SYCE2/SYCP2L/TENT4A/TERB2/TEX12/TLK1/TNKS/TOP1/TOP2A/TOP2B/TPR/TPX2/TTL/TTN/TUBB/TUBG1/TUBG2/TUBGCP2/TUBGCP3/TUBGCP4/TUBGCP6/UBE2I/UHRF1/USP44/USP9X/VPS4A/VPS4B/WAPL/WASHC5/WRAP73/ZW10/ZWILCH",213
"GO:0042254","ribosome biogenesis","165/6237","317/18986",0.520504731861199,1.58446413966919,7.3397638181596,9.13588690325469e-13,7.2664560456762e-10,6.18235083466301e-10,"ABT1/AFG2A/AIRIM/AK6/BOP1/BUD23/BYSL/C1D/C1QBP/CUL4B/DDX10/DDX27/DDX28/DDX49/DDX51/DDX54/DDX56/DHX30/DIMT1/DKC1/EBNA1BP2/EFL1/EIF4A3/EIF5/EIF6/ERAL1/ERCC2/ERI1/ERI2/ERI3/EXOSC3/EXOSC6/EXOSC9/FAU/FBL/GAR1/GNL3L/GTF3A/GTPBP10/HEATR3/IMP3/IMP4/KRI1/LTV1/LYAR/MALSU1/MDN1/METTL15/METTL15P1/METTL17/MPV17L2/MRM3/MRPS2/MRPS7/MTREX/NGDN/NGRN/NHP2/NIP7/NOA1/NOB1/NOC2L/NOL10/NOL7/NOLC1/NOP10/NOP16/NOP53/NOP56/NOP9/NPM1/NPM3/NSA2/NSUN3/NSUN5/PA2G4/PELP1/PES1/PIH1D1/POP4/POP7/PRKDC/RAN/RBIS/RBM10/REXO1/REXO4/RNASEL/RPF1/RPL11/RPL14/RPL24/RPL26/RPL26L1/RPL27/RPL35/RPL35A/RPL38/RPL5/RPL7/RPL7A/RPS11/RPS12/RPS13/RPS14/RPS15/RPS15A/RPS16/RPS17/RPS19/RPS19BP1/RPS21/RPS23/RPS24/RPS25/RPS27/RPS27A/RPS28/RPS3A/RPS4X/RPS5/RPS6/RPS7/RPS8/RPS9/RPSA/RPSA2/RPUSD1/RPUSD2/RPUSD4/RRP1/RRP36/RRP7BP/RRP8/RRP9/RRS1/SART1/SBDS/SDAD1/SDE2/SIRT7/SLX9/SNU13/SRFBP1/SURF6/TBL3/TMA16/TRMT112/TRMT61B/TSR2/TSR3/UTP14A/UTP6/WBP11/WDR12/WDR18/WDR3/WDR55/XPO1/XRCC5/XRN2/YBEY/ZNF622/ZNF658/ZNHIT3",165
"GO:0048193","Golgi vesicle transport","159/6237","308/18986",0.516233766233766,1.57146292860579,7.07218067890138,5.5892274911833e-12,3.9515838362666e-09,3.36203473533985e-09,"ACSL3/AP1AR/AP1G2/AP2A1/AP3S2/AP5Z1/ARF5/ARFGAP2/ASAP1/ATP2C1/ATP9B/BBS1/BCAP31/BET1L/BLTP3B/BLZF1/BNIP1/CCDC22/CCDC91/CEP19/CNST/COG5/COG6/COPB2/COPE/COPZ1/COPZ2/CTAGE6/CUL3/CYTH3/DNM2/DOP1A/DOP1B/EPS15/ERGIC1/ERGIC2/ERGIC3/EXOC1/EXOC2/EXOC4/EXOC5/EXOC6/EXOC6B/GABARAPL2/GOLGA2/GOLGA4/GOLGA5/GOLPH3/GOLPH3L/GOPC/GOSR2/HTT/INSIG1/KDELR1/KDELR3/KIF13A/KIF16B/KIF1C/KLHL12/LAMP1/LAPTM5/LLGL2/LMAN1L/LRRK2/MACF1/MIA2/MIA3/MON2/MYO5A/NBAS/NRBP1/NSF/OPTN/P4HB/PDCD6/PEF1/PITPNB/PREPL/PRKCI/RAB10/RAB11A/RAB11FIP3/RAB14/RAB1B/RAB33B/RAB34/RAB3IP/RABEP1/RABGGTA/RABGGTB/RACK1/RANGRF/RER1/RP2/RSC1A1/SAR1B/SCAMP1/SCAMP2/SCAMP3/SCFD1/SCYL1/SEC13/SEC16A/SEC22A/SEC22B/SEC22C/SEC23A/SEC23B/SEC23IP/SEC24A/SEC24D/SEC31A/SEC31B/SGSM2/SLC10A7/SNX12/SNX3/SORL1/SORT1/SPAST/STEEP1/STX17/STX6/STXBP5/SURF4/TEX261/TMED1/TMED10/TMED3/TMED4/TMED5/TMED6/TMED9/TRAPPC11/TRAPPC2L/TRAPPC3/TRAPPC4/TRAPPC6A/TRAPPC6B/TRAPPC8/TRAPPC9/TRIP11/USE1/USO1/VAMP2/VAMP5/VAPB/VPS13C/VPS35L/VPS41/VPS51/VPS54/WHAMM/YIF1A/YIF1B/YIPF4/YIPF6/YKT6/ZW10",159
"GO:1901873","regulation of post-translational protein modification","135/6237","253/18986",0.533596837944664,1.62431771127423,6.99225666916589,1.07692703915027e-11,6.85248675011315e-09,5.83014290773666e-09,"ABCA2/ABL1/AKT1/ANGPT1/ARNT/ARRB2/ARRDC3/ATG5/AXIN1/BEX2/BEX4/BIRC2/BTRC/CAMLG/CAPN3/CDK5/CDK5RAP3/CENPX/CEP63/COPS4/COPS6/COPS7B/COPS9/CRTAP/CUL3/DAXX/DCUN1D1/DCUN1D4/DNAJB2/DTX3L/EPM2A/FANCI/FANCM/FBXO2/FZR1/GCLC/GNL3L/GPS1/GPS2/GSK3A/GSK3B/HDAC3/HDAC4/HDAC8/HMG20B/HSP90AB1/HSPA1B/HSPA5/HSPBP1/HUWE1/INAVA/ITCH/LAPTM5/LIMK1/LRRK2/MAD2L2/MALT1/MARCHF6-DT/MARCHF7/MINAR1/MTA1/MTBP/MUL1/MYCBP2/NMI/NOP53/NSMCE3/P3H1/PARK7/PARP10/PDCD6/PEF1/PIAS1/PIAS3/PINX1/PPIA/PRKCE/PRKN/PRMT3/PSEN1/PTEN/PTPN22/PTTG1IP/RASD2/RASSF1/RASSF5/RBCK1/RBX1/RELA/RNF111/RNF180/RPL11/RPL23/RPL5/RPS2/RPS3/RPS7/SENP2/SEPTIN4/SIAH2/SIRT7/SKP1/SKP2/SMAD7/SPHK1/SPOPL/SPRTN/SQSTM1/STUB1/SVBP/TAF1/TANK/TBC1D7/TGFBR1/TICAM1/TNFAIP3/TNIP1/TRIB3/TSPO/TTC36/U2AF2/UBB/UBE2D1/UBE2I/UBE2S/UBE2V1/UBE2V2/UBE3A/UBXN1/USP44/VPS28/WASHC1/WNK1/XIAP/ZC3H12A",135
