"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0044391","ribosomal subunit","136/6488","186/19960",0.731182795698925,2.2494464553253,11.8805249062166,5.32163633340111e-30,4.07105179505185e-27,2.66641988915677e-27,"AURKAIP1/CHCHD1/DAP3/FAU/GADD45GIP1/LARP4/MPV17L2/MRPL10/MRPL11/MRPL14/MRPL16/MRPL17/MRPL19/MRPL21/MRPL22/MRPL23/MRPL24/MRPL28/MRPL30/MRPL32/MRPL33/MRPL34/MRPL36/MRPL37/MRPL38/MRPL4/MRPL40/MRPL41/MRPL42/MRPL43/MRPL44/MRPL45/MRPL47/MRPL49/MRPL52/MRPL54/MRPL55/MRPL57/MRPL58/MRPL9/MRPS12/MRPS15/MRPS2/MRPS21/MRPS26/MRPS28/MRPS30/MRPS31/MRPS34/MRPS5/MRPS7/NSUN3/RACK1/RBM3/RPL10/RPL10A/RPL11/RPL12/RPL13/RPL13A/RPL14/RPL15/RPL17/RPL18/RPL18A/RPL19/RPL21/RPL22/RPL23/RPL23A/RPL24/RPL26/RPL26L1/RPL27/RPL27A/RPL28/RPL29/RPL3/RPL30/RPL31/RPL32/RPL34/RPL35/RPL35A/RPL36/RPL36AL/RPL37/RPL37A/RPL38/RPL39/RPL39L/RPL4/RPL41/RPL5/RPL6/RPL7/RPL7A/RPL8/RPL9/RPLP0/RPLP0P6/RPLP1/RPLP2/RPS11/RPS12/RPS13/RPS14/RPS15/RPS15A/RPS16/RPS17/RPS18/RPS19/RPS2/RPS20/RPS21/RPS23/RPS24/RPS25/RPS26/RPS27/RPS27A/RPS28/RPS29/RPS3/RPS3A/RPS4X/RPS5/RPS6/RPS7/RPS8/RPS9/RPSA/RPSA2/UBA52/ZCCHC17",136
"GO:0022626","cytosolic ribosome","94/6488","118/19960",0.796610169491525,2.45073042278836,10.9684124284825,5.89082522680807e-26,2.25324064925409e-23,1.47580674103192e-23,"ASCC2/ASCC3/EEF1A1/FAU/HBS1L/LARP4/LTN1/NEMF/RACK1/RNF14/RNF25/RPL10/RPL10A/RPL11/RPL12/RPL13/RPL13A/RPL14/RPL15/RPL17/RPL18/RPL18A/RPL19/RPL21/RPL22/RPL23/RPL23A/RPL24/RPL26/RPL26L1/RPL27/RPL27A/RPL28/RPL29/RPL3/RPL30/RPL31/RPL32/RPL34/RPL35/RPL35A/RPL36/RPL36AL/RPL37/RPL37A/RPL38/RPL39/RPL39L/RPL4/RPL41/RPL5/RPL6/RPL7/RPL7A/RPL8/RPL9/RPLP0/RPLP0P6/RPLP1/RPLP2/RPS11/RPS12/RPS13/RPS14/RPS15/RPS15A/RPS16/RPS17/RPS18/RPS19/RPS2/RPS20/RPS21/RPS23/RPS24/RPS25/RPS26/RPS27/RPS27A/RPS28/RPS29/RPS3/RPS3A/RPS4X/RPS5/RPS6/RPS7/RPS8/RPS9/RPSA/RPSA2/UBA52/ZCCHC17/ZNF598",94
"GO:0015934","large ribosomal subunit","89/6488","114/19960",0.780701754385965,2.40178899777186,10.4161530305539,1.66318481498484e-23,4.24112127821133e-21,2.77781042783432e-21,"GADD45GIP1/MPV17L2/MRPL10/MRPL11/MRPL14/MRPL16/MRPL17/MRPL19/MRPL21/MRPL22/MRPL23/MRPL24/MRPL28/MRPL30/MRPL32/MRPL33/MRPL34/MRPL36/MRPL37/MRPL38/MRPL4/MRPL40/MRPL41/MRPL42/MRPL43/MRPL44/MRPL45/MRPL47/MRPL49/MRPL52/MRPL54/MRPL55/MRPL57/MRPL58/MRPL9/MRPS30/NSUN3/RBM3/RPL10/RPL10A/RPL11/RPL12/RPL13/RPL13A/RPL14/RPL15/RPL17/RPL18/RPL18A/RPL19/RPL21/RPL22/RPL23/RPL23A/RPL24/RPL26/RPL26L1/RPL27/RPL27A/RPL28/RPL29/RPL3/RPL30/RPL31/RPL32/RPL34/RPL35/RPL35A/RPL36/RPL36AL/RPL37/RPL37A/RPL38/RPL39/RPL39L/RPL4/RPL41/RPL5/RPL6/RPL7/RPL7A/RPL8/RPL9/RPLP0/RPLP0P6/RPLP1/RPLP2/UBA52/ZCCHC17",89
"GO:0005840","ribosome","154/6488","245/19960",0.628571428571429,1.93376783512419,10.205454107431,1.2207771772114e-22,2.3347363514168e-20,1.52918404303322e-20,"APEX1/ASCC2/ASCC3/AURKAIP1/CALR/CHCHD1/DAP3/EEF1A1/EEF2/FAU/GADD45GIP1/HBS1L/LARP4/LTN1/MPV17L2/MRPL10/MRPL11/MRPL14/MRPL16/MRPL17/MRPL19/MRPL21/MRPL22/MRPL23/MRPL24/MRPL28/MRPL30/MRPL32/MRPL33/MRPL34/MRPL36/MRPL37/MRPL38/MRPL4/MRPL40/MRPL41/MRPL42/MRPL43/MRPL44/MRPL45/MRPL47/MRPL49/MRPL52/MRPL54/MRPL55/MRPL57/MRPL58/MRPL9/MRPS12/MRPS15/MRPS2/MRPS21/MRPS26/MRPS28/MRPS30/MRPS31/MRPS34/MRPS5/MRPS7/NCK1/NEMF/NSUN3/RACK1/RBM3/RNF14/RNF25/RPL10/RPL10A/RPL11/RPL12/RPL13/RPL13A/RPL13AP3/RPL14/RPL15/RPL17/RPL18/RPL18A/RPL19/RPL21/RPL22/RPL22L1/RPL23/RPL23A/RPL24/RPL26/RPL26L1/RPL27/RPL27A/RPL28/RPL29/RPL3/RPL30/RPL31/RPL32/RPL34/RPL35/RPL35A/RPL36/RPL36AL/RPL37/RPL37A/RPL38/RPL39/RPL39L/RPL4/RPL41/RPL5/RPL6/RPL7/RPL7A/RPL8/RPL9/RPLP0/RPLP0P6/RPLP1/RPLP2/RPS11/RPS12/RPS13/RPS14/RPS15/RPS15A/RPS16/RPS17/RPS18/RPS19/RPS2/RPS20/RPS21/RPS23/RPS24/RPS25/RPS26/RPS27/RPS27A/RPS28/RPS29/RPS3/RPS3A/RPS4X/RPS5/RPS6/RPS7/RPS8/RPS9/RPSA/RPSA2/RRBP1/SERP1/SF1/UBA52/ZCCHC17/ZNF598",154
"GO:0022625","cytosolic large ribosomal subunit","51/6488","57/19960",0.894736842105263,2.75261210980596,9.19544470304053,4.14898624216337e-19,6.34794895050996e-17,4.15772095004161e-17,"RPL10/RPL10A/RPL11/RPL12/RPL13/RPL13A/RPL14/RPL15/RPL17/RPL18/RPL18A/RPL19/RPL21/RPL22/RPL23/RPL23A/RPL24/RPL26/RPL26L1/RPL27/RPL27A/RPL28/RPL29/RPL3/RPL30/RPL31/RPL32/RPL34/RPL35/RPL35A/RPL36/RPL36AL/RPL37/RPL37A/RPL38/RPL39/RPL39L/RPL4/RPL41/RPL5/RPL6/RPL7/RPL7A/RPL8/RPL9/RPLP0/RPLP0P6/RPLP1/RPLP2/UBA52/ZCCHC17",51
"GO:0005819","spindle","219/6488","434/19960",0.504608294930876,1.5524015978453,8.07424495828479,3.9497236409317e-15,5.03589764218792e-13,3.29836570716402e-13,"AAAS/ACOT13/AFG2A/AKT1/ALMS1/ANAPC5/ANAPC7/ARL2BP/ARL8A/ATM/AUNIP/AURKA/BBLN/BEX4/BIRC6/BOD1/BRCC3/CALM3/CBX1/CCAR2/CCDC69/CCNB1/CD180/CDC14A/CDC25B/CDC27/CDC42/CENPE/CENPF/CENPV/CEP128/CEP162/CEP170/CEP19/CEP295/CEP350/CEP44/CEP63/CFAP53/CHMP1A/CHMP2A/CHMP4B/CIAO1/CIAO2B/CKAP2L/CKAP5/CLASP1/CLASP2/CLTA/CLTC/CLTCL1/CNTRL/CSPP1/CUL3/DCTN3/DIAPH3/DLGAP5/DR1/DYNC1LI1/DYNLT1/E4F1/ECT2/EMD/EML2/EML3/ENKD1/EPB41/ERCC2/ESPL1/EVI5/FAM110A/FBF1/FRY/GIT1/GOLGA2/GPSM2/GPX2/HAUS3/HAUS5/HDAC3/HECW2/HEPACAM2/HSF1/HSPB1/IK/IKBKG/INO80/INPPL1/INVS/KAT2A/KAT5/KATNAL1/KATNAL2/KATNB1/KATNBL1/KIF11/KIF14/KIF15/KIF16B/KIF18A/KIF20A/KIF20B/KIF22/KIF23/KIF2A/KIF2C/KIF4A/KIFAP3/KIFC2/KLHL21/KLHL22/KNTC1/LATS1/LEMD2/LIMK2/MAD2L1BP/MAD2L2/MAK/MAP10/MAP1S/MAP2K5/MAP7D1/MAP7D3/MAPK14/MICAL3/MZT1/MZT2A/MZT2B/NCOR1/NDEL1/NEDD1/NEDD9/NEIL2/NEK7/NGRN/NIN/NME7/NPM1/NR3C1/NSL1/NSMCE1/NUBP2/NUDC/NUP85/NUSAP1/ODF2/PARP4/PINX1/PKP4/PLEKHG6/PLK3/POC1B/POLDIP2/PRPF19/PTP4A1/RAB11A/RACGAP1/RAE1/RALBP1/RANGAP1/RASSF1/RB1/RIF1/RMDN2/RMDN3/RPS3/RTRAF/SBDS/SEPTIN1/SGF29/SGO1/SIRT2/SKA1/SKA2/SKA3/SLC25A5/SPAST/SPECC1L/SPICE1/STAG1/STAG2/TADA3/TBCK/TBL1X/TBL1XR1/TMEM201/TMEM9/TNKS/TOPBP1/TOPORS/TPR/TPT1/TPX2/TRAPPC14/TTL/TUBB/TUBB2A/TUBB2B/TUBB4B/TUBG1/TUBG2/TUBGCP2/TUBGCP3/TUBGCP4/TUBGCP6/UBXN2B/UHRF1/UNC119/USP44/UXT/VPS4A/VPS4B/WAPL/WDR5/WDR73/WNK1/ZW10/ZWILCH/ZZZ3",219
"GO:0098687","chromosomal region","206/6488","404/19960",0.50990099009901,1.56868430369547,8.01365575323495,6.60092397545018e-15,7.21386691602769e-13,4.72487189821697e-13,"ACD/AHCTF1/ALYREF/APC/APEX1/ARID2/ATM/ATR/ATRX/AURKA/BAZ1A/BAZ1B/BLM/BOD1/BRCA2/BUB1/BUB3/C9orf78/CBX1/CCNB1/CDC73/CDK2/CDT1/CEBPB/CENPB/CENPC/CENPE/CENPF/CENPH/CENPI/CENPM/CENPP/CENPT/CENPV/CENPX/CHMP1A/CHMP2A/CHMP4B/CHRAC1/CKAP5/CLASP1/CLASP2/CLIP1/DAXX/DCTN2/DCTN3/DCTN6/DMC1/DNA2/DSCC1/DYNC1LI1/ERCC1/ERCC4/ERCC6L/ESCO2/EZH2/FBXW11/FEN1/FLYWCH1/GAR1/GATAD2B/GPATCH11/H2AC4/H2AC8/H2AX/H2BC3/H3-3B/H4C1/H4C11/H4C12/H4C13/H4C16/H4C2/H4C3/H4C4/H4C5/H4C6/H4C9/HAT1/HELLS/HMBOX1/HSF1/IKZF1/KANSL1/KAT5/KAT8/KDM4C/KIF18A/KIF22/KIF2C/KMT5B/KMT5C/KNL1/KNTC1/LIG4/LRIF1/LRWD1/MAJIN/MCM5/MCM7/MEN1/MIS18BP1/MSH2/MTA2/MTBP/NABP1/NABP2/NBN/NCAPG/NDEL1/NGDN/NHP2/NSL1/NSMCE1/NSMCE3/NSMCE4A/NUP160/NUP43/NUP85/ORC2/ORC3/ORC4/ORC5/PARP1/PBRM1/PDS5A/PDS5B/PHF10/PHF6/PINX1/PLK3/PML/POLD1/POLE3/POT1/PPP1CA/PPP1R10/PPP1R12A/PRKDC/PSEN1/PSEN2/PURA/RAD50/RAD51/RAD51D/RANGAP1/RBBP4/RBBP7/RIF1/RPA4/SEC13/SEH1L/SETX/SGO1/SGO2/SIRT2/SIRT6/SKA1/SKA2/SKA3/SLF1/SLF2/SMARCA5/SMARCC1/SMARCD1/SMARCD2/SMC1B/SMC4/SMCHD1/SMG6/SNAI1/SP100/SPC24/SPC25/SPDYA/SS18L1/SSB/STAG1/STAG2/SUGT1/SUMO3/SUN1/SUV39H2/SYCP2L/SYCP3/TELO2/TEN1/TERB2/TERF2IP/TFIP11/THOC2/THOC6/TNKS/TOP2A/TP53BP1/TPR/TRIOBP/WAPL/WRNIP1/XPO1/XRCC1/XRCC5/XRCC6/ZNF330/ZW10/ZWILCH",206
"GO:0016607","nuclear speck","206/6488","416/19960",0.495192307692308,1.52343379493503,7.48704545662055,2.84225391504625e-13,2.71790530626297e-11,1.78014850468686e-11,"ABHD17A/ACIN1/AFF2/AK6/AKAP17A/ALKBH5/ALYREF/AP5Z1/APEX1/API5/ARGLU1/ARHGAP18/ASCC1/ASCC2/ASCC3/ATF4/ATXN2L/BARD1/BCAS2/BMP2K/BNIP3L/BRD2/C12orf57/CACNB4/CACTIN/CASC3/CBLL1/CBX4/CCNL2/CD2BP2/CDC34/CDC5L/CDK12/CDK13/CHTOP/CLK2/CLK3/CMYA5/COP1/COPS4/CRY2/CTR9/CWC15/CWC22/CXXC1/DACH1/DAZAP2/DDX39A/DDX39B/DDX42/DDX46/DDX5/DENND1B/DGKQ/DGKZ/DYRK1A/EAF2/EHMT2/EIF4A3/EIF4E/EIF4ENIF1/ELL/EP400/ERBIN/FAM193B/FBXL4/FIBP/FOXO4/FTO/GADD45A/GATAD2B/GRK5/GTF2H2/GTF2H2C/H2AX/HABP4/HDAC4/HEATR5B/HECTD1/HSF4/HSPA1B/IFI16/IK/ILRUN/INPPL1/KIF22/KMT2E/LIMK1/LPXN/LUC7L3/MAGOH/MAML2/MAPK14/MBD1/MEF2C/MOCS2/MTREX/NAMPT/NCAPG2/NDUFB1/NOC3L/NONO/NR3C1/NRDE2/NSL1/NSRP1/NUP43/NXF1/NXT1/PABPN1/PALB2/PARN/PCBP1/PHF5A/PIAS1/PIAS2/PIAS3/PIN1/PLCB1/PLRG1/PNN/POLDIP3/PPIH/PPP1R16B/PQBP1/PRCC/PRKAA1/PRKACA/PRKN/PRPF18/PRPF19/PRPF31/PRPF40B/RBBP6/RBM10/RBM14/RBM15B/RBM27/RBM4/RBM4B/RBM8A/REXO4/RING1/RNF113A/RNF34/RNPS1/RSRC1/S100PBP/SAP18/SARNP/SART1/SCAPER/SCNM1/SDE2/SETD1A/SF3A1/SF3A2/SF3A3/SF3B2/SFPQ/SIRT7/SLC2A4RG/SMC4/SMU1/SMURF2/SNRNP70/SNRPA1/SNRPB2/SNURF/SPRTN/SRP54/SRPK1/SRPK2/SRRM2/SRSF1/SRSF10/SRSF11/SRSF12/SRSF2/SRSF3/SRSF5/SRSF7/SRSF8/SRSF9/SURF2/SYF2/TARDBP/TCF12/TFIP11/THAP7/THOC2/THOC6/TIMM50/TOE1/TOPORS/TRIP12/TUT1/U2AF1L4/U2AF2/WAC/ZC3H13/ZC3H18/ZNF106/ZNF217/ZNF395/ZNF638",206
"GO:0005684","U2-type spliceosomal complex","64/6488","95/19960",0.673684210526316,2.07255500032449,7.27186591661894,3.35307829831747e-12,2.85011655356985e-10,1.86674300584692e-10,"AQR/BCAS2/BUD31/CASC3/CCDC12/CDC5L/CWC15/CWC22/CWC27/DDX42/DDX46/DHX16/DHX8/EIF4A3/HTATSF1/IK/ISY1/LSM2/LSM3/LSM4/LSM5/LSM7/LUC7L3/MFAP1/PHF5A/PLRG1/PPIL1/PRPF18/PRPF19/PRPF31/PRPF40B/RBM22/RBM8A/RBMX2/RNF113A/SART1/SF3A1/SF3A2/SF3A3/SF3B2/SF3B3/SF3B4/SF3B5/SF3B6/SMU1/SNRNP70/SNRPA1/SNRPB/SNRPB2/SNRPC/SNRPD1/SNRPD2/SNRPE/SNRPF/SNRPGP15/SNU13/SRRM2/SYF2/TFIP11/TXNL4A/U2AF2/XAB2/YJU2/YJU2B",64
"GO:0005774","vacuolar membrane","231/6488","491/19960",0.470468431771894,1.44737205582106,6.96540782390922,8.5661974073245e-12,6.55314101660324e-10,4.2921157535647e-10,"ABCA13/ABCA2/ABCC11/ABHD6/ACP3/AHNAK/AP1S1/AP2A1/AP2B1/AP2M1/AP2S1/AP3B1/AP3M1/AP5M1/ARL8A/ATG12/ATG14/ATG4B/ATP10B/ATP11B/ATP11C/ATP13A2/ATP6AP1/ATP6V0B/ATP6V0E1/ATP6V0E2/ATP6V1A/ATP6V1C1/ATP6V1D/ATP6V1F/ATP6V1G1/ATP6V1H/ATP8A1/ATRAID/AZU1/B2M/B4GALT1/BORCS5/BORCS7/BORCS8/BRI3/BST2/CCDC115/CCZ1/CD1D/CD63/CD74/CEACAM6/CEACAM8/CHMP1A/CHMP2A/CHMP4B/CKAP4/CLCN3/CLCN6/CLCN7/CLN5/CLTA/CLTC/CP/CPNE3/CSF3R/CTSA/CTSD/CYB561/CYBRD1/DDOST/DNAJC13/DRAM1/DTX3L/ECE1/EEF1A1/ENPEP/FLOT1/FNIP1/GAA/GABARAPL1/GABARAPL2/GABARAPL3/GDAP2/GLIPR1/GNAI3/GNAQ/GNB2/GNB4/GOPC/GPR137/GPR137C/GPR155/GRN/HLA-DMA/HLA-DMB/HLA-DPA1/HLA-DPB1/HLA-DRA/HLA-DRB1/HLA-F/HLA-H/IFITM1/IFITM2/IFITM3/ITM2C/KIF5B/KXD1/LAMP1/LAMP2/LAMTOR1/LAMTOR2/LAMTOR3/LAMTOR4/LAMTOR5/LAPTM4A/LAPTM5/LMBRD1/LNPEP/LRBA/LRP2/LRRC8A/MAGT1/MANBA/MAP1LC3A/MARCHF1/MARCHF2/MARCHF9/MCOLN1/MEAK7/MFSD12/MIOS/MITF/MLST8/MTOR/NEU1/NEU3/NKG7/NPC1/NPRL2/NSF/OSTM1/PGAP6/PI4K2A/PIP4P1/PLAAT3/PLD1/PLD3/PLEKHM2/PRMT1/PSAP/PSEN1/RAB14/RAB3D/RAB5C/RAP1B/RB1CC1/RDH14/RNF13/RNF167/RPTOR/RRAGD/SAR1B/SBF2/SEC13/SEH1L/SESN2/SH3GLB1/SLC15A3/SLC15A4/SLC17A9/SLC30A4/SLC31A2/SLC36A4/SLC38A9/SLC39A8/SLC3A1/SLC3A2/SLC44A2/SLCO4C1/SNX14/SORT1/SPAG9/SPG11/SPNS1/SPPL2B/STARD3/STING1/STK11IP/STOM/STX17/STX7/SURF4/TAB2/TASL/TBC1D7/TCIRG1/TEX264/TFE3/THBD/TLR7/TLR8/TM9SF1/TMBIM1/TMEM106B/TMEM163/TMEM165/TMEM175/TMEM203/TMEM59/TMEM9/TMEM9B/TRIM23/UBA1/UBA52/UBXN6/VAC14/VAMP8/VASN/VLDLR/VMP1/VPS11/VPS13B/VPS13C/VPS16/VPS18/VPS33A/VPS35/VPS39/VPS41/VPS4A/WDFY3/WDR11/WDR41/ZFYVE26",231
