"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Neurodegenerative disease","hsa05016","Huntington disease","124/1653","311/9397",0.39871382636656,2.26661453500699,10.4945435574283,3.68439212241243e-21,1.27111528223229e-18,1.0936827142319e-18,"10120/11047/1173/1175/317/60673/498/506/509/513/514/516/517/518/10476/522/581/27113/1211/1212/1213/1327/9377/1329/1337/1340/1347/9167/1349/1350/1351/10488/1537/11258/196385/8701/127602/55567/56171/1770/10126/2081/2776/2876/2877/3064/3708/4294/4217/2475/4694/126328/4695/4696/4697/4700/4706/4716/54539/4708/4710/4712/4713/4717/4720/4722/4725/4726/4728/4723/5289/30849/5432/5434/5435/5436/5437/5439/246721/548644/5440/5441/10105/5688/5689/5690/5691/5692/5693/5694/5695/5700/5702/5704/5705/5707/5719/5708/5709/5710/5713/5714/5715/9821/5978/6389/6390/7979/6506/6507/292/293/6647/113457/112714/203068/7280/7381/7384/7386/7388/440567/27089/7417",124
"Human Diseases","Neurodegenerative disease","hsa05012","Parkinson disease","111/1653","271/9397",0.409594095940959,2.3284668599862,10.2522785402189,4.12521583245067e-20,7.11599731097741e-18,6.12268876184784e-18,"111/11047/317/468/498/506/509/513/514/516/517/518/10476/522/581/808/1327/9377/1329/1337/1340/1347/9167/1349/1350/1351/1537/1616/1649/9451/2081/2771/2778/3309/27429/3708/3709/120892/4129/4217/55669/4694/126328/4695/4696/4697/4700/4706/4716/54539/4708/4710/4712/4713/4717/4720/4722/4725/4726/4728/4723/4780/11315/10105/5688/5689/5690/5691/5692/5693/5694/5695/5700/5702/5704/5705/5707/5719/5708/5709/5710/5713/5714/5715/6233/6389/6390/7979/292/293/57181/7922/64116/9627/6647/113457/112714/203068/7280/25828/7311/7316/7327/7381/7384/7386/7388/440567/27089/7417/7494",111
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease - COVID-19","99/1653","238/9397",0.415966386554622,2.36469215635438,9.85199999920544,1.31303538432237e-18,1.50999069197073e-16,1.29921395922424e-16,"59272/6868/730/1675/3627/2147/2197/3454/3455/3593/3654/3661/5595/4142/4790/4793/5291/5970/6134/4736/6135/6136/6137/23521/9045/6138/6141/6142/6143/6144/6146/200916/9349/6147/6152/6154/51121/6155/6157/6158/6159/6122/6156/6160/6161/6164/11224/6165/25873/6166/6167/6168/6169/6170/6124/6171/6125/6128/6129/6130/6132/6133/6175/6176/6181/6205/6206/6207/6208/6209/6210/6217/6218/6222/6223/6187/6224/6227/6228/6229/6230/6231/6232/6233/6234/6235/6188/6189/6191/6193/6194/6201/6202/6203/3921/388524/29110/51311/7311",99
"Human Diseases","Neurodegenerative disease","hsa05014","Amyotrophic lateral sclerosis","134/1653","371/9397",0.361185983827493,2.05327567454746,9.5632740904415,2.46090849610222e-18,2.12253357788816e-16,1.82625314710744e-16,"10120/11047/10189/310/317/468/60673/498/506/509/513/514/516/517/518/10476/522/6311/11273/581/9973/400916/1327/9377/1329/1337/1340/1347/9167/1349/1350/1351/1537/1616/11258/1649/196385/8701/127602/55567/56171/1770/10126/9451/2081/9896/2876/2877/2903/3178/642659/3309/4217/9782/2475/4686/4694/126328/4695/4696/4697/4700/4706/4716/54539/4708/4710/4712/4713/4717/4720/4722/4725/4726/4728/4723/91181/129401/348995/9818/9688/10482/29107/5216/5289/30849/5530/5688/5689/5690/5691/5692/5693/5694/5695/5700/5702/5704/5705/5707/5719/5708/5709/5710/5713/5714/5715/5903/9821/6389/6390/6396/7979/23064/10280/6506/6647/80208/8878/10010/29110/10452/7175/113457/112714/203068/7280/7381/7384/7386/7388/440567/27089/7494",134
"Human Diseases","Neurodegenerative disease","hsa05022","Pathways of neurodegeneration - multiple diseases","159/1653","483/9397",0.329192546583851,1.87139888702265,9.08404987695467,3.82949775393996e-17,2.64235345021857e-15,2.27351235076015e-15,"10120/11047/317/324/369/468/60673/498/506/509/513/514/516/517/518/10476/522/6310/6311/11273/578/581/673/776/779/808/9973/1131/1327/9377/1329/1337/1340/1347/9167/1349/1350/1351/1537/1616/11258/1649/196385/8701/127602/55567/56171/1770/10126/1855/1857/9451/2081/9896/8323/2776/2876/2877/2903/2932/3265/3028/3309/27429/3064/3552/3708/3709/120892/5605/4294/4217/5595/55669/2475/4694/126328/4695/4696/4697/4700/4706/4716/54539/4708/4710/4712/4713/4717/4720/4722/4725/4726/4728/4723/4790/11315/5289/30849/10105/5530/5663/5664/5688/5689/5690/5691/5692/5693/5694/5695/5700/5702/5704/5705/5707/5719/5708/5709/5710/5713/5714/5715/5743/9821/5970/6233/6389/6390/7979/10280/292/293/9627/6647/80208/6712/8878/10010/29110/10452/113457/112714/203068/7280/7311/7316/7327/7381/7384/7386/7388/440567/27089/7417/7480/54361/7474/7494",159
"Human Diseases","Neurodegenerative disease","hsa05020","Prion disease","103/1653","278/9397",0.370503597122302,2.10624458690761,8.65018124875327,3.58193277826032e-15,2.05961134749969e-13,1.77211411134984e-13,"11047/317/1386/468/498/506/509/513/514/516/517/518/10476/522/581/730/776/779/6352/1327/9377/1329/1337/1340/1347/9167/1349/1350/1351/10488/1535/1537/1649/9451/2903/2932/3309/3552/3708/3709/3915/5595/4694/126328/4695/4696/4697/4700/4706/4716/54539/4708/4710/4712/4713/4717/4720/4722/4725/4726/4728/4723/5291/10105/5530/5688/5689/5690/5691/5692/5693/5694/5695/5700/5702/5704/5705/5707/5719/5708/5709/5710/5713/5714/5715/5880/6389/6390/7979/292/293/6647/113457/112714/203068/7280/7381/7384/7386/7388/440567/27089/7417",103
"Human Diseases","Neurodegenerative disease","hsa05010","Alzheimer disease","130/1653","391/9397",0.332480818414322,1.89009210564996,8.30582191760439,1.52385958215619e-14,7.51045079776981e-13,6.46208123560972e-13,"102/6868/11047/207/317/324/51107/369/468/60673/498/506/509/513/514/516/517/518/10476/522/673/776/779/808/1131/1327/9377/1329/1337/1340/1347/9167/1349/1350/1351/1537/1649/1855/1857/9451/2081/8323/2597/2776/2903/2932/3265/3028/3552/3708/3709/5605/4217/5595/2475/4694/126328/4695/4696/4697/4700/4706/4716/54539/4708/4710/4712/4713/4717/4720/4722/4725/4726/4728/4723/4790/5289/5291/30849/10105/5530/5663/5664/55851/5688/5689/5690/5691/5692/5693/5694/5695/5700/5702/5704/5705/5707/5719/5708/5709/5710/5713/5714/5715/5743/9821/5970/6389/6390/7979/292/293/57181/7922/64116/113457/112714/203068/7280/7381/7384/7386/7388/440567/27089/7417/7480/54361/7474/7494",130
"Metabolism","Energy metabolism","hsa00190","Oxidative phosphorylation","60/1653","138/9397",0.434782608695652,2.47165890738841,8.04618332279487,9.13641129254657e-13,3.94007736991071e-11,3.39008945328702e-11,"495/498/506/509/513/514/516/517/518/267020/10476/522/537/533/155066/523/528/51382/9296/9550/1327/9377/1329/1337/1340/1347/9167/1349/1350/1351/1537/4694/126328/4695/4696/4697/4700/4706/4716/54539/4708/4710/4712/4713/4717/4720/4722/4725/4726/4728/4723/6389/6390/10312/7381/7384/7386/7388/440567/27089",60
"Human Diseases","Cancer: overview","hsa05208","Chemical carcinogenesis - reactive oxygen species","80/1653","227/9397",0.352422907488987,2.00345920246462,7.07055068051618,8.64350144559714e-11,3.31334222081224e-09,2.85083907328467e-09,"52/10327/1109/207/369/498/506/509/513/514/516/517/518/10476/522/673/1327/9377/1329/1337/1340/1347/9167/1349/1350/1351/1535/1537/1544/2885/2946/119391/3265/5605/6416/4217/5595/4694/126328/4695/4696/4697/4700/4706/4716/54539/4708/4710/4712/4713/4717/4720/4722/4725/4726/4728/4723/4780/4790/1728/5291/5337/10105/5728/5781/5970/6389/6390/292/293/6647/6654/6655/7381/7384/7386/7388/440567/27089/7417",80
"Human Diseases","Cardiovascular disease","hsa05415","Diabetic cardiomyopathy","72/1653","205/9397",0.351219512195122,1.99661812226108,6.66539607461267,9.12632223854863e-10,3.14858117229928e-08,2.70907670660075e-08,"207/498/506/509/513/514/516/517/518/10476/522/1327/9377/1329/1337/1340/1347/9167/1349/1350/1351/1509/1535/1537/2597/2932/51660/2475/4694/126328/4695/4696/4697/4700/4706/4716/54539/4708/4710/4712/4713/4717/4720/4722/4725/4726/4728/4723/4790/5164/5291/5350/5465/10105/5499/5728/5524/5880/5970/6389/6390/292/293/4087/7046/7381/7384/7386/7388/440567/27089/7417",72
"Genetic Information Processing","Folding, sorting and degradation","hsa03050","Proteasome","26/1653","46/9397",0.565217391304348,3.21315657960493,6.95164021831469,2.94852780928777e-09,9.24765540185709e-08,7.95679274850862e-08,"11047/5688/5689/5699/5690/5691/5692/5693/5694/5695/5696/5700/5702/5704/5705/5707/5719/5708/5709/5710/5713/5714/5715/5720/5721/7979",26
"Organismal Systems","Environmental adaptation","hsa04714","Thermogenesis","78/1653","235/9397",0.331914893617021,1.88687492759779,6.36101505503223,3.62271760470489e-09,1.04153131135266e-07,8.9614593379542e-08,"2181/107/55811/111/57492/1386/498/506/509/513/514/516/517/518/267020/10476/522/55744/116228/1327/9377/1329/1337/1340/1347/9167/1349/1350/1351/10488/1537/8193/2778/2885/3265/152831/4217/64223/2475/4694/126328/4695/4696/4697/4700/4706/4716/54539/4708/4710/4712/4713/4717/4720/4722/4725/4726/4728/4723/4881/57104/53632/6194/6197/6389/6390/51548/6602/6603/6605/6654/6655/7381/7384/7386/7388/440567/27089",78
"Human Diseases","Endocrine and metabolic disease","hsa04932","Non-alcoholic fatty liver disease","57/1653","157/9397",0.363057324840764,2.06391390292115,6.21077195762631,1.3387674029752e-08,3.55288272328034e-07,3.05694257197576e-07,"207/468/581/998/1050/1327/9377/1329/1337/1340/1347/9167/1349/1350/1351/1537/1649/9451/2081/2932/3552/4217/6945/4694/126328/4695/4696/4697/4700/4706/4716/54539/4708/4710/4712/4713/4717/4720/4722/4725/4726/4728/4723/4790/5291/5465/53632/5970/6389/6390/7381/7384/7386/7388/440567/27089/7494",57
"Human Diseases","Neurodegenerative disease","hsa05017","Spinocerebellar ataxia","48/1653","144/9397",0.333333333333333,1.89493849566445,4.99986655455329,3.21822683498363e-06,7.93063041478108e-05,6.82360877793521e-05,"11047/207/60673/6310/6311/11273/2081/2776/2903/3708/3709/4217/2475/10528/115209/5289/5291/30849/10105/5688/5689/5690/5691/5692/5693/5694/5695/5700/5702/5704/5705/5707/5719/5708/5709/5710/5713/5714/5715/9698/23369/9821/7979/292/293/6712/7417/7494",48
"Genetic Information Processing","Folding, sorting and degradation","hsa04141","Protein processing in endoplasmic reticulum","53/1653","171/9397",0.309941520467836,1.76196035561782,4.64567649991672,1.140095383513e-05,0.00026222193820799,0.000225618875895205,"468/573/578/581/10134/811/1603/1649/1650/51009/3337/3300/55741/80267/9451/2081/30001/56605/10961/3326/3309/23640/11253/4217/7841/4780/55768/5034/10130/5589/5886/9978/6048/6185/51128/6396/10802/29927/10952/23480/6400/55829/64374/6500/6745/6746/6748/10273/7322/7327/51035/80700/7494",53
"Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","89/1653","333/9397",0.267267267267267,1.51936510012735,4.45820659436292,1.53350308274645e-05,0.000330661602217204,0.00028450517719375,"207/324/537/533/155066/523/528/51382/9296/9550/545/578/581/10134/896/998/1288/1292/256076/131873/1297/1298/1311/10488/1855/1857/1978/8323/2778/2885/2932/3280/54626/55502/3105/3106/3107/3133/3265/3454/3455/3661/22801/3680/3696/3908/3909/3912/22798/3915/84441/5605/5595/4193/4242/2475/4790/64398/5291/5519/5520/5522/5523/55012/5526/5529/5584/5663/5700/5728/5743/5925/5933/5970/5986/6654/6655/29110/10312/148022/3371/7283/27175/7337/23352/7448/7480/54361/7474",89
"Genetic Information Processing","Chromosome","hsa03082","ATP-dependent chromatin remodeling","39/1653","117/9397",0.333333333333333,1.89493849566445,4.50025777664209,2.62762325134552e-05,0.000533252953949532,0.000458817186922252,"79913/57492/196528/11177/29994/9275/9274/29998/23506/2186/10263/54108/55929/8193/57634/57459/8969/8329/8338/3013/3012/55766/3015/283899/10445/55257/9219/55193/54107/5931/51773/10856/6602/6603/6605/29844/8295/7528/10467",39
"Genetic Information Processing","Transcription","hsa03040","Spliceosome","66/1653","235/9397",0.280851063829787,1.59658647719813,4.27895235844009,3.74514599654371e-05,0.000717819649337545,0.000617620567851069,"22985/10189/9716/10286/8896/988/51503/9416/7919/8449/9775/3178/642659/4670/57461/57819/25804/51690/4116/4686/5093/84844/10450/10465/10084/8559/27339/26121/22827/84991/55696/27316/26869/26828/101954271/101954272/101447996/6100/9092/8175/10946/10992/10262/83443/51639/11017/6625/6626/6628/6629/6631/6632/6633/6635/6636/4809/6427/6430/8683/25949/10907/199746/11338/10713/51729/56949",66
"Genetic Information Processing","Transcription","hsa03020","RNA polymerase","16/1653","34/9397",0.470588235294118,2.67520728799687,4.52090893665649,7.04368420662313e-05,0.0012789847638342,0.00110045370984361,"51082/30834/5432/5434/5435/5436/5437/5439/246721/548644/5440/5441/11128/55703/661/84265",16
"Cellular Processes","Cell growth and death","hsa04218","Cellular senescence","47/1653","157/9397",0.299363057324841,1.70182374451393,4.09701125218444,9.15861317005722e-05,0.00157986077183487,0.00135933100734534,"207/545/776/808/896/1030/1874/1978/4616/28996/10114/3105/3106/3107/3133/3265/3552/3708/3709/3805/132660/5605/5595/9261/4193/2475/4683/4775/4790/5291/5499/5530/5728/10111/5883/144715/83593/5925/5933/5970/292/293/4087/8878/7046/7417/678",47
"Genetic Information Processing","Folding, sorting and degradation","hsa03060","Protein export","14/1653","31/9397",0.451612903225806,2.56733602638409,4.03823087718096,0.000341856894522207,0.00561622041000769,0.00483226286993797,"7917/439/3309/5018/90701/29927/10952/23480/6449/28972/6727/6728/29100/8266",14
