"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002181","cytoplasmic translation","108/3425","165/18986",0.654545454545455,3.6283795620438,15.9083648800265,2.13360704053055e-41,1.31878251175193e-37,1.23412323028583e-37,"CNBP/DRG1/EEF1D/EIF2B4/EIF2B5/EIF3B/EIF3C/EIF3CL/EIF3D/EIF3F/EIF3G/EIF3H/EIF3I/EIF3K/EIF3L/EIF3M/FAU/FTSJ1/HNRNPD/LIN28A/MIF4GD/MTOR/NCBP1/NCK1/RACK1/RPL10/RPL10A/RPL11/RPL12/RPL13/RPL13A/RPL14/RPL15/RPL18/RPL18A/RPL19/RPL21/RPL22/RPL22L1/RPL23/RPL23A/RPL24/RPL26/RPL26L1/RPL27/RPL27A/RPL28/RPL29/RPL3/RPL30/RPL31/RPL32/RPL34/RPL35/RPL35A/RPL36/RPL37/RPL37A/RPL38/RPL39/RPL4/RPL41/RPL5/RPL6/RPL7/RPL7A/RPL8/RPL9/RPLP0/RPLP0P6/RPLP1/RPLP2/RPS11/RPS12/RPS13/RPS14/RPS15/RPS15A/RPS16/RPS17/RPS18/RPS19/RPS2/RPS20/RPS21/RPS23/RPS24/RPS25/RPS26/RPS27/RPS27A/RPS28/RPS29/RPS3/RPS3A/RPS4X/RPS5/RPS6/RPS7/RPS8/RPS9/RPSA/RWDD1/SARS1/SLBP/UBA52/YBX1/ZNF385A",108
"GO:0022613","ribonucleoprotein complex biogenesis","193/3425","492/18986",0.392276422764228,2.17452851462821,12.3836174322391,4.03407041911865e-29,1.24672946302862e-25,1.16669562910826e-25,"ABT1/AFG2A/AGO3/ATR/BOP1/BUD23/C1QBP/CD2BP2/CELF3/CINP/CLP1/DDX23/DDX28/DDX39B/DDX49/DDX54/DDX56/DICER1/DKC1/EBNA1BP2/EFL1/EIF3B/EIF3C/EIF3CL/EIF3D/EIF3F/EIF3G/EIF3H/EIF3I/EIF3K/EIF3L/EIF3M/EIF4A3/EIF6/ERAL1/EXOSC3/EXOSC6/FAU/FBL/GEMIN8/GNL3L/GTF3A/GTPBP10/HSP90AB1/HTATSF1/IMP3/IMP4/ISY1/LSM2/LSM4/LTV1/MALSU1/MDN1/METTL15/METTL17/MPV17L2/MRM3/MRPS2/MRPS7/MTREX/NCBP1/NGDN/NGRN/NHP2/NIP7/NOA1/NOB1/NOC2L/NOL7/NOLC1/NOP10/NOP53/NOP56/NPM1/NPM3/NSA2/NSUN3/NSUN5/PA2G4/PELP1/PES1/PHF5A/PIH1D1/POP7/PRKDC/PRPF18/PRPF19/PRPF31/PUF60/RAN/RBMX2/REXO4/RNASEL/RNU5F-1/RNU6-9/RNVU1-3/RNVU1-8/RPF1/RPL11/RPL13A/RPL14/RPL24/RPL26/RPL26L1/RPL27/RPL35/RPL35A/RPL38/RPL5/RPL7/RPL7A/RPS11/RPS12/RPS13/RPS14/RPS15/RPS15A/RPS16/RPS17/RPS19/RPS19BP1/RPS21/RPS23/RPS24/RPS25/RPS27/RPS27A/RPS28/RPS3A/RPS4X/RPS5/RPS6/RPS7/RPS8/RPS9/RPSA/RPSA2/RPUSD1/RPUSD2/RPUSD4/RRP36/RRP8/RRP9/RRS1/RUVBL2/SART1/SCAF11/SETX/SF1/SF3A2/SF3A3/SF3B2/SF3B4/SF3B5/SF3B6/SIRT7/SLX9/SNRPB/SNRPB2/SNRPC/SNRPD1/SNRPD2/SNRPE/SNRPF/SNU13/SRFBP1/SRSF12/SRSF5/SRSF9/STRAP/SURF6/TARBP2/TGS1/TMA16/TRMT112/TRMT61B/TSR2/TSR3/TSSC4/TXNL4A/U2AF2/USP39/UTP14A/UTP6/WBP11/WDR18/WDR3/WDR46/XAB2/XPO1/YBEY/ZNF622/ZNHIT3",193
"GO:0042254","ribosome biogenesis","128/3425","317/18986",0.40378548895899,2.23832738492712,10.4308912545692,5.78525042993463e-21,1.19195443024753e-17,1.11543688114003e-17,"ABT1/AFG2A/BOP1/BUD23/C1QBP/CINP/DDX28/DDX49/DDX54/DDX56/DKC1/EBNA1BP2/EFL1/EIF4A3/EIF6/ERAL1/EXOSC3/EXOSC6/FAU/FBL/GNL3L/GTF3A/GTPBP10/IMP3/IMP4/LTV1/MALSU1/MDN1/METTL15/METTL17/MPV17L2/MRM3/MRPS2/MRPS7/MTREX/NGDN/NGRN/NHP2/NIP7/NOA1/NOB1/NOC2L/NOL7/NOLC1/NOP10/NOP53/NOP56/NPM1/NPM3/NSA2/NSUN3/NSUN5/PA2G4/PELP1/PES1/PIH1D1/POP7/PRKDC/RAN/REXO4/RNASEL/RPF1/RPL11/RPL14/RPL24/RPL26/RPL26L1/RPL27/RPL35/RPL35A/RPL38/RPL5/RPL7/RPL7A/RPS11/RPS12/RPS13/RPS14/RPS15/RPS15A/RPS16/RPS17/RPS19/RPS19BP1/RPS21/RPS23/RPS24/RPS25/RPS27/RPS27A/RPS28/RPS3A/RPS4X/RPS5/RPS6/RPS7/RPS8/RPS9/RPSA/RPSA2/RPUSD1/RPUSD2/RPUSD4/RRP36/RRP8/RRP9/RRS1/SART1/SIRT7/SLX9/SNU13/SRFBP1/SURF6/TMA16/TRMT112/TRMT61B/TSR2/TSR3/UTP14A/UTP6/WBP11/WDR18/WDR3/WDR46/XPO1/YBEY/ZNF622/ZNHIT3",128
"GO:0022618","protein-RNA complex assembly","93/3425","225/18986",0.413333333333333,2.29125450121655,9.1409630426737,2.2803321383146e-16,3.52368323673064e-13,3.29748028948388e-13,"ABT1/AGO3/ATR/BOP1/CD2BP2/CELF3/CLP1/DDX23/DDX28/DDX39B/DICER1/EIF3B/EIF3C/EIF3CL/EIF3D/EIF3F/EIF3G/EIF3H/EIF3I/EIF3K/EIF3L/EIF3M/EIF6/ERAL1/FAU/GEMIN8/HSP90AB1/HTATSF1/ISY1/LSM2/LSM4/MDN1/METTL17/MRPS7/NCBP1/NOP53/PHF5A/PIH1D1/PRKDC/PRPF18/PRPF19/PRPF31/PUF60/RBMX2/RNU5F-1/RNU6-9/RNVU1-3/RNVU1-8/RPL11/RPL13A/RPL24/RPL38/RPL5/RPS14/RPS15/RPS19/RPS27/RPS28/RPS5/RPSA/RPSA2/RRS1/RUVBL2/SART1/SCAF11/SETX/SF1/SF3A2/SF3A3/SF3B2/SF3B4/SF3B5/SF3B6/SNRPB/SNRPB2/SNRPC/SNRPD1/SNRPD2/SNRPE/SNRPF/SNU13/SRSF12/SRSF5/SRSF9/STRAP/TARBP2/TGS1/TSSC4/TXNL4A/U2AF2/USP39/XAB2/ZNHIT3",93
"GO:0071826","protein-RNA complex organization","93/3425","234/18986",0.397435897435897,2.20312932809283,8.68786937111291,4.28558550383671e-15,5.29784079984294e-12,4.95774575654373e-12,"ABT1/AGO3/ATR/BOP1/CD2BP2/CELF3/CLP1/DDX23/DDX28/DDX39B/DICER1/EIF3B/EIF3C/EIF3CL/EIF3D/EIF3F/EIF3G/EIF3H/EIF3I/EIF3K/EIF3L/EIF3M/EIF6/ERAL1/FAU/GEMIN8/HSP90AB1/HTATSF1/ISY1/LSM2/LSM4/MDN1/METTL17/MRPS7/NCBP1/NOP53/PHF5A/PIH1D1/PRKDC/PRPF18/PRPF19/PRPF31/PUF60/RBMX2/RNU5F-1/RNU6-9/RNVU1-3/RNVU1-8/RPL11/RPL13A/RPL24/RPL38/RPL5/RPS14/RPS15/RPS19/RPS27/RPS28/RPS5/RPSA/RPSA2/RRS1/RUVBL2/SART1/SCAF11/SETX/SF1/SF3A2/SF3A3/SF3B2/SF3B4/SF3B5/SF3B6/SNRPB/SNRPB2/SNRPC/SNRPD1/SNRPD2/SNRPE/SNRPF/SNU13/SRSF12/SRSF5/SRSF9/STRAP/TARBP2/TGS1/TSSC4/TXNL4A/U2AF2/USP39/XAB2/ZNHIT3",93
"GO:0042274","ribosomal small subunit biogenesis","54/3425","108/18986",0.5,2.77167883211679,8.66234986325909,3.79756797320997e-14,3.91212794040181e-11,3.66098877417347e-11,"ABT1/ERAL1/FAU/FBL/IMP3/IMP4/LTV1/METTL17/MRPS7/NGDN/NOB1/NOL7/NOP56/NPM1/PRKDC/RPS11/RPS12/RPS13/RPS14/RPS15/RPS15A/RPS16/RPS17/RPS19/RPS19BP1/RPS21/RPS23/RPS24/RPS25/RPS27/RPS27A/RPS28/RPS3A/RPS4X/RPS5/RPS6/RPS7/RPS8/RPS9/RPSA/RPSA2/RRP36/RRP9/RRS1/SLX9/SNU13/SRFBP1/SURF6/TRMT112/TSR2/TSR3/UTP6/WDR3/WDR46",54
"GO:0009060","aerobic respiration","81/3425","200/18986",0.405,2.2450598540146,8.3043358705376,7.39627562202077e-14,6.53091137424434e-11,6.11165932977506e-11,"ACO1/AFG1L/ANTKMT/ATP5F1A/ATP5F1B/ATP5F1C/ATP5F1D/ATP5F1E/ATP5F1EP2/ATP5IF1/ATP5PD/ATP5PF/ATP7A/ATPSCKMT/CHCHD10/CHCHD2/COX4I1/COX5A/COX5B/COX6A1/COX6B1/COX7A2/COX7A2L/COX7B/COX7C/COX8A/CS/CYC1/DGUOK/DLAT/DLST/GHITM/IDH1/IDH3B/IDH3G/ISCU/KGD4/MDH2/MTCO2P12/MTFR1L/NDUFA1/NDUFA11/NDUFA2/NDUFA3/NDUFA4/NDUFA6/NDUFAB1/NDUFB10/NDUFB11/NDUFB2/NDUFB4/NDUFB6/NDUFB7/NDUFC1/NDUFS2/NDUFS3/NDUFS5/NDUFS6/NDUFS8/NDUFV1/NNT/NOP53/OXA1L/PANK2/PARK7/PPIF/SDHA/SDHB/SHMT2/SLC25A23/STOML2/SURF1/TAFAZZIN/UQCC3/UQCRB/UQCRC1/UQCRFS1/UQCRFS1P1/UQCRH/UQCRHL/UQCRQ",81
"GO:0006119","oxidative phosphorylation","66/3425","149/18986",0.442953020134228,2.45544701905648,8.36759214492207,1.01717005376346e-13,7.85891012788997e-11,7.35440716503979e-11,"AFG1L/ANTKMT/ATP5F1A/ATP5F1B/ATP5F1C/ATP5F1D/ATP5F1E/ATP5F1EP2/ATP5IF1/ATP5PD/ATP5PF/ATP7A/ATPSCKMT/CHCHD10/CHCHD2/COX4I1/COX5A/COX5B/COX6A1/COX6B1/COX7A2/COX7A2L/COX7B/COX7C/COX8A/CYC1/DGUOK/GHITM/ISCU/MTCO2P12/NDUFA1/NDUFA11/NDUFA2/NDUFA3/NDUFA4/NDUFA6/NDUFAB1/NDUFB10/NDUFB11/NDUFB2/NDUFB4/NDUFB6/NDUFB7/NDUFC1/NDUFS2/NDUFS3/NDUFS5/NDUFS6/NDUFS8/NDUFV1/PARK7/PPIF/SDHA/SDHB/SHMT2/SLC25A23/STOML2/TAFAZZIN/UQCC3/UQCRB/UQCRC1/UQCRFS1/UQCRFS1P1/UQCRH/UQCRHL/UQCRQ",66
"GO:0045333","cellular respiration","92/3425","249/18986",0.369477911646586,2.04814821329112,7.8106860335709,9.59855571496557e-13,6.59207476380025e-10,6.16889633377027e-10,"ACO1/AFG1L/ANTKMT/ATP5F1A/ATP5F1B/ATP5F1C/ATP5F1D/ATP5F1E/ATP5F1EP2/ATP5IF1/ATP5PD/ATP5PF/ATP7A/ATPSCKMT/CHCHD10/CHCHD2/CHCHD5/COQ10A/COX4I1/COX5A/COX5B/COX6A1/COX6B1/COX7A2/COX7A2L/COX7B/COX7C/COX8A/CS/CYC1/CYP1A2/DGUOK/DLAT/DLST/GHITM/IDH1/IDH3B/IDH3G/IFNAR1/ISCU/KGD4/MDH2/MTCO2P12/MTFR1L/NDUFA1/NDUFA11/NDUFA2/NDUFA3/NDUFA4/NDUFA6/NDUFAB1/NDUFB10/NDUFB11/NDUFB2/NDUFB4/NDUFB6/NDUFB7/NDUFC1/NDUFS2/NDUFS3/NDUFS5/NDUFS6/NDUFS8/NDUFV1/NNT/NOP53/OXA1L/PANK2/PARK7/PPIF/PRELID1/PUM2/SDHA/SDHB/SHMT2/SLC25A12/SLC25A18/SLC25A23/SLC25A25/SLC35A4/STOML2/SURF1/TAFAZZIN/UQCC3/UQCRB/UQCRC1/UQCRFS1/UQCRFS1P1/UQCRH/UQCRHL/UQCRQ/VPS54",92
"GO:0006364","rRNA processing","85/3425","225/18986",0.377777777777778,2.09415733982157,7.7456859176531,1.74371938238337e-12,1.07779295025116e-09,1.00860400065227e-09,"ABT1/BOP1/BUD23/DDX49/DDX54/DDX56/DKC1/EBNA1BP2/EIF4A3/EIF6/EXOSC3/EXOSC6/FBL/IMP3/IMP4/METTL15/MRM3/MTREX/NGDN/NHP2/NOB1/NOL7/NOLC1/NOP10/NOP53/NOP56/NPM3/NSA2/NSUN3/NSUN5/PA2G4/PELP1/PES1/PIH1D1/POP7/PRKDC/REXO4/RNASEL/RPF1/RPL11/RPL14/RPL26/RPL27/RPL35/RPL35A/RPL5/RPL7/RPL7A/RPS14/RPS15/RPS16/RPS17/RPS19/RPS21/RPS24/RPS25/RPS27/RPS28/RPS6/RPS7/RPS8/RPUSD1/RPUSD2/RPUSD4/RRP36/RRP8/RRP9/RRS1/SART1/SIRT7/SLX9/SNU13/SRFBP1/TRMT112/TRMT61B/TSR2/TSR3/UTP14A/UTP6/WBP11/WDR18/WDR3/WDR46/YBEY/ZNHIT3",85
