"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0044391","ribosomal subunit","126/3547","186/19960",0.67741935483871,3.81203561392181,17.9116676531772,2.2448002418662e-51,1.69033458212525e-48,1.27362876880619e-48,"AURKAIP1/CHCHD1/DAP3/FAU/GADD45GIP1/LARP4/MPV17L2/MRPL10/MRPL11/MRPL14/MRPL16/MRPL17/MRPL21/MRPL22/MRPL23/MRPL24/MRPL28/MRPL32/MRPL33/MRPL34/MRPL36/MRPL37/MRPL4/MRPL40/MRPL41/MRPL43/MRPL44/MRPL45/MRPL49/MRPL52/MRPL54/MRPL55/MRPL57/MRPL58/MRPL9/MRPS12/MRPS15/MRPS2/MRPS21/MRPS26/MRPS30/MRPS34/MRPS7/NSUN3/RACK1/RBM3/RPL10/RPL10A/RPL11/RPL12/RPL13/RPL13A/RPL14/RPL15/RPL18/RPL18A/RPL19/RPL21/RPL22/RPL23/RPL23A/RPL24/RPL26/RPL26L1/RPL27/RPL27A/RPL28/RPL29/RPL3/RPL30/RPL31/RPL32/RPL34/RPL35/RPL35A/RPL36/RPL36AL/RPL37/RPL37A/RPL38/RPL39/RPL4/RPL41/RPL5/RPL6/RPL7/RPL7A/RPL8/RPL9/RPLP0/RPLP0P6/RPLP1/RPLP2/RPS11/RPS12/RPS13/RPS14/RPS15/RPS15A/RPS16/RPS17/RPS18/RPS19/RPS2/RPS20/RPS21/RPS23/RPS24/RPS25/RPS26/RPS27/RPS27A/RPS28/RPS29/RPS3/RPS3A/RPS4X/RPS5/RPS6/RPS7/RPS8/RPS9/RPSA/RPSA2/UBA52/ZCCHC17",126
"GO:0005840","ribosome","140/3547","245/19960",0.571428571428571,3.21559466752588,16.2211246371715,6.08694569132402e-44,2.29173505278349e-41,1.72677038295981e-41,"APEX1/ASCC2/ASCC3/AURKAIP1/CALR/CHCHD1/DAP3/EEF1A1/EEF2/FAU/GADD45GIP1/LARP4/LTN1/MPV17L2/MRPL10/MRPL11/MRPL14/MRPL16/MRPL17/MRPL21/MRPL22/MRPL23/MRPL24/MRPL28/MRPL32/MRPL33/MRPL34/MRPL36/MRPL37/MRPL4/MRPL40/MRPL41/MRPL43/MRPL44/MRPL45/MRPL49/MRPL52/MRPL54/MRPL55/MRPL57/MRPL58/MRPL9/MRPS12/MRPS15/MRPS2/MRPS21/MRPS26/MRPS30/MRPS34/MRPS7/NCK1/NSUN3/RACK1/RBM3/RNF25/RPL10/RPL10A/RPL11/RPL12/RPL13/RPL13A/RPL13AP3/RPL14/RPL15/RPL18/RPL18A/RPL19/RPL21/RPL22/RPL22L1/RPL23/RPL23A/RPL24/RPL26/RPL26L1/RPL27/RPL27A/RPL28/RPL29/RPL3/RPL30/RPL31/RPL32/RPL34/RPL35/RPL35A/RPL36/RPL36AL/RPL37/RPL37A/RPL38/RPL39/RPL4/RPL41/RPL5/RPL6/RPL7/RPL7A/RPL8/RPL9/RPLP0/RPLP0P6/RPLP1/RPLP2/RPS11/RPS12/RPS13/RPS14/RPS15/RPS15A/RPS16/RPS17/RPS18/RPS19/RPS2/RPS20/RPS21/RPS23/RPS24/RPS25/RPS26/RPS27/RPS27A/RPS28/RPS29/RPS3/RPS3A/RPS4X/RPS5/RPS6/RPS7/RPS8/RPS9/RPSA/RPSA2/SERP1/SF1/UBA52/ZCCHC17/ZNF598",140
"GO:0022626","cytosolic ribosome","89/3547","118/19960",0.754237288135593,4.24431245311149,16.4314902382647,8.95982204079641e-43,2.2489153322399e-40,1.69450669473308e-40,"ASCC2/ASCC3/EEF1A1/FAU/LARP4/LTN1/RACK1/RNF25/RPL10/RPL10A/RPL11/RPL12/RPL13/RPL13A/RPL14/RPL15/RPL18/RPL18A/RPL19/RPL21/RPL22/RPL23/RPL23A/RPL24/RPL26/RPL26L1/RPL27/RPL27A/RPL28/RPL29/RPL3/RPL30/RPL31/RPL32/RPL34/RPL35/RPL35A/RPL36/RPL36AL/RPL37/RPL37A/RPL38/RPL39/RPL4/RPL41/RPL5/RPL6/RPL7/RPL7A/RPL8/RPL9/RPLP0/RPLP0P6/RPLP1/RPLP2/RPS11/RPS12/RPS13/RPS14/RPS15/RPS15A/RPS16/RPS17/RPS18/RPS19/RPS2/RPS20/RPS21/RPS23/RPS24/RPS25/RPS26/RPS27/RPS27A/RPS28/RPS29/RPS3/RPS3A/RPS4X/RPS5/RPS6/RPS7/RPS8/RPS9/RPSA/RPSA2/UBA52/ZCCHC17/ZNF598",89
"GO:0015934","large ribosomal subunit","82/3547","114/19960",0.719298245614035,4.04770030517512,15.1703006988055,6.5898668705951e-37,1.24054243838953e-34,9.34720590329148e-35,"GADD45GIP1/MPV17L2/MRPL10/MRPL11/MRPL14/MRPL16/MRPL17/MRPL21/MRPL22/MRPL23/MRPL24/MRPL28/MRPL32/MRPL33/MRPL34/MRPL36/MRPL37/MRPL4/MRPL40/MRPL41/MRPL43/MRPL44/MRPL45/MRPL49/MRPL52/MRPL54/MRPL55/MRPL57/MRPL58/MRPL9/MRPS30/NSUN3/RBM3/RPL10/RPL10A/RPL11/RPL12/RPL13/RPL13A/RPL14/RPL15/RPL18/RPL18A/RPL19/RPL21/RPL22/RPL23/RPL23A/RPL24/RPL26/RPL26L1/RPL27/RPL27A/RPL28/RPL29/RPL3/RPL30/RPL31/RPL32/RPL34/RPL35/RPL35A/RPL36/RPL36AL/RPL37/RPL37A/RPL38/RPL39/RPL4/RPL41/RPL5/RPL6/RPL7/RPL7A/RPL8/RPL9/RPLP0/RPLP0P6/RPLP1/RPLP2/UBA52/ZCCHC17",82
"GO:0022625","cytosolic large ribosomal subunit","49/3547","57/19960",0.859649122807018,4.8374954866727,13.4875178547715,4.76469782878081e-29,7.1756349301439e-27,5.40667816781654e-27,"RPL10/RPL10A/RPL11/RPL12/RPL13/RPL13A/RPL14/RPL15/RPL18/RPL18A/RPL19/RPL21/RPL22/RPL23/RPL23A/RPL24/RPL26/RPL26L1/RPL27/RPL27A/RPL28/RPL29/RPL3/RPL30/RPL31/RPL32/RPL34/RPL35/RPL35A/RPL36/RPL36AL/RPL37/RPL37A/RPL38/RPL39/RPL4/RPL41/RPL5/RPL6/RPL7/RPL7A/RPL8/RPL9/RPLP0/RPLP0P6/RPLP1/RPLP2/UBA52/ZCCHC17",49
"GO:0022627","cytosolic small ribosomal subunit","34/3547","42/19960",0.80952380952381,4.55542577899499,10.722582508374,7.12458097705396e-19,8.94134912620273e-17,6.73710376602121e-17,"FAU/LARP4/RACK1/RPS11/RPS12/RPS13/RPS14/RPS15/RPS15A/RPS16/RPS17/RPS18/RPS19/RPS2/RPS20/RPS21/RPS23/RPS24/RPS25/RPS26/RPS27/RPS27A/RPS28/RPS29/RPS3/RPS3A/RPS4X/RPS5/RPS6/RPS7/RPS8/RPS9/RPSA/RPSA2",34
"GO:0015935","small ribosomal subunit","44/3547","74/19960",0.594594594594595,3.34595661350666,9.39870712856113,1.27675858470041e-15,1.37342744897058e-13,1.0348464318098e-13,"AURKAIP1/CHCHD1/DAP3/FAU/LARP4/MRPS12/MRPS15/MRPS2/MRPS21/MRPS26/MRPS34/MRPS7/RACK1/RPS11/RPS12/RPS13/RPS14/RPS15/RPS15A/RPS16/RPS17/RPS18/RPS19/RPS2/RPS20/RPS21/RPS23/RPS24/RPS25/RPS26/RPS27/RPS27A/RPS28/RPS29/RPS3/RPS3A/RPS4X/RPS5/RPS6/RPS7/RPS8/RPS9/RPSA/RPSA2",44
"GO:0098803","respiratory chain complex","56/3547","110/19960",0.509090909090909,2.8648025219776,9.1170625301796,2.40319189268061e-15,2.26200436898562e-13,1.70436898704585e-13,"ATP5F1A/ATP5F1B/ATP5F1C/ATP5F1D/ATP5F1E/ATP5F1EP2/ATP5MC1/ATP5MC2/ATP5MC3/ATP5MJ/ATP5PD/ATP5PF/BCS1L/COX4I1/COX5A/COX5B/COX6A1/COX6B1/COX7A2/COX7A2L/COX7B/COX7C/COX8A/CYC1/MTCO2P12/NDUFA1/NDUFA11/NDUFA2/NDUFA3/NDUFA4/NDUFA6/NDUFAB1/NDUFB10/NDUFB11/NDUFB2/NDUFB4/NDUFB6/NDUFB7/NDUFC1/NDUFS2/NDUFS3/NDUFS5/NDUFS6/NDUFS8/NDUFV1/NNT/SDHA/SDHB/SURF1/UQCRB/UQCRC1/UQCRFS1/UQCRFS1P1/UQCRH/UQCRHL/UQCRQ",56
"GO:0098798","mitochondrial protein-containing complex","73/3547","178/19960",0.410112359550562,2.30782145380017,8.14759359901055,2.79299811036393e-13,2.33680841900449e-11,1.76073214208908e-11,"AURKAIP1/BAX/CHCHD1/CHCHD10/CHCHD3/DAP3/DNAJC19/GADD45GIP1/HADHA/HSD17B10/ISCU/LYRM4/MCUB/MFN1/MICOS13/MPC1/MPV17L2/MRPL10/MRPL11/MRPL14/MRPL16/MRPL17/MRPL21/MRPL22/MRPL23/MRPL24/MRPL28/MRPL32/MRPL33/MRPL34/MRPL36/MRPL37/MRPL4/MRPL40/MRPL41/MRPL43/MRPL44/MRPL45/MRPL49/MRPL52/MRPL54/MRPL55/MRPL57/MRPL58/MRPL9/MRPS12/MRPS15/MRPS2/MRPS21/MRPS26/MRPS30/MRPS34/MRPS7/NDUFAB1/NSUN3/PHB1/PHB2/POLRMT/PPIF/ROMO1/SLC25A5/SLC25A6/SMDT1/TIMM13/TIMM17B/TIMM29/TIMM44/TIMM50/TOMM20/TOMM22/TOMM40/TOMM7/TRMT10B",73
"GO:0030684","preribosome","49/3547","106/19960",0.462264150943396,2.60129474283343,7.6843334166083,1.29855571682271e-11,9.77812454767499e-10,7.36759506702568e-10,"BOP1/EBNA1BP2/FBL/IMP3/IMP4/LTV1/MDN1/NGDN/NIP7/NOB1/NOC2L/NOL7/NOP56/NSA2/PES1/PRKDC/RPF1/RPS11/RPS12/RPS13/RPS14/RPS15A/RPS16/RPS17/RPS19/RPS19BP1/RPS23/RPS24/RPS27/RPS27A/RPS28/RPS3A/RPS4X/RPS5/RPS6/RPS7/RPS8/RPS9/RRP36/RRP9/RRS1/SLX9/SNU13/SRFBP1/UTP14A/UTP6/WDR3/WDR46/ZNF622",49
