"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003735","structural constituent of ribosome","115/3478","175/18737",0.657142857142857,3.5402201593691,16.1182612120839,5.43351441525606e-43,6.62888758661239e-40,6.15417001138476e-40,"DAP3/FAU/MRPL10/MRPL11/MRPL14/MRPL16/MRPL17/MRPL21/MRPL22/MRPL23/MRPL24/MRPL28/MRPL32/MRPL33/MRPL34/MRPL36/MRPL37/MRPL4/MRPL41/MRPL43/MRPL45/MRPL49/MRPL52/MRPL54/MRPL55/MRPL57/MRPL9/MRPS12/MRPS15/MRPS2/MRPS21/MRPS30/MRPS34/MRPS7/RPL10/RPL10A/RPL11/RPL12/RPL13/RPL13A/RPL13AP3/RPL14/RPL15/RPL18/RPL18A/RPL19/RPL21/RPL22/RPL22L1/RPL23/RPL23A/RPL24/RPL26/RPL26L1/RPL27/RPL27A/RPL28/RPL29/RPL3/RPL30/RPL31/RPL32/RPL34/RPL35/RPL35A/RPL36/RPL36AL/RPL37/RPL37A/RPL38/RPL39/RPL4/RPL41/RPL5/RPL6/RPL7/RPL7A/RPL8/RPL9/RPLP0/RPLP0P6/RPLP1/RPLP2/RPS11/RPS12/RPS13/RPS14/RPS15/RPS15A/RPS16/RPS17/RPS18/RPS19/RPS2/RPS20/RPS21/RPS23/RPS24/RPS25/RPS26/RPS27/RPS27A/RPS28/RPS29/RPS3/RPS3A/RPS4X/RPS5/RPS6/RPS7/RPS8/RPS9/RPSA/RPSA2/UBA52",115
"GO:0019843","rRNA binding","34/3478","66/18737",0.515151515151515,2.77527140293098,6.89752251451026,1.54777929020971e-09,9.44145367027924e-07,8.76531850666132e-07,"CIRBP/DDX28/ERAL1/GTF3A/IMP3/IMP4/MDM2/MRPL11/MRPL16/MRPS7/NGRN/NOP53/NPM1/RNASEL/RPF1/RPL11/RPL12/RPL23/RPL23A/RPL37/RPL5/RPL8/RPL9/RPLP0/RPLP0P6/RPS11/RPS13/RPS18/RPS3/RPS4X/RPS5/RPS9/RPUSD4/RRS1",34
"GO:0015453","oxidoreduction-driven active transmembrane transporter activity","33/3478","68/18737",0.485294117647059,2.6144208977438,6.36723516621841,1.85365196776645e-08,7.53818466891689e-06,6.99834918356737e-06,"COX4I1/COX5A/COX5B/COX6B1/COX7A2L/COX7B/COX8A/CYB561D2/CYC1/MTCO2P12/NDUFA1/NDUFA2/NDUFA3/NDUFA4/NDUFA6/NDUFB10/NDUFB2/NDUFB4/NDUFB6/NDUFB7/NDUFC1/NDUFS2/NDUFS3/NDUFS5/NDUFS6/NDUFS8/NDUFV1/NNT/SURF1/UQCRC1/UQCRFS1/UQCRFS1P1/UQCRH",33
"GO:0009055","electron transfer activity","47/3478","116/18737",0.405172413793103,2.18278191985089,6.10059736719558,2.9982402270031e-08,9.14463269235947e-06,8.48975390593511e-06,"ADH5/AKR1B1/AKR1C4/AKR7A2/CIAPIN1/COX4I1/COX5A/COX5B/COX6B1/COX7A2L/COX7B/COX8A/CYBA/CYC1/CYP1A2/DMGDH/GFUS/GPX2/IDH3B/MAOB/MTCO2P12/NDUFA1/NDUFA2/NDUFA3/NDUFA4/NDUFA6/NDUFB10/NDUFB2/NDUFB4/NDUFB6/NDUFB7/NDUFC1/NDUFS2/NDUFS3/NDUFS5/NDUFS6/NDUFS8/NDUFV1/QDPR/SDHA/SDHB/STEAP4/SURF1/UQCRC1/UQCRFS1/UQCRFS1P1/UQCRH",47
"GO:0043021","ribonucleoprotein complex binding","62/3478","174/18737",0.35632183908046,1.91960963164191,5.81827499974647,6.84195610829611e-08,1.66943729042425e-05,1.5498831100056e-05,"AFG2A/BAG6/BOP1/C1QBP/CCDC47/CD2BP2/CINP/CKAP5/DAP/DERL2/EEF2/EFL1/EIF1/EIF3C/EIF3K/EIF4A3/EIF5A/EIF5AL1/EIF6/ERAL1/GTPBP6/HSPA5/LETMD1/LTN1/MALSU1/MDM2/MTOR/NCLN/NDUFAB1/NEAT1/NOMO2/NPM1/OXA1L/PES1/PPIH/PPP1CA/PQBP1/PRPF31/RACK1/RBM3/RHBDD2/RNASEL/RPLP1/RPSA/SEC61A1/SEC61B/SEC61G/SECISBP2L/SHFL/SNRPA/SNRPB/SRP19/STAU2/STRAP/TIMM50/TMA16/TMEM147/UQCC5/YTHDF1/ZC3H12A/ZNF598/ZNF622",62
"GO:0015078","proton transmembrane transporter activity","63/3478","185/18737",0.340540540540541,1.83459117541924,5.44633656744875,3.51863482680911e-07,7.15455748117852e-05,6.64219486604667e-05,"ATP4A/ATP5F1A/ATP5F1B/ATP5F1C/ATP5F1D/ATP5F1E/ATP5F1EP2/ATP5MC1/ATP5MC2/ATP5MC3/ATP5MGL/ATP5PD/ATP5PF/ATP6V0B/ATP6V0E2/ATP6V1A/ATP6V1C1/ATP6V1D/ATP6V1F/ATP6V1G1/COX4I1/COX5A/COX5B/COX6B1/COX7A2L/COX7B/COX8A/CYC1/GHITM/MTCO2P12/NDUFA1/NDUFA2/NDUFA3/NDUFA4/NDUFA6/NDUFB10/NDUFB2/NDUFB4/NDUFB6/NDUFB7/NDUFC1/NDUFS2/NDUFS3/NDUFS5/NDUFS6/NDUFS8/NDUFV1/NNT/SLC25A12/SLC25A18/SLC25A3/SLC25A5/SLC45A2/SLC47A2/SLC9A2/SLC9A4/SURF1/TCIRG1/TMEM175/UQCRC1/UQCRFS1/UQCRFS1P1/UQCRH",63
"GO:0001055","RNA polymerase II activity","9/3478","11/18737",0.818181818181818,4.40778399289038,5.39741837024905,9.9112911081302e-06,0.00172739645027412,0.00160369161388693,"POLR2C/POLR2E/POLR2F/POLR2H/POLR2J/POLR2J2/POLR2J3/POLR2K/POLR2L",9
"GO:0015399","primary active transmembrane transporter activity","53/3478","166/18737",0.319277108433735,1.72003886737288,4.44869396035132,2.34630361251059e-05,0.00357811300907865,0.00332187195665973,"ABCA12/ABCA13/ABCA4/ABCB11/ABCG8/ATP13A3/ATP2C1/ATP2C2/ATP4A/ATP5F1B/ATP6V0B/ATP6V0E2/ATP6V1A/ATP6V1C1/ATP6V1D/ATP6V1F/ATP6V1G1/ATP7A/COX4I1/COX5A/COX5B/COX6B1/COX7A2L/COX7B/COX8A/CYB561D2/CYC1/MTCO2P12/NDUFA1/NDUFA2/NDUFA3/NDUFA4/NDUFA6/NDUFB10/NDUFB2/NDUFB4/NDUFB6/NDUFB7/NDUFC1/NDUFS2/NDUFS3/NDUFS5/NDUFS6/NDUFS8/NDUFV1/NNT/SURF1/TCIRG1/TOMM20/UQCRC1/UQCRFS1/UQCRFS1P1/UQCRH",53
"GO:0001056","RNA polymerase III activity","8/3478","10/18737",0.8,4.30983323749281,4.99818352658919,4.39848537086992e-05,0.00540587003001133,0.00501873697350491,"POLR1D/POLR2E/POLR2F/POLR2H/POLR2K/POLR2L/POLR3A/POLR3B",8
"GO:0043022","ribosome binding","38/3478","110/18737",0.345454545454545,1.86106435255371,4.32414936144067,4.88103103284911e-05,0.00540587003001133,0.00501873697350491,"BAG6/C1QBP/CCDC47/DAP/EEF2/EFL1/EIF1/EIF3C/EIF3K/EIF5A/EIF5AL1/EIF6/ERAL1/GTPBP6/HSPA5/LETMD1/LTN1/MALSU1/MTOR/NCLN/NDUFAB1/NOMO2/NPM1/OXA1L/RACK1/RBM3/RPSA/SEC61A1/SEC61B/SEC61G/SHFL/SRP19/STAU2/TMEM147/UQCC5/YTHDF1/ZC3H12A/ZNF598",38
"GO:0034062","5'-3' RNA polymerase activity","16/3478","32/18737",0.5,2.69364577343301,4.57782205055703,5.55125483066186e-05,0.00540587003001133,0.00501873697350491,"MED20/POLR1D/POLR1H/POLR2C/POLR2E/POLR2F/POLR2H/POLR2J/POLR2J2/POLR2J3/POLR2K/POLR2L/POLR3A/POLR3B/POLRMT/TRNT1",16
"GO:0097747","RNA polymerase activity","16/3478","32/18737",0.5,2.69364577343301,4.57782205055703,5.55125483066186e-05,0.00540587003001133,0.00501873697350491,"MED20/POLR1D/POLR1H/POLR2C/POLR2E/POLR2F/POLR2H/POLR2J/POLR2J2/POLR2J3/POLR2K/POLR2L/POLR3A/POLR3B/POLRMT/TRNT1",16
"GO:0055105","ubiquitin-protein transferase inhibitor activity","10/3478","15/18737",0.666666666666667,3.59152769791068,4.7936415400273,5.76035331066782e-05,0.00540587003001133,0.00501873697350491,"HTRA2/OTUB1/PARK7/RPL11/RPL23/RPL37/RPL5/RPS15/RPS20/RPS7",10
