"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Immune system","hsa04613","Neutrophil extracellular trap formation","96/2361","196/9397",0.489795918367347,1.94943339470477,7.78093174649946,3.10087641692838e-13,1.07600411667415e-10,8.81301718495433e-11,"60/71/10533/837/2209/2212/2215/2357/2358/2811/79792/8969/85235/8329/8331/8330/8332/8337/723790/8338/317772/8335/8334/3012/94239/8346/8970/85236/8340/8342/8341/8348/440689/8349/128312/3018/8347/3017/8344/8343/8339/8345/8350/8357/8354/8356/653604/8358/8352/8353/8968/8355/8359/8363/8362/8368/8370/554313/121504/8366/8364/8360/8367/8361/8365/8294/83933/3066/9759/3146/3674/3689/3690/9555/6300/1432/5595/2475/653361/4688/4689/5295/5332/5335/10105/5579/5582/5879/5880/6403/6404/27180/291/6714/51284/7416",96
"Human Diseases","Substance dependence","hsa05034","Alcoholism","93/2361","191/9397",0.486910994764398,1.93795112994538,7.58609001196533,1.13501502661791e-12,1.96925107118207e-10,1.61291609045703e-10,"111/801/808/163688/10645/10488/1644/1813/2770/2771/2775/2782/2783/2784/59345/55970/51764/2885/2902/2903/2906/116444/8969/85235/8329/8331/8330/8332/8337/723790/8338/317772/8335/8334/3012/94239/8346/8970/85236/8340/8342/8341/8348/440689/8349/128312/3018/8347/3017/8344/8343/8339/8345/8350/8357/8354/8356/653604/8358/8352/8353/8968/8355/8359/8363/8362/8368/8370/554313/121504/8366/8364/8360/8367/8361/8365/8294/83933/3066/9759/3265/9555/5595/4915/5499/84152/25759/53358/399694/6570/3177/55315/6531",93
"Human Diseases","Immune disease","hsa05322","Systemic lupus erythematosus","69/2361","144/9397",0.479166666666667,1.90712798249329,6.35426190319041,2.26553836433521e-09,2.62047270808106e-07,2.14629950305441e-07,"87/81/716/717/733/2209/2212/2215/2903/8969/85235/8329/8331/8330/8332/8337/723790/8338/317772/8335/8334/3012/94239/8346/8970/85236/8340/8342/8341/8348/440689/8349/128312/3018/8347/3017/8344/8343/8339/8345/8350/8357/8354/8356/653604/8358/8352/8353/8968/8355/8359/8363/8362/8368/8370/554313/121504/8366/8364/8360/8367/8361/8365/8294/3458/9555/6634/6741/6737",69
"Human Diseases","Cancer: overview","hsa05203","Viral carcinogenesis","84/2361","205/9397",0.409756097560976,1.63086744971643,5.29013341595778,3.56135466851125e-07,3.08947517493351e-05,2.53043621183694e-05,"87/81/9114/836/8900/896/1234/991/998/1029/10488/1642/1654/5610/2885/2934/2960/2961/8346/8970/85236/8340/8342/8341/8348/440689/8349/128312/3018/8347/3017/8344/8343/8339/8345/8359/8363/8362/8368/8370/554313/121504/8366/8364/8360/8367/8361/8365/8294/83933/3066/9759/3106/3107/3133/3265/3665/10379/3718/2648/8850/4055/4067/5595/28973/5295/5315/5879/85477/27044/6672/6714/6722/6774/6908/7157/7187/7188/7337/23352/55697/7531/7532/7533",84
"Metabolism","Global and overview maps","hsa01200","Carbon metabolism","48/2361","117/9397",0.41025641025641,1.63285874086382,3.99008647291906,0.000107188614079991,0.00743888981715134,0.00609282648454683,"48/50/51/8310/55902/4329/226/847/1373/1892/2023/2026/2027/2539/2597/2645/2731/2746/2747/2805/2806/2821/2875/9563/3098/3099/3101/3417/3418/4191/10873/4967/55753/5091/5096/5162/5223/5226/5313/5315/5634/6120/6390/6391/6470/6472/6888/7167",48
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","73/2361","203/9397",0.359605911330049,1.43126503548008,3.5982936373852,0.000340501938278851,0.0196923620971269,0.0161290391816298,"60/71/87/81/9564/858/896/998/1277/1284/1287/1288/1291/1292/1297/1398/1399/1729/2316/2317/2324/2885/3265/8515/3674/3678/3690/3691/3696/3909/3911/22798/10319/5595/29895/10627/103910/85366/340156/5058/5063/55742/5154/56034/80310/5228/5295/8394/5499/5579/5582/5728/5747/5879/5880/5881/5649/25759/53358/399694/6714/7057/7058/7059/7094/83660/63923/7143/7148/7408/7409/7414/7791",73
"Cellular Processes","Cell growth and death","hsa04217","Necroptosis","59/2361","159/9397",0.371069182389937,1.47688992245584,3.51304983428315,0.00049140233971077,0.0243595159828053,0.0199516739431441,"9131/637/816/823/27243/51652/51510/79643/10059/5610/2512/2746/2747/2752/8969/85235/8329/8331/8330/8332/8337/723790/8338/317772/8335/8334/3012/94239/3146/3320/3454/3458/3460/10379/3717/3718/8681/9555/197259/142/255189/29108/5834/5837/10616/11035/100526767/291/6609/8878/6772/6773/6774/6775/7132/8743/7188/7416/81030",59
"Human Diseases","Infectious disease: bacterial","hsa05132","Salmonella infection","86/2361","251/9397",0.342629482071713,1.3636972651537,3.38312371733017,0.000656042780855947,0.0272207872202451,0.022295199604023,"60/71/10121/113146/302/375/10095/10093/10092/836/837/838/929/998/1434/3576/23191/9265/27128/1639/10540/10671/1785/1778/51626/8655/83657/6990/9844/55770/60412/23265/2316/79443/2597/79792/3265/3320/51135/3798/64837/23643/4074/5609/6300/1432/5595/197259/4615/29895/10627/103910/4646/4671/3071/58484/5058/5063/5217/5294/9842/29108/5869/7879/5879/5898/391/11035/6237/83439/6934/7100/7132/8743/7846/7278/51807/203068/347733/10381/7295/25828/57617/65082/23339/27072",86
"Genetic Information Processing","Folding, sorting and degradation","hsa03050","Proteasome","22/2361","46/9397",0.478260869565217,1.90352282562658,3.55832488719382,0.000706014654127395,0.0272207872202451,0.022295199604023,"3458/5686/5699/5690/5691/5693/5694/5695/5696/5698/5702/5704/5706/5707/5719/5710/5714/5720/5721/10197/9491/7979",22
"Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","109/2361","333/9397",0.327327327327327,1.30279326340317,3.25885441375011,0.000915420964023556,0.0317651074516174,0.0260172273985642,"537/50617/533/9114/8992/526/529/9296/51606/8313/10134/836/8900/896/998/1277/1284/1287/1288/1291/1292/1297/92359/10488/1452/1740/5610/2535/7976/8322/8324/8325/8326/2885/3066/57801/388585/55502/84667/23462/3106/3107/3133/3265/3454/9641/10379/9636/8515/3674/3678/3690/3691/3696/3909/3911/22798/10319/3955/3993/9223/5595/2475/4599/4600/4799/4851/4853/8638/5295/5315/5516/5518/5521/5522/28227/5528/5663/5728/5747/5649/6009/6772/6773/10474/6908/83439/6934/7015/7057/7058/7059/7132/63923/7143/7148/7157/7187/27175/7337/23352/7471/80326/7480/7473/89780/7477/7478/7483",109
"Environmental Information Processing","Signal transduction","hsa04390","Hippo signaling pathway","57/2361","157/9397",0.363057324840764,1.44500198285839,3.2571095725387,0.00111954014956405,0.0334250710280744,0.0273768214093132,"60/71/268/374/8313/332/650/353500/658/896/1454/1495/1496/29119/1740/23291/2535/7976/8322/8324/8325/8326/392255/3689/8994/3993/4771/5499/5516/5518/5521/5522/166824/5054/4088/6788/83439/6934/7003/8463/7043/7048/7161/7471/80326/7480/7473/89780/7477/7478/7483/126374/23286/10413/7531/7532/7533",57
"Organismal Systems","Immune system","hsa04666","Fc gamma R-mediated phagocytosis","39/2361","99/9397",0.393939393939394,1.56791549548856,3.29050933402305,0.00117089080087606,0.0334250710280744,0.0273768214093132,"10095/10093/10092/8853/998/1398/1399/1785/2209/2212/2213/2215/9846/2934/3635/8681/27040/3984/3985/4067/5595/4082/653361/5058/5295/8394/255189/8398/5335/8612/5579/5580/5581/5582/5879/5880/85477/7408/7409",39
