"ENSEMBL","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","external_gene_name","gene_biotype"
"ENSG00000000938",17130.5805082228,0.287641867746151,0.0903150556147005,3.1848717336042,0.00144818181070811,0.0114306084526399,"FGR","protein_coding"
"ENSG00000001561",1227.58804293715,-0.229109488627544,0.0717612868900564,-3.19266137156315,0.00140968153408914,0.0112018586254035,"ENPP4","protein_coding"
"ENSG00000001617",7.66599204996601,-0.772023837421342,0.254262885421474,-3.03632138894991,0.00239483947983046,0.016460664419862,"SEMA3F","protein_coding"
"ENSG00000001626",12.6946371545245,-0.831257374038248,0.261777329837203,-3.17543682852599,0.00149611092915569,0.0117325359222891,"CFTR","protein_coding"
"ENSG00000001630",42.1520059390936,-0.321680458265931,0.0898390643359985,-3.58063010388048,0.00034276661499332,0.00408522259930972,"CYP51A1","protein_coding"
"ENSG00000002549",4011.41582451174,0.465163790711649,0.105887672370203,4.39299287914604,1.11800790608517e-05,0.000345951247660231,"LAP3","protein_coding"
"ENSG00000002834",10229.7008941783,0.223081505531228,0.0550913970066658,4.04929839597708,5.13714100407704e-05,0.00102614583910695,"LASP1","protein_coding"
"ENSG00000002919",1468.17717984778,0.136154820321508,0.0408004967773075,3.33708731696705,0.000846613459877109,0.00781203979005608,"SNX11","protein_coding"
"ENSG00000003056",3537.47347657416,0.184712271038892,0.0405867481166631,4.55104879326504,5.33791662860476e-06,0.00020378821021992,"M6PR","protein_coding"
"ENSG00000003436",52.2515397612353,0.374141732978346,0.147767861308628,2.53195606720539,0.0113428201997689,0.0496581941342328,"TFPI","protein_coding"
"ENSG00000004059",1521.02937842849,0.142853822983195,0.0529816005910945,2.69629119145953,0.00701163425194219,0.0355198134236778,"ARF5","protein_coding"
"ENSG00000004142",1360.73589320105,0.176401183646639,0.0332471208077073,5.30575819382669,1.12205619636435e-07,1.1717694469595e-05,"POLDIP2","protein_coding"
"ENSG00000004455",3202.22608472999,0.17468214354578,0.0289084584084144,6.04259629060452,1.51653784568267e-09,5.05638993381363e-07,"AK2","protein_coding"
"ENSG00000004468",1492.67978919224,0.439662315115079,0.109424545669204,4.01794965129854,5.87067366220873e-05,0.00113919784715857,"CD38","protein_coding"
"ENSG00000004487",2683.1962047806,-0.0802278078322933,0.0299331771424847,-2.68023028261923,0.00735715277422375,0.0366611925044587,"KDM1A","protein_coding"
"ENSG00000004700",1656.29797993635,-0.13434023253311,0.0495777195485583,-2.70968962986552,0.00673461952289255,0.0345407162044521,"RECQL","protein_coding"
"ENSG00000004777",226.359198883168,-0.403622659054124,0.0791669485795369,-5.09837332745767,3.42584664703639e-07,2.68761028133188e-05,"ARHGAP33","protein_coding"
"ENSG00000004838",55.503242674857,-0.430488045275281,0.106748654921082,-4.03272571062872,5.51336180518333e-05,0.0010823827567487,"ZMYND10","protein_coding"
"ENSG00000004961",377.686388375808,0.126191861621029,0.0447966185970878,2.81699524591422,0.00484752432082156,0.0272976000107066,"HCCS","protein_coding"
"ENSG00000005001",13.1270579621826,-0.591364183688851,0.16190841397928,-3.65246109917752,0.000259738953189094,0.00333402486913559,"PRSS22","protein_coding"
"ENSG00000005156",1312.47416721978,0.137110845239171,0.037728470306192,3.63414800882262,0.000278900730192669,0.00350993344422621,"LIG3","protein_coding"
"ENSG00000005206",1107.50731745037,-0.146634748557754,0.0575707188124182,-2.54703695876252,0.0108641926316848,0.0481962759210385,"SPPL2B","protein_coding"
"ENSG00000005238",2363.69850012623,0.19326103940118,0.0759286294234713,2.54529866887652,0.0109184305983064,0.0483290638608518,"ATOSB","protein_coding"
"ENSG00000005379",2045.67223132837,-0.306641387610771,0.083650157439498,-3.66575983831897,0.000246605275630248,0.00321704502053023,"TSPOAP1","protein_coding"
"ENSG00000005448",462.056939887392,-0.160675454145357,0.0524206133002733,-3.06511969299144,0.00217582900955252,0.0153888843330734,"WDR54","protein_coding"
"ENSG00000005469",390.724322418652,-0.24140975964816,0.0552716510535337,-4.36769582682342,1.25564198438697e-05,0.000378299968338272,"CROT","protein_coding"
"ENSG00000005513",32.8426864566455,-0.39585205276412,0.144294785447559,-2.74335660527375,0.00608146026083996,0.0321765703565468,"SOX8","protein_coding"
"ENSG00000005812",2518.72019244192,-0.213670069316609,0.0592221028956283,-3.60794465021238,0.000308632308837988,0.00377741776586353,"FBXL3","protein_coding"
"ENSG00000005961",2339.63594605405,0.375923235589864,0.129891059318141,2.89414250344297,0.00380195571671383,0.0228952811899037,"ITGA2B","protein_coding"
"ENSG00000006007",1556.34284479581,0.15192371980428,0.0449807375432208,3.37752842888136,0.000731403922479705,0.00704804213352914,"GDE1","protein_coding"
"ENSG00000006016",13.0707172809335,-0.411731318528338,0.112322857486956,-3.66560580580094,0.000246753764855568,0.00321745698803018,"CRLF1","protein_coding"
"ENSG00000006025",1510.38003156555,-0.230710996098008,0.0617618889771636,-3.73549125389142,0.000187349091360618,0.00262551213496965,"OSBPL7","protein_coding"
