"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050792","regulation of viral process","84/4952","173/18986",0.485549132947977,1.8615985133583,6.76244657981054,1.69002618838034e-10,1.07671568461711e-06,9.86797396520605e-07,"ADAR/ADARB1/APOBEC3A/APOBEC3B/APOBEC3C/APOBEC3F/APOBEC3G/AXL/BANF1/BST2/BTBD17/CD74/CH25H/CXCL8/DDB1/DDX3X/DDX5/DHX9/EIF2AK2/FBLN1/GSN/HEXIM1/HMGA2/HMGB1/HS3ST5/IFI16/IFIH1/IFIT1/IFIT5/IFITM1/IFITM2/IFITM3/ILF3/ISG15/ISG20/KPNA2/LAMP3/LARP1/LARP7/LGALS1/LGALS9/LY6E/MPHOSPH8/MX1/N4BP1/NECTIN2/NOTCH1/NR5A2/OAS1/OAS2/OAS3/OASL/PLSCR1/PPIH/RAB7A/RFPL2/RNASEL/RSAD2/SHFL/SMPD1/SP100/STAT1/STOM/TMEM250/TNIP1/TOP2A/TRIM10/TRIM13/TRIM14/TRIM15/TRIM21/TRIM22/TRIM25/TRIM26/TRIM27/TRIM38/TRIM5/TRIM59/TRIM8/TSG101/TYRO3/VAPB/ZC3HAV1/ZNFX1",84
"GO:0048525","negative regulation of viral process","55/4952","99/18986",0.555555555555556,2.13000359001974,6.69608276554283,4.50977055633287e-10,1.43658741071983e-06,1.31661564610413e-06,"APOBEC3A/APOBEC3B/APOBEC3C/APOBEC3F/APOBEC3G/BANF1/BST2/BTBD17/CD74/CH25H/EIF2AK2/FBLN1/GSN/HEXIM1/HMGA2/IFI16/IFIH1/IFIT1/IFIT5/IFITM1/IFITM2/IFITM3/ILF3/ISG15/ISG20/LARP7/LY6E/MPHOSPH8/MX1/N4BP1/OAS1/OAS2/OAS3/OASL/PLSCR1/RNASEL/RSAD2/SHFL/SP100/STAT1/TNIP1/TRIM10/TRIM13/TRIM14/TRIM15/TRIM21/TRIM25/TRIM26/TRIM27/TRIM5/TRIM59/TRIM8/VAPB/ZC3HAV1/ZNFX1",55
"GO:0051607","defense response to virus","133/4952","320/18986",0.415625,1.59350893578352,6.36035715026502,9.27719900792251e-10,1.97016782931581e-06,1.80563589112092e-06,"ADAR/ADARB1/AIM2/AIMP1/APOBEC3A/APOBEC3B/APOBEC3C/APOBEC3F/APOBEC3G/ATG16L1/ATG7/BCL2L1/BST2/CHMP3/CREB3/CXCL10/DDX21/DDX60/DDX60L/DHX15/DHX36/DHX58/DHX9/DMBT1/DTX3L/EIF2AK2/EPG5/ERCC6/EXOSC5/F2RL1/GBP1/HERC5/HSP90AA1/IFI16/IFI27/IFI44L/IFI6/IFIH1/IFIT1/IFIT2/IFIT3/IFIT5/IFITM1/IFITM2/IFITM3/IFNG/IFNGR2/IFNK/IFNL4/IKBKE/IL10RB/IL27/ILF3/ILRUN/IRF2/IRF5/IRF7/IRF9/IRGM/ISG15/ISG20/KCNJ8/MARCHF2/MLKL/MOV10/MX1/MX2/MYD88/NDUFAF4/NLRP9/NMBR/NT5C2/NT5C3A/OAS1/OAS2/OAS3/OASL/PARP9/PHB1/PLSCR1/PML/POLR3A/POLR3C/POLR3D/POLR3F/POLR3G/POLR3K/PRKRA/PYCARD/RIGI/RIPK3/RNASE2/RNASEL/RNF135/RNF185/RSAD2/RTP4/SAMHD1/SERINC3/SHFL/SLFN13/SMARCA5/SPN/STAT1/STAT2/STING1/TANK/TLR7/TRAF3/TRAF3IP1/TRIM13/TRIM15/TRIM21/TRIM22/TRIM25/TRIM26/TRIM27/TRIM35/TRIM38/TRIM5/TRIM52/TRIM56/TRIM8/UBL7/UNC93B1/USP18/VAMP8/VAPB/ZBP1/ZC3HAV1/ZDHHC11/ZMYND11/ZNFX1",133
"GO:1903900","regulation of viral life cycle","72/4952","146/18986",0.493150684931507,1.89074291278465,6.41790430014477,1.40687237722234e-09,2.02825528987239e-06,1.85887237282788e-06,"ADAR/ADARB1/APOBEC3A/APOBEC3B/APOBEC3C/APOBEC3F/APOBEC3G/AXL/BANF1/BST2/BTBD17/CD74/CH25H/CXCL8/DDB1/DDX3X/DDX5/EIF2AK2/GSN/HMGA2/HMGB1/HS3ST5/IFI16/IFIH1/IFIT1/IFIT5/IFITM1/IFITM2/IFITM3/ILF3/ISG15/ISG20/KPNA2/LAMP3/LARP1/LGALS1/LGALS9/LY6E/MPHOSPH8/MX1/N4BP1/NECTIN2/NOTCH1/NR5A2/OAS1/OAS2/OAS3/OASL/PLSCR1/PPIH/RFPL2/RNASEL/RSAD2/SHFL/SMPD1/TNIP1/TOP2A/TRIM10/TRIM15/TRIM21/TRIM22/TRIM25/TRIM26/TRIM38/TRIM5/TRIM59/TRIM8/TSG101/TYRO3/VAPB/ZC3HAV1/ZNFX1",72
"GO:0061644","protein localization to CENP-A containing chromatin","17/4952","18/18986",0.944444444444444,3.62100610303357,6.60843156484786,1.59178723110374e-09,2.02825528987239e-06,1.85887237282788e-06,"H2AC4/H2AC8/H2BC11/H4C1/H4C11/H4C12/H4C13/H4C14/H4C15/H4C16/H4C2/H4C3/H4C4/H4C5/H4C6/H4C8/H4C9",17
"GO:0009615","response to virus","166/4952","425/18986",0.390588235294118,1.49751781811271,6.16179579516159,2.25030656914145e-09,2.38945052533337e-06,2.18990360333818e-06,"ACTA2/ADAR/ADARB1/AIM2/AIMP1/AP1S1/APOBEC3A/APOBEC3B/APOBEC3C/APOBEC3F/APOBEC3G/ARF1/ATG16L1/ATG7/BANF1/BCL2L1/BST2/BTBD17/CALR/CCL8/CCT5/CHMP3/CLU/CREB3/CREBZF/CXCL10/CXCL12/DDX21/DDX3X/DDX60/DDX60L/DHX15/DHX36/DHX58/DHX9/DMBT1/DTX3L/DUOX2/EIF2AK2/ENO1/EPG5/ERCC6/EXOSC5/F2RL1/FGR/GBP1/HERC5/HMGA2/HSP90AA1/IFI16/IFI27/IFI44/IFI44L/IFI6/IFIH1/IFIT1/IFIT2/IFIT3/IFIT5/IFITM1/IFITM2/IFITM3/IFNAR1/IFNG/IFNGR2/IFNK/IFNL4/IKBKE/IL10RB/IL12A/IL17RA/IL27/ILF3/ILRUN/IRF2/IRF5/IRF7/IRF9/IRGM/ISG15/ISG20/ITGB8/JAK2/KCNJ8/LGALS9/MAPK14/MARCHF2/MLKL/MOV10/MST1R/MX1/MX2/MYD88/NDUFAF4/NLRP9/NMBR/NMI/NPC2/NT5C2/NT5C3A/OAS1/OAS2/OAS3/OASL/PARP9/PHB1/PLSCR1/PML/POLR3A/POLR3C/POLR3D/POLR3F/POLR3G/POLR3K/POU2F2/PRKRA/PYCARD/RIGI/RIPK3/RNASE2/RNASEL/RNF135/RNF185/RSAD2/RTP4/SAMHD1/SERINC3/SHFL/SLFN13/SMAD3/SMARCA5/SMPD1/SPN/STAT1/STAT2/STING1/TANK/TLR7/TNFSF4/TRAF3/TRAF3IP1/TRIM13/TRIM15/TRIM21/TRIM22/TRIM25/TRIM26/TRIM27/TRIM35/TRIM38/TRIM5/TRIM52/TRIM56/TRIM8/UBL7/UNC93B1/URI1/USP18/VAMP8/VAPB/VWCE/ZBP1/ZC3HAV1/ZDHHC11/ZMYND11/ZNFX1",166
"GO:0006334","nucleosome assembly","61/4952","120/18986",0.508333333333333,1.94895328486807,6.19441679973991,5.66529695263012e-09,5.1562295550295e-06,4.72562439041192e-06,"ATAD2B/CHRAC1/DAXX/H1-0/H1-2/H1-3/H1-4/H1-5/H1-9P/H2BC10/H2BC11/H2BC13/H2BC14/H2BC15/H2BC17/H2BC21/H2BC3/H2BC4/H2BC6/H2BC7/H2BC8/H2BC9/H3C1/H3C10/H3C11/H3C12/H3C13/H3C2/H3C3/H3C6/H3C7/H3C8/H4C1/H4C11/H4C12/H4C13/H4C14/H4C15/H4C16/H4C2/H4C3/H4C4/H4C5/H4C6/H4C8/H4C9/HP1BP3/KAT6B/MACROH2A1/MCM2/NAA60/NAP1L1/NAP1L2/NAP1L3/NASP/NPM1/RBBP4/SMARCA5/SMYD3/SPTY2D1/TSPYL2",61
"GO:0045069","regulation of viral genome replication","47/4952","85/18986",0.552941176470588,2.11998004371377,6.14726929437788,1.00596983653901e-08,8.01129228573756e-06,7.34225616221303e-06,"ADAR/ADARB1/APOBEC3A/APOBEC3B/APOBEC3C/APOBEC3F/APOBEC3G/BANF1/BST2/BTBD17/CXCL8/DDB1/DDX3X/DDX5/EIF2AK2/HMGA2/IFI16/IFIH1/IFIT1/IFIT5/IFITM1/IFITM2/IFITM3/ILF3/ISG15/ISG20/LARP1/MPHOSPH8/MX1/N4BP1/NOTCH1/NR5A2/OAS1/OAS2/OAS3/OASL/PLSCR1/PPIH/RNASEL/RSAD2/SHFL/TNIP1/TOP2A/TRIM38/VAPB/ZC3HAV1/ZNFX1",47
"GO:0045071","negative regulation of viral genome replication","34/4952","55/18986",0.618181818181818,2.37011308562197,6.04443711784305,2.53158820800444e-08,1.79208316368847e-05,1.64242336722814e-05,"APOBEC3A/APOBEC3B/APOBEC3C/APOBEC3F/APOBEC3G/BANF1/BST2/BTBD17/EIF2AK2/HMGA2/IFI16/IFIH1/IFIT1/IFIT5/IFITM1/IFITM2/IFITM3/ILF3/ISG15/ISG20/MPHOSPH8/MX1/N4BP1/OAS1/OAS2/OAS3/OASL/PLSCR1/RNASEL/RSAD2/SHFL/TNIP1/ZC3HAV1/ZNFX1",34
"GO:0019079","viral genome replication","63/4952","130/18986",0.484615384615385,1.85801851621722,5.83107240534425,3.41422422250644e-08,2.17520225215885e-05,1.99354755392034e-05,"ADAR/ADARB1/APOBEC3A/APOBEC3B/APOBEC3C/APOBEC3F/APOBEC3G/ATG16L1/BANF1/BST2/BTBD17/CCL2/CCL8/CTBP2/CXCL8/DDB1/DDX3X/DDX5/DEK/EEF1A1/EIF2AK2/HMGA2/IFI16/IFI27/IFIH1/IFIT1/IFIT5/IFITM1/IFITM2/IFITM3/ILF3/ISG15/ISG20/LARP1/MPHOSPH8/MX1/N4BP1/NOTCH1/NR5A2/OAS1/OAS2/OAS3/OASL/PHB1/PLSCR1/PPIB/PPIH/RNASEL/RSAD2/SHFL/SMARCB1/SMC5/SMC6/STOM/TNIP1/TOP2A/TRIM38/VAPB/VCP/ZBED1/ZC3HAV1/ZFYVE1/ZNFX1",63
"GO:0019058","viral life cycle","128/4952","323/18986",0.396284829721362,1.51935859795836,5.59220059692121,5.6935954809776e-08,3.29762698266439e-05,3.0222367591371e-05,"ADAR/ADARB1/APOBEC3A/APOBEC3B/APOBEC3C/APOBEC3F/APOBEC3G/APOE/ATG16L1/AVP/AXL/BANF1/BST2/BTBD17/CAV2/CBL/CCL2/CCL8/CCR5/CD74/CH25H/CHMP2A/CHMP3/CHMP5/CHMP6/CLDN6/CTBP2/CTSB/CTSL/CXCL8/DDB1/DDX3X/DDX5/DEK/EEF1A1/EIF2AK2/EPHA2/EPS15/F11R/GSN/HMGA2/HMGB1/HS3ST5/HSPA1A/HTR2A/IFI16/IFI27/IFIH1/IFIT1/IFIT5/IFITM1/IFITM2/IFITM3/ILF3/ISG15/ISG20/ITGA5/ITGB3/JPT2/KPNA2/LAMP1/LAMP3/LARP1/LGALS1/LGALS9/LY6E/MPHOSPH8/MX1/N4BP1/NECTIN2/NOTCH1/NR5A2/OAS1/OAS2/OAS3/OASL/PC/PHB1/PLSCR1/PPIB/PPIH/RAB1B/RAB43/RAB7A/RFPL2/RNASEL/RSAD2/SCARB2/SELPLG/SHFL/SIGLEC1/SLC1A5/SLC3A2/SLC6A19/SLC7A1/SMARCB1/SMC5/SMC6/SMPD1/SRC/STOM/TNIP1/TOP2A/TRIM10/TRIM15/TRIM21/TRIM22/TRIM25/TRIM26/TRIM38/TRIM5/TRIM59/TRIM8/TSG101/TYRO3/VAMP8/VAPB/VCP/VPS18/VPS37A/VPS37D/WWP1/WWP2/ZBED1/ZC3HAV1/ZFYVE1/ZNF639/ZNFX1",128
