"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0019814","immunoglobulin complex","95/5201","174/19960",0.545977011494253,2.09530881550188,8.61423180871171,1.01239196144777e-15,7.80554202276234e-13,6.38339773586544e-13,"CD79B/IGHA1/IGHA2/IGHE/IGHG1/IGHG2/IGHG3/IGHM/IGHV1-18/IGHV1-24/IGHV1-3/IGHV1-58/IGHV1-69/IGHV1-69-2/IGHV2-26/IGHV2-5/IGHV2-70/IGHV2-70D/IGHV3-11/IGHV3-13/IGHV3-15/IGHV3-21/IGHV3-23/IGHV3-30/IGHV3-33/IGHV3-43/IGHV3-48/IGHV3-53/IGHV3-64/IGHV3-66/IGHV3-7/IGHV3-72/IGHV3-73/IGHV3-74/IGHV4-28/IGHV4-31/IGHV4-34/IGHV4-39/IGHV4-4/IGHV4-59/IGHV4-61/IGHV5-51/IGHV6-1/IGKC/IGKV1-12/IGKV1-16/IGKV1-17/IGKV1-27/IGKV1-39/IGKV1-5/IGKV1-6/IGKV1-9/IGKV1D-12/IGKV1D-39/IGKV2-24/IGKV2-28/IGKV2-29/IGKV2-30/IGKV2D-28/IGKV2D-29/IGKV3-15/IGKV3-20/IGKV3D-11/IGKV3D-20/IGKV4-1/IGKV5-2/IGLC2/IGLC3/IGLC7/IGLL1/IGLV1-40/IGLV1-44/IGLV1-47/IGLV10-54/IGLV2-11/IGLV2-14/IGLV2-23/IGLV2-8/IGLV3-1/IGLV3-10/IGLV3-16/IGLV3-19/IGLV3-21/IGLV3-25/IGLV3-27/IGLV3-9/IGLV4-60/IGLV4-69/IGLV6-57/IGLV7-43/IGLV7-46/IGLV8-61/IGLV9-49/JCHAIN/PIGR",95
"GO:0000786","nucleosome","75/5201","135/19960",0.555555555555556,2.13206861928262,7.834610095795,3.11610574915058e-13,1.20125876629755e-10,9.82393338811157e-11,"ACTB/ACTL6A/DMAP1/GLYR1/H1-0/H1-2/H1-3/H1-4/H1-5/H1-9P/H2AC11/H2AC12/H2AC13/H2AC15/H2AC16/H2AC18/H2AC19/H2AC20/H2AC21/H2AC4/H2AC6/H2AC8/H2AZ2/H2BC10/H2BC11/H2BC12/H2BC13/H2BC14/H2BC15/H2BC17/H2BC18/H2BC21/H2BC26/H2BC3/H2BC4/H2BC5/H2BC6/H2BC7/H2BC8/H2BC9/H3C1/H3C10/H3C11/H3C12/H3C13/H3C2/H3C3/H3C6/H3C7/H3C8/H4C1/H4C11/H4C12/H4C13/H4C14/H4C15/H4C16/H4C2/H4C3/H4C4/H4C5/H4C6/H4C8/H4C9/HP1BP3/ING3/KAT6B/KDM1B/MACROH2A1/MORF4L2/MPHOSPH8/RUVBL1/TGM2/VPS72/YEATS4",75
"GO:0101002","ficolin-1-rich granule","86/5201","185/19960",0.464864864864865,1.78402282305378,6.35975921083943,1.54400152849984e-09,2.39138581652479e-07,1.95568312389699e-07,"ACLY/ADAM8/AGL/ALDOA/AMPD3/APEH/ARPC5/ARSB/ATAD3B/ATG7/C1orf35/CAND1/CANT1/CAPN1/CAT/CCT8/CD300A/CD58/CDA/CFD/COMMD9/COPB1/COTL1/CRISPLD2/CST3/CSTB/CTSB/CTSD/CTSH/CTSZ/DDX3X/DERA/DIAPH1/DOK3/DYNLL1/EEF1A1/ENPP4/FPR1/FPR2/GLB1/GMFG/GNS/GPI/GSDMD/GSN/GYG1/HBB/HK3/HMGB1/HSP90AA1/HSPA1A/HSPA6/HUWE1/IDH1/ITGB2/JUP/LAMP1/LAMTOR1/MAPK14/MNDA/MVP/NCKAP1L/OSTF1/PGAM1/PGM1/PKM/PKP1/PLEKHO2/PRCP/PRDX4/PSMA5/PSMB7/PSMC3/PSMD13/RAC1/SERPINA1/SIGLEC5/SIRPA/TIMP2/TMEM179B/UBR4/VCL/VCP/VPS35L/XRCC6/YPEL5",86
"GO:0043505","CENP-A containing nucleosome","17/5201","18/19960",0.944444444444444,3.62451665278045,6.61280290827089,1.56772882617894e-09,2.39138581652479e-07,1.95568312389699e-07,"H2AC4/H2AC8/H2BC11/H4C1/H4C11/H4C12/H4C13/H4C14/H4C15/H4C16/H4C2/H4C3/H4C4/H4C5/H4C6/H4C8/H4C9",17
"GO:0061638","CENP-A containing chromatin","17/5201","18/19960",0.944444444444444,3.62451665278045,6.61280290827089,1.56772882617894e-09,2.39138581652479e-07,1.95568312389699e-07,"H2AC4/H2AC8/H2BC11/H4C1/H4C11/H4C12/H4C13/H4C14/H4C15/H4C16/H4C2/H4C3/H4C4/H4C5/H4C6/H4C8/H4C9",17
"GO:0032993","protein-DNA complex","105/5201","240/19960",0.4375,1.67900403768506,6.28215824590466,1.86100063542785e-09,2.39138581652479e-07,1.95568312389699e-07,"ACTB/ACTL6A/BCAS2/DMAP1/DONSON/GATA1/GLYR1/H1-0/H1-2/H1-3/H1-4/H1-5/H1-9P/H2AC11/H2AC12/H2AC13/H2AC15/H2AC16/H2AC18/H2AC19/H2AC20/H2AC21/H2AC4/H2AC6/H2AC8/H2AZ2/H2BC10/H2BC11/H2BC12/H2BC13/H2BC14/H2BC15/H2BC17/H2BC18/H2BC21/H2BC26/H2BC3/H2BC4/H2BC5/H2BC6/H2BC7/H2BC8/H2BC9/H3C1/H3C10/H3C11/H3C12/H3C13/H3C2/H3C3/H3C6/H3C7/H3C8/H4C1/H4C11/H4C12/H4C13/H4C14/H4C15/H4C16/H4C2/H4C3/H4C4/H4C5/H4C6/H4C8/H4C9/HMGA2/HP1BP3/ING3/JUP/KAT6B/KDM1B/KDM5A/MACROH2A1/MAX/MCM2/MCM3/MED1/MORF4L2/MPHOSPH8/NFE2/NFYB/NFYC/NPM1/PARP1/POLR2M/PRIM2/PRPF19/RPA4/RPRD2/RUVBL1/SP1/ST18/TCF7L2/TERF1/TERF2/TERT/TGM2/TINF2/VPS72/XPA/XRCC5/XRCC6/YEATS4",105
"GO:1904813","ficolin-1-rich granule lumen","63/5201","124/19960",0.508064516129032,1.94981114053749,6.29803981126273,3.18063739551577e-09,3.50324490277523e-07,2.86496511265255e-07,"ACLY/AGL/ALDOA/AMPD3/APEH/ARPC5/ARSB/ATG7/C1orf35/CAND1/CANT1/CAPN1/CAT/CCT8/CDA/CFD/COMMD9/COTL1/CRISPLD2/CST3/CSTB/CTSB/CTSD/CTSH/CTSZ/DDX3X/DERA/EEF1A1/GLB1/GMFG/GNS/GPI/GSDMD/GSN/GYG1/HBB/HK3/HMGB1/HSP90AA1/HSPA1A/HSPA6/HUWE1/IDH1/JUP/MAPK14/MNDA/MVP/OSTF1/PGAM1/PGM1/PKM/PLEKHO2/PRDX4/PSMA5/PSMB7/PSMC3/PSMD13/SERPINA1/TIMP2/VCL/VCP/XRCC6/YPEL5",63
"GO:0034506","chromosome, centromeric core domain","17/5201","19/19960",0.894736842105263,3.43375261842358,6.30034185934246,1.12406060517513e-08,1.08331340823753e-06,8.85937240131448e-07,"H2AC4/H2AC8/H2BC11/H4C1/H4C11/H4C12/H4C13/H4C14/H4C15/H4C16/H4C2/H4C3/H4C4/H4C5/H4C6/H4C8/H4C9",17
"GO:0005925","focal adhesion","160/5201","424/19960",0.377358490566038,1.44819755272027,5.53756625492009,6.34812680594988e-08,5.32099086295774e-06,4.35152369023372e-06,"ACTB/ACTG1/ACTN1/ACTN3/ACTN4/ADD1/ADGRB1/AIF1L/AKAP12/AMBRA1/ANXA1/ANXA6/APBB1IP/ARF1/ARHGAP26/ARHGAP31/ARHGEF2/ARPC1B/ARPC5/B2M/BCAR1/BLOC1S6/CALR/CAP1/CAPN1/CAT/CAV2/CBL/CD9/CD99L2/CDC42/CDH13/CDH2/CNN2/CORO1C/CSPG4/CSRP1/CSRP2/CTNNA1/CYFIP1/DAB2/DNM2/ENAH/EPHA2/FAM107A/FAT1/FBLIM1/FERMT1/FERMT2/FHL3/FLII/FLNA/FLNB/FLNC/FLOT1/FLOT2/FOCAD/FZD2/GNB2/GRB7/GSN/HSPA1A/HSPA9/HSPG2/IL16/IQGAP1/IRF2/ITGA2B/ITGA5/ITGB2/ITGB3/ITGB4/ITGB8/JAK2/JUP/LAP3/LASP1/LCP1/LIMD1/LIMK1/LIMS1/LIMS4/LMLN/LMO7/LPXN/MAPK3/MARCKS/MCAM/MPRIP/MRC2/MSN/MYH9/NCSTN/NECTIN2/NEDD9/NEXN/NHERF2/NPM1/NUMB/PACSIN2/PAK1/PARVA/PDLIM1/PEAK1/PEAK3/PHLDB2/PIP5K1A/PPFIBP1/PPIB/PRUNE1/PTK2/RAB10/RAC1/RAC2/RALA/REXO2/RHOG/RPL10A/RPL22/RPL3/RPL4/RPL5/RPL6/RPL7/RPS17/RPS3A/RPS7/RPS8/RRAS/RSU1/SCARB2/SCARF2/SH3KBP1/SLC9A1/SNTB1/SORBS1/SPRY4/SRC/STARD8/STX16/TADA1/TEK/TGM2/TLE2/TLN1/TLN2/TNFSF13B/TNS1/TNS3/TRIM15/TRIOBP/TWF1/UBOX5/VASP/VCL/XIRP1/YES1/YWHAE/YWHAG/ZYX",160
"GO:0030055","cell-substrate junction","163/5201","434/19960",0.375576036866359,1.44135698824313,5.51839240451348,6.90141486764947e-08,5.32099086295774e-06,4.35152369023372e-06,"ACTB/ACTG1/ACTN1/ACTN3/ACTN4/ADD1/ADGRB1/AIF1L/AKAP12/AMBRA1/ANXA1/ANXA6/APBB1IP/ARF1/ARHGAP26/ARHGAP31/ARHGEF2/ARPC1B/ARPC5/B2M/BCAR1/BLOC1S6/CALR/CAP1/CAPN1/CAT/CAV2/CBL/CD9/CD99L2/CDC42/CDH13/CDH2/CNN2/CORO1C/CSPG4/CSRP1/CSRP2/CTNNA1/CYFIP1/DAB2/DNM2/ENAH/EPHA2/FAM107A/FAT1/FBLIM1/FERMT1/FERMT2/FERMT3/FHL3/FLII/FLNA/FLNB/FLNC/FLOT1/FLOT2/FOCAD/FZD2/GNB2/GRB7/GSN/HMCN1/HSPA1A/HSPA9/HSPG2/IL16/IQGAP1/IRF2/ITGA2B/ITGA5/ITGB2/ITGB3/ITGB4/ITGB8/JAK2/JUP/LAMA3/LAP3/LASP1/LCP1/LIMD1/LIMK1/LIMS1/LIMS4/LMLN/LMO7/LPXN/MAPK3/MARCKS/MCAM/MPRIP/MRC2/MSN/MYH9/NCSTN/NECTIN2/NEDD9/NEXN/NHERF2/NPM1/NUMB/PACSIN2/PAK1/PARVA/PDLIM1/PEAK1/PEAK3/PHLDB2/PIP5K1A/PPFIBP1/PPIB/PRUNE1/PTK2/RAB10/RAC1/RAC2/RALA/REXO2/RHOG/RPL10A/RPL22/RPL3/RPL4/RPL5/RPL6/RPL7/RPS17/RPS3A/RPS7/RPS8/RRAS/RSU1/SCARB2/SCARF2/SH3KBP1/SLC9A1/SNTB1/SORBS1/SPRY4/SRC/STARD8/STX16/TADA1/TEK/TGM2/TLE2/TLN1/TLN2/TNFSF13B/TNS1/TNS3/TRIM15/TRIOBP/TWF1/UBOX5/VASP/VCL/XIRP1/YES1/YWHAE/YWHAG/ZYX",163
