"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease - COVID-19","134/3056","238/9397",0.563025210084034,1.73126567380879,7.93247914900909,1.79712125773421e-14,6.23601076433771e-12,4.35092515030388e-12,"1636/59272/6868/733/834/629/1675/1536/5610/2197/1839/64135/3454/3455/3592/3593/3570/3654/3661/10379/3716/3725/6885/5600/1432/5595/57506/4599/4600/4790/4792/4793/4938/4939/4940/5291/5335/5579/5970/23586/6134/4736/6135/6136/6137/23521/9045/6138/6139/6141/6142/6143/6144/6146/200916/9349/6147/6152/6154/51121/6155/6157/6158/6159/6122/6156/6160/6161/6164/11224/6165/25873/6173/6166/6167/6168/6169/6170/6124/6171/6125/6128/6129/6130/6132/6133/6175/6176/6181/6205/6206/6207/6208/6209/6210/6217/6218/6222/6223/6187/6224/6227/6228/6229/6230/6231/6232/6233/6234/6235/6188/6189/6191/6193/6194/6201/6202/6203/3921/388524/51187/6403/6772/6774/23118/29110/7099/51284/51311/7124/7132/7187/7297/7311",134
"Human Diseases","Neurodegenerative disease","hsa05016","Huntington disease","161/3056","311/9397",0.517684887459807,1.5918471490379,7.36839146141367,7.69451733242146e-13,1.33499875717512e-10,9.3144157181944e-11,"10120/11047/55626/160/163/1173/1175/317/60673/22863/23130/498/506/513/514/516/517/518/10476/522/539/581/27113/841/1212/1213/8218/1327/9377/1329/1337/1340/1345/1346/1347/9167/1349/1350/1351/1385/10488/9586/1537/11258/10671/1742/8701/127602/56171/2033/2081/2776/2876/2877/2878/3065/3092/3064/55081/3708/64837/89953/5609/4294/4217/2475/4694/4695/4696/4697/4698/4700/4701/4706/4716/54539/4708/4709/4710/4712/4713/4717/4718/4719/4720/4722/4725/4726/374291/4728/4723/29982/5289/30849/23236/5330/5432/5434/5435/5436/5437/5439/246721/548644/5440/5441/5468/10105/5688/143471/5689/5690/5691/5692/5693/5694/5700/5701/5702/5705/5707/5719/5708/5709/9861/5713/5714/5715/9821/23186/5978/6389/7979/6506/6507/291/292/293/6647/6667/6908/7157/84790/113457/112714/7277/51807/203068/7280/347733/10383/347688/260334/9706/7381/7384/7386/7388/440567/27089/7417",161
"Genetic Information Processing","Chromosome","hsa03082","ATP-dependent chromatin remodeling","75/3056","117/9397",0.641025641025641,1.97111189421399,7.33765888990351,1.91347816996595e-12,2.21325641659395e-10,1.54421045295498e-10,"60/79913/8289/57492/196528/11177/9031/29994/9275/9274/29998/23506/2186/29117/10902/8099/10263/27443/1107/54108/55929/8193/57634/26122/57459/8969/85235/8329/8331/8330/8332/8338/317772/92815/8335/3013/3012/55766/3014/3015/94239/3065/54556/54617/54891/283899/10524/8932/53615/10445/9643/55257/9112/9219/4798/55193/55274/84295/54107/5928/5931/51773/8607/10856/6599/6602/6604/6760/26039/29844/8295/51377/8089/7528/10467",75
"Human Diseases","Neurodegenerative disease","hsa05014","Amyotrophic lateral sclerosis","184/3056","371/9397",0.495956873315364,1.52503492753419,7.16303029735949,2.68897899016625e-12,2.33268927396922e-10,1.62753991510063e-10,"60/10120/11047/10189/55626/317/468/22926/60673/22863/23130/498/506/513/514/516/517/518/10476/522/539/6311/11273/581/834/847/9973/400916/1327/9377/1329/1337/1340/1345/1346/1347/9167/1349/1350/1351/1537/11258/10671/1649/8701/127602/56171/1965/2081/9896/2521/2733/2876/2877/2878/2906/10013/3178/642659/3309/64837/89953/84557/5608/4217/5600/1432/9782/90550/2475/4694/4695/4696/4697/4698/4700/4701/4706/4716/54539/4708/4709/4710/4712/4713/4717/4718/4719/4720/4722/4725/4726/374291/4728/4723/29982/9542/145957/91181/8021/129401/348995/10762/9818/79902/10482/56000/29107/10133/5216/375189/5289/30849/9883/100101267/5530/5532/5533/5071/5688/143471/5689/5690/5691/5692/5693/5694/5700/5701/5702/5705/5707/5719/5708/5709/9861/5713/5714/5715/4218/8480/5903/9821/6389/81929/7979/23064/10280/6506/6647/80208/8878/6428/6432/10010/23435/29110/7124/7132/10452/7157/7175/84790/113457/112714/7277/51807/203068/7280/347733/10383/347688/260334/56893/9706/7381/7384/7386/7388/440567/27089/9217/55255/7494",184
"Human Diseases","Neurodegenerative disease","hsa05012","Parkinson disease","141/3056","271/9397",0.520295202952029,1.59987369834431,6.95622364388136,1.3160865116678e-11,8.57295949109858e-10,5.98143692690027e-10,"11047/317/468/22926/498/506/513/514/516/517/518/10476/522/539/581/801/808/91860/817/1327/9377/1329/1337/1340/1345/1346/1347/9167/1349/1350/1351/1537/1649/1965/2081/2771/2773/2778/3309/27429/3708/3709/64837/89953/120892/4129/4217/90550/55669/4694/4695/4696/4697/4698/4700/4701/4706/4716/54539/4708/4709/4710/4712/4713/4717/4718/4719/4720/4722/4725/4726/374291/4728/4723/4780/11315/5335/10105/5567/5071/5688/143471/5689/5690/5691/5692/5693/5694/5700/5701/5702/5705/5707/5719/5708/5709/9861/5713/5714/5715/6233/6389/7979/291/292/293/57181/201266/91252/55630/7922/64116/55334/6647/7157/10131/84790/113457/112714/7277/51807/203068/7280/347733/10383/347688/260334/25828/7311/7318/7314/7316/7327/7381/7384/7386/7388/440567/27089/7417/7494",141
"Organismal Systems","Immune system","hsa04613","Neutrophil extracellular trap formation","109/3056","196/9397",0.556122448979592,1.71004013516401,6.97369133067831,1.48235610797094e-11,8.57295949109858e-10,5.98143692690027e-10,"60/207/208/10000/10533/566/820/834/837/1182/1183/1378/1511/1535/1536/1991/2215/2358/2359/79792/8969/85235/8329/8331/8330/8332/8338/317772/92815/8335/3013/3012/55766/3014/3015/94239/8346/85236/8340/8342/8341/8348/440689/128312/3018/8347/3017/8344/8343/8339/3021/440093/8350/8354/8356/653604/126961/333932/8358/8352/8353/8968/8355/340096/8359/8363/8362/8368/121504/8366/8364/8360/8367/8361/8294/8520/3065/8841/9759/10013/55869/9734/3146/3690/5605/6885/5600/1432/5595/4353/2475/4790/5291/23236/5330/5335/10105/5579/5880/5970/6403/27180/291/292/293/7099/51284/51311/7417",109
"Human Diseases","Neurodegenerative disease","hsa05010","Alzheimer disease","189/3056","391/9397",0.483375959079284,1.4863494396165,6.81930522742561,2.45074473808775e-11,1.21486917730921e-09,8.47625999639371e-10,"102/6868/11047/207/208/10000/55626/317/324/51107/83464/348/369/468/22926/60673/22863/23130/498/506/513/514/516/517/518/10476/522/539/8312/8313/673/776/778/801/808/91860/841/1020/1133/1327/9377/1329/1337/1340/1345/1346/1347/9167/1349/1350/1351/122011/1454/1457/1459/1536/1537/1649/1855/1856/1857/5610/1965/2081/355/23401/8325/2597/2776/2906/2932/3265/3028/3416/3552/3643/3708/3709/64837/89953/5605/5609/4217/5595/90550/4311/2475/8883/4694/4695/4696/4697/4698/4700/4701/4706/4716/54539/4708/4709/4710/4712/4713/4717/4718/4719/4720/4722/4725/4726/374291/4728/4723/4790/29982/5289/5291/30849/23236/5330/10105/5530/5532/5533/5663/55851/5688/143471/5689/5690/5691/5692/5693/5694/5700/5701/5702/5705/5707/5719/5708/5709/9861/5713/5714/5715/5743/9821/5970/10313/57142/6389/7979/291/292/293/57181/201266/91252/55630/7922/64116/55334/7124/7132/84790/113457/112714/7277/51807/203068/7280/347733/10383/347688/260334/9706/7381/7384/7386/7388/440567/27089/7417/7471/7480/7473/54361/7494",189
"Cellular Processes","Cell growth and death","hsa04110","Cell cycle","91/3056","158/9397",0.575949367088608,1.77100661077606,6.78490020292583,5.66456764404306e-11,2.45700621560368e-09,1.71427705017093e-09,"25/64682/10393/51529/25847/25906/119504/29882/29945/51433/51434/545/546/699/701/9184/890/891/9133/894/898/902/8556/991/994/996/990/1017/1026/1028/1030/1031/1032/81620/10926/1871/1874/2033/114799/157570/9700/51343/1647/4616/10912/2932/3065/55869/57082/8379/9587/10459/4172/4176/4193/25836/4999/23595/5000/5001/5111/23244/23047/5347/5519/5526/5529/5591/9232/10744/5925/5933/2810/151648/6500/4087/8243/27127/10274/10735/7029/7040/7043/90381/7157/23063/7529/7531/7532/7534/7709",91
"Human Diseases","Neurodegenerative disease","hsa05022","Pathways of neurodegeneration - multiple diseases","222/3056","483/9397",0.459627329192547,1.41332395694449,6.47436428041992,1.85806232242683e-10,7.16386250980122e-09,4.99829630594352e-09,"10120/11047/55626/317/324/369/468/22926/60673/22863/23130/498/506/513/514/516/517/518/10476/522/539/6310/342371/6311/11273/8312/8313/578/581/673/776/778/801/808/91860/817/841/847/9973/1020/1133/1327/9377/1329/1337/1340/1345/1346/1347/9167/1349/1350/1351/122011/1454/1457/1459/1536/1537/11258/10671/1649/1742/8701/127602/56171/1855/1856/1857/1965/2081/355/356/9896/23401/2521/8325/2776/2876/2877/2878/2906/2932/3092/3265/3028/3309/27429/3064/55081/3552/3708/3709/64837/89953/120892/84557/5605/5608/5609/4294/4217/5600/1432/5595/90550/55669/2475/4694/4695/4696/4697/4698/4700/4701/4706/4716/54539/4708/4709/4710/4712/4713/4717/4718/4719/4720/4722/4725/4726/374291/4728/4723/4790/29982/10133/11315/5289/30849/23236/5330/5335/10105/5530/5532/5533/5579/5071/5621/5663/5688/143471/5689/5690/5691/5692/5693/5694/5700/5701/5702/5705/5707/5719/5708/5709/9861/5713/5714/5715/5743/4218/9821/5970/6233/6389/7979/10280/291/292/293/6647/80208/8878/10010/23435/29110/7124/7132/10452/10131/84790/113457/112714/7277/51807/203068/7280/347733/10383/347688/260334/7311/7318/7314/7316/7327/9706/7381/7384/7386/7388/440567/27089/9217/7417/55255/7471/7480/7473/54361/7494",222
"Human Diseases","Neurodegenerative disease","hsa05020","Prion disease","135/3056","278/9397",0.485611510791367,1.49322361482542,5.79511360780776,1.29590816743326e-08,4.49680134099343e-07,3.13746187904896e-07,"11047/317/1386/468/498/506/513/514/516/517/518/10476/522/539/581/733/776/778/6352/1327/9377/1329/1337/1340/1345/1346/1347/9167/1349/1350/1351/1385/10488/9586/1457/1459/1535/1536/1537/1649/1965/2906/116443/116444/2932/3304/3305/3309/3552/3708/3709/64837/89953/5600/1432/5595/90550/4694/4695/4696/4697/4698/4700/4701/4706/4716/54539/4708/4709/4710/4712/4713/4717/4718/4719/4720/4722/4725/4726/374291/4728/4723/5291/10105/5530/5532/5533/5567/5621/5688/143471/5689/5690/5691/5692/5693/5694/5700/5701/5702/5705/5707/5719/5708/5709/9861/5713/5714/5715/5880/6389/7979/291/292/293/6647/7124/84790/113457/112714/7277/51807/203068/7280/347733/10383/347688/260334/7381/7384/7386/7388/440567/27089/7417",135
