"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022613","ribonucleoprotein complex biogenesis","286/6460","492/18986",0.58130081300813,1.70844848850965,11.4338044119282,1.51306580265458e-28,9.64882062352826e-25,8.2677100858736e-25,"ABT1/AFG2A/AGO1/AGO2/AGO3/AGO4/AIRIM/AK6/ATR/BOP1/BRIX1/BUD23/BYSL/C1D/C1QBP/CD2BP2/CELF1/CELF3/CELF6/CLNS1A/CLP1/COIL/CUL4B/DDX10/DDX20/DDX23/DDX27/DDX28/DDX31/DDX39B/DDX42/DDX47/DDX49/DDX51/DDX54/DDX56/DENR/DHX30/DICER1/DIMT1/DKC1/EBNA1BP2/EFL1/EIF1AX/EIF2A/EIF2S2/EIF3B/EIF3C/EIF3CL/EIF3D/EIF3E/EIF3F/EIF3G/EIF3H/EIF3I/EIF3K/EIF3L/EIF3M/EIF4A3/EIF6/ERAL1/ERCC2/ERI1/ERI2/ERI3/EXOSC10/EXOSC3/EXOSC6/EXOSC9/FAU/FBL/FRG1/GAR1/GEMIN2/GEMIN5/GEMIN6/GEMIN8/GNL3L/GTF3A/GTPBP10/HEATR3/HSP90AB1/HTATSF1/IMP4/ISY1/KRI1/LSM4/LTV1/LUC7L3/LYAR/MALSU1/MDN1/METTL15/METTL15P1/METTL17/MPHOSPH10/MPV17L2/MRM3/MRPS2/MRPS7/MTREX/MYBBP1A/NAF1/NGDN/NGRN/NHP2/NIP7/NOA1/NOB1/NOC2L/NOL10/NOL11/NOL3/NOL7/NOLC1/NOP16/NOP53/NOP56/NOP58/NOP9/NOPCHAP1/NPM1/NPM3/NSA2/NSUN3/NSUN4/NSUN5/PA2G4/PELP1/PES1/PHF5A/PIH1D1/POP7/PPAN/PRKDC/PRMT7/PRP4K/PRPF18/PRPF31/PRPF39/PUF60/RAN/RBFA/RBIS/RBM10/RBMX2/REXO1/REXO4/RIOK1/RNASEL/RNU1-4/RNU4ATAC/RNU5D-1/RNU5F-1/RNU6-9/RNU6ATAC/RNVU1-3/RNVU1-4/RNVU1-7/RNVU1-8/RPF1/RPF2/RPL11/RPL13A/RPL14/RPL24/RPL26/RPL26L1/RPL27/RPL35/RPL35A/RPL38/RPL5/RPL7/RPL7A/RPL7L1/RPS11/RPS12/RPS13/RPS14/RPS15/RPS15A/RPS16/RPS17/RPS19/RPS19BP1/RPS21/RPS23/RPS24/RPS25/RPS27/RPS27A/RPS28/RPS3A/RPS4X/RPS5/RPS6/RPS7/RPS8/RPS9/RPSA/RPSA2/RPUSD1/RPUSD2/RPUSD4/RRN3/RRP1/RRP7BP/RRP8/RRP9/RRS1/RSL24D1/RSRP1/RUVBL1/RUVBL2/SART1/SBDS/SCAF11/SDAD1/SDE2/SETX/SF1/SF3A1/SF3A2/SF3B2/SF3B3/SF3B4/SF3B5/SF3B6/SHQ1/SIRT7/SLX9/SNRPA1/SNRPB/SNRPB2/SNRPC/SNRPD1/SNRPD2/SNRPE/SNRPF/SNRPGP15/SNU13/SRFBP1/SRPK1/SRPK2/SRSF10/SRSF5/SRSF6/SRSF9/STRAP/SURF6/TAF12-DT/TARBP2/TBL3/TENT4B/TFB2M/TGS1/TMA16/TRMT112/TRMT61B/TSR2/TSR3/TSSC4/TXNL4A/U2AF2/USP39/USP4/UTP15/UTP6/WBP11/WDR12/WDR18/WDR3/WDR55/WDR74/WDR77/XAB2/XPO1/XRCC5/XRN2/YBEY/YJU2/ZNF622/ZNF658/ZNHIT3/ZRSR2",286
"GO:0002181","cytoplasmic translation","124/6460","165/18986",0.751515151515151,2.20871001031992,11.1984547554835,2.59475536864046e-27,8.27337749291011e-24,7.08914479926981e-24,"AARS1/AKT2/CPEB3/CPEB4/DENR/EEF1D/EIF2B2/EIF2B4/EIF2B5/EIF2S2/EIF3B/EIF3C/EIF3CL/EIF3D/EIF3E/EIF3F/EIF3G/EIF3H/EIF3I/EIF3K/EIF3L/EIF3M/EIF4A1/EIF4A2/FAU/FTSJ1/HNRNPD/LIN28A/MIF4GD/MTOR/NCBP2/NCK1/NEMF/PABPC1/PAIP1/PARP16/RACK1/RBM4/RPL10/RPL10A/RPL11/RPL12/RPL13/RPL13A/RPL14/RPL15/RPL17/RPL18/RPL18A/RPL19/RPL21/RPL22/RPL22L1/RPL23/RPL23A/RPL24/RPL26/RPL26L1/RPL27/RPL27A/RPL28/RPL29/RPL3/RPL30/RPL31/RPL32/RPL34/RPL35/RPL35A/RPL36/RPL36A/RPL37/RPL37A/RPL38/RPL39/RPL4/RPL41/RPL5/RPL6/RPL7/RPL7A/RPL8/RPL9/RPLP0/RPLP0P6/RPLP1/RPLP2/RPS11/RPS12/RPS13/RPS14/RPS15/RPS15A/RPS16/RPS17/RPS18/RPS19/RPS2/RPS20/RPS21/RPS23/RPS24/RPS25/RPS26/RPS27/RPS27A/RPS28/RPS29/RPS3/RPS3A/RPS4X/RPS5/RPS6/RPS7/RPS8/RPS9/RPSA/RWDD1/SARS1/SLBP/UBA52/YBX1/ZC3H15/ZNF385A",124
"GO:0008380","RNA splicing","260/6460","484/18986",0.537190082644628,1.57880664227413,9.26322482730642,1.82240275650493e-19,3.87382079274397e-16,3.31933077509371e-16,"ACIN1/AFF2/AHNAK/AKAP17A/ALYREF/AQR/ARGLU1/ARL6IP4/ARVCF/ATXN7L3/BCAS2/BUD31/C1QBP/C9orf78/CACTIN/CCAR2/CCNL2/CD2BP2/CDC5L/CDK11A/CDK11B/CDK12/CDK13/CELF1/CELF3/CELF6/CIRBP/CLASRP/CLK1/CLK2/CLK3/CLNS1A/CLP1/COIL/CRIPT/CWC15/CWC25/CWC27/CWF19L2/DCPS/DDX20/DDX23/DDX39A/DDX39B/DDX41/DDX42/DDX47/DDX5/DHX16/DHX38/DYRK1A/EFTUD2/EIF1/EIF4A3/ENY2/ERN1/ESRP2/ESS2/EXOSC10/FAM50A/FAM98B/FASTK/FRG1/FUS/GEMIN2/GEMIN5/GEMIN6/GEMIN8/HABP4/HNRNPA1/HNRNPA1L3/HNRNPF/HNRNPH1/HNRNPH3/HNRNPL/HNRNPM/HNRNPUL1/HTATSF1/IK/ILF3/ISY1/JMJD6/KAT2A/KHSRP/LSM1/LSM4/LSM5/LSM7/LSM8/LUC7L3/MAGOH/MBNL1/MBNL3/METTL4/MFAP1/MPHOSPH10/MTREX/NCBP2/NCL/NOL3/NONO/NRDE2/PABPC1/PCBP4/PHF5A/PLRG1/PNN/PPIH/PPIL1/PPIL3/PPP1R9B/PPP4R2/PQBP1/PRDX6/PRKRIP1/PRMT1/PRMT7/PRP4K/PRPF18/PRPF31/PRPF38B/PRPF39/PRPF40B/PRX/PTBP1/PTBP3/PUF60/PUS1/QKI/RALY/RBFOX2/RBFOX3/RBM10/RBM12B/RBM14/RBM17/RBM22/RBM25/RBM28/RBM3/RBM38/RBM4/RBM42/RBM47/RBM4B/RBM8A/RBMX/RBMX2/RBPMS/REST/RNF113A/RNPS1/RNU1-4/RNU4ATAC/RNU5D-1/RNU5F-1/RNU6-9/RNU6ATAC/RNVU1-3/RNVU1-4/RNVU1-7/RNVU1-8/RP9/RPS13/RPS26/RPUSD4/RSRC1/RSRP1/RTRAF/SAP18/SART1/SCAF1/SCAF11/SCNM1/SDE2/SETX/SF1/SF3A1/SF3A2/SF3B2/SF3B3/SF3B4/SF3B5/SF3B6/SFPQ/SGF29/SMU1/SNRNP25/SNRNP27/SNRNP70/SNRPA/SNRPA1/SNRPB/SNRPB2/SNRPC/SNRPD1/SNRPD2/SNRPE/SNRPF/SNRPGP15/SNU13/SRPK1/SRPK2/SRRM1/SRRM2/SRSF10/SRSF11/SRSF2/SRSF3/SRSF4/SRSF5/SRSF6/SRSF7/SRSF8/SRSF9/STRAP/SUGP2/SUPT20H/SUPT7L/SYF2/TADA1/TADA2B/TAF10/TAF12-DT/TAF15/TAF5L/TAF6L/TARDBP/TFIP11/TGS1/THOC2/THOC6/THRAP3/TIA1/TRPT1/TRRAP/TSEN15/TSEN2/TSEN54/TSSC4/TTF2/TXNL4A/U2AF1/U2AF1L4/U2AF2/UBL5/UPF3A/USP39/USP4/WBP11/WDR77/XAB2/YBX1/YJU2/YJU2B/ZC3H10/ZC3H13/ZNF638/ZPR1/ZRSR2",260
"GO:0042254","ribosome biogenesis","183/6460","317/18986",0.577287066246057,1.69665204949654,8.98256520418271,2.86617805298104e-18,4.56940436096503e-15,3.91535007184858e-15,"ABT1/AFG2A/AIRIM/AK6/BOP1/BRIX1/BUD23/BYSL/C1D/C1QBP/CUL4B/DDX10/DDX27/DDX28/DDX31/DDX47/DDX49/DDX51/DDX54/DDX56/DHX30/DIMT1/DKC1/EBNA1BP2/EFL1/EIF1AX/EIF2A/EIF4A3/EIF6/ERAL1/ERCC2/ERI1/ERI2/ERI3/EXOSC10/EXOSC3/EXOSC6/EXOSC9/FAU/FBL/FRG1/GAR1/GNL3L/GTF3A/GTPBP10/HEATR3/IMP4/KRI1/LTV1/LYAR/MALSU1/MDN1/METTL15/METTL15P1/METTL17/MPHOSPH10/MPV17L2/MRM3/MRPS2/MRPS7/MTREX/MYBBP1A/NAF1/NGDN/NGRN/NHP2/NIP7/NOA1/NOB1/NOC2L/NOL10/NOL11/NOL7/NOLC1/NOP16/NOP53/NOP56/NOP58/NOP9/NPM1/NPM3/NSA2/NSUN3/NSUN4/NSUN5/PA2G4/PELP1/PES1/PIH1D1/POP7/PPAN/PRKDC/RAN/RBFA/RBIS/RBM10/REXO1/REXO4/RIOK1/RNASEL/RPF1/RPF2/RPL11/RPL14/RPL24/RPL26/RPL26L1/RPL27/RPL35/RPL35A/RPL38/RPL5/RPL7/RPL7A/RPL7L1/RPS11/RPS12/RPS13/RPS14/RPS15/RPS15A/RPS16/RPS17/RPS19/RPS19BP1/RPS21/RPS23/RPS24/RPS25/RPS27/RPS27A/RPS28/RPS3A/RPS4X/RPS5/RPS6/RPS7/RPS8/RPS9/RPSA/RPSA2/RPUSD1/RPUSD2/RPUSD4/RRN3/RRP1/RRP7BP/RRP8/RRP9/RRS1/RSL24D1/SART1/SBDS/SDAD1/SDE2/SIRT7/SLX9/SNU13/SRFBP1/SURF6/TBL3/TENT4B/TFB2M/TMA16/TRMT112/TRMT61B/TSR2/TSR3/UTP15/UTP6/WBP11/WDR12/WDR18/WDR3/WDR55/WDR74/XPO1/XRCC5/XRN2/YBEY/ZNF622/ZNF658/ZNHIT3",183
"GO:0022618","protein-RNA complex assembly","136/6460","225/18986",0.604444444444444,1.77646783625731,8.41399198488152,3.64599072197873e-16,4.65009656681167e-13,3.98449217637717e-13,"ABT1/AGO1/AGO2/AGO3/AGO4/ATR/BOP1/BRIX1/CD2BP2/CELF1/CELF3/CELF6/CLNS1A/CLP1/COIL/DDX20/DDX23/DDX28/DDX39B/DDX42/DENR/DHX30/DICER1/EIF2S2/EIF3B/EIF3C/EIF3CL/EIF3D/EIF3E/EIF3F/EIF3G/EIF3H/EIF3I/EIF3K/EIF3L/EIF3M/EIF6/ERAL1/FAU/GEMIN2/GEMIN5/GEMIN6/GEMIN8/HSP90AB1/HTATSF1/ISY1/LSM4/LUC7L3/MDN1/METTL17/MRPS7/NAF1/NOL3/NOP53/NOPCHAP1/PHF5A/PIH1D1/PRKDC/PRMT7/PRP4K/PRPF18/PRPF31/PRPF39/PUF60/RBMX2/RNU1-4/RNU4ATAC/RNU5D-1/RNU5F-1/RNU6-9/RNU6ATAC/RNVU1-3/RNVU1-4/RNVU1-7/RNVU1-8/RPL11/RPL13A/RPL24/RPL38/RPL5/RPS14/RPS15/RPS19/RPS27/RPS28/RPS5/RPSA/RPSA2/RRP7BP/RRS1/RSRP1/RUVBL1/RUVBL2/SART1/SCAF11/SETX/SF1/SF3A1/SF3A2/SF3B2/SF3B3/SF3B4/SF3B5/SF3B6/SHQ1/SNRPA1/SNRPB/SNRPB2/SNRPC/SNRPD1/SNRPD2/SNRPE/SNRPF/SNRPGP15/SNU13/SRPK1/SRPK2/SRSF10/SRSF5/SRSF6/SRSF9/STRAP/TAF12-DT/TARBP2/TGS1/TSSC4/TXNL4A/U2AF2/USP39/USP4/WDR77/XAB2/XRCC5/YJU2/ZNHIT3/ZRSR2",136
"GO:0071826","protein-RNA complex organization","138/6460","234/18986",0.58974358974359,1.73326188775105,8.10510415508517,3.81143052821715e-15,4.05091541307346e-12,3.47107646876758e-12,"ABT1/AGO1/AGO2/AGO3/AGO4/ATR/BOP1/BRIX1/CD2BP2/CELF1/CELF3/CELF6/CLNS1A/CLP1/COIL/DDX20/DDX23/DDX28/DDX39B/DDX42/DENR/DHX30/DICER1/EIF2S2/EIF3B/EIF3C/EIF3CL/EIF3D/EIF3E/EIF3F/EIF3G/EIF3H/EIF3I/EIF3K/EIF3L/EIF3M/EIF6/ERAL1/FAU/GEMIN2/GEMIN5/GEMIN6/GEMIN8/HSP90AB1/HTATSF1/ISY1/LSM4/LUC7L3/MDN1/METTL17/MRPS7/NAF1/NOL3/NOP53/NOPCHAP1/PHF5A/PIH1D1/PRKDC/PRMT7/PRP4K/PRPF18/PRPF31/PRPF39/PUF60/RBMX2/RNU1-4/RNU4ATAC/RNU5D-1/RNU5F-1/RNU6-9/RNU6ATAC/RNVU1-3/RNVU1-4/RNVU1-7/RNVU1-8/RPL11/RPL13A/RPL24/RPL38/RPL5/RPS14/RPS15/RPS19/RPS27/RPS28/RPS5/RPSA/RPSA2/RRP7BP/RRS1/RSRP1/RUVBL1/RUVBL2/SART1/SCAF11/SETX/SF1/SF3A1/SF3A2/SF3B2/SF3B3/SF3B4/SF3B5/SF3B6/SHQ1/SNRPA1/SNRPB/SNRPB2/SNRPC/SNRPD1/SNRPD2/SNRPE/SNRPF/SNRPGP15/SNU13/SRPK1/SRPK2/SRSF10/SRSF5/SRSF6/SRSF9/STRAP/TAF12-DT/TARBP2/TFIP11/TGS1/TRIM21/TSSC4/TXNL4A/U2AF2/USP39/USP4/WDR77/XAB2/XRCC5/YJU2/ZNHIT3/ZRSR2",138
"GO:0000375","RNA splicing, via transesterification reactions","185/6460","342/18986",0.54093567251462,1.5898149656908,7.90450447920984,1.30470257352265e-14,1.18858404447913e-11,1.01845279085054e-11,"ACIN1/AQR/ARGLU1/BCAS2/BUD31/C1QBP/C9orf78/CACTIN/CD2BP2/CDC5L/CDK13/CELF1/CELF3/CELF6/CIRBP/CLNS1A/COIL/CWC15/CWC25/CWC27/CWF19L2/DCPS/DDX20/DDX23/DDX39A/DDX39B/DDX41/DDX42/DDX5/DHX16/DHX38/DYRK1A/EFTUD2/EIF1/EIF4A3/ESRP2/ESS2/EXOSC10/FRG1/GEMIN2/GEMIN5/GEMIN6/GEMIN8/HNRNPA1/HNRNPA1L3/HNRNPF/HNRNPH1/HNRNPH3/HNRNPL/HNRNPM/HNRNPUL1/HTATSF1/IK/ILF3/ISY1/JMJD6/KHSRP/LSM1/LSM4/LSM5/LSM7/LSM8/LUC7L3/MAGOH/MFAP1/MPHOSPH10/MTREX/NCBP2/NCL/NOL3/PABPC1/PCBP4/PHF5A/PLRG1/PNN/PPIH/PPIL1/PPIL3/PQBP1/PRDX6/PRMT7/PRP4K/PRPF18/PRPF31/PRPF39/PRPF40B/PTBP1/PUF60/QKI/RALY/RBFOX2/RBFOX3/RBM10/RBM14/RBM17/RBM22/RBM25/RBM3/RBM4/RBM42/RBM47/RBM4B/RBM8A/RBMX/RBMX2/RBPMS/REST/RNF113A/RNPS1/RNU1-4/RNU4ATAC/RNU5D-1/RNU5F-1/RNU6-9/RNU6ATAC/RNVU1-3/RNVU1-4/RNVU1-7/RNVU1-8/RSRC1/RSRP1/SAP18/SART1/SCAF11/SCNM1/SDE2/SETX/SF1/SF3A1/SF3A2/SF3B2/SF3B3/SF3B4/SF3B5/SF3B6/SFPQ/SMU1/SNRNP25/SNRNP27/SNRNP70/SNRPA/SNRPA1/SNRPB/SNRPB2/SNRPC/SNRPD1/SNRPD2/SNRPE/SNRPF/SNRPGP15/SNU13/SRPK1/SRPK2/SRRM1/SRRM2/SRSF10/SRSF2/SRSF3/SRSF4/SRSF5/SRSF6/SRSF7/SRSF8/SRSF9/STRAP/SYF2/TAF12-DT/TFIP11/TGS1/THRAP3/TIA1/TSSC4/TXNL4A/U2AF1/U2AF1L4/U2AF2/UBL5/UPF3A/USP39/USP4/WDR77/XAB2/YJU2/YJU2B/ZRSR2",185
"GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","182/6460","338/18986",0.538461538461538,1.58254346272922,7.76043219878543,3.77916942151031e-14,2.67775148899681e-11,2.29446414819415e-11,"ACIN1/AQR/ARGLU1/BCAS2/BUD31/C1QBP/C9orf78/CACTIN/CD2BP2/CDC5L/CDK13/CELF1/CELF3/CELF6/CIRBP/CLNS1A/COIL/CWC15/CWC25/CWC27/CWF19L2/DCPS/DDX20/DDX23/DDX39A/DDX39B/DDX41/DDX42/DDX5/DHX16/DHX38/DYRK1A/EFTUD2/EIF1/EIF4A3/ESRP2/ESS2/EXOSC10/FRG1/GEMIN2/GEMIN5/GEMIN6/GEMIN8/HNRNPA1/HNRNPA1L3/HNRNPF/HNRNPH1/HNRNPH3/HNRNPL/HNRNPM/HNRNPUL1/HTATSF1/IK/ILF3/ISY1/JMJD6/LSM4/LSM5/LSM7/LSM8/LUC7L3/MAGOH/MFAP1/MTREX/NCBP2/NCL/NOL3/PABPC1/PCBP4/PHF5A/PLRG1/PNN/PPIH/PPIL1/PPIL3/PQBP1/PRDX6/PRMT7/PRP4K/PRPF18/PRPF31/PRPF39/PRPF40B/PTBP1/PUF60/QKI/RALY/RBFOX2/RBFOX3/RBM10/RBM14/RBM17/RBM22/RBM25/RBM3/RBM4/RBM42/RBM47/RBM4B/RBM8A/RBMX/RBMX2/RBPMS/REST/RNF113A/RNPS1/RNU1-4/RNU4ATAC/RNU5D-1/RNU5F-1/RNU6-9/RNU6ATAC/RNVU1-3/RNVU1-4/RNVU1-7/RNVU1-8/RSRC1/RSRP1/SAP18/SART1/SCAF11/SCNM1/SDE2/SETX/SF1/SF3A1/SF3A2/SF3B2/SF3B3/SF3B4/SF3B5/SF3B6/SFPQ/SMU1/SNRNP25/SNRNP27/SNRNP70/SNRPA/SNRPA1/SNRPB/SNRPB2/SNRPC/SNRPD1/SNRPD2/SNRPE/SNRPF/SNRPGP15/SNU13/SRPK1/SRPK2/SRRM1/SRRM2/SRSF10/SRSF2/SRSF3/SRSF4/SRSF5/SRSF6/SRSF7/SRSF8/SRSF9/STRAP/SYF2/TAF12-DT/TFIP11/TGS1/THRAP3/TIA1/TSSC4/TXNL4A/U2AF1/U2AF1L4/U2AF2/UBL5/UPF3A/USP39/USP4/WDR77/XAB2/YJU2/YJU2B/ZRSR2",182
"GO:0000398","mRNA splicing, via spliceosome","182/6460","338/18986",0.538461538461538,1.58254346272922,7.76043219878543,3.77916942151031e-14,2.67775148899681e-11,2.29446414819415e-11,"ACIN1/AQR/ARGLU1/BCAS2/BUD31/C1QBP/C9orf78/CACTIN/CD2BP2/CDC5L/CDK13/CELF1/CELF3/CELF6/CIRBP/CLNS1A/COIL/CWC15/CWC25/CWC27/CWF19L2/DCPS/DDX20/DDX23/DDX39A/DDX39B/DDX41/DDX42/DDX5/DHX16/DHX38/DYRK1A/EFTUD2/EIF1/EIF4A3/ESRP2/ESS2/EXOSC10/FRG1/GEMIN2/GEMIN5/GEMIN6/GEMIN8/HNRNPA1/HNRNPA1L3/HNRNPF/HNRNPH1/HNRNPH3/HNRNPL/HNRNPM/HNRNPUL1/HTATSF1/IK/ILF3/ISY1/JMJD6/LSM4/LSM5/LSM7/LSM8/LUC7L3/MAGOH/MFAP1/MTREX/NCBP2/NCL/NOL3/PABPC1/PCBP4/PHF5A/PLRG1/PNN/PPIH/PPIL1/PPIL3/PQBP1/PRDX6/PRMT7/PRP4K/PRPF18/PRPF31/PRPF39/PRPF40B/PTBP1/PUF60/QKI/RALY/RBFOX2/RBFOX3/RBM10/RBM14/RBM17/RBM22/RBM25/RBM3/RBM4/RBM42/RBM47/RBM4B/RBM8A/RBMX/RBMX2/RBPMS/REST/RNF113A/RNPS1/RNU1-4/RNU4ATAC/RNU5D-1/RNU5F-1/RNU6-9/RNU6ATAC/RNVU1-3/RNVU1-4/RNVU1-7/RNVU1-8/RSRC1/RSRP1/SAP18/SART1/SCAF11/SCNM1/SDE2/SETX/SF1/SF3A1/SF3A2/SF3B2/SF3B3/SF3B4/SF3B5/SF3B6/SFPQ/SMU1/SNRNP25/SNRNP27/SNRNP70/SNRPA/SNRPA1/SNRPB/SNRPB2/SNRPC/SNRPD1/SNRPD2/SNRPE/SNRPF/SNRPGP15/SNU13/SRPK1/SRPK2/SRRM1/SRRM2/SRSF10/SRSF2/SRSF3/SRSF4/SRSF5/SRSF6/SRSF7/SRSF8/SRSF9/STRAP/SYF2/TAF12-DT/TFIP11/TGS1/THRAP3/TIA1/TSSC4/TXNL4A/U2AF1/U2AF1L4/U2AF2/UBL5/UPF3A/USP39/USP4/WDR77/XAB2/YJU2/YJU2B/ZRSR2",182
"GO:0006282","regulation of DNA repair","132/6460","227/18986",0.581497797356828,1.70902742734005,7.71767486317327,6.73856977280919e-14,4.29718594412042e-11,3.68209638848974e-11,"ABL1/ACTB/ACTR2/ACTR5/ARID1A/ARID1B/ARID2/ATR/ATXN7L3/AUNIP/AXIN2/BABAM1/BARD1/BCL7B/BCL7C/BRCA1/BRD7/BRD8/C1QBP/CDK9/CEBPG/CSNK2A1/CYREN/DMAP1/DPF1/ENY2/EP400/EPC2/ERCC6/ERCC8/EYA3/FANCB/FOXM1/FUS/H2AX/HDGFL2/HELB/HELQ/HMGB1/HSF1/IER3/ING3/INO80/INO80D/INO80E/KAT2A/KAT5/KMT5A/KMT5B/KMT5C/MAD2L2/MARCHF6-DT/MBTD1/MCRS1/MORF4L2/MRGBP/MRNIP/NBN/NFRKB/NUDT16L1/OTUB1/PARG/PARP1/PARP3/PARPBP/PBRM1/PCNA/PHF10/PIAS4/PLK1/PNKP/POLH/POLQ/POT1/PPP4C/PPP4R2/PRKDC/PRMT1/RAD51/RAD52/RADX/RIF1/RMI2/RNF126/RNF169/RPA2/RPS3/RUVBL1/RUVBL2/SENP3/SETD2/SETMAR/SF3B3/SF3B5/SGF29/SIRT6/SIRT7/SLF1/SLF2/SMARCC1/SMARCD1/SMARCD3/SMCHD1/SPIDR/SUPT20H/SUPT7L/TADA1/TADA2B/TAF10/TAF2/TAF5/TAF5L/TAF6/TAF6L/TERF2/TERF2IP/TFIP11/TFPT/TIGAR/TMEM161A/TP53BP1/TRIM28/TRRAP/UBE2V1/UBE2V2/UBQLN4/UCHL5/UIMC1/WAS/XRCC1/YEATS4/YY1",132
