"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0044391","ribosomal subunit","138/6727","186/19960",0.741935483870968,2.20143188019392,11.7370594867052,1.01298255735399e-29,7.76957621490512e-27,5.05424981248203e-27,"AURKAIP1/CHCHD1/DAP3/EIF2A/FAU/GADD45GIP1/LARP4/MPV17L2/MRPL10/MRPL11/MRPL14/MRPL15/MRPL16/MRPL17/MRPL19/MRPL21/MRPL22/MRPL23/MRPL24/MRPL28/MRPL30/MRPL32/MRPL33/MRPL34/MRPL36/MRPL37/MRPL38/MRPL4/MRPL40/MRPL41/MRPL43/MRPL44/MRPL45/MRPL47/MRPL49/MRPL52/MRPL54/MRPL55/MRPL57/MRPL9/MRPS12/MRPS15/MRPS2/MRPS21/MRPS26/MRPS28/MRPS30/MRPS31/MRPS34/MRPS7/MRPS9/NSUN3/NSUN4/RACK1/RBM3/RPL10/RPL10A/RPL11/RPL12/RPL13/RPL13A/RPL14/RPL15/RPL17/RPL18/RPL18A/RPL19/RPL21/RPL22/RPL23/RPL23A/RPL24/RPL26/RPL26L1/RPL27/RPL27A/RPL28/RPL29/RPL3/RPL30/RPL31/RPL32/RPL34/RPL35/RPL35A/RPL36/RPL36A/RPL36AL/RPL37/RPL37A/RPL38/RPL39/RPL39L/RPL4/RPL41/RPL5/RPL6/RPL7/RPL7A/RPL7L1/RPL8/RPL9/RPLP0/RPLP0P6/RPLP1/RPLP2/RPS11/RPS12/RPS13/RPS14/RPS15/RPS15A/RPS16/RPS17/RPS18/RPS19/RPS2/RPS20/RPS21/RPS23/RPS24/RPS25/RPS26/RPS27/RPS27A/RPS28/RPS29/RPS3/RPS3A/RPS4X/RPS5/RPS6/RPS7/RPS8/RPS9/RPSA/RPSA2/UBA52",138
"GO:0022626","cytosolic ribosome","96/6727","118/19960",0.813559322033898,2.41395035941677,10.9833137615165,1.78291215278352e-26,6.83746810592479e-24,4.44789663378625e-24,"ASCC2/ASCC3/EEF1A1/EIF2A/FAU/LARP4/LTN1/NEMF/RACK1/RNF14/RNF25/RPL10/RPL10A/RPL11/RPL12/RPL13/RPL13A/RPL14/RPL15/RPL17/RPL18/RPL18A/RPL19/RPL21/RPL22/RPL23/RPL23A/RPL24/RPL26/RPL26L1/RPL27/RPL27A/RPL28/RPL29/RPL3/RPL30/RPL31/RPL32/RPL34/RPL35/RPL35A/RPL36/RPL36A/RPL36AL/RPL37/RPL37A/RPL38/RPL39/RPL39L/RPL4/RPL41/RPL5/RPL6/RPL7/RPL7A/RPL7L1/RPL8/RPL9/RPLP0/RPLP0P6/RPLP1/RPLP2/RPS11/RPS12/RPS13/RPS14/RPS15/RPS15A/RPS16/RPS17/RPS18/RPS19/RPS2/RPS20/RPS21/RPS23/RPS24/RPS25/RPS26/RPS27/RPS27A/RPS28/RPS29/RPS3/RPS3A/RPS4X/RPS5/RPS6/RPS7/RPS8/RPS9/RPSA/RPSA2/UBA52/USP10/ZNF598",96
"GO:0005840","ribosome","160/6727","245/19960",0.653061224489796,1.93772885993999,10.5296244136223,3.21324337360411e-24,8.21519222518117e-22,5.34413108452052e-22,"APEX1/ASCC2/ASCC3/AURKAIP1/CALR/CHCHD1/DAP3/EEF1A1/EEF2/EIF2A/EIF2AK2/FAU/GADD45GIP1/HSPA14/LARP4/LTN1/MPV17L2/MRPL10/MRPL11/MRPL14/MRPL15/MRPL16/MRPL17/MRPL19/MRPL21/MRPL22/MRPL23/MRPL24/MRPL28/MRPL30/MRPL32/MRPL33/MRPL34/MRPL36/MRPL37/MRPL38/MRPL4/MRPL40/MRPL41/MRPL43/MRPL44/MRPL45/MRPL47/MRPL49/MRPL52/MRPL54/MRPL55/MRPL57/MRPL9/MRPS12/MRPS15/MRPS2/MRPS21/MRPS26/MRPS28/MRPS30/MRPS31/MRPS34/MRPS7/MRPS9/NCK1/NEMF/NSUN3/NSUN4/OAS1/RACK1/RBM3/RNF14/RNF25/RPL10/RPL10A/RPL11/RPL12/RPL13/RPL13A/RPL13AP3/RPL14/RPL15/RPL17/RPL18/RPL18A/RPL19/RPL21/RPL22/RPL22L1/RPL23/RPL23A/RPL24/RPL26/RPL26L1/RPL27/RPL27A/RPL28/RPL29/RPL3/RPL30/RPL31/RPL32/RPL34/RPL35/RPL35A/RPL36/RPL36A/RPL36AL/RPL37/RPL37A/RPL38/RPL39/RPL39L/RPL4/RPL41/RPL5/RPL6/RPL7/RPL7A/RPL7L1/RPL8/RPL9/RPLP0/RPLP0P6/RPLP1/RPLP2/RPS11/RPS12/RPS13/RPS14/RPS15/RPS15A/RPS16/RPS17/RPS18/RPS19/RPS2/RPS20/RPS21/RPS23/RPS24/RPS25/RPS26/RPS27/RPS27A/RPS28/RPS29/RPS3/RPS3A/RPS4X/RPS5/RPS6/RPS7/RPS8/RPS9/RPSA/RPSA2/RRBP1/RSL24D1/SERP1/SF1/UBA52/USP10/ZNF598",160
"GO:0015934","large ribosomal subunit","90/6727","114/19960",0.789473684210526,2.34248472377614,10.2488758273575,3.79379354421017e-23,7.274599121023e-21,4.7322582630411e-21,"GADD45GIP1/MPV17L2/MRPL10/MRPL11/MRPL14/MRPL15/MRPL16/MRPL17/MRPL19/MRPL21/MRPL22/MRPL23/MRPL24/MRPL28/MRPL30/MRPL32/MRPL33/MRPL34/MRPL36/MRPL37/MRPL38/MRPL4/MRPL40/MRPL41/MRPL43/MRPL44/MRPL45/MRPL47/MRPL49/MRPL52/MRPL54/MRPL55/MRPL57/MRPL9/MRPS30/NSUN3/NSUN4/RBM3/RPL10/RPL10A/RPL11/RPL12/RPL13/RPL13A/RPL14/RPL15/RPL17/RPL18/RPL18A/RPL19/RPL21/RPL22/RPL23/RPL23A/RPL24/RPL26/RPL26L1/RPL27/RPL27A/RPL28/RPL29/RPL3/RPL30/RPL31/RPL32/RPL34/RPL35/RPL35A/RPL36/RPL36A/RPL36AL/RPL37/RPL37A/RPL38/RPL39/RPL39L/RPL4/RPL41/RPL5/RPL6/RPL7/RPL7A/RPL7L1/RPL8/RPL9/RPLP0/RPLP0P6/RPLP1/RPLP2/UBA52",90
"GO:0022625","cytosolic large ribosomal subunit","52/6727","57/19960",0.912280701754386,2.70687123636354,9.20089051469106,1.37191609241076e-19,2.10451928575811e-17,1.36902784800569e-17,"RPL10/RPL10A/RPL11/RPL12/RPL13/RPL13A/RPL14/RPL15/RPL17/RPL18/RPL18A/RPL19/RPL21/RPL22/RPL23/RPL23A/RPL24/RPL26/RPL26L1/RPL27/RPL27A/RPL28/RPL29/RPL3/RPL30/RPL31/RPL32/RPL34/RPL35/RPL35A/RPL36/RPL36A/RPL36AL/RPL37/RPL37A/RPL38/RPL39/RPL39L/RPL4/RPL41/RPL5/RPL6/RPL7/RPL7A/RPL7L1/RPL8/RPL9/RPLP0/RPLP0P6/RPLP1/RPLP2/UBA52",52
"GO:0005819","spindle","231/6727","434/19960",0.532258064516129,1.5792880879652,8.69928916447293,2.43567340352374e-17,3.11360250083785e-15,2.02545472503553e-15,"AAAS/ACOT13/AFG2A/AKT1/ALMS1/ALPK1/ANAPC5/ANAPC7/ARHGEF2/ARL2BP/ARL3/ARL8A/ASPM/ATAT1/AUNIP/AURKA/BBLN/BEX4/BIRC6/BOD1/BUB1B/CALM1/CALM3/CBX1/CBX3/CCAR2/CCDC57/CCDC69/CCNB1/CD180/CDC14A/CDC20/CDC25B/CDC27/CDC42/CDC6/CENPE/CENPF/CENPV/CEP128/CEP162/CEP170/CEP19/CEP295/CEP350/CEP44/CEP63/CFAP53/CHMP1A/CHMP3/CHMP4A/CHMP4B/CHMP5/CIAO1/CIAO2B/CKAP2L/CKAP5/CLASP1/CLASP2/CLTC/CLTCL1/CSPP1/CUL3/CXCR2/DCTN3/DIAPH1/DIAPH3/DLGAP5/DR1/DYNC1LI1/DYNC2I1/DYNLT1/E4F1/ECT2/EMD/EML2/EML3/ENKD1/EPB41/ERCC2/ESPL1/EVI5/FAM110A/FAM110C/FAM161A/FBF1/FRY/GEM/GIT1/GOLGA2/GPSM2/GPX2/HAUS3/HAUS5/HAUS7/HDAC3/HECW2/HSF1/HSPB1/IK/INO80/INPPL1/INVS/KAT2A/KAT5/KATNB1/KATNBL1/KIF11/KIF14/KIF15/KIF16B/KIF18A/KIF20A/KIF20B/KIF22/KIF23/KIF2A/KIF2C/KIF4A/KIFAP3/KIFC1/KIFC2/KLHL21/KLHL22/LATS1/LEMD2/MAD1L1/MAD2L1BP/MAD2L2/MAK/MAP10/MAP2K5/MAP7D1/MAP7D3/MAP9/MAPK14/MBIP/MICAL3/MIS12/MZT1/MZT2A/MZT2B/NCOR1/NDEL1/NEDD1/NEDD9/NEIL2/NEK6/NEK7/NGRN/NIN/NME7/NPM1/NR3C1/NSL1/NUBP2/NUDC/NUP85/NUSAP1/ODF2/PARP4/PINX1/PKP4/PLEKHG6/PLK1/PLK3/POC1B/POLDIP2/PTP4A1/RAB11A/RACGAP1/RAE1/RALBP1/RANGAP1/RASSF1/RB1/RIF1/RMDN2/RMDN3/RPS3/RTRAF/SBDS/SEPTIN1/SGF29/SGO1/SIRT2/SKA1/SKA2/SKA3/SLC25A5/SMC1A/SPAST/STAG1/STAG2/TADA2A/TBCK/TBL1X/TBL1XR1/TFDP2/TMEM201/TMEM9/TPR/TPT1/TPX2/TRAPPC14/TTL/TUBB/TUBB2A/TUBB2B/TUBB4B/TUBB8/TUBB8B/TUBG1/TUBG2/TUBGCP2/TUBGCP3/TUBGCP4/TUBGCP6/UBXN2B/UHRF1/UNC119/UXT/VPS4A/VPS4B/WAPL/WDR5/WNK1/YEATS2/ZW10/ZWILCH/ZZZ3",231
"GO:0098687","chromosomal region","209/6727","404/19960",0.517326732673267,1.53498462675166,7.74538334478521,3.9082946040464e-14,4.2823742304337e-12,2.78576186814736e-12,"ACD/ACTB/AHCTF1/ALYREF/ANAPC16/APC/APEX1/ARID2/ATR/ATRX/AURKA/BAZ1A/BAZ1B/BLM/BOD1/BRCA2/BRD7/BUB1/BUB1B/BUB3/C9orf78/CBX1/CBX3/CCNB1/CDC20/CDC73/CDK2/CDT1/CEBPB/CENPB/CENPC/CENPE/CENPF/CENPH/CENPI/CENPM/CENPP/CENPT/CENPV/CENPX/CHMP1A/CHMP3/CHMP4A/CHMP4B/CHMP5/CHRAC1/CKAP5/CLASP1/CLASP2/CLIP1/CTCF/DCTN3/DCTN6/DDB1/DMC1/DNA2/DSCC1/DYNC1LI1/ERCC1/ERCC4/ERCC6L/ESCO2/FBXW11/FLYWCH1/GAR1/GATAD2B/GPATCH11/H2AC4/H2AC8/H2AX/H2BC3/H3-3B/H4C1/H4C11/H4C12/H4C13/H4C16/H4C2/H4C3/H4C4/H4C5/H4C6/H4C9/HAT1/HELLS/HMBOX1/HSF1/IKZF1/KANSL1/KAT5/KAT8/KDM4A/KDM4C/KIF18A/KIF22/KIF2C/KMT5B/KMT5C/KNL1/LIG4/LRIF1/MAD1L1/MAJIN/MCM3/MCM7/MEN1/MIS12/MSH2/MTA2/NABP1/NABP2/NBN/NCAPD2/NCAPG/NDEL1/NGDN/NHP2/NSL1/NSMCE2/NSMCE3/NSMCE4A/NUP43/NUP85/ORC2/ORC3/ORC4/ORC5/PARP1/PBRM1/PCNA/PDS5A/PDS5B/PHF10/PHF6/PINX1/PLK1/PLK3/POLD1/POLE3/POT1/PPP1R10/PPP1R12A/PRKDC/PRP4K/PSEN1/PURA/RAD50/RAD51/RAD51D/RANGAP1/RBBP4/RBBP7/RIF1/RPA2/RPA4/SEH1L/SETX/SGO1/SGO2/SIRT2/SIRT6/SKA1/SKA2/SKA3/SLF1/SLF2/SMARCC1/SMARCD1/SMC1A/SMC1B/SMC4/SMCHD1/SMG6/SNAI1/SP100/SPC24/SPC25/SS18L1/SSB/STAG1/STAG2/SUGT1/SUMO3/SUN1/SUV39H2/SYCP2L/SYCP3/TELO2/TEN1/TEP1/TERF2/TERF2IP/TFIP11/THOC2/THOC6/TINF2/TOP2A/TOX4/TP53BP1/TPR/WAPL/WRNIP1/XPO1/XRCC1/XRCC5/XRCC6/ZNF330/ZW10/ZWILCH",209
"GO:0016607","nuclear speck","212/6727","416/19960",0.509615384615385,1.51210392105293,7.52573611740243,1.84297884644985e-13,1.76695596903379e-11,1.14943680686477e-11,"AAGAB/ABHD17A/ACIN1/AFF2/AK6/AKAP17A/ALKBH5/ALYREF/APEX1/ARGLU1/ARHGAP18/ARL6IP4/ASCC1/ASCC2/ASCC3/ATF4/ATP6V0A1/ATXN2L/BARD1/BCAS2/BMP2K/BNIP3L/BRD2/C12orf57/CACNB4/CACTIN/CBLL1/CBX4/CCNL2/CD2BP2/CDC34/CDC5L/CDK12/CDK13/CHD5/CHTOP/CLK2/CLK3/COP1/COPS4/CRY2/CTR9/CWC15/CWC25/CXXC1/DACH1/DAZAP2/DDX39A/DDX39B/DDX42/DDX5/DENND1B/DGKQ/DGKZ/DUSP11/DYRK1A/EAF2/EFTUD2/EHMT2/EIF4A3/EIF4E/EIF4ENIF1/EP400/ERBIN/FAM193B/FAM76B/FBXL4/FTO/GADD45A/GATAD2B/GRK5/GTF2H2/GTF2H2C/H2AX/HABP4/HDAC4/HECTD1/HSF4/HSPA1B/IFI16/IK/IL16/INPPL1/KAT6A/KIF22/KMT2E/LPXN/LUC7L3/MAGOH/MAML2/MAPK14/MBD1/MEF2C/MOCS2/MTREX/NAMPT/NCAPG2/NEK6/NOC3L/NONO/NR3C1/NR4A2/NRDE2/NSL1/NUP43/NXF1/NXT1/PABPN1/PALB2/PARN/PCBP1/PHF5A/PHF7/PIAS1/PIAS3/PIN1/PIP5K1A/PLA2G6/PLCB1/PLRG1/PNISR/PNN/POLDIP3/PPIH/PPP1R16B/PQBP1/PRCC/PRKN/PRP4K/PRPF18/PRPF31/PRPF40B/PSPC1/RADX/RBBP6/RBM10/RBM14/RBM25/RBM4/RBM4B/RBM8A/REXO4/RING1/RMI2/RNF113A/RNF34/RNPS1/RREB1/RSRC1/S100PBP/SAP18/SARNP/SART1/SCAPER/SCNM1/SDE2/SETD1A/SF3A1/SF3A2/SF3B2/SFPQ/SIRT7/SLC2A4RG/SMC4/SMU1/SMURF2/SNRNP70/SNRPA1/SNRPB2/SNURF/SPOP/SRP54/SRPK1/SRPK2/SRRM1/SRRM2/SRSF10/SRSF11/SRSF2/SRSF3/SRSF4/SRSF5/SRSF6/SRSF7/SRSF8/SRSF9/STK19/SURF2/SYF2/TAF5L/TARDBP/TCF12/TFIP11/THAP7/THOC2/THOC6/THRAP3/TIMM50/TOE1/TRIM69/TRIP12/TUT1/U2AF1/U2AF1L4/U2AF2/WAC/ZC3H13/ZC3H18/ZNF106/ZNF217/ZNF395/ZNF638",212
"GO:0000228","nuclear chromosome","131/6727","236/19960",0.555084745762712,1.64701821397707,7.12895638556708,4.06931785420616e-12,3.46796310464013e-10,2.25597270513885e-10,"ACTR5/AGO3/ARID4A/ARID4B/ATRX/BAZ1A/BAZ1B/BCAS2/BLM/BRCA1/BRCA2/BRD8/BRMS1/CARM1/CCNB1IP1/CDC5L/CHMP1A/CHRAC1/CSNK2A1/DMAP1/DMC1/EME1/EME2/EP400/EXOSC9/FIRRE/GINS1/GINS2/GINS4/H2AX/H3-3B/HDAC1/HDAC8/HELB/HORMAD1/IHO1/IK/ING1/ING2/ING3/INO80/INO80D/INO80E/JUN/KAT5/KIFAP3/KMT2E/LRIF1/LRPPRC/MCM3/MCM7/MCRS1/MLH1/MMS22L/NCAPD2/NCAPG/NCAPG2/NCAPH2/NFRKB/OGT/ORC2/ORC3/ORC4/ORC5/P3H4/PARP1/PBRM1/PCNA/PHF12/PINX1/PLK1/PLRG1/POLA1/POLA2/POLD1/POLD2/POLD3/POLE2/POLE3/POLE4/PRIM1/PRIM2/RAD50/RAD51/RAD9A/RAD9B/RBBP4/RBBP7/RCC1/RNF212B/RPA2/RPA4/RRS1/RUVBL1/RUVBL2/SETD5/SETX/SFR1/SHOC1/SIN3B/SIRT7/SMARCAL1/SMC1A/SMC1B/SMC2/SMC4/SMCHD1/SPIDR/SRSF2/SUDS3/SYCE1L/SYCP2L/SYCP3/TARDBP/TERF2IP/TET1/TEX12/TFPT/TOP1/TOP2A/TRIM24/TRRAP/TTN/TUBG1/UBE2I/UCHL5/WDHD1/YY1/ZMIZ2/ZNHIT1/ZRANB3",131
"GO:0022627","cytosolic small ribosomal subunit","35/6727","42/19960",0.833333333333333,2.47262276398593,6.81152315709305,4.71369276743534e-11,3.31647593079983e-09,2.15742755945806e-09,"EIF2A/FAU/LARP4/RACK1/RPS11/RPS12/RPS13/RPS14/RPS15/RPS15A/RPS16/RPS17/RPS18/RPS19/RPS2/RPS20/RPS21/RPS23/RPS24/RPS25/RPS26/RPS27/RPS27A/RPS28/RPS29/RPS3/RPS3A/RPS4X/RPS5/RPS6/RPS7/RPS8/RPS9/RPSA/RPSA2",35
