"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003735","structural constituent of ribosome","127/6549","175/18737",0.725714285714286,2.07630303426914,10.4857842124997,2.56766771147785e-24,3.26607332899983e-21,2.79740640145218e-21,"DAP3/FAU/MRPL10/MRPL11/MRPL14/MRPL15/MRPL16/MRPL17/MRPL19/MRPL21/MRPL22/MRPL23/MRPL24/MRPL28/MRPL30/MRPL32/MRPL33/MRPL34/MRPL36/MRPL37/MRPL4/MRPL41/MRPL43/MRPL45/MRPL47/MRPL49/MRPL52/MRPL54/MRPL55/MRPL57/MRPL9/MRPS12/MRPS15/MRPS2/MRPS21/MRPS30/MRPS31/MRPS34/MRPS7/MRPS9/RPL10/RPL10A/RPL11/RPL12/RPL13/RPL13A/RPL13AP3/RPL14/RPL15/RPL17/RPL18/RPL18A/RPL19/RPL21/RPL22/RPL22L1/RPL23/RPL23A/RPL24/RPL26/RPL26L1/RPL27/RPL27A/RPL28/RPL29/RPL3/RPL30/RPL31/RPL32/RPL34/RPL35/RPL35A/RPL36/RPL36A/RPL36AL/RPL37/RPL37A/RPL38/RPL39/RPL39L/RPL4/RPL41/RPL5/RPL6/RPL7/RPL7A/RPL7L1/RPL8/RPL9/RPLP0/RPLP0P6/RPLP1/RPLP2/RPS11/RPS12/RPS13/RPS14/RPS15/RPS15A/RPS16/RPS17/RPS18/RPS19/RPS2/RPS20/RPS21/RPS23/RPS24/RPS25/RPS26/RPS27/RPS27A/RPS28/RPS29/RPS3/RPS3A/RPS4X/RPS5/RPS6/RPS7/RPS8/RPS9/RPSA/RPSA2/RSL24D1/SRBD1/UBA52",127
"GO:0030527","structural constituent of chromatin","63/6549","98/18737",0.642857142857143,1.83924481382109,6.1059059588637,2.95800981332404e-09,1.88129424127409e-06,1.61133692462652e-06,"H1-1/H1-10/H1-2/H1-3/H1-4/H1-5/H1-6/H2AC11/H2AC12/H2AC13/H2AC15/H2AC16/H2AC20/H2AC21/H2AC25/H2AC4/H2AC7/H2AC8/H2AJ/H2AX/H2AZ1/H2AZ2/H2BC10/H2BC12/H2BC13/H2BC14/H2BC15/H2BC17/H2BC18/H2BC26/H2BC3/H2BC4/H2BC5/H2BC6/H2BC7/H2BC8/H3-3B/H3-5/H3C1/H3C11/H3C12/H3C13/H3C14/H3C15/H3C2/H3C3/H3C6/H3C7/H3C8/H3Y2/H4C1/H4C11/H4C12/H4C13/H4C16/H4C2/H4C3/H4C4/H4C5/H4C6/H4C9/HMGA1/LMNTD2",63
"GO:0140993","histone modifying activity","207/6549","438/18737",0.472602739726027,1.35213888139358,5.46634538071645,5.44018755265071e-08,2.3066395223239e-05,1.97564705859421e-05,"AKT1/AKT2/AKT3/ALPK1/ANTKMT/ARAF/ASH1L/ATF2/ATPSCKMT/ATR/AURKA/BAP1/BAZ1B/BCR/BMP2K/BRAF/BRCA2/BRPF1/BRSK1/BUB1/BUB1B/CARM1/CASK/CDC42BPA/CDC42BPG/CDK2/CDK5/CILK1/CIT/CLOCK/CSNK1A1L/CSNK1E/CSNK1G1/CSNK1G2/CSNK1G3/CSNK2A1/CSNK2A2/DAPK3/DMPK/DTX3L/DYRK1A/EEF1AKMT1/EEF1AKMT2/EHMT1/EHMT2/EIF2AK1/EIF2AK2/EP300/ERN1/EYA3/FBL/GSK3A/GSK3B/HAT1/HDAC1/HDAC3/HDAC4/HDAC6/HDAC8/HDAC9/HIPK2/HIPK3/HIPK4/HUWE1/ING3/IRAK1/JAK2/JMJD1C/JMJD6/KAT2A/KAT5/KAT6A/KAT8/KDM1B/KDM2A/KDM3B/KDM4A/KDM4C/KDM5A/KDM5B/KMT2A/KMT2B/KMT2C/KMT5A/KMT5B/KMT5C/LATS1/LMTK3/LRRK2/MAK/MAP3K19/MAP3K7/MAP4K1/MAP4K2/MAPKAPK2/MARK3/MAST4/MELK/METTL21A/METTL22/MIER1/MINK1/MKNK2/MTA2/MTOR/MYLK4/NAA40/NCOA1/NEK1/NEK11/NEK4/NEK5/NEK6/NEK7/NEK9/NSD1/NSD3/NUAK1/OXSR1/PAK1/PAK2/PHF10/PHKG1/PIK3CG/PIK3R4/PIKFYVE/PIM2/PIM3/PKN1/PRKCB/PRKDC/PRKX/PRMT1/PRMT2/PRMT7/PRP4K/RIOK1/RIPK1/RIPK4/RNF2/RNF20/ROCK2/RPS6KA3/RPS6KA4/RPS6KA5/RPS6KB1/RPS6KB2/RPS6KC1/SETD1A/SETD2/SETD3/SETD4/SETD5/SETDB1/SETDB2/SETMAR/SGK3/SIK1/SIRT2/SIRT6/SIRT7/SLK/SMG1/SMYD2/SMYD3/SMYD5/SPEG/SRPK1/SRPK2/STK11/STK16/STK17B/STK19/STK25/STK3/STK35/STK36/STK38/STK38L/STK39/STK4/SUDS3/SUV39H2/TADA2A/TAF1/TAF10/TAOK1/TAOK2/TAOK3/TBK1/TLK1/TNK2/TRIM37/TRIO/TRPM6/TRPM7/TTN/UBR2/UHRF1/ULK2/ULK3/ULK4/USP3/VCPKMT/VRK1/WDR5/WNK1",207
"GO:0051540","metal cluster binding","50/6549","77/18737",0.649350649350649,1.85782304426372,5.5290047492111,7.72237996912647e-08,2.45571683018222e-05,2.10333243895945e-05,"ABAT/ACO1/ACO2/AIFM3/BRIP1/CDK5RAP1/CDKAL1/CIAO3/CIAPIN1/CISD1/CISD3/DNA2/DPH1/DPH2/DPYD/ELP3/ERCC2/EXO5/FBXL5/FDX1/FECH/GLRX2/GLRX3/GSTP1/ISCA1/ISCU/KIAA0753/KIF4A/METTL17/MUTYH/NDUFS1/NDUFS2/NDUFS7/NDUFS8/NDUFV1/NFS1/NFU1/NTHL1/NUBP2/POLD1/PRIM2/REV3L/RPS3/RSAD1/RSAD2/SLC25A39/TYW1/TYW1B/UQCRFS1/UQCRFS1P1",50
"GO:0016779","nucleotidyltransferase activity","82/6549","146/18737",0.561643835616438,1.6068896851344,5.39628054476597,1.19940552796175e-07,2.67644780931242e-05,2.29238950896918e-05,"ABL1/ART4/CHRAC1/COASY/CRCP/CTU1/CTU2/DKC1/FICD/FLAD1/FPGT/GDPGP1/GMPPB/GPHN/KARS1/MED20/NMNAT1/OAS1/OAS2/OAS3/PAPOLA/PAPOLG/PARP1/PARP11/PARP14/PARP15/PARP16/PARP2/PARP3/PARP4/PARP6/PARP9/PCYT1B/PCYT2/POLA1/POLD1/POLD3/POLE2/POLE3/POLE4/POLG2/POLH/POLK/POLL/POLQ/POLR1C/POLR1D/POLR1H/POLR2C/POLR2E/POLR2F/POLR2H/POLR2J/POLR2J2/POLR2J3/POLR2K/POLR2L/POLR3A/POLR3B/POLR3C/POLRMT/PRIM1/PRIMPOL/REV3L/RNGTT/RPAP1/SELENOO/SIRT6/TAMM41/TENT2/TENT4A/TENT4B/TENT5B/TEP1/TERF2/TRNT1/TUT1/TUT7/UAP1L1/UBA6/UGP2/YRDC",82
"GO:0051536","iron-sulfur cluster binding","49/6549","76/18737",0.644736842105263,1.84462272263343,5.40831292508535,1.45045749900877e-07,2.67644780931242e-05,2.29238950896918e-05,"ABAT/ACO1/ACO2/AIFM3/BRIP1/CDK5RAP1/CDKAL1/CIAO3/CIAPIN1/CISD1/CISD3/DNA2/DPH1/DPH2/DPYD/ELP3/ERCC2/EXO5/FBXL5/FDX1/FECH/GLRX2/GLRX3/ISCA1/ISCU/KIAA0753/KIF4A/METTL17/MUTYH/NDUFS1/NDUFS2/NDUFS7/NDUFS8/NDUFV1/NFS1/NFU1/NTHL1/NUBP2/POLD1/PRIM2/REV3L/RPS3/RSAD1/RSAD2/SLC25A39/TYW1/TYW1B/UQCRFS1/UQCRFS1P1",49
"GO:0003684","damaged DNA binding","48/6549","74/18737",0.648648648648649,1.85581458691857,5.40710156991391,1.47288794537633e-07,2.67644780931242e-05,2.29238950896918e-05,"APEX1/AUNIP/BLM/BRCA1/CRY2/CUL4B/CYREN/DCLRE1A/DCLRE1C/DDB1/EP300/ERCC1/ERCC2/ERCC3/ERCC4/H2AX/HMCES/HMGB1/MPG/MSH2/MSH6/MUTYH/NBN/NEIL1/NEIL2/NEIL3/NTHL1/PARP1/PARP2/PCNA/PNKP/POLD1/POLH/POLK/POLQ/POT1/RAD23A/RBBP8/RPA2/RPS3/SDE2/SIRT6/TP53BP1/XNDC1N/XPC/XRCC1/XRCC5/XRCC6",48
"GO:0045296","cadherin binding","161/6549","334/18737",0.482035928143713,1.3791276814214,5.1247670212873,3.45010742026168e-07,5.48567079821607e-05,4.69850155259321e-05,"ABCF3/ACVR1/AHNAK/AHSA1/ANLN/ANXA2/ARFIP2/ARGLU1/ARHGAP18/ARVCF/ASAP1/ATXN2L/BAG3/BAIAP2L1/BMPR2/BSG/CAPZA1/CAPZB/CBL/CC2D1A/CCNB2/CCS/CDH20/CDH24/CDH26/CGN/CHMP4B/CHMP5/CIP2A/CKAP5/CTNNA1/CTNND1/DIAPH3/DLG1/DNAJB1/EEF1D/EEF2/EFHD2/EHD1/EIF2A/EIF3E/EIF4H/EMD/EPS15/ERC1/EZR/FLNB/FMNL2/FNBP1L/FSCN1/FXYD5/GAPVD1/GIPC1/GLOD4/GOLGA2/H1-10/H3C1/H3C11/H3C12/H3C2/H3C3/H3C6/H3C7/H3C8/HDLBP/HSP90AB1/HSPA5/IDH1/IQGAP1/IST1/KLC2/LARP1/LIMA1/LRRC59/LRRFIP1/LYPLA2/MACF1/MMP24/MPP7/MPRIP/NCK1/NEO1/NHERF2/NOP56/NUDC/NUMB/OLFM4/P2RX4/PAK2/PARK7/PCBP1/PCMT1/PDLIM5/PFN1/PICALM/PKP4/PPL/PPP1R13L/PRDX6/PSEN1/PSMB6/PTPN1/PTPN11/PTPRJ/PTPRO/PUF60/RAB10/RAB11B/RACK1/RAN/RANBP1/RANGAP1/RDX/RPL14/RPL15/RPL23A/RPL24/RPL29/RPL34/RPL6/RPL7A/RPS2/RPS26/RSL1D1/RTN4/RUVBL1/SCRIB/SCYL1/SEPTIN9/SERBP1/SFN/SH3GL1/SH3GLB1/SH3GLB2/SLC3A2/SLK/SND1/SNX5/SPTBN1/STAT1/STK38/STX5/SWAP70/TAGLN2/TLN1/TMOD3/TMPO/TXNDC9/UBAP2/UBFD1/USO1/USP8/VAPB/VASN/VCL/YKT6/YWHAB/YWHAE/YWHAZ/ZC3H15/ZC3HAV1",161
"GO:0140098","catalytic activity, acting on RNA","186/6549","397/18737",0.468513853904282,1.34044038488388,5.02569781563918,5.31577334485198e-07,7.51295966072413e-05,6.43488352271555e-05,"AARS1/AARS2/AGO2/AGO3/AGO4/ALKBH5/ANKZF1/APEX1/AQR/BRIP1/BUD23/CARS2/CDKAL1/CNOT1/CNOT6/CNOT8/CPSF3/CRCP/DALRD3/DARS2/DCP2/DCPS/DDX10/DDX19B/DDX20/DDX23/DDX24/DDX27/DDX28/DDX31/DDX39A/DDX39B/DDX41/DDX42/DDX47/DDX49/DDX5/DDX51/DDX54/DDX55/DDX56/DDX60/DDX60L/DHX16/DHX30/DHX33/DHX38/DHX57/DICER1/DIMT1/DTD2/DTWD1/DUS1L/DUS3L/DUS4L/DXO/EIF4A1/EIF4A2/EIF4A3/ELAC1/ENDOG/EPRS1/ERI1/ERI2/ERI3/ERN1/EXOSC10/EXOSC3/EXOSC9/FANCM/FARSA/FBL/FTO/FTSJ1/GATC/HARS1/HARS2/HENMT1/IARS1/IARS2/IFIH1/INTS11/JMJD6/KARS1/LACTB2/LARS2/LRRC47/MARF1/MED20/MEPCE/METTL15/METTL15P1/METTL2A/METTL4/METTL6/MOV10L1/MRM3/MTREX/NARS2/NOB1/NSUN3/NSUN4/NSUN5/PAN2/PAN3/PARN/PARS2/PIWIL4/POLR1C/POLR1D/POLR1H/POLR2C/POLR2E/POLR2F/POLR2H/POLR2J/POLR2J2/POLR2J3/POLR2K/POLR2L/POLR3A/POLR3B/POLR3C/POLRMT/POP1/POP7/PRIM1/PRIMPOL/PTRH2/PTRHD1/PUS1/PUS10/PUSL1/QARS1/QTRT1/RARS2/REXO2/RIGI/RNASE2/RNASE4/RNASEH1/RNASEL/RNGTT/RPP21/RPUSD4/SAMHD1/SARS1/SARS2/SLFN12/SLFN13/SLFN14/SMG6/SND1/SUPV3L1/TARBP1/TARS1/TDRD9/TFB2M/TGS1/TMT1A/TOE1/TRDMT1/TRMO/TRMT1/TRMT10B/TRMT1L/TRMT44/TRMT5/TRMT61B/TRMU/TRNT1/TRPT1/TSEN2/TSNAX/TSR3/TUT1/TUT7/TYW1/TYW1B/WARS2/XRN1/XRN2/YBEY/ZC3H12A/ZC3H12B/ZC3H12C",186
"GO:0043021","ribonucleoprotein complex binding","92/6549","174/18737",0.528735632183908,1.5127377523637,4.98087391702688,8.75136314729046e-07,0.000111317339233535,9.53437984994276e-05,"ABCF1/AFG2A/BOP1/C1QBP/CCDC47/CD2BP2/CKAP5/CPEB3/CPEB4/DDX5/DERL2/DHX33/DNAJC2/EEF2/EFL1/EIF1/EIF1B/EIF2A/EIF2S1/EIF3C/EIF3K/EIF4A3/EIF5A/EIF5AL1/EIF6/ERAL1/ERI1/GEMIN5/GTPBP6/HABP4/HSPA5/IFIH1/IFRD2/ITCH/LARP1/LEMD3/LETMD1/LTN1/MALSU1/MAP3K20/MDM2/MTOR/NAA10/NAA15/NAA16/NCLN/NDUFAB1/NEAT1/NEMF/NOPCHAP1/NPM1/OXA1L/PES1/PHF6/PPIH/PQBP1/PRMT7/PRPF31/RACK1/RBM3/RHBDD2/RNASEL/RPLP1/RPSA/SBDS/SEC61A1/SEC61B/SEC61G/SERBP1/SHFL/SLFN12/SLFN14/SMG6/SND1/SNRPA/SNRPB/SRP19/SRP54/STAU2/STRAP/TACO1/TIMM50/TMA16/TMCO1/TMEM147/TTC5/UQCC5/WDR12/YTHDF1/ZC3H12A/ZNF598/ZNF622",92
