"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease - COVID-19","111/1817","238/9397",0.466386554621849,2.41201676047414,10.8023604769383,3.58063609222195e-22,1.23531945181657e-19,1.04780719330284e-19,"59272/6868/730/733/629/2147/2197/1839/64135/3454/3455/3592/3593/3654/3661/10379/1432/4142/4790/4793/4939/5291/5970/23586/6134/4736/6135/6136/6137/23521/9045/6138/6139/6141/6142/6143/6144/6146/200916/9349/6147/6152/6154/51121/6155/6157/6158/6159/6122/6156/6160/6161/6164/11224/6165/25873/6166/6167/6168/6169/6170/6124/6171/6125/6128/6129/6130/6132/6133/6175/6176/6181/6205/6206/6207/6208/6209/6210/6217/6218/6222/6223/6187/6224/6227/6228/6229/6230/6231/6232/6233/6234/6235/6188/6189/6191/6193/6194/6201/6202/6203/3921/388524/6403/23118/29110/7099/51284/51311/7187/7311",111
"Human Diseases","Neurodegenerative disease","hsa05016","Huntington disease","122/1817","311/9397",0.392282958199357,2.02877433032436,9.03292309008678,1.08226685692413e-16,1.86691032819412e-14,1.58352729592057e-14,"10120/11047/1173/1175/317/60673/498/506/513/514/516/517/518/10476/522/581/27113/1211/1212/1213/8218/1327/9377/1329/1337/1340/1346/1347/9167/1349/1350/1351/10488/1537/11258/1742/8701/127602/55567/56171/1770/2033/2081/2776/2876/2877/3064/3708/89953/5609/4294/4217/2475/4694/4695/4696/4697/4700/4716/54539/4708/4710/4713/4717/4719/4720/4722/4725/4726/4728/4723/5289/30849/5432/5434/5435/5436/5437/5439/548644/5440/5441/10105/5688/5689/5690/5691/5692/5694/5700/5701/5702/5705/5707/5719/5708/5709/5713/5714/5715/9821/5978/6389/7979/6506/6507/292/293/6647/6667/6908/112714/7280/347733/7350/7381/7384/7386/7388/440567/27089/7417",122
"Human Diseases","Neurodegenerative disease","hsa05012","Parkinson disease","105/1817","271/9397",0.387453874538745,2.00379970227881,8.20929459135698,4.20972466910812e-14,4.84118336947434e-12,4.10632792284932e-12,"11047/317/468/22926/498/506/513/514/516/517/518/10476/522/581/1327/9377/1329/1337/1340/1346/1347/9167/1349/1350/1351/1537/1649/1965/2081/2778/3309/27429/3708/3709/89953/120892/4129/4217/55669/4694/4695/4696/4697/4700/4716/54539/4708/4710/4713/4717/4719/4720/4722/4725/4726/4728/4723/4780/11315/10105/5688/5689/5690/5691/5692/5694/5700/5701/5702/5705/5707/5719/5708/5709/5713/5714/5715/6233/6389/7979/292/293/201266/91252/7922/64116/55334/9627/6647/10131/112714/7280/347733/25828/7311/7316/7327/7381/7384/7386/7388/440567/27089/7417/7494",105
"Human Diseases","Neurodegenerative disease","hsa05014","Amyotrophic lateral sclerosis","129/1817","371/9397",0.347708894878706,1.79825012943049,7.68055587144749,6.73233480543565e-13,5.80663876968825e-11,4.9252344102924e-11,"10120/11047/10189/310/317/468/22926/60673/498/506/513/514/516/517/518/10476/522/6311/11273/581/9973/400916/1327/9377/1329/1337/1340/1346/1347/9167/1349/1350/1351/1537/11258/1649/8701/127602/55567/56171/1770/1965/2081/9896/2521/2876/2877/2903/3178/642659/3309/89953/4217/1432/9782/2475/4694/4695/4696/4697/4700/4716/54539/4708/4710/4713/4717/4719/4720/4722/4725/4726/4728/4723/9542/91181/129401/348995/9818/10482/29107/5216/375189/5289/30849/5530/5688/5689/5690/5691/5692/5694/5700/5701/5702/5705/5707/5719/5708/5709/5713/5714/5715/5903/9821/6389/7979/23064/6506/6647/80208/6428/6432/10010/23435/29110/10452/112714/7280/347733/7381/7384/7386/7388/440567/27089/9217/55255/7494",129
"Human Diseases","Neurodegenerative disease","hsa05022","Pathways of neurodegeneration - multiple diseases","157/1817","483/9397",0.325051759834369,1.68107396101462,7.52394984635841,1.14897775970226e-12,7.92794654194557e-11,6.72454351994163e-11,"10120/11047/317/324/369/468/22926/60673/498/506/513/514/516/517/518/10476/522/6310/342371/6311/11273/581/673/776/9973/1131/1327/9377/1329/1337/1340/1346/1347/9167/1349/1350/1351/1454/1457/1537/11258/1649/1742/8701/127602/55567/56171/1770/1855/1857/1965/2081/355/9896/2521/8323/2776/2876/2877/2903/2932/3265/3028/3309/27429/3064/3552/3708/3709/89953/120892/5605/5609/4294/4217/1432/55669/2475/4694/4695/4696/4697/4700/4716/54539/4708/4710/4713/4717/4719/4720/4722/4725/4726/4728/4723/4790/11315/5289/30849/10105/5530/5621/5663/5688/5689/5690/5691/5692/5694/5700/5701/5702/5705/5707/5719/5708/5709/5713/5714/5715/5743/9821/5970/6233/6389/7979/292/293/9627/6647/80208/6712/10010/23435/29110/10452/10131/112714/7280/347733/7311/7316/7327/7381/7384/7386/7388/440567/27089/9217/7417/55255/7471/7480/54361/7494",157
"Human Diseases","Neurodegenerative disease","hsa05010","Alzheimer disease","128/1817","391/9397",0.327365728900256,1.69304114170374,6.85323760250118,9.40655919155077e-11,5.40877153514169e-09,4.58776044780897e-09,"102/6868/11047/207/317/324/51107/348/369/468/22926/60673/498/506/513/514/516/517/518/10476/522/673/776/1131/1327/9377/1329/1337/1340/1346/1347/9167/1349/1350/1351/1454/1457/1537/1649/1855/1857/1965/2081/355/8323/2597/2776/2903/2932/3265/3028/3552/3708/3709/89953/5605/5609/4217/2475/4694/4695/4696/4697/4700/4716/54539/4708/4710/4713/4717/4719/4720/4722/4725/4726/4728/4723/4790/5289/5291/30849/10105/5530/5663/55851/5688/5689/5690/5691/5692/5694/5700/5701/5702/5705/5707/5719/5708/5709/5713/5714/5715/5743/9821/5970/6389/7979/292/293/201266/91252/7922/64116/55334/112714/7280/347733/7381/7384/7386/7388/440567/27089/7417/7471/7480/54361/7494",128
"Human Diseases","Neurodegenerative disease","hsa05020","Prion disease","98/1817","278/9397",0.352517985611511,1.82312135981913,6.82066982445479,1.84241206502117e-10,8.13977601026609e-09,6.9042188584408e-09,"11047/317/1386/468/498/506/513/514/516/517/518/10476/522/581/730/733/776/6352/1327/9377/1329/1337/1340/1346/1347/9167/1349/1350/1351/10488/1457/1535/1537/1649/1965/2903/2932/3309/3552/3708/3709/89953/3915/1432/4694/4695/4696/4697/4700/4716/54539/4708/4710/4713/4717/4719/4720/4722/4725/4726/4728/4723/5291/10105/5530/5621/5688/5689/5690/5691/5692/5694/5700/5701/5702/5705/5707/5719/5708/5709/5713/5714/5715/6389/7979/292/293/6647/112714/7280/347733/7381/7384/7386/7388/440567/27089/7417",98
"Metabolism","Energy metabolism","hsa00190","Oxidative phosphorylation","59/1817","138/9397",0.427536231884058,2.21109409521986,7.01697214842744,1.88748429223561e-10,8.13977601026609e-09,6.9042188584408e-09,"495/496/498/506/513/514/516/517/518/267020/10476/522/537/533/155066/523/528/51382/9296/9550/51606/1355/1327/9377/1329/1337/1340/1346/1347/9167/1349/1350/1351/1537/4694/4695/4696/4697/4700/4716/54539/4708/4710/4713/4717/4719/4720/4722/4725/4726/4728/4723/6389/7381/7384/7386/7388/440567/27089",59
"Organismal Systems","Immune system","hsa04613","Neutrophil extracellular trap formation","72/1817","196/9397",0.36734693877551,1.89981242909932,6.23270932257144,6.83487643695833e-09,2.62003596750069e-07,2.22233409295253e-07,"207/10533/1182/1535/2215/2811/8969/8329/8331/8330/8332/8338/317772/8335/3013/3012/55766/3015/85236/8340/8341/8348/440689/8349/128312/3018/8347/3017/8344/8343/8339/8350/8354/8358/8352/8353/8355/8359/8363/8362/8368/554313/121504/8366/8364/8360/8367/8361/8294/8520/79885/8841/9759/55869/9734/3146/3690/5605/1432/4353/2475/4790/5291/10105/5970/6403/292/293/7099/51284/51311/7417",72
"Human Diseases","Cancer: overview","hsa05208","Chemical carcinogenesis - reactive oxygen species","80/1817","227/9397",0.352422907488987,1.82262964318878,6.14252567942762,9.00441674820345e-09,3.10652377813019e-07,2.6349766905269e-07,"52/10327/1109/207/369/405/498/506/513/514/516/517/518/10476/522/673/1327/9377/1329/1337/1340/1346/1347/9167/1349/1350/1351/1535/1537/1544/2938/2946/119391/3265/5605/6416/5609/4217/1432/4694/4695/4696/4697/4700/4716/54539/4708/4710/4713/4717/4719/4720/4722/4725/4726/4728/4723/4780/4790/1728/5291/5337/10105/5728/5781/5795/5970/6389/292/293/6647/6654/6655/7381/7384/7386/7388/440567/27089/7417",80
