"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002181","cytoplasmic translation","109/3756","165/18986",0.660606060606061,3.3392616258431,14.9870985182382,1.96482256893722e-38,1.22094074433759e-34,1.12904909513982e-34,"CPEB3/EEF1D/EIF2B4/EIF2B5/EIF3B/EIF3C/EIF3CL/EIF3D/EIF3F/EIF3G/EIF3H/EIF3I/EIF3K/EIF3L/EIF3M/EIF4A2/FAU/FTSJ1/HNRNPD/LIN28A/MIF4GD/MTOR/NCK1/PAIP1/RACK1/RPL10/RPL10A/RPL11/RPL12/RPL13/RPL13A/RPL14/RPL15/RPL17/RPL18/RPL18A/RPL19/RPL21/RPL22/RPL22L1/RPL23/RPL23A/RPL24/RPL26/RPL26L1/RPL27/RPL27A/RPL28/RPL29/RPL3/RPL30/RPL31/RPL32/RPL34/RPL35/RPL35A/RPL36/RPL37/RPL37A/RPL38/RPL39/RPL4/RPL41/RPL5/RPL6/RPL7/RPL7A/RPL8/RPL9/RPLP0/RPLP0P6/RPLP1/RPLP2/RPS11/RPS12/RPS13/RPS14/RPS15/RPS15A/RPS16/RPS17/RPS18/RPS19/RPS2/RPS20/RPS21/RPS23/RPS24/RPS25/RPS26/RPS27/RPS27A/RPS28/RPS29/RPS3/RPS3A/RPS4X/RPS5/RPS6/RPS7/RPS8/RPS9/RPSA/RWDD1/SARS1/SLBP/UBA52/YBX1/ZNF385A",109
"GO:0022613","ribonucleoprotein complex biogenesis","199/3756","492/18986",0.404471544715447,2.04454120020433,11.6576453835943,1.21407993161451e-26,3.77214634752629e-23,3.48824334035981e-23,"ABT1/AFG2A/AGO1/AGO2/AGO3/AGO4/AIRIM/ATR/BOP1/BUD23/BYSL/C1QBP/CD2BP2/CELF3/CLP1/COIL/DDX27/DDX28/DDX39B/DDX49/DDX51/DDX54/DDX56/DKC1/EBNA1BP2/EFL1/EIF3B/EIF3C/EIF3CL/EIF3D/EIF3F/EIF3G/EIF3H/EIF3I/EIF3K/EIF3L/EIF3M/EIF4A3/EIF6/ERAL1/EXOSC3/EXOSC6/FAU/FBL/GAR1/GEMIN5/GEMIN8/GNL3L/GTF3A/GTPBP10/HSP90AB1/HTATSF1/IMP3/IMP4/ISY1/KRI1/LSM4/LTV1/LUC7L3/LYAR/MALSU1/MDN1/METTL15/METTL17/MPV17L2/MRM3/MRPS2/MRPS7/MTREX/NGDN/NGRN/NHP2/NIP7/NOA1/NOB1/NOL10/NOL7/NOLC1/NOP16/NOP53/NOP56/NOP58/NPM1/NPM3/NSA2/NSUN3/PA2G4/PELP1/PES1/PHF5A/PIH1D1/POP7/PRKDC/PRPF18/PRPF31/RAN/RBMX2/RNASEL/RNU5D-1/RNU5F-1/RNU6-9/RNVU1-3/RNVU1-8/RPF1/RPL11/RPL13A/RPL14/RPL24/RPL26/RPL26L1/RPL27/RPL35/RPL35A/RPL38/RPL5/RPL7/RPL7A/RPS11/RPS12/RPS13/RPS14/RPS15/RPS15A/RPS16/RPS17/RPS19/RPS19BP1/RPS21/RPS23/RPS24/RPS25/RPS27/RPS27A/RPS28/RPS3A/RPS4X/RPS5/RPS6/RPS7/RPS8/RPS9/RPSA/RPSA2/RPUSD1/RPUSD2/RPUSD4/RRP1/RRP8/RRP9/RRS1/SART1/SBDS/SDAD1/SDE2/SETX/SF1/SF3A2/SF3B2/SF3B3/SF3B4/SF3B5/SIRT7/SLX9/SNRPB/SNRPB2/SNRPC/SNRPD1/SNRPD2/SNRPE/SNRPF/SNU13/SRFBP1/SRPK1/SRSF12/SRSF5/SRSF9/STRAP/SURF6/TARBP2/TENT4B/TGS1/TMA16/TRMT112/TSR2/TSR3/TSSC4/TXNL4A/U2AF2/USP39/UTP14A/UTP6/WBP11/WDR3/XAB2/XPO1/YBEY/ZNF622/ZNHIT3/ZRSR2",199
"GO:0042254","ribosome biogenesis","134/3756","317/18986",0.422712933753943,2.13674860496602,10.1356516049405,2.61919463518926e-20,5.42522515435536e-17,5.01690649596427e-17,"ABT1/AFG2A/AIRIM/BOP1/BUD23/BYSL/C1QBP/DDX27/DDX28/DDX49/DDX51/DDX54/DDX56/DKC1/EBNA1BP2/EFL1/EIF4A3/EIF6/ERAL1/EXOSC3/EXOSC6/FAU/FBL/GAR1/GNL3L/GTF3A/GTPBP10/IMP3/IMP4/KRI1/LTV1/LYAR/MALSU1/MDN1/METTL15/METTL17/MPV17L2/MRM3/MRPS2/MRPS7/MTREX/NGDN/NGRN/NHP2/NIP7/NOA1/NOB1/NOL10/NOL7/NOLC1/NOP16/NOP53/NOP56/NOP58/NPM1/NPM3/NSA2/NSUN3/PA2G4/PELP1/PES1/PIH1D1/POP7/PRKDC/RAN/RNASEL/RPF1/RPL11/RPL14/RPL24/RPL26/RPL26L1/RPL27/RPL35/RPL35A/RPL38/RPL5/RPL7/RPL7A/RPS11/RPS12/RPS13/RPS14/RPS15/RPS15A/RPS16/RPS17/RPS19/RPS19BP1/RPS21/RPS23/RPS24/RPS25/RPS27/RPS27A/RPS28/RPS3A/RPS4X/RPS5/RPS6/RPS7/RPS8/RPS9/RPSA/RPSA2/RPUSD1/RPUSD2/RPUSD4/RRP1/RRP8/RRP9/RRS1/SART1/SBDS/SDAD1/SDE2/SIRT7/SLX9/SNU13/SRFBP1/SURF6/TENT4B/TMA16/TRMT112/TSR2/TSR3/UTP14A/UTP6/WBP11/WDR3/XPO1/YBEY/ZNF622/ZNHIT3",134
"GO:0008380","RNA splicing","170/3756","484/18986",0.351239669421488,1.77546229063801,8.58207226296016,9.80083578709387e-16,1.52255983952503e-12,1.40796743583541e-12,"ACIN1/AFF2/AHNAK/AKAP17A/ALYREF/AQR/ARGLU1/ATXN7L3/BCAS2/BUD31/C1QBP/C9orf78/CACTIN/CCNL2/CD2BP2/CDC5L/CDK11B/CDK13/CELF3/CIRBP/CLASRP/CLP1/COIL/CRIPT/CWC15/CWF19L2/DDX39A/DDX39B/DDX41/DHX16/DYRK1A/EIF1/EIF4A3/ENY2/ERN1/ESRP2/ESS2/FAM50A/FAM98B/FASTK/FUS/GEMIN5/GEMIN8/HNRNPA1/HNRNPA1L3/HNRNPH1/HNRNPH3/HNRNPL/HNRNPM/HNRNPUL1/HTATSF1/IK/ILF3/ISY1/KAT2A/LSM1/LSM4/LSM5/LSM7/LUC7L3/MAGOH/MTREX/NCL/NONO/NRDE2/PCBP4/PHF5A/PNN/PPIE/PPIH/PPIL1/PPIL3/PQBP1/PRDX6/PRMT1/PRPF18/PRPF31/PRPF38B/PTBP1/PTBP3/QKI/RALY/RBFOX2/RBM12B/RBM14/RBM17/RBM22/RBM3/RBM38/RBM42/RBM4B/RBMX/RBMX2/RBPMS/REST/RNF113A/RNPS1/RNU5D-1/RNU5F-1/RNU6-9/RNVU1-3/RNVU1-8/RP9/RPS13/RPS26/RPUSD4/RSRC1/RTRAF/SAP18/SART1/SCNM1/SDE2/SETX/SF1/SF3A2/SF3B2/SF3B3/SF3B4/SF3B5/SFPQ/SGF29/SNRNP27/SNRNP70/SNRPA/SNRPB/SNRPB2/SNRPC/SNRPD1/SNRPD2/SNRPE/SNRPF/SNU13/SRPK1/SRRM2/SRSF11/SRSF12/SRSF2/SRSF3/SRSF5/SRSF7/SRSF8/SRSF9/STRAP/SUGP2/SUPT20H/SUPT7L/SYF2/TAF15/TAF6L/TARDBP/TGS1/TRPT1/TRRAP/TSEN15/TSEN2/TSEN54/TSSC4/TXNL4A/U2AF1L4/U2AF2/UBL5/UPF3A/USP39/WBP11/XAB2/YBX1/YJU2B/ZC3H10/ZNF638/ZRSR2",170
"GO:0022618","protein-RNA complex assembly","93/3756","225/18986",0.413333333333333,2.08933617323394,8.16287852320107,8.28418595859046e-14,1.02955863093362e-10,9.52070971535691e-11,"ABT1/AGO1/AGO2/AGO3/AGO4/ATR/BOP1/CD2BP2/CELF3/CLP1/COIL/DDX28/DDX39B/EIF3B/EIF3C/EIF3CL/EIF3D/EIF3F/EIF3G/EIF3H/EIF3I/EIF3K/EIF3L/EIF3M/EIF6/ERAL1/FAU/GEMIN5/GEMIN8/HSP90AB1/HTATSF1/ISY1/LSM4/LUC7L3/MDN1/METTL17/MRPS7/NOP53/PHF5A/PIH1D1/PRKDC/PRPF18/PRPF31/RBMX2/RNU5D-1/RNU5F-1/RNU6-9/RNVU1-3/RNVU1-8/RPL11/RPL13A/RPL24/RPL38/RPL5/RPS14/RPS15/RPS19/RPS27/RPS28/RPS5/RPSA/RPSA2/RRS1/SART1/SETX/SF1/SF3A2/SF3B2/SF3B3/SF3B4/SF3B5/SNRPB/SNRPB2/SNRPC/SNRPD1/SNRPD2/SNRPE/SNRPF/SNU13/SRPK1/SRSF12/SRSF5/SRSF9/STRAP/TARBP2/TGS1/TSSC4/TXNL4A/U2AF2/USP39/XAB2/ZNHIT3/ZRSR2",93
"GO:0042274","ribosomal small subunit biogenesis","56/3756","108/18986",0.518518518518518,2.62103104169132,8.38964064704982,1.00320499537587e-13,1.03898597354427e-10,9.60788784167871e-11,"ABT1/BYSL/ERAL1/FAU/FBL/IMP3/IMP4/KRI1/LTV1/METTL17/MRPS7/NGDN/NOB1/NOL10/NOL7/NOP56/NOP58/NPM1/PRKDC/RPS11/RPS12/RPS13/RPS14/RPS15/RPS15A/RPS16/RPS17/RPS19/RPS19BP1/RPS21/RPS23/RPS24/RPS25/RPS27/RPS27A/RPS28/RPS3A/RPS4X/RPS5/RPS6/RPS7/RPS8/RPS9/RPSA/RPSA2/RRP9/RRS1/SLX9/SNU13/SRFBP1/SURF6/TRMT112/TSR2/TSR3/UTP6/WDR3",56
"GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","123/3756","338/18986",0.363905325443787,1.83948522600526,7.73345242563693,5.80764051654294e-13,4.34456971683318e-10,4.01758441620659e-10,"ACIN1/AQR/ARGLU1/BCAS2/BUD31/C1QBP/C9orf78/CACTIN/CD2BP2/CDC5L/CDK13/CELF3/CIRBP/COIL/CWC15/CWF19L2/DDX39A/DDX39B/DDX41/DHX16/DYRK1A/EIF1/EIF4A3/ESRP2/ESS2/GEMIN5/GEMIN8/HNRNPA1/HNRNPA1L3/HNRNPH1/HNRNPH3/HNRNPL/HNRNPM/HNRNPUL1/HTATSF1/IK/ILF3/ISY1/LSM4/LSM5/LSM7/LUC7L3/MAGOH/MTREX/NCL/PCBP4/PHF5A/PNN/PPIE/PPIH/PPIL1/PPIL3/PQBP1/PRDX6/PRPF18/PRPF31/PTBP1/QKI/RALY/RBFOX2/RBM14/RBM17/RBM22/RBM3/RBM42/RBM4B/RBMX/RBMX2/RBPMS/REST/RNF113A/RNPS1/RNU5D-1/RNU5F-1/RNU6-9/RNVU1-3/RNVU1-8/RSRC1/SAP18/SART1/SCNM1/SDE2/SETX/SF1/SF3A2/SF3B2/SF3B3/SF3B4/SF3B5/SFPQ/SNRNP27/SNRNP70/SNRPA/SNRPB/SNRPB2/SNRPC/SNRPD1/SNRPD2/SNRPE/SNRPF/SNU13/SRPK1/SRRM2/SRSF12/SRSF2/SRSF3/SRSF5/SRSF7/SRSF8/SRSF9/STRAP/SYF2/TGS1/TSSC4/TXNL4A/U2AF1L4/U2AF2/UBL5/UPF3A/USP39/XAB2/YJU2B/ZRSR2",123
"GO:0000398","mRNA splicing, via spliceosome","123/3756","338/18986",0.363905325443787,1.83948522600526,7.73345242563693,5.80764051654294e-13,4.34456971683318e-10,4.01758441620659e-10,"ACIN1/AQR/ARGLU1/BCAS2/BUD31/C1QBP/C9orf78/CACTIN/CD2BP2/CDC5L/CDK13/CELF3/CIRBP/COIL/CWC15/CWF19L2/DDX39A/DDX39B/DDX41/DHX16/DYRK1A/EIF1/EIF4A3/ESRP2/ESS2/GEMIN5/GEMIN8/HNRNPA1/HNRNPA1L3/HNRNPH1/HNRNPH3/HNRNPL/HNRNPM/HNRNPUL1/HTATSF1/IK/ILF3/ISY1/LSM4/LSM5/LSM7/LUC7L3/MAGOH/MTREX/NCL/PCBP4/PHF5A/PNN/PPIE/PPIH/PPIL1/PPIL3/PQBP1/PRDX6/PRPF18/PRPF31/PTBP1/QKI/RALY/RBFOX2/RBM14/RBM17/RBM22/RBM3/RBM42/RBM4B/RBMX/RBMX2/RBPMS/REST/RNF113A/RNPS1/RNU5D-1/RNU5F-1/RNU6-9/RNVU1-3/RNVU1-8/RSRC1/SAP18/SART1/SCNM1/SDE2/SETX/SF1/SF3A2/SF3B2/SF3B3/SF3B4/SF3B5/SFPQ/SNRNP27/SNRNP70/SNRPA/SNRPB/SNRPB2/SNRPC/SNRPD1/SNRPD2/SNRPE/SNRPF/SNU13/SRPK1/SRRM2/SRSF12/SRSF2/SRSF3/SRSF5/SRSF7/SRSF8/SRSF9/STRAP/SYF2/TGS1/TSSC4/TXNL4A/U2AF1L4/U2AF2/UBL5/UPF3A/USP39/XAB2/YJU2B/ZRSR2",123
"GO:0000375","RNA splicing, via transesterification reactions","124/3756","342/18986",0.362573099415205,1.83275102915258,7.71750331761742,6.29242475885076e-13,4.34456971683318e-10,4.01758441620659e-10,"ACIN1/AQR/ARGLU1/BCAS2/BUD31/C1QBP/C9orf78/CACTIN/CD2BP2/CDC5L/CDK13/CELF3/CIRBP/COIL/CWC15/CWF19L2/DDX39A/DDX39B/DDX41/DHX16/DYRK1A/EIF1/EIF4A3/ESRP2/ESS2/GEMIN5/GEMIN8/HNRNPA1/HNRNPA1L3/HNRNPH1/HNRNPH3/HNRNPL/HNRNPM/HNRNPUL1/HTATSF1/IK/ILF3/ISY1/LSM1/LSM4/LSM5/LSM7/LUC7L3/MAGOH/MTREX/NCL/PCBP4/PHF5A/PNN/PPIE/PPIH/PPIL1/PPIL3/PQBP1/PRDX6/PRPF18/PRPF31/PTBP1/QKI/RALY/RBFOX2/RBM14/RBM17/RBM22/RBM3/RBM42/RBM4B/RBMX/RBMX2/RBPMS/REST/RNF113A/RNPS1/RNU5D-1/RNU5F-1/RNU6-9/RNVU1-3/RNVU1-8/RSRC1/SAP18/SART1/SCNM1/SDE2/SETX/SF1/SF3A2/SF3B2/SF3B3/SF3B4/SF3B5/SFPQ/SNRNP27/SNRNP70/SNRPA/SNRPB/SNRPB2/SNRPC/SNRPD1/SNRPD2/SNRPE/SNRPF/SNU13/SRPK1/SRRM2/SRSF12/SRSF2/SRSF3/SRSF5/SRSF7/SRSF8/SRSF9/STRAP/SYF2/TGS1/TSSC4/TXNL4A/U2AF1L4/U2AF2/UBL5/UPF3A/USP39/XAB2/YJU2B/ZRSR2",124
"GO:0071826","protein-RNA complex organization","93/3756","234/18986",0.397435897435897,2.00897708964802,7.71229400902607,1.28785188154585e-12,8.00271159192594e-10,7.40040360143033e-10,"ABT1/AGO1/AGO2/AGO3/AGO4/ATR/BOP1/CD2BP2/CELF3/CLP1/COIL/DDX28/DDX39B/EIF3B/EIF3C/EIF3CL/EIF3D/EIF3F/EIF3G/EIF3H/EIF3I/EIF3K/EIF3L/EIF3M/EIF6/ERAL1/FAU/GEMIN5/GEMIN8/HSP90AB1/HTATSF1/ISY1/LSM4/LUC7L3/MDN1/METTL17/MRPS7/NOP53/PHF5A/PIH1D1/PRKDC/PRPF18/PRPF31/RBMX2/RNU5D-1/RNU5F-1/RNU6-9/RNVU1-3/RNVU1-8/RPL11/RPL13A/RPL24/RPL38/RPL5/RPS14/RPS15/RPS19/RPS27/RPS28/RPS5/RPSA/RPSA2/RRS1/SART1/SETX/SF1/SF3A2/SF3B2/SF3B3/SF3B4/SF3B5/SNRPB/SNRPB2/SNRPC/SNRPD1/SNRPD2/SNRPE/SNRPF/SNU13/SRPK1/SRSF12/SRSF5/SRSF9/STRAP/TARBP2/TGS1/TSSC4/TXNL4A/U2AF2/USP39/XAB2/ZNHIT3/ZRSR2",93
